SEF	0.0.1
ID	DWR_Canada_Verde
Name	Cañada Verde
Lat	-34.8363
Lon	-64.5833
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=?
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1400	0	985.9190740500052	Original=739mm
1902	2	22	1400	0		
1902	2	23	1400	0	1014.4500655100053	Original=760mm
1902	2	24	1400	0	1008.5838803500053	Original=756mm
1902	2	25	1400	0	1006.7173668900052	Original=755mm
1902	2	26	1400	0	1013.7834535600052	Original=760mm
1902	2	27	1400	0	1011.2503281500053	Original=758mm
1902	2	28	1400	0		
1902	3	1	1400	0	1014.1834207300053	Original=760mm
1902	3	2	1400	0		
1902	3	3	1400	0	1006.9840116700052	Original=755mm
1902	3	4	1400	0	1009.7837818600052	Original=757mm
1902	3	5	1400	0	1015.7832894100053	Original=761mm
1902	3	6	1400	0	1013.3834863900053	Original=760mm
1902	3	7	1400	0	1014.5833879000053	Original=761mm
1902	3	8	1400	0	1017.1165133100053	Original=762mm
1902	3	9	1400	0	1015.9166118000053	Original=762mm
1902	3	10	1400	0	1014.9833550700052	Original=761mm
1902	3	12	1400	0	1009.5171370800053	Original=757mm
1902	3	13	1400	0	1013.5168087800054	Original=760mm
1902	3	14	1400	0	1015.5166446300053	Original=761mm
1902	3	15	1400	0	1012.1835848800054	Original=759mm
1902	3	16	1400	0	1009.6504594700052	Original=757mm
1902	3	19	1400	0	1016.1832565800054	Original=762mm
1902	3	21	1400	0	1012.7168744400053	Original=759mm
1902	3	22	1400	0	1011.1170057600052	Original=758mm
1902	3	23	1400	0		
1902	3	24	1400	0	1008.4505579600052	Original=756mm
1902	3	25	1400	0	1007.7839460100053	Original=755mm
1902	3	26	1400	0	1010.5837162000053	Original=758mm
1902	3	27	1400	0		
1902	3	30	1400	0	1015.6499670200052	Original=761mm
1902	3	31	1400	0	1007.3839788400053	Original=755mm
1902	4	2	1400	0	1013.2501640000053	Original=760mm
1902	4	3	1400	0	1019.5163163300053	Original=764mm
1902	4	4	1400	0	1014.1834207300053	Original=760mm
1902	4	5	1400	0		
1902	4	6	1400	0	1017.7831252600052	Original=763mm
1902	4	7	1400	0	1014.9833550700052	Original=761mm
1902	4	8	1400	0	1010.5837162000053	Original=758mm
1902	4	9	1400	0	1014.7167102900053	Original=761mm
1902	4	10	1400	0	1011.9169401000053	Original=759mm
1902	4	12	1400	0	1012.3169072700052	Original=759mm
1902	4	13	1400	0	1015.6499670200052	Original=761mm
1902	4	14	1400	0	1010.4503938100053	Original=757mm
1902	4	16	1400	0	1010.7170385900052	Original=758mm
1902	4	19	1400	0	1009.5171370800053	Original=757mm
1902	4	20	1400	0	1004.8508534300053	Original=753mm
1902	4	24	1400	0	1011.1170057600052	Original=758mm
1902	4	26	1400	0	1016.9831909200052	Original=762mm
1902	4	27	1400	0	1014.4500655100053	Original=760mm
1902	4	29	1400	0	1014.4500655100053	Original=760mm
1902	5	3	1400	0	1004.9841758200051	Original=753mm
1902	5	4	1400	0	1014.8500326800054	Original=761mm
1902	5	6	1400	0	1014.4500655100053	Original=760mm
1902	5	8	1400	0	1010.5837162000053	Original=758mm
1902	5	16	1400	0	1017.6498028700053	Original=763mm
1902	5	17	1400	0	1013.5168087800054	Original=760mm
1902	5	18	1400	0	1013.1168416100053	Original=759mm
1902	5	19	1400	0	1008.3172355700052	Original=756mm
1902	5	20	1400	0	1007.3839788400053	Original=755mm
1902	5	21	1400	0	1008.3172355700052	Original=756mm
1902	5	22	1400	0	1011.5169729300053	Original=758mm
1902	5	23	1400	0	1007.6506236200051	Original=755mm
1902	5	24	1400	0	1006.8506892800053	Original=755mm
1902	5	25	1400	0	1004.5842086500053	Original=753mm
1902	5	26	1400	0	1012.4502296600052	Original=759mm
1902	5	27	1400	0	1010.0504266400053	Original=757mm
1902	5	28	1400	0		
1902	5	29	1400	0	1015.1166774600052	Original=761mm
1902	5	30	1400	0	1011.2503281500053	Original=758mm
1902	5	31	1400	0	1011.1170057600052	Original=758mm
1902	6	1	1400	0	1003.9175967000052	Original=753mm
1902	6	2	1400	0	987.3856203400052	Original=740mm
1902	6	3	1400	0	1014.4500655100053	Original=760mm
1902	6	4	1400	0	1017.2498357000053	Original=763mm
1902	6	5	1400	0	1012.7168744400053	Original=759mm
1902	6	6	1400	0	1014.7167102900053	Original=761mm
1902	6	7	1400	0	1017.5164804800054	Original=763mm
1902	6	8	1400	0	1014.9833550700052	Original=761mm
1902	6	9	1400	0	1020.0496058900053	Original=765mm
1902	6	10	1400	0	1004.1842414800053	Original=753mm
1902	6	11	1400	0	1010.9836833700052	Original=758mm
1902	6	12	1400	0	1012.7168744400053	Original=759mm
1902	6	13	1400	0	1013.7834535600052	Original=760mm
1902	6	14	1400	0	1013.7834535600052	Original=760mm
1902	6	15	1400	0	1005.9174325500053	Original=754mm
1902	6	16	1400	0	1000.3178921700052	Original=750mm
1902	6	17	1400	0	1005.9174325500053	Original=754mm
1902	6	18	1400	0	1012.1835848800054	Original=759mm
1902	6	19	1400	0	1016.7165461400053	Original=762mm
1902	6	20	1400	0	1020.4495730600053	Original=765mm
1902	6	21	1400	0	1019.2496715500054	Original=764mm
1902	6	22	1400	0		
1902	6	23	1400	0		
1902	6	24	1400	0	1017.1165133100053	Original=762mm
1902	6	25	1400	0	1007.5173012300053	Original=755mm
1902	6	26	1400	0	1011.5169729300053	Original=758mm
1902	6	27	1400	0	1015.9166118000053	Original=762mm
1902	6	28	1400	0	1026.9823701700052	Original=770mm
1902	6	29	1400	0	1016.1832565800054	Original=762mm
1902	6	30	1400	0	1015.5166446300053	Original=761mm
1902	7	1	1400	0	1017.3831580900053	Original=763mm
1902	7	2	1400	0	1024.4492447600053	Original=768mm
1902	7	4	1400	0	1019.1163491600053	Original=764mm
1902	7	5	1400	0	1019.5163163300053	Original=764mm
1902	7	6	1400	0		
1902	7	7	1400	0	1011.3836505400053	Original=758mm
1902	7	8	1400	0	997.2514772000052	Original=748mm
1902	7	9	1400	0	1004.3175638700052	Original=753mm
1902	7	10	1400	0	995.7849309100052	Original=746mm
1902	7	11	1400	0	1023.1160208600053	Original=767mm
1902	7	12	1400	0	1023.3826656400054	Original=767mm
1902	7	13	1400	0		
1902	7	14	1400	0	1010.1837490300053	Original=757mm
1902	7	15	1400	0	1014.9833550700052	Original=761mm
1902	7	16	1400	0	1014.0500983400053	Original=760mm
1902	7	17	1400	0	1023.7826328100053	Original=767mm
1902	7	18	1400	0	1021.9161193500053	Original=766mm
