SEF	0.0.1
ID	DWR_Chubut-Mdryn
Name	CHUBUT-Madryn
Lat	-42.77151
Lon	-65.04026999999999
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=?
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1400	0	1013.1168416100053	Original=759mm
1902	2	22	1400	0	1011.6502953200052	Original=758mm
1902	2	23	1400	0		
1902	2	24	1400	0	1011.1170057600052	Original=758mm
1902	2	25	1400	0	1005.6507877700052	Original=754mm
1902	2	26	1400	0	1006.1840773300053	Original=754mm
1902	2	27	1400	0	1002.8510175800053	Original=752mm
1902	2	28	1400	0	1005.7841101600052	Original=754mm
1902	3	1	1400	0	1013.5168087800054	Original=760mm
1902	3	2	1400	0	1005.3841429900052	Original=754mm
1902	3	3	1400	0	1003.7842743100052	Original=752mm
1902	3	4	1400	0	1006.4507221100052	Original=754mm
1902	3	5	1400	0	1013.1168416100053	Original=759mm
1902	3	6	1400	0	1010.3170714200052	Original=757mm
1902	3	7	1400	0	1016.4499013600052	Original=762mm
1902	3	8	1400	0	1019.9162835000053	Original=765mm
1902	3	9	1400	0	1022.4494089100053	Original=766mm
1902	3	10	1400	0	1008.9838475200052	Original=756mm
1902	3	12	1400	0	1010.1837490300053	Original=757mm
1902	3	13	1400	0	1006.5840445000052	Original=755mm
1902	3	14	1400	0	1010.4503938100053	Original=757mm
1902	3	15	1400	0	1006.0507549400053	Original=754mm
1902	3	16	1400	0	1004.9841758200051	Original=753mm
1902	3	19	1400	0	1010.7170385900052	Original=758mm
1902	3	21	1400	0	1005.1174982100052	Original=753mm
1902	3	22	1400	0	1010.4503938100053	Original=757mm
1902	3	23	1400	0	1007.3839788400053	Original=755mm
1902	3	24	1400	0	1005.6507877700052	Original=754mm
1902	3	25	1400	0	1017.2498357000053	Original=763mm
1902	3	26	1400	0	1024.1825999800053	Original=768mm
1902	3	27	1400	0	1017.1165133100053	Original=762mm
1902	3	30	1400	0	1004.8508534300053	Original=753mm
1902	3	31	1400	0	1001.6511160700052	Original=751mm
1902	4	2	1400	0	1005.1174982100052	Original=753mm
1902	4	3	1400	0	1019.6496387200052	Original=764mm
1902	4	4	1400	0	1008.4505579600052	Original=756mm
1902	4	5	1400	0	1018.7163819900053	Original=764mm
1902	4	6	1400	0	1009.7837818600052	Original=757mm
1902	4	7	1400	0	1001.5177936800053	Original=751mm
1902	4	8	1400	0	1008.7172027400053	Original=756mm
1902	4	9	1400	0	1008.4505579600052	Original=756mm
1902	4	10	1400	0	1008.4505579600052	Original=756mm
1902	4	12	1400	0	997.2514772000052	Original=748mm
1902	4	13	1400	0	1004.5842086500053	Original=753mm
1902	4	14	1400	0	997.5181219800053	Original=748mm
1902	4	16	1400	0	1006.9840116700052	Original=755mm
1902	4	19	1400	0	997.1181548100052	Original=747mm
1902	4	20	1400	0	997.2514772000052	Original=748mm
1902	4	24	1400	0	1001.7844384600052	Original=751mm
1902	4	26	1400	0	1019.7829611100053	Original=764mm
1902	4	27	1400	0	1012.7168744400053	Original=759mm
1902	4	29	1400	0	1012.7168744400053	Original=759mm
1902	5	3	1400	0	996.1848980800053	Original=747mm
1902	5	4	1400	0		
1902	5	6	1400	0	1017.2498357000053	Original=763mm
1902	5	8	1400	0	1011.9169401000053	Original=759mm
1902	5	16	1400	0	1005.3841429900052	Original=754mm
1902	5	17	1400	0	1005.1174982100052	Original=753mm
1902	5	18	1400	0	1007.7839460100053	Original=755mm
1902	5	19	1400	0	1000.4512145600052	Original=750mm
1902	5	20	1400	0	1003.2509847500053	Original=752mm
1902	5	21	1400	0	998.8513458800053	Original=749mm
1902	5	22	1400	0	1005.1174982100052	Original=753mm
1902	5	23	1400	0	999.6512802200051	Original=749mm
1902	5	24	1400	0	1005.6507877700052	Original=754mm
1902	5	25	1400	0	996.4515428600051	Original=747mm
1902	5	26	1400	0	1003.7842743100052	Original=752mm
1902	5	27	1400	0	1001.9177608500053	Original=751mm
1902	5	28	1400	0	1005.2508206000052	Original=754mm
1902	5	29	1400	0	1006.7173668900052	Original=755mm
1902	5	30	1400	0	1001.5177936800053	Original=751mm
1902	5	31	1400	0	1002.8510175800053	Original=752mm
1902	6	1	1400	0	993.9184174500052	Original=745mm
1902	6	2	1400	0		
1902	6	3	1400	0	1003.2509847500053	Original=752mm
1902	6	4	1400	0	1003.9175967000052	Original=753mm
1902	6	5	1400	0	995.2516413500052	Original=746mm
1902	6	6	1400	0	995.3849637400052	Original=746mm
1902	6	7	1400	0	1012.1835848800054	Original=759mm
1902	6	8	1400	0	1010.1837490300053	Original=757mm
1902	6	9	1400	0	1015.7832894100053	Original=761mm
1902	6	10	1400	0	1004.8508534300053	Original=753mm
1902	6	11	1400	0	1006.3173997200051	Original=754mm
1902	6	12	1400	0	1007.3839788400053	Original=755mm
1902	6	13	1400	0	1020.4495730600053	Original=765mm
1902	6	14	1400	0	1020.4495730600053	Original=765mm
1902	6	15	1400	0	1002.3177280200051	Original=751mm
1902	6	16	1400	0	1007.3839788400053	Original=755mm
1902	6	17	1400	0	1006.1840773300053	Original=754mm
1902	6	18	1400	0	1009.9171042500053	Original=757mm
1902	6	19	1400	0	1019.2496715500054	Original=764mm
1902	6	20	1400	0	1024.7158895400053	Original=768mm
1902	6	21	1400	0	1021.5161521800054	Original=766mm
1902	6	22	1400	0	1017.5164804800054	Original=763mm
1902	6	23	1400	0	1016.7165461400053	Original=762mm
1902	6	24	1400	0	1012.4502296600052	Original=759mm
1902	6	25	1400	0	1007.2506564500053	Original=755mm
1902	6	26	1400	0	1012.1835848800054	Original=759mm
1902	6	27	1400	0	1018.8497043800054	Original=764mm
1902	6	28	1400	0	1024.1825999800053	Original=768mm
1902	6	29	1400	0	1013.6501311700052	Original=760mm
1902	6	30	1400	0	1005.9174325500053	Original=754mm
1902	7	1	1400	0	1013.9167759500053	Original=760mm
1902	7	2	1400	0	1018.8497043800054	Original=764mm
1902	7	4	1400	0	1011.2503281500053	Original=758mm
1902	7	5	1400	0	1014.5833879000053	Original=761mm
1902	7	6	1400	0	1019.5163163300053	Original=764mm
1902	7	7	1400	0	1003.1176623600052	Original=752mm
1902	7	8	1400	0	989.1188114100052	Original=741mm
1902	7	9	1400	0	993.6517726700051	Original=745mm
1902	7	10	1400	0	993.3851278900052	Original=745mm
1902	7	11	1400	0	1017.2498357000053	Original=763mm
1902	7	12	1400	0	1025.1158567100053	Original=768mm
1902	7	13	1400	0	1026.4490806100052	Original=769mm
1902	7	14	1400	0	1010.1837490300053	Original=757mm
1902	7	15	1400	0	1004.8508534300053	Original=753mm
1902	7	16	1400	0	1010.4503938100053	Original=757mm
1902	7	17	1400	0	1012.1835848800054	Original=759mm
1902	7	18	1400	0	1007.1173340600052	Original=755mm
1902	7	19	1400	0	1014.3167431200052	Original=760mm
1902	7	20	1400	0	1016.5832237500053	Original=762mm
1902	7	21	1400	0	998.8513458800053	Original=749mm
1902	7	23	1400	0	991.6519368200051	Original=743mm
1902	7	24	1400	0	1001.5177936800053	Original=751mm
1902	7	25	1400	0	1005.7841101600052	Original=754mm
1902	7	26	1400	0	999.7846026100052	Original=749mm
1902	7	27	1400	0	1025.3825014900053	Original=769mm
1902	7	28	1400	0	1033.2485225000053	Original=775mm
1902	7	29	1400	0	1019.2496715500054	Original=764mm
1902	7	30	1400	0	1000.0512473900052	Original=750mm
