SEF	0.0.1
ID	DWR_Corrientes-C
Name	CORRIENTES-Capital
Lat	-27.501921000000003
Lon	-58.812889
Alt	
Source	
Repo	
Var	temperature
Units	K
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1400	0	310.15	Original=37C
1902	2	22	1400	0	310.15	Original=37C
1902	2	23	1400	0	309.15	Original=36C
1902	2	24	1400	0	309.15	Original=36C
1902	2	25	1400	0	310.15	Original=37C
1902	2	26	1400	0		
1902	2	27	1400	0	299.15	Original=26C
1902	2	28	1400	0	299.15	Original=26C
1902	3	1	1400	0	304.15	Original=31C
1902	3	2	1400	0	305.15	Original=32C
1902	3	3	1400	0	306.15	Original=33C
1902	3	4	1400	0	308.15	Original=35C
1902	3	5	1400	0	303.15	Original=30C
1902	3	6	1400	0	305.15	Original=32C
1902	3	7	1400	0	307.15	Original=34C
1902	3	8	1400	0	308.15	Original=35C
1902	3	9	1400	0	306.15	Original=33C
1902	3	10	1400	0	307.15	Original=34C
1902	3	12	1400	0	309.15	Original=36C
1902	3	13	1400	0	298.15	Original=25C
1902	3	14	1400	0	303.15	Original=30C
1902	3	15	1400	0	304.15	Original=31C
1902	3	16	1400	0	305.15	Original=32C
1902	3	19	1400	0	307.15	Original=34C
1902	3	21	1400	0	301.15	Original=28C
1902	3	22	1400	0	304.15	Original=31C
1902	3	23	1400	0	306.15	Original=33C
1902	3	24	1400	0	306.15	Original=33C
1902	3	25	1400	0		
1902	3	26	1400	0		
1902	3	27	1400	0		
1902	3	30	1400	0		
1902	3	31	1400	0		
1902	4	2	1400	0	299.15	Original=26C
1902	4	3	1400	0	298.15	Original=25C
1902	4	4	1400	0	296.15	Original=23C
1902	4	5	1400	0	300.15	Original=27C
1902	4	6	1400	0	299.15	Original=26C
1902	4	7	1400	0	296.15	Original=23C
1902	4	8	1400	0	299.15	Original=26C
1902	4	9	1400	0	299.15	Original=26C
1902	4	10	1400	0	301.15	Original=28C
1902	4	12	1400	0	291.15	Original=18C
1902	4	13	1400	0	299.15	Original=26C
1902	4	14	1400	0	302.15	Original=29C
1902	4	16	1400	0	299.15	Original=26C
1902	4	19	1400	0	299.15	Original=26C
1902	4	20	1400	0	301.15	Original=28C
1902	4	24	1400	0	297.15	Original=24C
1902	4	26	1400	0	298.15	Original=25C
1902	4	27	1400	0	299.15	Original=26C
1902	4	29	1400	0	298.15	Original=25C
1902	5	3	1400	0	301.15	Original=28C
1902	5	4	1400	0	304.15	Original=31C
1902	5	6	1400	0	295.15	Original=22C
1902	5	8	1400	0	304.15	Original=31C
1902	5	16	1400	0	291.15	Original=18C
1902	5	17	1400	0	290.15	Original=17C
1902	5	18	1400	0	292.15	Original=19C
1902	5	19	1400	0	296.15	Original=23C
1902	5	20	1400	0	298.15	Original=25C
1902	5	21	1400	0	299.15	Original=26C
1902	5	22	1400	0	299.15	Original=26C
1902	5	23	1400	0	300.15	Original=27C
1902	5	24	1400	0	300.15	Original=27C
1902	5	25	1400	0	302.15	Original=29C
1902	5	26	1400	0	302.15	Original=29C
1902	5	27	1400	0	302.15	Original=29C
1902	5	28	1400	0	288.15	Original=15C
1902	5	29	1400	0	288.15	Original=15C
1902	5	30	1400	0	290.15	Original=17C
1902	5	31	1400	0	294.15	Original=21C
1902	6	1	1400	0	297.15	Original=24C
1902	6	2	1400	0	299.15	Original=26C
1902	6	3	1400	0	301.15	Original=28C
1902	6	4	1400	0	288.15	Original=15C
1902	6	5	1400	0	291.15	Original=18C
1902	6	6	1400	0	291.15	Original=18C
1902	6	7	1400	0	289.15	Original=16C
1902	6	8	1400	0	293.15	Original=20C
1902	6	9	1400	0	290.15	Original=17C
1902	6	10	1400	0	299.15	Original=26C
1902	6	11	1400	0	298.15	Original=25C
1902	6	12	1400	0	294.15	Original=21C
1902	6	13	1400	0	293.15	Original=20C
1902	6	14	1400	0	293.15	Original=20C
1902	6	15	1400	0	301.15	Original=28C
1902	6	16	1400	0	301.15	Original=28C
1902	6	17	1400	0	302.15	Original=29C
1902	6	18	1400	0	300.15	Original=27C
1902	6	19	1400	0	289.15	Original=16C
1902	6	20	1400	0	291.15	Original=18C
1902	6	21	1400	0	290.15	Original=17C
1902	6	22	1400	0	291.15	Original=18C
1902	6	23	1400	0	296.15	Original=23C
1902	6	24	1400	0	294.15	Original=21C
1902	6	25	1400	0	300.15	Original=27C
1902	6	26	1400	0	301.15	Original=28C
1902	6	27	1400	0	301.15	Original=28C
1902	6	28	1400	0	300.15	Original=27C
1902	6	29	1400	0	296.15	Original=23C
1902	6	30	1400	0	297.15	Original=24C
1902	7	1	1400	0	298.15	Original=25C
1902	7	2	1400	0	291.15	Original=18C
1902	7	4	1400	0	287.15	Original=14C
1902	7	5	1400	0	289.15	Original=16C
1902	7	6	1400	0	291.15	Original=18C
1902	7	7	1400	0	296.15	Original=23C
1902	7	8	1400	0		
1902	7	9	1400	0	301.15	Original=28C
1902	7	10	1400	0	303.15	Original=30C
1902	7	11	1400	0	303.15	Original=30C
1902	7	12	1400	0	289.15	Original=16C
1902	7	13	1400	0	289.15	Original=16C
1902	7	14	1400	0	297.15	Original=24C
1902	7	15	1400	0	303.15	Original=30C
1902	7	16	1400	0	297.15	Original=24C
1902	7	17	1400	0	282.15	Original=9C
1902	7	18	1400	0	288.15	Original=15C
1902	7	19	1400	0	287.15	Original=14C
1902	7	20	1400	0	285.15	Original=12C
1902	7	21	1400	0	289.15	Original=16C
1902	7	23	1400	0	296.15	Original=23C
1902	7	24	1400	0	300.15	Original=27C
1902	7	25	1400	0		
1902	7	26	1400	0	304.15	Original=31C
1902	7	27	1400	0	305.15	Original=32C
1902	7	28	1400	0	283.15	Original=10C
1902	7	29	1400	0	281.15	Original=8C
1902	7	30	1400	0	283.15	Original=10C
1902	7	31	1400	0	295.15	Original=22C
1902	8	1	1400	0	298.15	Original=25C
1902	8	2	1400	0	287.15	Original=14C
1902	8	3	1400	0	285.15	Original=12C
1902	8	4	1400	0	288.15	Original=15C
1902	8	5	1400	0	294.15	Original=21C
1902	8	6	1400	0	298.15	Original=25C
1902	8	7	1400	0	298.15	Original=25C
1902	8	8	1400	0	302.15	Original=29C
1902	8	9	1400	0	306.15	Original=33C
1902	8	10	1400	0	306.15	Original=33C
1902	8	11	1400	0	300.15	Original=27C
1902	8	12	1400	0	293.15	Original=20C
1902	8	13	1400	0	285.15	Original=12C
1902	8	14	1400	0	287.15	Original=14C
1902	8	15	1400	0	288.15	Original=15C
1902	8	16	1400	0	287.15	Original=14C
1902	8	17	1400	0	287.15	Original=14C
1902	8	18	1400	0	287.15	Original=14C
