SEF	0.0.1
ID	DWR_Patagones
Name	Patagones
Lat	-40.79547
Lon	-62.96865
Alt	
Source	
Repo	
Var	maximum temperature
Units	K
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	943	13	302.15	Original=29C
1902	2	22	943	13	307.15	Original=34C
1902	2	23	943	13	304.15	Original=31C
1902	2	24	943	13	309.15	Original=36C
1902	2	25	943	13	299.15	Original=26C
1902	2	26	943	13	296.15	Original=23C
1902	2	27	943	13	292.15	Original=19C
1902	2	28	943	13	295.15	Original=22C
1902	3	1	943	13	296.15	Original=23C
1902	3	2	943	13	298.15	Original=25C
1902	3	3	943	13	294.15	Original=21C
1902	3	4	943	13	293.15	Original=20C
1902	3	5	943	13	298.15	Original=25C
1902	3	6	943	13	290.15	Original=17C
1902	3	7	943	13	296.15	Original=23C
1902	3	8	943	13	294.15	Original=21C
1902	3	9	943	13	289.15	Original=16C
1902	3	10	943	13	290.15	Original=17C
1902	3	12	943	13	292.15	Original=19C
1902	3	13	943	13	293.15	Original=20C
1902	3	14	943	13	296.15	Original=23C
1902	3	15	943	13	302.15	Original=29C
1902	3	16	943	13	299.15	Original=26C
1902	3	19	943	13	293.15	Original=20C
1902	3	21	943	13	301.15	Original=28C
1902	3	22	943	13	300.15	Original=27C
1902	3	23	943	13	305.15	Original=32C
1902	3	24	943	13	306.15	Original=33C
1902	3	25	943	13	292.15	Original=19C
1902	3	26	943	13	294.15	Original=21C
1902	3	27	943	13	296.15	Original=23C
1902	3	30	943	13	298.15	Original=25C
1902	3	31	943	13	302.15	Original=29C
1902	4	2	943	13	295.15	Original=22C
1902	4	3	943	13	299.15	Original=26C
1902	4	4	943	13	299.15	Original=26C
1902	4	5	943	13	296.15	Original=23C
1902	4	6	943	13	302.15	Original=29C
1902	4	7	943	13	299.15	Original=26C
1902	4	8	943	13	294.15	Original=21C
1902	4	9	943	13	288.15	Original=15C
1902	4	10	943	13	292.15	Original=19C
1902	4	12	943	13	297.15	Original=24C
1902	4	13	943	13	293.15	Original=20C
1902	4	14	943	13	294.15	Original=21C
1902	4	16	943	13	293.15	Original=20C
1902	4	19	943	13	295.15	Original=22C
1902	4	20	943	13	296.15	Original=23C
1902	4	24	943	13	296.15	Original=23C
1902	4	26	943	13	297.15	Original=24C
1902	4	27	943	13	298.15	Original=25C
1902	4	29	943	13	294.15	Original=21C
1902	5	3	943	13	295.15	Original=22C
1902	5	4	943	13	289.15	Original=16C
1902	5	6	943	13	290.15	Original=17C
1902	5	8	943	13	290.15	Original=17C
1902	5	16	943	13	289.15	Original=16C
1902	5	17	943	13	286.15	Original=13C
1902	5	18	943	13	288.15	Original=15C
1902	5	19	943	13	293.15	Original=20C
1902	5	20	943	13	293.15	Original=20C
1902	5	21	943	13	295.15	Original=22C
1902	5	22	943	13	292.15	Original=19C
1902	5	23	943	13	293.15	Original=20C
1902	5	24	943	13	292.15	Original=19C
1902	5	25	943	13	289.15	Original=16C
1902	5	26	943	13	289.15	Original=16C
1902	5	27	943	13	285.15	Original=12C
1902	5	28	943	13	287.15	Original=14C
1902	5	29	943	13	286.15	Original=13C
1902	5	30	943	13	286.15	Original=13C
1902	5	31	943	13	284.15	Original=11C
1902	6	1	943	13	294.15	Original=21C
1902	6	2	943	13		
1902	6	3	943	13	285.15	Original=12C
1902	6	4	943	13	285.15	Original=12C
1902	6	5	943	13	284.15	Original=11C
1902	6	6	943	13	283.15	Original=10C
1902	6	7	943	13	279.15	Original=6C
1902	6	8	943	13	283.15	Original=10C
1902	6	9	943	13	281.15	Original=8C
1902	6	10	943	13	281.15	Original=8C
1902	6	11	943	13	280.15	Original=7C
1902	6	12	943	13	282.15	Original=9C
1902	6	13	943	13	282.15	Original=9C
1902	6	14	943	13	282.15	Original=9C
1902	6	15	943	13	287.15	Original=14C
1902	6	16	943	13	289.15	Original=16C
1902	6	17	943	13	284.15	Original=11C
1902	6	18	943	13	284.15	Original=11C
1902	6	19	943	13	283.15	Original=10C
1902	6	20	943	13	285.15	Original=12C
1902	6	21	943	13	282.15	Original=9C
1902	6	22	943	13	282.15	Original=9C
1902	6	23	943	13	283.15	Original=10C
1902	6	24	943	13	290.15	Original=17C
1902	6	25	943	13	287.15	Original=14C
1902	6	26	943	13	289.15	Original=16C
1902	6	27	943	13	287.15	Original=14C
1902	6	28	943	13	291.15	Original=18C
1902	6	29	943	13	281.15	Original=8C
1902	6	30	943	13	284.15	Original=11C
1902	7	1	943	13	284.15	Original=11C
1902	7	2	943	13	285.15	Original=12C
1902	7	4	943	13	283.15	Original=10C
1902	7	5	943	13	285.15	Original=12C
1902	7	6	943	13	285.15	Original=12C
1902	7	7	943	13	286.15	Original=13C
1902	7	8	943	13	284.15	Original=11C
