SEF	0.0.1
ID	DWR_Posadas_Mis.
Name	MISIONES-Posadas
Lat	-27.3621
Lon	-55.9009
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=?
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	943	0		
1902	2	22	943	0		
1902	2	23	943	0		
1902	2	24	943	0		
1902	2	25	943	0		
1902	2	26	943	0		
1902	2	27	943	0		
1902	2	28	943	0		
1902	3	1	943	0		
1902	3	2	943	0		
1902	3	3	943	0		
1902	3	4	943	0		
1902	3	5	943	0		
1902	3	6	943	0		
1902	3	7	943	0		
1902	3	8	943	0		
1902	3	9	943	0		
1902	3	10	943	0		
1902	3	12	943	0		
1902	3	13	943	0		
1902	3	14	943	0		
1902	3	15	943	0		
1902	3	16	943	0		
1902	3	19	943	0		
1902	3	21	943	0		
1902	3	22	943	0		
1902	3	23	943	0		
1902	3	24	943	0		
1902	3	25	943	0		
1902	3	26	943	0		
1902	3	27	943	0		
1902	3	30	943	0		
1902	3	31	943	0		
1902	4	2	943	0		
1902	4	3	943	0		
1902	4	4	943	0		
1902	4	5	943	0		
1902	4	6	943	0		
1902	4	7	943	0		
1902	4	8	943	0		
1902	4	9	943	0		
1902	4	10	943	0		
1902	4	12	943	0		
1902	4	13	943	0		
1902	4	14	943	0		
1902	4	16	943	0		
1902	4	19	943	0		
1902	4	20	943	0		
1902	4	24	943	0		
1902	4	26	943	0		
1902	4	27	943	0		
1902	4	29	943	0		
1902	5	3	943	0		
1902	5	4	943	0		
1902	5	6	943	0		
1902	5	8	943	0		
1902	5	16	943	0		
1902	5	17	943	0		
1902	5	18	943	0		
1902	5	19	943	0		
1902	5	20	943	0		
1902	5	21	943	0		
1902	5	22	943	0		
1902	5	23	943	0		
1902	5	24	943	0		
1902	5	25	943	0		
1902	5	26	943	0		
1902	5	27	943	0		
1902	5	28	943	0		
1902	5	29	943	0		
1902	5	30	943	0		
1902	5	31	943	0		
1902	6	1	943	0		
1902	6	2	943	0		
1902	6	3	943	0		
1902	6	4	943	0		
1902	6	5	943	0		
1902	6	6	943	0		
1902	6	7	943	0		
1902	6	8	943	0		
1902	6	9	943	0		
1902	6	10	943	0		
1902	6	11	943	0		
1902	6	12	943	0		
1902	6	13	943	0		
1902	6	14	943	0		
1902	6	15	943	0		
1902	6	16	943	0		
1902	6	17	943	0		
1902	6	18	943	0		
1902	6	19	943	0		
1902	6	20	943	0		
1902	6	21	943	0		
1902	6	22	943	0		
1902	6	23	943	0		
1902	6	24	943	0		
1902	6	25	943	0		
1902	6	26	943	0		
1902	6	27	943	0		
1902	6	28	943	0		
1902	6	29	943	0		
1902	6	30	943	0		
1902	7	1	943	0		
1902	7	2	943	0		
1902	7	4	943	0		
1902	7	5	943	0		
1902	7	6	943	0		
1902	7	7	943	0		
1902	7	8	943	0		
1902	7	9	943	0		
1902	7	10	943	0		
1902	7	11	943	0		
1902	7	12	943	0		
1902	7	13	943	0		
1902	7	14	943	0		
1902	7	15	943	0		
1902	7	16	943	0		
1902	7	17	943	0		
1902	7	18	943	0		
1902	7	19	943	0	1018.9830267700053	Original=764mm
1902	7	20	943	0	1021.3828297900053	Original=766mm
1902	7	21	943	0	1026.4490806100052	Original=769mm
1902	7	23	943	0	1010.4503938100053	Original=757mm
1902	7	24	943	0	1011.3836505400053	Original=758mm
1902	7	25	943	0		
1902	7	26	943	0	1007.5173012300053	Original=755mm
1902	7	27	943	0	1008.8505251300053	Original=756mm
1902	7	28	943	0	1015.9166118000053	Original=762mm
1902	7	29	943	0	1024.1825999800053	Original=768mm
1902	7	30	943	0	1020.8495402300053	Original=765mm
1902	7	31	943	0	1012.5835520500053	Original=759mm
1902	8	1	943	0	1010.1837490300053	Original=757mm
1902	8	2	943	0	1020.9828626200052	Original=765mm
1902	8	3	943	0	1030.7153970900054	Original=773mm
1902	8	4	943	0	1023.5159880300054	Original=767mm
1902	8	5	943	0	1020.1829282800054	Original=765mm
1902	8	6	943	0	1017.2498357000053	Original=763mm
1902	8	7	943	0	1015.6499670200052	Original=761mm
1902	8	8	943	0	1010.8503609800053	Original=758mm
1902	8	9	943	0	1007.3839788400053	Original=755mm
1902	8	10	943	0	1010.8503609800053	Original=758mm
1902	8	11	943	0	1012.1835848800054	Original=759mm
1902	8	12	943	0	1009.1171699100053	Original=756mm
1902	8	13	943	0	1013.5168087800054	Original=760mm
1902	8	14	943	0	1017.2498357000053	Original=763mm
1902	8	15	943	0	1018.9830267700053	Original=764mm
1902	8	16	943	0	1022.7160536900053	Original=767mm
1902	8	17	943	0	1030.9820418700053	Original=773mm
1902	8	18	943	0	1028.3155940700053	Original=771mm
1902	8	19	943	0	1014.4500655100053	Original=760mm
1902	8	20	943	0	1011.7836177100053	Original=758mm
1902	8	21	943	0	1003.5176295300053	Original=752mm
1902	8	22	943	0	1003.1176623600052	Original=752mm
1902	8	23	943	0	1024.1825999800053	Original=768mm
1902	8	24	943	0	1025.5158238800054	Original=769mm
1902	8	25	943	0	1022.8493760800054	Original=767mm
