SEF	0.0.1
ID	DWR_St._Cruz-Mzd
Name	Sta. CRUZ-Mazaredo
Lat	-47.028611
Lon	-66.71194399999999
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=?
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	1000.4512145600052	Original=750.4mm
1902	2	22	1817	0	1007.6506236200051	Original=755.8mm
1902	2	23	1817	0	998.5847011000052	Original=749.0mm
1902	2	24	1817	0	994.1850622300052	Original=745.7mm
1902	2	25	1817	0	998.1847339300052	Original=748.7mm
1902	2	26	1817	0	995.3849637400052	Original=746.6mm
1902	2	27	1817	0	995.1183189600051	Original=746.4mm
1902	2	28	1817	0	1001.2511489000052	Original=751.0mm
1902	3	1	1817	0	1010.5837162000053	Original=758.0mm
1902	3	2	1817	0	1004.1842414800053	Original=753.2mm
1902	3	3	1817	0	1009.5171370800053	Original=757.2mm
1902	3	4	1817	0	1000.5845369500053	Original=750.5mm
1902	3	5	1817	0	1007.5173012300053	Original=755.7mm
1902	3	6	1817	0	1012.4502296600052	Original=759.4mm
1902	3	7	1817	0	1018.5830596000053	Original=764.0mm
1902	3	8	1817	0	1022.3160865200052	Original=766.8mm
1902	3	9	1817	0	1015.6499670200052	Original=761.8mm
1902	3	10	1817	0	1010.0504266400053	Original=757.6mm
1902	3	12	1817	0	1008.4505579600052	Original=756.4mm
1902	3	13	1817	0	1002.4510504100052	Original=751.9mm
1902	3	14	1817	0	1002.4510504100052	Original=751.9mm
1902	3	15	1817	0	997.3847995900052	Original=748.1mm
1902	3	16	1817	0	997.3847995900052	Original=748.1mm
1902	3	19	1817	0	1012.0502624900053	Original=759.1mm
1902	3	21	1817	0	997.3847995900052	Original=748.1mm
1902	3	22	1817	0	1003.5176295300053	Original=752.7mm
1902	3	23	1817	0	999.5179578300052	Original=749.7mm
1902	3	24	1817	0	997.6514443700052	Original=748.3mm
1902	3	25	1817	0	1014.7167102900053	Original=761.1mm
1902	3	26	1817	0	1016.0499341900053	Original=762.1mm
1902	3	27	1817	0	1016.3165789700053	Original=762.3mm
1902	3	30	1817	0	1003.6509519200051	Original=752.8mm
1902	3	31	1817	0	993.3851278900052	Original=745.1mm
1902	4	2	1817	0	995.2516413500052	Original=746.5mm
1902	4	3	1817	0	1010.3170714200052	Original=757.8mm
1902	4	4	1817	0	998.7180234900052	Original=749.1mm
1902	4	5	1817	0	1014.1834207300053	Original=760.7mm
1902	4	6	1817	0	998.0514115400052	Original=748.6mm
1902	4	7	1817	0	994.8516741800053	Original=746.2mm
1902	4	8	1817	0	1005.5174653800053	Original=754.2mm
1902	4	9	1817	0	1008.7172027400053	Original=756.6mm
1902	4	10	1817	0	1002.7176951900052	Original=752.1mm
1902	4	12	1817	0	986.7190083900051	Original=740.1mm
1902	4	13	1817	0	986.8523307800052	Original=740.2mm
1902	4	14	1817	0	986.8523307800052	Original=740.2mm
1902	4	16	1817	0	1001.1178265100052	Original=750.9mm
1902	4	19	1817	0	991.1186472600051	Original=743.4mm
1902	4	20	1817	0	988.4521994600051	Original=741.4mm
1902	4	24	1817	0	997.7847667600051	Original=748.4mm
