SEF	0.0.1
ID	DWR_Tinogasta
Name	Tinogasta
Lat	-28.066667
Lon	-67.56666700000001
Alt	
Source	
Repo	
Var	relative humidity
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0		
1902	2	22	1817	0		
1902	2	23	1817	0		
1902	2	24	1817	0		
1902	2	25	1817	0		
1902	2	26	1817	0		
1902	2	27	1817	0		
1902	2	28	1817	0		
1902	3	1	1817	0		
1902	3	2	1817	0		
1902	3	3	1817	0		
1902	3	4	1817	0		
1902	3	5	1817	0		
1902	3	6	1817	0		
1902	3	7	1817	0		
1902	3	8	1817	0		
1902	3	9	1817	0		
1902	3	10	1817	0		
1902	3	12	1817	0		
1902	3	13	1817	0		
1902	3	14	1817	0		
1902	3	15	1817	0		
1902	3	16	1817	0		
1902	3	19	1817	0		
1902	3	21	1817	0		
1902	3	22	1817	0		
1902	3	23	1817	0		
1902	3	24	1817	0		
1902	3	25	1817	0		
1902	3	26	1817	0		
1902	3	27	1817	0		
1902	3	30	1817	0		
1902	3	31	1817	0		
1902	4	2	1817	0		
1902	4	3	1817	0		
1902	4	4	1817	0		
1902	4	5	1817	0		
1902	4	6	1817	0		
1902	4	7	1817	0		
1902	4	8	1817	0		
1902	4	9	1817	0		
1902	4	10	1817	0		
1902	4	12	1817	0		
1902	4	13	1817	0		
1902	4	14	1817	0		
1902	4	16	1817	0		
1902	4	19	1817	0	28.0	Original=28%
1902	4	20	1817	0	27.0	Original=27%
1902	4	24	1817	0	40.0	Original=40%
1902	4	26	1817	0	53.0	Original=53%
1902	4	27	1817	0		
1902	4	29	1817	0	46.0	Original=46%
1902	5	3	1817	0	20.0	Original=20%
1902	5	4	1817	0	1.0	Original=1%
1902	5	6	1817	0	33.0	Original=33%
1902	5	8	1817	0	39.0	Original=39%
1902	5	16	1817	0	50.0	Original=50%
1902	5	17	1817	0	27.0	Original=27%
1902	5	18	1817	0	48.0	Original=48%
1902	5	19	1817	0	15.0	Original=15%
1902	5	20	1817	0	17.0	Original=17%
1902	5	21	1817	0	20.0	Original=20%
1902	5	22	1817	0	22.0	Original=22%
1902	5	23	1817	0	11.0	Original=11%
1902	5	24	1817	0	11.0	Original=11%
1902	5	25	1817	0	20.0	Original=20%
1902	5	26	1817	0	26.0	Original=26%
1902	5	27	1817	0	39.0	Original=39%
1902	5	28	1817	0	47.0	Original=47%
1902	5	29	1817	0	44.0	Original=44%
1902	5	30	1817	0	41.0	Original=41%
1902	5	31	1817	0	30.0	Original=30%
1902	6	1	1817	0	33.0	Original=33%
1902	6	2	1817	0	9.0	Original=9%
1902	6	3	1817	0	41.0	Original=41%
1902	6	4	1817	0	26.0	Original=26%
1902	6	5	1817	0	32.0	Original=32%
1902	6	6	1817	0	32.0	Original=32%
1902	6	7	1817	0	76.0	Original=76%
1902	6	8	1817	0	25.0	Original=25%
1902	6	9	1817	0	36.0	Original=36%
1902	6	10	1817	0	9.0	Original=9%
1902	6	11	1817	0	14.0	Original=14%
1902	6	12	1817	0	29.0	Original=29%
1902	6	13	1817	0	27.0	Original=27%
1902	6	14	1817	0	27.0	Original=27%
1902	6	15	1817	0	24.0	Original=24%
1902	6	16	1817	0	10.0	Original=10%
1902	6	17	1817	0	7.0	Original=7%
1902	6	18	1817	0	54.0	Original=54%
1902	6	19	1817	0	44.0	Original=44%
1902	6	20	1817	0	50.0	Original=50%
1902	6	21	1817	0	34.0	Original=34%
1902	6	22	1817	0	32.0	Original=32%
1902	6	23	1817	0	39.0	Original=39%
1902	6	24	1817	0	23.0	Original=23%
1902	6	25	1817	0	22.0	Original=22%
1902	6	26	1817	0	41.0	Original=41%
1902	6	27	1817	0	47.0	Original=47%
1902	6	28	1817	0	86.0	Original=86%
1902	6	29	1817	0	77.0	Original=77%
1902	6	30	1817	0	66.0	Original=66%
1902	7	1	1817	0	52.0	Original=52%
1902	7	2	1817	0	84.0	Original=84%
1902	7	4	1817	0	32.0	Original=32%
1902	7	5	1817	0	28.0	Original=28%
1902	7	6	1817	0	48.0	Original=48%
1902	7	7	1817	0	34.0	Original=34%
1902	7	8	1817	0	34.0	Original=34%
1902	7	9	1817	0		
1902	7	10	1817	0	12.0	Original=12%
1902	7	11	1817	0	31.0	Original=31%
1902	7	12	1817	0	43.0	Original=43%
1902	7	13	1817	0	41.0	Original=41%
1902	7	14	1817	0	32.0	Original=32%
1902	7	15	1817	0	16.0	Original=16%
1902	7	16	1817	0	47.0	Original=47%
1902	7	17	1817	0	50.0	Original=50%
1902	7	18	1817	0	54.0	Original=54%
1902	7	19	1817	0	35.0	Original=35%
1902	7	20	1817	0	30.0	Original=30%
1902	7	21	1817	0	30.0	Original=30%
1902	7	23	1817	0	14.0	Original=14%
1902	7	24	1817	0	26.0	Original=26%
1902	7	25	1817	0	7.0	Original=7%
1902	7	26	1817	0	7.0	Original=7%
1902	7	27	1817	0	47.0	Original=47%
1902	7	28	1817	0	83.0	Original=83%
1902	7	29	1817	0	43.0	Original=43%
1902	7	30	1817	0	38.0	Original=38%
1902	7	31	1817	0	32.0	Original=32%
1902	8	1	1817	0	32.0	Original=32%
1902	8	2	1817	0	45.0	Original=45%
1902	8	3	1817	0	34.0	Original=34%
1902	8	4	1817	0	43.0	Original=43%
1902	8	5	1817	0	11.0	Original=11%
1902	8	6	1817	0	14.0	Original=14%
1902	8	7	1817	0		
1902	8	8	1817	0	1.0	Original=1%
1902	8	9	1817	0	16.0	Original=16%
1902	8	10	1817	0	18.0	Original=18%
1902	8	11	1817	0	36.0	Original=36%
1902	8	12	1817	0	40.0	Original=40%
1902	8	13	1817	0	36.0	Original=36%
1902	8	14	1817	0	41.0	Original=41%
1902	8	15	1817	0	47.0	Original=47%
1902	8	16	1817	0		
1902	8	17	1817	0	57.0	Original=57%
1902	8	18	1817	0	18.0	Original=18%
1902	8	19	1817	0	7.0	Original=7%
1902	8	20	1817	0	18.0	Original=18%
1902	8	21	1817	0	62.0	Original=62%
1902	8	22	1817	0	41.0	Original=41%
1902	8	23	1817	0	30.0	Original=30%
1902	8	24	1817	0	37.0	Original=37%
1902	8	25	1817	0	37.0	Original=37%
1902	8	26	1817	0	24.0	Original=24%
1902	8	27	1817	0	34.0	Original=34%
1902	8	28	1817	0	22.0	Original=22%
1902	8	29	1817	0	20.0	Original=20%
1902	8	30	1817	0	18.0	Original=18%
1902	8	31	1817	0	18.0	Original=18%
1902	9	2	1117	0	42.0	Original=42%
1902	9	3	1117	0	44.0	Original=44%
1902	9	4	1117	0	84.0	Original=84%
1902	9	5	1117	0	71.0	Original=71%
1902	9	6	1117	0	39.0	Original=39%
1902	9	7	1117	0	61.0	Original=61%
1902	9	8	1117	0	86.0	Original=86%
1902	9	10	1117	0	72.0	Original=72%
1902	9	11	1117	0	73.0	Original=73%
1902	9	12	1117	0	85.0	Original=85%
1902	9	13	1117	0	33.0	Original=33%
1902	9	14	1117	0		
1902	9	15	1117	0	63.0	Original=63%
1902	9	16	1117	0	75.0	Original=75%
1902	9	17	1117	0	63.0	Original=63%
1902	9	18	1117	0	45.0	Original=45%
1902	9	19	1117	0	58.0	Original=58%
1902	9	20	1117	0	100.0	Original=100%
1902	9	21	1117	0	50.0	Original=50%
1902	9	22	1117	0	81.0	Original=81%
1902	9	23	1117	0	64.0	Original=64%
1902	9	24	1117	0	62.0	Original=62%
1902	9	25	1117	0	83.0	Original=83%
1902	9	26	1117	0	67.0	Original=67%
1902	9	27	1117	0	42.0	Original=42%
1902	9	28	1117	0	48.0	Original=48%
1902	9	29	1117	0	86.0	Original=86%
1902	9	30	1117	0	70.0	Original=70%
1902	10	1	1117	0	70.0	Original=70%
1902	10	2	1117	0	84.0	Original=84%
1902	10	3	1117	0	71.0	Original=71%
1902	10	5	1117	0	69.0	Original=69%
1902	10	7	1117	0	22.0	Original=22%
1902	10	8	1117	0	86.0	Original=86%
1902	10	9	1117	0	73.0	Original=73%
1902	10	10	1117	0	76.0	Original=76%
1902	10	11	1117	0	61.0	Original=61%
1902	10	12	1117	0	50.0	Original=50%
1902	10	13	1117	0	56.0	Original=56%
1902	10	14	1117	0	46.0	Original=46%
1902	10	15	1117	0	46.0	Original=46%
1902	10	16	1117	0	43.0	Original=43%
1902	10	17	1117	0	45.0	Original=45%
1902	10	18	1117	0	58.0	Original=58%
1902	10	19	1117	0	76.0	Original=76%
1902	10	20	1117	0		
1902	10	21	1117	0	59.0	Original=59%
1902	10	22	1117	0	44.0	Original=44%
1902	10	23	1117	0	44.0	Original=44%
1902	10	24	1117	0		
1902	10	25	1117	0	57.0	Original=57%
1902	10	26	1117	0	65.0	Original=65%
1902	10	27	1117	0		
1902	10	28	1117	0	62.0	Original=62%
1902	10	29	1117	0	34.0	Original=34%
1902	10	30	1117	0	68.0	Original=68%
1902	10	31	1117	0	62.0	Original=62%
1902	11	1	1117	0	89.0	Original=89%
1902	11	2	1117	0	53.0	Original=53%
1902	11	3	1117	0	100.0	Original=100%
1902	11	4	1117	0	59.0	Original=59%
1902	11	5	1117	0	59.0	Original=59%
1902	11	6	1117	0	11.0	Original=11%
1902	11	7	1117	0	52.0	Original=52%
1902	11	8	1117	0	18.0	Original=18%
1902	11	9	1117	0	50.0	Original=50%
1902	11	10	1117	0	59.0	Original=59%
1902	11	11	1117	0	50.0	Original=50%
1902	11	12	1117	0	65.0	Original=65%
1902	11	13	1117	0	59.0	Original=59%
1902	11	14	1117	0	80.0	Original=80%
1902	11	15	1117	0	71.0	Original=71%
1902	11	16	1117	0	89.0	Original=89%
1902	11	17	1117	0	76.0	Original=76%
1902	11	18	1117	0	69.0	Original=69%
1902	11	19	1117	0	81.0	Original=81%
1902	11	20	1117	0	90.0	Original=90%
1902	11	21	1117	0	80.0	Original=80%
1902	11	22	1117	0	81.0	Original=81%
1902	11	23	1117	0		
1902	11	24	1117	0	89.0	Original=89%
1902	11	25	1117	0	80.0	Original=80%
1902	11	26	1117	0	41.0	Original=41%
1902	11	27	1117	0	73.0	Original=73%
1902	11	28	1117	0	74.0	Original=74%
1902	11	29	1117	0	55.0	Original=55%
1902	11	30	1117	0	58.0	Original=58%
1902	12	1	1117	0	78.0	Original=78%
1902	12	2	1117	0		
1902	12	3	1117	0	89.0	Original=89%
1902	12	4	1117	0	78.0	Original=78%
1902	12	5	1117	0	88.0	Original=88%
1902	12	6	1117	0	89.0	Original=89%
1902	12	7	1117	0	66.0	Original=66%
1902	12	8	1117	0	57.0	Original=57%
1902	12	9	1117	0	79.0	Original=79%
1902	12	10	1117	0	80.0	Original=80%
1902	12	11	1117	0	100.0	Original=100%
1902	12	12	1117	0	90.0	Original=90%
1902	12	13	1117	0	57.0	Original=57%
1902	12	14	1117	0	78.0	Original=78%
1902	12	15	1117	0	73.0	Original=73%
1902	12	16	1117	0	88.0	Original=88%
1902	12	17	1117	0	80.0	Original=80%
1902	12	18	1117	0	81.0	Original=81%
1902	12	19	1117	0	91.0	Original=91%
1902	12	20	1117	0	91.0	Original=91%
1902	12	21	1117	0	91.0	Original=91%
1902	12	22	1117	0	91.0	Original=91%
1902	12	23	1117	0	75.0	Original=75%
1902	12	24	1117	0	73.0	Original=73%
1902	12	25	1117	0	80.0	Original=80%
1902	12	26	1117	0	90.0	Original=90%
1902	12	27	1117	0	81.0	Original=81%
1902	12	28	1117	0	65.0	Original=65%
1902	12	29	1117	0	73.0	Original=73%
1902	12	30	1117	0	100.0	Original=100%
1902	12	31	1117	0	100.0	Original=100%
