SEF	0.0.1
ID	CORUNNA
Name	Corunna
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 900	0	1021.3	
1902	1	1	1800	0	1021.3	
1902	1	2	1800	0	1026.8	
1902	1	3	 900	0	1030.5	
1902	1	3	1800	0	1029.1	
1902	1	4	 900	0	1026.8	
1902	1	4	1800	0	1026.1	
1902	1	5	 900	0	1033.2	
1902	1	5	1800	0	1034.5	
1902	1	6	 900	0	1037.3	
1902	1	6	1800	0	1034.2	
1902	1	7	 900	0	1033.2	
1902	1	7	1800	0	1032.8	
1902	1	8	 900	0	1030.8	
1902	1	8	1800	0	1030.5	
1902	1	9	 900	0	1032.5	
1902	1	9	1800	0	1030.5	
1902	1	10	 900	0	1028.4	
1902	1	10	1800	0	1025.4	
1902	1	11	 900	0	1021.7	
1902	1	11	1800	0	1019.0	
1902	1	12	 900	0	1016.6	
1902	1	12	1800	0	1015.9	
1902	1	13	 900	0	1019.0	
1902	1	13	1800	0	1020.0	
1902	1	14	 900	0	1025.1	
1902	1	14	1800	0	1026.8	
1902	1	15	 900	0	1036.2	
1902	1	15	1800	0	1035.9	
1902	1	16	 900	0	1037.6	
1902	1	16	1800	0	1036.2	
1902	1	17	 900	0	1029.8	
1902	1	18	1800	0	1024.4	
1902	1	19	 900	0	1029.8	
1902	1	19	1800	0	1029.8	
1902	1	20	 900	0	1031.2	
1902	1	20	1800	0	1030.5	
1902	1	21	 900	0	1031.2	
1902	1	21	1800	0	1031.2	
1902	1	22	 900	0	1027.4	
1902	1	22	1800	0	1026.4	
1902	1	23	 900	0	1020.7	
1902	1	23	1800	0	1017.6	
1902	1	24	 900	0	1017.6	
1902	1	24	1800	0	1019.0	
1902	1	25	 900	0	1017.9	
1902	1	25	1800	0	1020.3	
1902	1	26	 900	0	1025.7	
1902	1	26	1800	0	1026.8	
1902	1	27	 900	0	1025.7	
1902	1	28	1800	0	1020.3	
1902	1	29	 900	0	1020.3	
1902	1	29	1800	0	1024.0	
1902	1	30	 900	0	1030.8	
1902	1	30	1800	0	1030.5	
1902	1	31	 900	0	1027.1	
1902	2	22	1800	0	1010.8	
1902	2	23	 900	0	1005.4	
1902	3	8	1800	0	1018.3	
1902	3	9	 900	0	1020.0	
1902	3	22	1800	0	1003.7	
1902	3	23	 900	0	1009.5	
1902	3	29	1800	0	1027.4	
1902	3	30	 900	0	1026.4	
1902	3	30	1800	0	1026.1	
1902	3	31	 900	0	1018.3	
1902	4	5	1800	0	1016.6	
1902	4	6	 900	0	1015.6	
1902	4	19	1800	0	1012.5	
1902	4	20	 900	0	1019.6	
1902	4	26	1800	0	998.0	
1902	4	27	 900	0	999.7	
1902	5	3	1800	0	1019.3	
1902	5	4	 900	0	1017.9	
1902	5	10	1800	0	1019.3	
1902	5	11	 900	0	1022.4	
1902	5	24	1800	0	1031.2	
1902	5	25	 900	0	1029.8	
1902	6	14	1800	0	1024.4	
1902	6	15	 900	0	1019.3	
1902	6	28	1800	0	1010.8	
1902	6	29	 900	0	1010.8	
1902	7	19	1800	0	1017.9	
1902	7	20	 900	0	1018.6	
1902	8	2	1800	0	1022.7	
1902	8	3	 900	0	1020.3	
1902	8	9	1800	0	1021.0	
1902	8	10	 900	0	1021.0	
1902	8	17	 900	0	1015.9	
1902	8	30	1800	0	1018.6	
1902	8	31	 900	0	1017.6	
1902	9	13	1800	0	1019.6	
1902	9	14	 900	0	1021.3	
1902	9	20	1800	0	1019.6	
1902	9	21	 900	0	1017.9	
1902	10	18	1800	0	1021.7	
1902	10	19	 900	0	1020.7	
1902	10	24	1800	0	1026.8	
1902	10	25	 900	0	1027.4	
1902	11	1	1800	0	1016.6	
1902	11	2	 900	0	1015.6	
1902	11	8	1800	0	1011.9	
1902	11	9	 900	0	1018.3	
1902	11	15	1800	0	1018.3	
1902	11	16	 900	0	1018.3	
1902	12	6	1800	0	1012.2	
1902	12	7	 900	0	1010.8	
