SEF	0.0.1
ID	FORTWILLIAM
Name	Fort William
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 100	0	999.6	
1902	1	1	 200	0	999.4	
1902	1	1	 300	0	999.5	
1902	1	1	 400	0	999.1	
1902	1	1	 500	0	999.0	
1902	1	1	 600	0	998.7	
1902	1	1	 700	0	998.6	
1902	1	1	 800	0	998.1	
1902	1	1	 900	0	997.8	
1902	1	1	1000	0	997.2	
1902	1	1	1100	0	996.1	
1902	1	1	1200	0	994.6	
1902	1	1	1300	0	993.2	
1902	1	1	1400	0	992.2	
1902	1	1	1500	0	990.2	
1902	1	1	1600	0	987.8	
1902	1	1	1700	0	985.4	
1902	1	1	1800	0	982.5	
1902	1	1	1900	0	979.8	
1902	1	1	2000	0	977.5	
1902	1	1	2100	0	974.7	
1902	1	1	2200	0	973.3	
1902	1	1	2300	0	971.6	
1902	1	1	2400	0	971.4	
1902	1	2	 100	0	971.6	
1902	1	2	 200	0	972.4	
1902	1	2	 300	0	972.9	
1902	1	2	 400	0	972.9	
1902	1	2	 500	0	973.5	
1902	1	2	 600	0	974.1	
1902	1	2	 700	0	974.7	
1902	1	2	 800	0	975.4	
1902	1	2	 900	0	976.8	
1902	1	2	1000	0	978.6	
1902	1	2	1100	0	981.5	
1902	1	2	1200	0	983.0	
1902	1	2	1300	0	985.1	
1902	1	2	1400	0	986.8	
1902	1	2	1500	0	988.1	
1902	1	2	1600	0	989.7	
1902	1	2	1700	0	991.0	
1902	1	2	1800	0	992.6	
1902	1	2	1900	0	994.2	
1902	1	2	2000	0	995.9	
1902	1	2	2100	0	997.8	
1902	1	2	2200	0	999.5	
1902	1	2	2300	0	1000.4	
1902	1	2	2400	0	1001.6	
1902	1	3	 100	0	1002.4	
1902	1	3	 200	0	1003.2	
1902	1	3	 300	0	1003.8	
1902	1	3	 400	0	1004.0	
1902	1	3	 500	0	1003.8	
1902	1	3	 600	0	1003.9	
1902	1	3	 700	0	1002.9	
1902	1	3	 800	0	1001.8	
1902	1	3	 900	0	1001.2	
1902	1	3	1000	0	1000.7	
1902	1	3	1100	0	1000.1	
1902	1	3	1200	0	999.9	
1902	1	3	1300	0	999.5	
1902	1	3	1400	0	999.5	
1902	1	3	1500	0	999.3	
1902	1	3	1600	0	999.5	
1902	1	3	1700	0	999.5	
1902	1	3	1800	0	999.3	
1902	1	3	1900	0	999.4	
1902	1	3	2000	0	999.8	
1902	1	3	2100	0	999.5	
1902	1	3	2200	0	999.4	
1902	1	3	2300	0	999.4	
1902	1	3	2400	0	999.7	
1902	1	4	 100	0	999.4	
1902	1	4	 200	0	999.5	
1902	1	4	 300	0	998.3	
1902	1	4	 400	0	997.9	
1902	1	4	 500	0	997.1	
1902	1	4	 600	0	996.8	
1902	1	4	 700	0	996.9	
1902	1	4	 800	0	997.6	
1902	1	4	 900	0	997.9	
1902	1	4	1000	0	997.7	
1902	1	4	1100	0	997.4	
1902	1	4	1200	0	997.4	
1902	1	4	1300	0	996.5	
1902	1	4	1400	0	996.1	
1902	1	4	1500	0	995.4	
1902	1	4	1600	0	994.9	
1902	1	4	1700	0	993.8	
1902	1	4	1800	0	993.9	
1902	1	4	1900	0	993.6	
1902	1	4	2000	0	993.3	
1902	1	4	2100	0	993.2	
1902	1	4	2200	0	994.2	
1902	1	4	2300	0	995.4	
1902	1	4	2400	0	997.0	
1902	1	5	 100	0	998.7	
1902	1	5	 200	0	1001.4	
