SEF	0.0.1
ID	HORTA
Name	Horta
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	5	2255	0	992.2	
1902	12	6	 755	0	992.2	
1902	12	6	2255	0	995.6	
1902	12	7	 755	0	1001.4	
1902	12	7	2255	0	1001.7	
1902	12	8	 755	0	1005.4	
1902	12	8	2255	0	1019.0	
1902	12	9	 755	0	1023.7	
1902	12	9	2255	0	1029.1	
1902	12	10	 755	0	1027.4	
1902	12	10	2255	0	1023.7	
1902	12	11	 755	0	1015.9	
1902	12	11	2255	0	1022.7	
1902	12	12	 755	0	1025.4	
1902	12	12	2255	0	1026.1	
1902	12	13	 755	0	1026.1	
1902	12	13	2255	0	1025.4	
1902	12	14	 755	0	1025.4	
1902	12	14	2255	0	1029.5	
1902	12	15	 755	0	1027.8	
1902	12	15	2255	0	1025.4	
1902	12	16	 755	0	1022.7	
1902	12	16	2255	0	1021.0	
1902	12	17	 755	0	1020.3	
1902	12	17	2255	0	1026.1	
1902	12	18	 755	0	1028.8	
1902	12	18	2255	0	1033.2	
1902	12	19	 755	0	1032.5	
1902	12	19	2255	0	1032.8	
1902	12	20	 755	0	1030.5	
1902	12	20	2255	0	1028.8	
1902	12	21	 755	0	1026.8	
1902	12	21	2255	0	1023.7	
1902	12	22	 755	0	1017.6	
1902	12	22	2255	0	1013.5	
1902	12	23	 755	0	1008.5	
1902	12	23	2255	0	1018.6	
1902	12	24	 755	0	1021.7	
1902	12	24	2255	0	1024.4	
1902	12	25	 755	0	1024.7	
1902	12	25	2255	0	1026.4	
1902	12	26	 755	0	1025.4	
1902	12	26	2255	0	1025.4	
1902	12	27	 755	0	1024.7	
1902	12	27	2255	0	1029.5	
1902	12	28	 755	0	1030.1	
1902	12	28	2255	0	1030.8	
1902	12	29	 755	0	1029.1	
1902	12	29	2255	0	1029.5	
1902	12	30	 755	0	1029.1	
1902	12	30	2255	0	1028.4	
1902	12	31	 755	0	1026.8	
