SEF	0.0.1
ID	LISBON
Name	Lisbon
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 836	0	1028.1	
1902	1	1	1600	0	1029.1	
1902	1	2	 836	0	1030.8	
1902	1	2	1600	0	1031.2	
1902	1	3	 836	0	1028.8	
1902	1	3	1600	0	1026.4	
1902	1	4	 836	0	1024.7	
1902	1	4	1600	0	1024.7	
1902	1	5	 836	0	1025.7	
1902	1	5	1600	0	1024.4	
1902	1	6	 836	0	1026.8	
1902	1	6	1600	0	1028.1	
1902	1	7	 836	0	1030.8	
1902	1	7	1600	0	1030.1	
1902	1	8	 836	0	1031.5	
1902	1	8	1600	0	1031.5	
1902	1	9	 836	0	1032.5	
1902	1	9	1600	0	1029.8	
1902	1	10	 836	0	1028.1	
1902	1	10	1600	0	1024.0	
1902	1	11	 836	0	1021.7	
1902	1	11	1600	0	1018.6	
1902	1	12	 836	0	1018.6	
1902	1	12	1600	0	1020.0	
1902	1	13	 836	0	1020.3	
1902	1	13	1600	0	1019.6	
1902	1	14	 836	0	1022.4	
1902	1	14	1600	0	1027.4	
1902	1	15	 836	0	1031.5	
1902	1	15	1600	0	1031.5	
1902	1	16	 836	0	1033.5	
1902	1	16	1600	0	1031.8	
1902	1	17	 836	0	1029.5	
1902	1	17	1600	0	1026.1	
1902	1	18	 836	0	1026.1	
1902	1	18	1600	0	1026.4	
1902	1	19	 836	0	1029.1	
1902	1	19	1600	0	1028.8	
1902	1	20	 836	0	1029.5	
1902	1	20	1600	0	1029.5	
1902	1	21	 836	0	1029.1	
1902	1	21	1600	0	1029.1	
1902	1	22	 836	0	1026.1	
1902	1	22	1600	0	1023.0	
1902	1	23	 836	0	1022.7	
1902	1	23	1600	0	1021.3	
1902	1	24	 836	0	1023.0	
1902	1	24	1600	0	1023.0	
1902	1	25	 836	0	1024.4	
1902	1	25	1600	0	1025.7	
1902	1	26	 836	0	1027.4	
1902	1	26	1600	0	1026.4	
1902	1	27	 836	0	1026.8	
1902	1	27	1600	0	1024.7	
1902	1	28	 836	0	1023.0	
1902	1	28	1600	0	1022.7	
1902	1	29	 836	0	1022.4	
1902	1	29	1600	0	1022.4	
1902	1	30	 836	0	1026.1	
1902	1	30	1600	0	1024.7	
1902	1	31	 836	0	1019.6	
1902	1	31	1600	0	1017.3	
1902	2	1	 836	0	1016.9	
1902	2	1	1600	0	1012.5	
1902	2	2	 836	0	1009.1	
1902	2	3	1600	0	1008.5	
1902	2	4	 836	0	1005.4	
1902	2	8	1600	0	1016.6	
1902	2	9	 836	0	1012.9	
1902	2	10	1600	0	1008.5	
1902	2	11	 836	0	1008.5	
1902	2	11	1600	0	998.6	
1902	2	12	 836	0	998.0	
1902	2	14	1600	0	1016.6	
1902	2	15	 836	0	1023.7	
1902	2	15	1600	0	1027.8	
1902	2	16	 836	0	1025.4	
1902	2	16	1600	0	1020.0	
1902	2	17	 836	0	1020.0	
1902	2	18	1600	0	1016.3	
1902	2	19	 836	0	1012.9	
1902	2	20	1600	0	1015.6	
1902	2	21	 836	0	1018.6	
1902	2	22	1600	0	1016.6	
1902	2	23	 836	0	1010.2	
1902	2	23	1600	0	1007.8	
1902	2	24	 836	0	1005.1	
1902	2	24	1600	0	1013.2	
1902	2	25	 836	0	1009.8	
1902	2	26	1600	0	1007.8	
1902	2	27	 836	0	1008.5	
1902	2	27	1600	0	1005.4	
1902	2	28	 836	0	997.0	
1902	2	28	1600	0	1003.4	
1902	3	1	 836	0	1009.8	
1902	3	1	1600	0	1016.3	
1902	3	2	 836	0	1019.6	
1902	3	2	1600	0	1020.0	
1902	3	3	 836	0	1016.3	
1902	3	3	1600	0	1008.1	
1902	3	4	 836	0	1002.0	
1902	3	4	1600	0	998.6	
1902	3	5	 836	0	1001.0	
1902	3	6	1600	0	1006.8	
1902	3	7	 836	0	1008.5	
1902	3	7	1600	0	1013.2	
1902	3	8	 836	0	1016.6	
1902	3	8	1600	0	1017.9	
1902	3	9	 836	0	1018.6	
1902	3	12	1600	0	1017.3	
1902	3	13	 836	0	1019.0	
1902	3	14	1600	0	1025.7	
1902	3	15	 836	0	1025.4	
1902	3	15	1600	0	1024.7	
1902	3	16	 836	0	1025.1	
1902	3	16	1600	0	1023.4	
1902	3	17	 836	0	1023.4	
1902	3	17	1600	0	1021.7	
1902	3	18	 836	0	1019.6	
1902	3	18	1600	0	1018.3	
1902	3	19	 836	0	1017.9	
1902	3	20	1600	0	1013.2	
1902	3	21	 836	0	1012.9	
1902	3	22	1600	0	1014.6	
1902	3	23	 836	0	1016.6	
1902	3	23	1600	0	1021.0	
1902	3	24	 836	0	1024.0	
1902	3	24	1600	0	1026.8	
1902	3	25	 836	0	1026.8	
1902	3	25	1600	0	1026.8	
1902	3	26	 836	0	1027.4	
1902	3	27	1600	0	1025.4	
1902	3	28	 836	0	1024.7	
1902	3	29	1600	0	1022.4	
1902	3	30	 836	0	1021.7	
1902	3	30	1600	0	1016.9	
1902	3	31	 836	0	1013.5	
1902	4	1	1600	0	1007.5	
1902	4	2	 836	0	1009.1	
1902	4	3	1600	0	1014.9	
1902	4	4	 836	0	1016.3	
1902	4	4	1600	0	1013.5	
1902	4	5	 836	0	1012.9	
1902	4	5	1600	0	1014.6	
1902	4	6	 836	0	1015.2	
1902	4	6	1600	0	1017.9	
1902	4	7	 836	0	1019.0	
1902	4	7	1600	0	1018.6	
1902	4	8	 836	0	1016.6	
1902	4	9	1600	0	1006.8	
1902	4	10	 836	0	1008.1	
1902	4	12	1600	0	1008.5	
1902	4	13	 836	0	1003.7	
1902	4	13	1600	0	1001.7	
1902	4	14	 836	0	1002.4	
1902	4	15	1600	0	1016.6	
1902	4	16	 836	0	1016.6	
1902	4	19	1600	0	1018.3	
1902	4	20	 836	0	1023.7	
1902	4	20	1600	0	1024.7	
1902	4	21	 836	0	1023.7	
1902	4	21	1600	0	1021.7	
1902	4	22	 836	0	1018.3	
1902	4	23	1600	0	1016.9	
1902	4	24	 836	0	1016.9	
1902	4	25	1600	0	1007.1	
1902	4	26	 836	0	1004.1	
1902	4	26	1600	0	1001.7	
1902	4	27	 836	0	996.3	
1902	4	27	1600	0	1005.1	
1902	4	28	 836	0	1007.5	
1902	4	29	1600	0	1024.4	
1902	4	30	 836	0	1024.4	
1902	5	2	1600	0	1018.6	
1902	5	3	 836	0	1018.6	
1902	5	3	1600	0	1018.3	
1902	5	4	 836	0	1020.3	
1902	5	4	1600	0	1021.7	
1902	5	5	 836	0	1020.3	
1902	5	5	1600	0	1017.9	
1902	5	6	 836	0	1017.9	
1902	5	6	1600	0	1018.3	
1902	5	7	 836	0	1018.3	
1902	5	9	1600	0	1020.7	
1902	5	10	 836	0	1018.6	
1902	5	10	1600	0	1017.6	
1902	5	11	 836	0	1019.3	
1902	5	14	1600	0	1015.2	
1902	5	15	 836	0	1018.6	
1902	5	17	1600	0	1026.1	
1902	5	18	 836	0	1025.7	
1902	5	18	1600	0	1026.1	
1902	5	19	 836	0	1027.1	
1902	5	19	1600	0	1025.4	
1902	5	20	 836	0	1024.4	
1902	5	20	1600	0	1022.4	
1902	5	21	 836	0	1024.4	
1902	5	21	1600	0	1026.1	
1902	5	22	 836	0	1028.8	
1902	5	22	1600	0	1026.1	
1902	5	23	 836	0	1026.1	
1902	5	23	1600	0	1023.0	
1902	5	24	 836	0	1025.4	
1902	5	24	1600	0	1023.0	
1902	5	25	 836	0	1026.1	
1902	5	27	1600	0	1014.6	
1902	5	28	 836	0	1013.5	
1902	5	28	1600	0	1013.2	
1902	5	29	 836	0	1012.9	
1902	5	31	1600	0	1005.4	
1902	6	1	 836	0	1008.5	
1902	6	3	1600	0	1023.7	
1902	6	4	 836	0	1022.7	
1902	6	4	1600	0	1020.3	
1902	6	5	 836	0	1018.3	
1902	6	6	1600	0	1014.6	
1902	6	7	 836	0	1014.9	
1902	6	7	1600	0	1013.9	
1902	6	8	 836	0	1013.9	
1902	6	12	1600	0	1018.3	
1902	6	13	 836	0	1021.3	
1902	6	13	1600	0	1022.7	
1902	6	14	 836	0	1021.0	
1902	6	14	1600	0	1018.3	
1902	6	15	 836	0	1017.3	
1902	6	15	1600	0	1017.6	
1902	6	16	 836	0	1017.6	
1902	6	16	1600	0	1019.0	
1902	6	17	 836	0	1019.6	
1902	6	20	1600	0	1017.6	
1902	6	21	 836	0	1020.0	
1902	6	21	1600	0	1019.3	
1902	6	22	 836	0	1020.0	
1902	6	28	1600	0	1016.3	
1902	6	29	 836	0	1014.9	
1902	6	29	1600	0	1015.6	
1902	6	30	 836	0	1015.9	
1902	7	2	1600	0	1017.6	
1902	7	3	 836	0	1016.3	
1902	7	3	1600	0	1017.9	
1902	7	4	 836	0	1017.3	
1902	7	4	1600	0	1015.2	
1902	7	5	 836	0	1017.9	
1902	7	5	1600	0	1019.3	
1902	7	6	 836	0	1019.3	
1902	7	6	1600	0	1020.0	
1902	7	7	 836	0	1020.7	
1902	7	7	1600	0	1020.0	
1902	7	8	 836	0	1021.0	
1902	7	9	1600	0	1016.3	
1902	7	10	 836	0	1016.6	
1902	7	10	1600	0	1011.9	
1902	7	11	 836	0	1007.8	
1902	7	11	1600	0	1011.5	
1902	7	12	 836	0	1013.9	
1902	7	12	1600	0	1015.2	
1902	7	13	 836	0	1017.6	
1902	7	13	1600	0	1019.3	
1902	7	14	 836	0	1021.0	
1902	7	15	1600	0	1021.0	
1902	7	16	 836	0	1018.6	
1902	7	19	1600	0	1015.2	
1902	7	20	 836	0	1015.9	
1902	7	21	1600	0	1018.6	
1902	7	22	 836	0	1018.6	
1902	7	23	1600	0	1017.3	
1902	7	24	 836	0	1017.3	
1902	7	24	1600	0	1015.6	
1902	7	25	 836	0	1015.9	
1902	7	26	1600	0	1019.3	
1902	7	27	 836	0	1021.0	
1902	7	28	1600	0	1019.6	
1902	7	29	 836	0	1021.0	
1902	7	29	1600	0	1020.7	
1902	7	30	 836	0	1020.0	
1902	8	2	1600	0	1017.9	
1902	8	3	 836	0	1017.3	
1902	8	3	1600	0	1016.3	
1902	8	4	 836	0	1016.3	
1902	8	8	 836	0	1017.6	
1902	8	9	1600	0	1016.9	
1902	8	10	 836	0	1018.3	
1902	8	11	1600	0	1019.6	
1902	8	12	 836	0	1019.3	
1902	8	16	1600	0	1016.9	
1902	8	17	 836	0	1019.3	
1902	8	20	1600	0	1018.3	
1902	8	21	 836	0	1018.3	
1902	8	23	1600	0	1020.0	
1902	8	24	 836	0	1020.3	
1902	8	24	1600	0	1020.3	
1902	8	25	 836	0	1019.6	
1902	8	25	1600	0	1017.3	
1902	8	26	 836	0	1015.2	
1902	8	26	1600	0	1014.2	
1902	8	27	 836	0	1013.2	
1902	8	30	1600	0	1020.3	
1902	8	31	 836	0	1020.0	
1902	9	4	1600	0	1023.0	
1902	9	5	 836	0	1024.0	
1902	9	6	1600	0	1018.6	
1902	9	7	 836	0	1014.9	
1902	9	7	1600	0	1013.2	
1902	9	8	 836	0	1011.9	
1902	9	8	1600	0	1013.5	
1902	9	9	 836	0	1015.6	
1902	9	11	1600	0	1016.9	
1902	9	12	 836	0	1017.3	
1902	9	13	1600	0	1020.0	
1902	9	14	 836	0	1019.3	
1902	9	14	1600	0	1019.3	
1902	9	15	 836	0	1020.0	
1902	9	15	1600	0	1019.0	
1902	9	16	 836	0	1020.0	
1902	9	16	1600	0	1017.9	
1902	9	17	 836	0	1017.6	
1902	9	20	1600	0	1020.7	
1902	9	21	 836	0	1019.6	
1902	9	27	1600	0	1015.9	
1902	9	28	 836	0	1015.9	
1902	10	1	1600	0	1008.5	
1902	10	2	 836	0	1011.2	
1902	10	4	1600	0	1016.9	
1902	10	5	 836	0	1020.0	
1902	10	5	1600	0	1020.3	
1902	10	6	 836	0	1016.9	
1902	10	6	1600	0	1010.8	
1902	10	7	 836	0	1008.5	
1902	10	11	1600	0	1020.3	
1902	10	12	 836	0	1024.0	
1902	10	12	1600	0	1026.1	
1902	10	13	 836	0	1026.8	
1902	10	13	1600	0	1024.4	
1902	10	14	 836	0	1024.4	
1902	10	14	1600	0	1023.4	
1902	10	15	 836	0	1023.7	
1902	10	15	1600	0	1022.0	
1902	10	16	 836	0	1023.0	
1902	10	16	1600	0	1023.0	
1902	10	17	 836	0	1024.0	
1902	10	18	1600	0	1024.4	
1902	10	19	 836	0	1024.4	
1902	10	19	1600	0	1023.7	
1902	10	20	 836	0	1023.7	
1902	10	20	1600	0	1022.4	
1902	10	21	 836	0	1023.4	
1902	10	21	1600	0	1024.4	
1902	10	22	 836	0	1024.4	
1902	10	23	1600	0	1026.1	
1902	10	24	 836	0	1025.1	
1902	10	24	1600	0	1021.7	
1902	10	25	 836	0	1024.7	
1902	10	28	1600	0	1014.9	
1902	10	29	 836	0	1013.2	
1902	10	29	1600	0	1011.9	
1902	10	30	 836	0	1015.6	
1902	11	1	1600	0	1011.9	
1902	11	2	 836	0	1011.2	
1902	11	3	1600	0	1003.0	
1902	11	4	 836	0	1004.1	
1902	11	8	1600	0	1016.3	
1902	11	9	 836	0	1019.0	
1902	11	9	1600	0	1019.3	
1902	11	10	 836	0	1015.6	
1902	11	11	1600	0	1010.8	
1902	11	12	 836	0	1013.9	
1902	11	12	1600	0	1016.6	
1902	11	13	 836	0	1017.3	
1902	11	14	 836	0	1018.6	
1902	11	14	1600	0	1019.0	
1902	11	15	 836	0	1020.0	
1902	11	15	1600	0	1020.0	
1902	11	16	 836	0	1020.7	
1902	11	17	1600	0	1016.6	
1902	11	18	 836	0	1015.6	
1902	11	19	1600	0	1023.0	
1902	11	20	 836	0	1024.4	
1902	11	22	1600	0	1027.4	
1902	11	23	 836	0	1028.8	
1902	11	25	1600	0	1020.0	
1902	11	26	 836	0	1020.7	
1902	11	26	1600	0	1020.0	
1902	11	27	 836	0	1018.6	
1902	11	27	1600	0	1014.9	
1902	11	28	 836	0	1009.1	
1902	11	29	1600	0	998.0	
1902	11	30	 836	0	1006.8	
1902	12	2	1600	0	1026.8	
1902	12	3	 836	0	1027.4	
1902	12	4	1600	0	1024.0	
1902	12	5	 836	0	1020.3	
1902	12	5	1600	0	1016.6	
1902	12	6	 836	0	1014.6	
1902	12	6	1600	0	1010.5	
1902	12	7	 836	0	1007.5	
1902	12	7	1600	0	1002.7	
1902	12	8	 836	0	998.6	
1902	12	8	1600	0	1002.7	
1902	12	9	 836	0	999.7	
1902	12	10	1600	0	1006.8	
1902	12	11	 836	0	1009.8	
1902	12	12	1600	0	1021.0	
1902	12	13	 836	0	1027.4	
1902	12	13	1600	0	1031.5	
1902	12	14	 836	0	1032.8	
1902	12	18	1600	0	1034.9	
1902	12	19	 836	0	1033.9	
1902	12	20	1600	0	1029.5	
1902	12	21	 836	0	1029.1	
1902	12	21	1600	0	1025.4	
1902	12	22	 836	0	1023.7	
1902	12	24	1600	0	1032.5	
1902	12	25	 836	0	1032.8	
1902	12	25	1600	0	1032.5	
1902	12	26	 836	0	1034.2	
1902	12	26	1600	0	1032.5	
1902	12	27	 836	0	1032.5	
1902	12	27	1600	0	1029.8	
1902	12	28	 836	0	1028.8	
