SEF	0.0.1
ID	NICE
Name	Nice
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 651	0	1027.1	
1902	1	1	1751	0	1023.7	
1902	1	2	 651	0	1016.6	
1902	1	2	1751	0	1009.5	
1902	1	3	 651	0	1009.8	
1902	1	3	1751	0	1012.9	
1902	1	4	 651	0	1021.3	
1902	1	4	1751	0	1024.4	
1902	1	5	 651	0	1024.0	
1902	1	5	1751	0	1017.3	
1902	1	6	 651	0	1022.4	
1902	1	6	1751	0	1027.8	
1902	1	7	 651	0	1026.1	
1902	1	7	1751	0	1026.1	
1902	1	8	 651	0	1032.5	
1902	1	8	1751	0	1032.8	
1902	1	9	 651	0	1033.9	
1902	1	9	1751	0	1032.5	
1902	1	10	 651	0	1031.2	
1902	1	10	1751	0	1029.5	
1902	1	11	 651	0	1026.8	
1902	1	11	1751	0	1022.7	
1902	1	12	 651	0	1025.4	
1902	1	12	1751	0	1025.7	
1902	1	13	 651	0	1023.4	
1902	1	13	1751	0	1020.7	
1902	1	14	 651	0	1022.4	
1902	1	14	1751	0	1023.4	
1902	1	15	 651	0	1027.8	
1902	1	15	1751	0	1034.5	
1902	1	16	 651	0	1035.6	
1902	1	16	1751	0	1026.4	
1902	1	17	 651	0	1023.4	
1902	1	17	1751	0	1023.4	
1902	1	18	 651	0	1024.4	
1902	1	18	1751	0	1022.4	
1902	1	19	 651	0	1021.7	
1902	1	19	1751	0	1025.4	
1902	1	20	 651	0	1029.8	
1902	1	20	1751	0	1029.5	
1902	1	21	 651	0	1029.1	
1902	1	21	1751	0	1027.8	
1902	1	22	 651	0	1027.1	
1902	1	22	1751	0	1027.1	
1902	1	23	 651	0	1026.4	
1902	1	23	1751	0	1025.4	
1902	1	24	 651	0	1023.0	
1902	1	24	1751	0	1019.3	
1902	1	25	 651	0	1009.5	
1902	1	25	1751	0	999.7	
1902	1	26	 651	0	1001.7	
1902	1	26	1751	0	1010.2	
1902	1	27	 651	0	1013.5	
1902	1	27	1751	0	1008.8	
1902	1	28	 651	0	1008.5	
1902	1	28	1751	0	1007.1	
1902	1	29	 651	0	1007.1	
1902	1	29	1751	0	1008.5	
1902	1	30	 651	0	1012.2	
1902	1	30	1751	0	1009.1	
1902	1	31	 651	0	1008.5	
1902	1	31	1751	0	1011.5	
1902	2	1	 651	0	1004.7	
1902	2	1	1751	0	1005.8	
1902	2	2	 651	0	1006.4	
1902	2	3	1751	0	1014.9	
1902	2	4	 651	0	1010.8	
1902	2	4	1751	0	1009.8	
1902	2	5	 651	0	1013.9	
1902	2	6	1751	0	1014.9	
1902	2	7	 651	0	1012.2	
1902	2	7	1751	0	1007.5	
1902	2	8	 651	0	1003.7	
1902	2	8	1751	0	1002.4	
1902	2	9	 651	0	1005.8	
1902	2	9	1751	0	1002.7	
1902	2	10	 651	0	1001.7	
1902	2	10	1751	0	1003.4	
1902	2	11	 651	0	1007.1	
1902	2	11	1751	0	1009.8	
1902	2	12	 651	0	1011.9	
1902	2	12	1751	0	1010.5	
1902	2	13	 651	0	1004.1	
1902	2	13	1751	0	1003.0	
1902	2	14	 651	0	1003.0	
1902	2	15	1751	0	1004.7	
1902	2	16	 651	0	1003.0	
1902	2	16	1751	0	1001.4	
1902	2	17	 651	0	1008.5	
1902	2	17	1751	0	1010.2	
1902	2	18	 651	0	1012.5	
1902	2	18	1751	0	1011.9	
1902	2	19	 651	0	1012.9	
1902	2	19	1751	0	1013.5	
1902	2	20	 651	0	1015.9	
1902	2	20	1751	0	1016.9	
1902	2	21	 651	0	1018.6	
1902	2	21	1751	0	1017.9	
1902	2	22	 651	0	1018.6	
1902	2	22	1751	0	1018.3	
1902	2	23	 651	0	1020.0	
1902	2	23	1751	0	1019.3	
1902	2	24	 651	0	1016.6	
1902	2	24	1751	0	1012.2	
1902	2	25	 651	0	1003.0	
1902	2	25	1751	0	1003.0	
1902	2	26	 651	0	1004.1	
1902	2	26	1751	0	1005.8	
1902	2	27	 651	0	1008.5	
1902	2	27	1751	0	1007.1	
1902	2	28	 651	0	1009.5	
1902	2	28	1751	0	1005.4	
1902	3	1	 651	0	1007.8	
1902	3	1	1751	0	1010.5	
1902	3	2	 651	0	1013.2	
1902	3	2	1751	0	1015.6	
1902	3	3	 651	0	1016.3	
1902	3	3	1751	0	1013.5	
