SEF	0.0.1
ID	PORTADELGADA
Name	Ponta Delgada
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 743	0	1023.7	
1902	1	1	2243	0	1026.4	
1902	1	2	 743	0	1026.1	
1902	1	2	2243	0	1025.4	
1902	1	3	 743	0	1024.0	
1902	1	3	2243	0	1025.1	
1902	1	4	 743	0	1027.8	
1902	1	4	2243	0	1032.5	
1902	1	5	 743	0	1030.8	
1902	1	5	2243	0	1029.8	
1902	1	6	 743	0	1027.4	
1902	1	6	2243	0	1024.7	
1902	1	7	 743	0	1022.0	
1902	1	8	2243	0	1024.7	
1902	1	9	 743	0	1021.7	
1902	1	9	2243	0	1013.5	
1902	1	10	 743	0	1007.1	
1902	1	10	2243	0	1015.6	
1902	1	11	 743	0	1014.9	
1902	1	11	2243	0	1017.3	
1902	1	12	 743	0	1016.9	
1902	1	12	2243	0	1016.6	
1902	1	13	 743	0	1014.9	
1902	1	13	2243	0	1009.5	
1902	1	14	 743	0	1007.8	
1902	1	14	2243	0	1012.9	
1902	1	15	 743	0	1013.5	
1902	1	15	2243	0	1013.5	
1902	1	16	 743	0	1014.2	
1902	1	16	2243	0	1014.9	
1902	1	17	 743	0	1016.3	
1902	1	17	2243	0	1023.4	
1902	1	18	 743	0	1025.7	
1902	1	18	2243	0	1027.4	
1902	1	19	 743	0	1024.0	
1902	1	19	2243	0	1022.0	
1902	1	20	 743	0	1020.3	
1902	1	20	2243	0	1021.0	
1902	1	21	 743	0	1021.7	
1902	1	21	2243	0	1025.4	
1902	1	22	 743	0	1025.4	
1902	1	22	2243	0	1023.4	
1902	1	23	 743	0	1022.4	
1902	1	23	2243	0	1028.8	
1902	1	24	 743	0	1030.5	
1902	1	24	2243	0	1032.8	
1902	1	25	 743	0	1033.2	
1902	1	25	2243	0	1033.2	
1902	1	26	 743	0	1032.2	
1902	1	26	2243	0	1031.5	
1902	1	27	 743	0	1029.8	
1902	1	27	2243	0	1028.8	
1902	1	28	 743	0	1027.1	
1902	1	28	2243	0	1026.1	
1902	1	29	 743	0	1023.7	
1902	1	29	2243	0	1020.0	
1902	1	30	 743	0	1015.6	
1902	1	30	2243	0	1009.8	
1902	1	31	 743	0	1007.8	
1902	2	1	2243	0	997.0	
1902	2	2	 743	0	994.6	
1902	2	8	2243	0	1016.3	
1902	2	9	 743	0	1015.6	
1902	2	15	2243	0	1016.3	
1902	2	16	 743	0	1015.2	
1902	2	16	2243	0	1023.0	
1902	2	17	 743	0	1020.3	
1902	2	20	2243	0	1020.0	
1902	2	21	 743	0	1014.9	
1902	2	21	2243	0	1008.5	
1902	2	22	 743	0	1004.1	
1902	2	22	2243	0	1002.0	
1902	2	23	 743	0	1001.4	
1902	2	23	2243	0	1006.4	
1902	2	24	 743	0	1007.1	
1902	2	24	2243	0	1007.1	
1902	2	25	 743	0	1005.1	
1902	2	27	2243	0	1011.2	
1902	2	28	 743	0	1013.2	
1902	3	1	2243	0	1013.5	
1902	3	2	 743	0	1004.1	
1902	3	2	2243	0	1004.7	
1902	3	3	 743	0	1011.9	
1902	3	8	2243	0	1022.4	
1902	3	9	 743	0	1020.7	
1902	3	11	2243	0	1028.1	
1902	3	12	 743	0	1028.1	
1902	3	15	2243	0	1016.3	
1902	3	16	 743	0	1016.9	
1902	3	18	2243	0	1027.8	
1902	3	19	 743	0	1028.8	
1902	3	19	2243	0	1029.1	
1902	3	20	2243	0	1028.1	
1902	3	21	 743	0	1026.8	
1902	3	21	2243	0	1026.4	
1902	3	22	 743	0	1025.7	
1902	3	22	2243	0	1025.7	
1902	3	23	 743	0	1024.7	
1902	3	23	2243	0	1026.1	
1902	3	24	 743	0	1025.4	
1902	3	24	2243	0	1027.1	
1902	3	25	 743	0	1026.1	
1902	3	25	2243	0	1027.4	
1902	3	26	 743	0	1027.8	
1902	3	27	2243	0	1030.5	
1902	3	28	 743	0	1029.8	
1902	3	29	2243	0	1025.1	
1902	3	30	 743	0	1021.0	
1902	3	31	 743	0	1012.5	
1902	4	1	2243	0	1009.5	
1902	4	2	 743	0	1010.5	
1902	4	5	2243	0	1021.7	
1902	4	6	 743	0	1021.7	
1902	4	6	2243	0	1023.7	
1902	4	7	 743	0	1026.1	
1902	4	7	2243	0	1027.4	
1902	4	8	 743	0	1026.1	
1902	4	12	2243	0	1010.2	
1902	4	13	 743	0	1016.3	
1902	4	13	2243	0	1020.3	
1902	4	14	 743	0	1020.7	
1902	4	15	2243	0	1017.6	
1902	4	16	 743	0	1015.6	
1902	4	17	2243	0	1011.9	
1902	4	18	 743	0	1014.2	
1902	4	18	2243	0	1015.2	
1902	4	19	 743	0	1016.6	
1902	4	19	2243	0	1017.6	
