SEF	0.0.1
ID	WISBY
Name	Wisby
Lat	56.82
Lon	-5.11
Alt	
Source	
Repo	
Var	msl pressure
Units	hPa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	1	1	 700	0	1003.4	
1902	1	1	1900	0	988.5	
1902	1	2	1900	0	994.2	
1902	1	3	 700	0	1000.0	
1902	1	3	1900	0	1012.9	
1902	1	4	 700	0	1000.0	
1902	1	4	1900	0	994.6	
1902	1	5	 700	0	987.1	
1902	1	5	1900	0	991.9	
1902	1	6	 700	0	998.6	
1902	1	6	1900	0	992.9	
1902	1	7	 700	0	1009.5	
1902	1	7	1900	0	1006.1	
1902	1	8	 700	0	1010.5	
1902	1	8	1900	0	1009.5	
1902	1	9	 700	0	1010.8	
1902	1	9	1900	0	1006.1	
1902	1	10	 700	0	996.6	
1902	1	10	1900	0	994.9	
1902	1	11	 700	0	991.9	
1902	1	11	1900	0	1004.1	
1902	1	12	 700	0	1012.2	
1902	1	12	1900	0	1003.4	
1902	1	13	 700	0	991.2	
1902	1	13	1900	0	1001.0	
1902	1	14	 700	0	1007.1	
1902	1	14	1900	0	1023.0	
1902	1	15	 700	0	1027.4	
1902	1	15	1900	0	1007.5	
1902	1	16	 700	0	986.1	
1902	1	16	1900	0	1005.1	
1902	1	17	 700	0	1011.5	
1902	1	17	1900	0	1007.1	
1902	1	18	 700	0	1009.5	
1902	1	18	1900	0	1016.3	
1902	1	19	 700	0	1026.4	
1902	1	19	1900	0	1011.9	
1902	1	20	 700	0	996.6	
1902	1	20	1900	0	992.6	
1902	1	21	 700	0	998.6	
1902	1	21	1900	0	1011.2	
1902	1	22	 700	0	1016.6	
1902	1	22	1900	0	1015.2	
1902	1	23	 700	0	1014.9	
1902	1	23	1900	0	1012.9	
1902	1	24	 700	0	1009.8	
1902	1	24	1900	0	1003.7	
1902	1	25	 700	0	995.3	
1902	1	25	1900	0	988.5	
1902	1	26	 700	0	988.5	
1902	1	26	1900	0	988.1	
1902	1	27	 700	0	992.2	
