,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"9 de Julio",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"9 de Julio",1903/01/02,766.1,,18,,21,7,53,N,2,,0,,,,,,,,,,,,
1903,1,3,"9 de Julio",1903/01/03,765.3,-0.8,19,1,30,9,54,NE,2,,0,,,,,,,,,,,,
1903,1,4,"9 de Julio",1903/01/04,764.3,-1,20,1,31,13,72,NE,1,C,1,,,,,,,,,,,,
1903,1,5,"9 de Julio",1903/01/05,761.6,-2.7,23,3,28,15,59,N,3,,0,,,,,,,,,,,,
1903,1,6,"9 de Julio",1903/01/06,762.9,1.3,22,-1,32,15,58,E,1,,0,,,,,,,,,,,,
1903,1,7,"9 de Julio",1903/01/07,761.8,-1.1,23,1,34,18,60,NE,1,KS,2,,,,,,,,,,,,
1903,1,8,"9 de Julio",1903/01/08,760.5,-1.3,22,-1,34,19,91,NE,1,N,2,,,,,,,,,,,,
1903,1,9,"9 de Julio",1903/01/09,758,-2.5,23,1,33,20,83,N,2,K,1,,,,,,,,,,,,
1903,1,10,"9 de Julio",1903/01/10,758.2,0.2,19,-4,34,17,90,NE,1,KS,3,,,,,,,,,,,,
1903,1,11,"9 de Julio",1903/01/11,759.1,0.9,16,-5,28,14,89,SE,2,KS,2,,,,,,,,,,,,
1903,1,12,"9 de Julio",1903/01/12,762.4,3.3,17,1,29,12,80,E,1,,0,,,,,,,,,,,,
1903,1,13,"9 de Julio",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"9 de Julio",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"9 de Julio",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"9 de Julio",1903/01/16,757.8,-1.3,18,-3,21,15,80,S,3,N,2,,,,,,,,,,,,
1903,1,17,"9 de Julio",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"9 de Julio",1903/01/18,758.3,-1.6,21,2,31,17,73,NE,1,,0,,,,,,,,,,,,
1903,1,19,"9 de Julio",1903/01/19,756.3,-2,19,-2,31,13,81,SE,1,N,2,,,,,,,,,,,,
