,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Abra Pampa",1903/01/01,,,8,0,21,6,86,,0,CK,1,,,,,,,,,,,,
1903,1,2,"Abra Pampa",1903/01/02,,,7,-1,22,4,85,,0,KN,2,,,,,,,,,,,,
1903,1,3,"Abra Pampa",1903/01/03,,,6,-1,,,85,N,1,CK,2,,,,,,,,,,,,
1903,1,4,"Abra Pampa",1903/01/04,,,6,0,17,1,85,N,1,,0,,,,,,,,,,,,
1903,1,5,"Abra Pampa",1903/01/05,,,8,2,21,4,86,,0,,0,,,,,,,,,,,,
1903,1,6,"Abra Pampa",1903/01/06,,,8,0,21,4,86,,0,CK,1,,,,,,,,,,,,
1903,1,7,"Abra Pampa",1903/01/07,,,9,1,22,4,86,,0,CK,1,,,,,,,,,,,,
1903,1,8,"Abra Pampa",1903/01/08,,,4,-5,20,2,83,,0,CK,1,,,,,,,,,,,,
1903,1,9,"Abra Pampa",1903/01/09,,,7,3,20,4,85,N,1,CK,2,,,,,,,,,,,,
1903,1,10,"Abra Pampa",1903/01/10,,,8,1,23,5,86,,0,CK,1,,,,,,,,,,,,
1903,1,11,"Abra Pampa",1903/01/11,,,6,-2,22,3,85,,0,CK,2,,,,,,,,,,,,
1903,1,12,"Abra Pampa",1903/01/12,,,6,0,22,3,85,,0,CK,2,,,,,,,,,,,,
1903,1,13,"Abra Pampa",1903/01/13,,,8,2,24,5,86,,0,,0,,,,,,,,,,,,
1903,1,14,"Abra Pampa",1903/01/14,,,7,-1,22,1,85,,0,,0,,,,,,,,,,,,
1903,1,15,"Abra Pampa",1903/01/15,,,8,1,21,2,86,,0,,0,,,,,,,,,,,,
1903,1,16,"Abra Pampa",1903/01/16,,,9,1,25,4,73,,0,,0,,,,,,,,,,,,
1903,1,17,"Abra Pampa",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Abra Pampa",1903/01/18,,,7,-1,24,1,85,,0,,0,,,,,,,,,,,,
1903,1,19,"Abra Pampa",1903/01/19,,,9,2,24,2,73,W,1,,0,,,,,,,,,,,,
1903,1,20,"Abra Pampa",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Abra Pampa",1903/01/21,,,4,-1,20,-2,100,,0,,0,,,,,,,,,,,,
1903,1,22,"Abra Pampa",1903/01/22,,,6,2,22,-3,85,S,2,,0,,,,,,,,,,,,
1903,1,23,"Abra Pampa",1903/01/23,,,4,-2,22,-1,83,,0,CK,1,,,,,,,,,,,,
1903,1,24,"Abra Pampa",1903/01/24,,,5,1,19,2,100,N,1,C,1,,,,,,,,,,,,
1903,1,25,"Abra Pampa",1903/01/25,,,3,-2,21,0,66,,0,C,1,,,,,,,,,,,,
1903,1,26,"Abra Pampa",1903/01/26,,,6,3,21,1,85,N,1,CK,2,,,,,,,,,,,,
1903,1,27,"Abra Pampa",1903/01/27,,,7,1,19,5,85,,0,KN,2,,,,,,,,,,,,
1903,1,28,"Abra Pampa",1903/01/28,,,7,0,20,5,100,N,1,KN,2,,,,,,,,,,,,
1903,1,29,"Abra Pampa",1903/01/29,,,7,0,21,3,100,,0,C,1,,,,,,,,,,,,
1903,1,30,"Abra Pampa",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Abra Pampa",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Abra Pampa",1903/02/01,,,9,2,22,5,100,,0,N,3,,,,,,,,,,,,
1903,2,2,"Abra Pampa",1903/02/02,,,8,-1,19,6,100,,0,N,3,,,,,,,,,,,,
1903,2,3,"Abra Pampa",1903/02/03,,,8,0,19,6,86,,0,KN,1,,,,,,,,,,,,
1903,2,4,"Abra Pampa",1903/02/04,,,9,1,21,6,86,,0,KN,1,,,,,,,,,,,,
1903,2,5,"Abra Pampa",1903/02/05,,,8,-1,21,6,100,,0,N,3,,,,,,,,,,,,
1903,2,6,"Abra Pampa",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"Abra Pampa",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"Abra Pampa",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"Abra Pampa",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"Abra Pampa",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"Abra Pampa",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"Abra Pampa",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"Abra Pampa",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"Abra Pampa",1903/02/14,,,9,,20,7,86,,0,KN,2,,,,,,,,,,,,
1903,2,15,"Abra Pampa",1903/02/15,,,6,-3,21,4,83,,0,CS,1,,,,,,,,,,,,
1903,2,16,"Abra Pampa",1903/02/16,,,6,0,21,4,85,,0,CS,1,,,,,,,,,,,,
1903,2,17,"Abra Pampa",1903/02/17,,,5,-1,22,1,,,0,CS,1,,,,,,,,,,,,
1903,2,18,"Abra Pampa",1903/02/18,,,8,3,23,5,72,,0,K,2,,,,,,,,,,,,
1903,2,19,"Abra Pampa",1903/02/19,,,9,1,23,5,86,,0,KN,2,,,,,,,,,,,,
1903,2,20,"Abra Pampa",1903/02/20,,,7,-2,24,-2,71,,0,CS,1,,,,,,,,,,,,
1903,2,21,"Abra Pampa",1903/02/21,,,7,0,24,-2,71,,0,CS,1,,,,,,,,,,,,
1903,2,22,"Abra Pampa",1903/02/22,,,7,0,23,0,71,,0,CK,1,,,,,,,,,,,,
1903,2,23,"Abra Pampa",1903/02/23,,,7,0,21,6,71,,0,CK,1,,,,,,,,,,,,
1903,2,24,"Abra Pampa",1903/02/24,,,8,1,21,6,100,,0,,0,,,,,,,,,,,,
1903,2,25,"Abra Pampa",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Abra Pampa",1903/02/26,,,6,0,21,4,85,,0,CS,1,,,,,,,,,,,,
1903,2,27,"Abra Pampa",1903/02/27,,,5,-1,22,1,69,,0,,0,,,,,,,,,,,,
