,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Andalgala,1903/01/01,764.2,-1,20,1,27,19,64,,0,C,2,,,,,,,,,,,,
1903,1,2,Andalgala,1903/01/02,763.2,-1,20,0,30,18,64,,0,S,1,,,,,,,,,,,,
1903,1,3,Andalgala,1903/01/03,762.3,-0.9,21,1,31,18,65,,0,S,1,,,,,,,,,,,,
1903,1,4,Andalgala,1903/01/04,762.1,-0.2,20,-1,31,19,72,,0,,0,,,,,,,,,,,,
1903,1,5,Andalgala,1903/01/05,760.3,-1.8,22,2,31,21,58,NE,2,C,1,,,,,,,,,,,,
1903,1,6,Andalgala,1903/01/06,765.7,5.4,19,-3,33,18,81,,0,N,2,,,,,,,,,,,,
1903,1,7,Andalgala,1903/01/07,762.3,-3.4,21,2,29,20,73,,0,C,1,,,,,,,,,,,,
1903,1,8,Andalgala,1903/01/08,761.8,-0.5,21,0,32,19,49,,0,C,1,,,,,,,,,,,,
1903,1,9,Andalgala,1903/01/09,759.4,-2.4,23,2,33,21,44,,0,,0,,,,,,,,,,,,
1903,1,10,Andalgala,1903/01/10,758.4,-1,24,1,40,22,39,NE,3,,0,,,,,,,,,,,,
1903,1,11,Andalgala,1903/01/11,757.4,-1,24,0,35,23,60,,0,,0,,,,,,,,,,,,
1903,1,12,Andalgala,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Andalgala,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Andalgala,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Andalgala,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Andalgala,1903/01/16,755.6,0.1,25,0,36,21,54,NE,2,C,1,,,,,,,,,,,,
1903,1,17,Andalgala,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Andalgala,1903/01/18,758.5,-1.4,24,1,32,21,67,,0,K,1,,,,,,,,,,,,
1903,1,19,Andalgala,1903/01/19,756.4,-2.1,21,-3,31,19,57,,0,C,1,,,,,,,,,,,,
1903,1,20,Andalgala,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Andalgala,1903/01/21,766.1,2,15,-1,23,13,58,,0,,0,,,,,,,,,,,,
1903,1,22,Andalgala,1903/01/22,758.6,-7.5,18,3,29,15,44,,0,C,1,,,,,,,,,,,,
1903,1,23,Andalgala,1903/01/23,766.2,7.6,20,2,31,17,55,,0,K,1,,,,,,,,,,,,
1903,1,24,Andalgala,1903/01/24,762.3,-3.9,21,1,29,,49,,0,,0,,,,,,,,,,,,
1903,1,25,Andalgala,1903/01/25,761.9,-0.4,22,1,33,20,58,NE,3,S,1,,,,,,,,,,,,
1903,1,26,Andalgala,1903/01/26,760,-1.9,24,2,34,22,53,,0,,0,,,,,,,,,,,,
1903,1,27,Andalgala,1903/01/27,763.8,3.8,22,-2,35,21,66,,0,S,2,,,,,,,,,,,,
1903,1,28,Andalgala,1903/01/28,758.8,-5,22,0,32,21,58,NE,2,C,1,,,,,,,,,,,,
1903,1,29,Andalgala,1903/01/29,758.5,-0.3,24,2,36,23,46,,0,,0,,,,,,,,,,,,
1903,1,30,Andalgala,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Andalgala,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Andalgala,1903/02/01,764.5,-7.6,22,-2,37,19,74,,0,K,3,,,,,,,,,,,,
1903,2,2,Andalgala,1903/02/02,762,-2.5,23,1,29,21,83,,0,K,1,,,,,,,,,,,,
1903,2,3,Andalgala,1903/02/03,757.5,-4.5,24,1,32,23,67,,0,C,1,,,,,,,,,,,,
1903,2,4,Andalgala,1903/02/04,756.6,-0.9,26,2,35,25,62,,0,,0,,,,,,,,,,,,
1903,2,5,Andalgala,1903/02/05,759.9,3.3,23,-3,32,22,74,,0,C,1,,,,,,,,,,,,
1903,2,6,Andalgala,1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,Andalgala,1903/02/07,767.2,-0.5,20,0,27,19,81,,0,C,1,,,,,,,,,,,,
1903,2,8,Andalgala,1903/02/08,764.9,-2.3,22,2,30,21,82,,0,C,2,,,,,,,,,,,,
1903,2,9,Andalgala,1903/02/09,763.4,-1.5,23,1,30,20,66,,0,,0,,,,,,,,,,,,
1903,2,10,Andalgala,1903/02/10,761.4,-2,22,-1,31,20,36,,0,,0,,,,,,,,,,,,
1903,2,11,Andalgala,1903/02/11,758.3,-3.1,23,1,33,22,66,,0,C,1,,,,,,,,,,,,
1903,2,12,Andalgala,1903/02/12,756,-2.3,25,2,34,24,54,,0,K,1,,,,,,,,,,,,
1903,2,13,Andalgala,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Andalgala,1903/02/14,761.9,,22,,32,21,82,,0,N,2,,,,,,,,,,,,
1903,2,15,Andalgala,1903/02/15,758.4,-3.5,22,0,31,20,74,,0,,0,,,,,,,,,,,,
1903,2,16,Andalgala,1903/02/16,754.5,-3.9,24,2,33,21,60,,0,,0,,,,,,,,,,,,
1903,2,17,Andalgala,1903/02/17,758.8,4.3,21,-3,37,20,57,,0,,0,,,,,,,,,,,,
1903,2,18,Andalgala,1903/02/18,761.9,3.1,22,1,33,21,58,,0,C,2,,,,,,,,,,,,
1903,2,19,Andalgala,1903/02/19,762.2,0.3,19,-3,29,17,72,,0,C,1,,,,,,,,,,,,
1903,2,20,Andalgala,1903/02/20,760.8,-1.4,21,2,31,19,73,,0,K,1,,,,,,,,,,,,
1903,2,21,Andalgala,1903/02/21,767.6,6.8,19,-2,29,18,63,,0,N,2,,,,,,,,,,,,
1903,2,22,Andalgala,1903/02/22,763.7,-3.9,19,0,29,18,54,,0,,0,,,,,,,,,,,,
1903,2,23,Andalgala,1903/02/23,762.3,-1.4,21,2,32,20,100,,0,,0,,,,,,,,,,,,
1903,2,24,Andalgala,1903/02/24,758.9,-3.4,23,2,33,21,52,,0,,0,,,,,,,,,,,,
1903,2,25,Andalgala,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Andalgala,1903/02/26,759.2,1.3,20,-2,32,19,91,,0,S,2,,,,,,,,,,,,
1903,2,27,Andalgala,1903/02/27,763.8,4.6,21,1,31,20,73,,0,K,3,,,,,,,,,,,,
1903,2,28,Andalgala,1903/02/28,765.1,1.3,19,-2,25,18,72,NE,3,,0,,,,,,,,,,,,
1903,3,1,Andalgala,1903/03/01,763.7,-1.4,19,0,29,17,63,,0,K,2,,,,,,,,,,,,
1903,3,2,Andalgala,1903/03/02,763.6,-0.1,18,-1,28,17,,,0,,0,,,,,,,,,,,,
1903,3,3,Andalgala,1903/03/03,763.2,-0.4,19,1,30,18,72,,0,,0,,,,,,,,,,,,
1903,3,4,Andalgala,1903/03/04,762.5,-0.8,22,3,31,18,58,,0,C,1,,,,,,,,,,,,
1903,3,5,Andalgala,1903/03/05,763.2,0.8,20,-2,30,18,55,,0,,0,,,,,,,,,,,,
1903,3,6,Andalgala,1903/03/06,,,21,1,32,20,57,,0,,0,,,,,,,,,,,,
1903,3,7,Andalgala,1903/03/07,758.6,,25,4,34,22,54,,0,K,1,,,,,,,,,,,,
1903,3,8,Andalgala,1903/03/08,764.1,5.5,18,-7,29,17,80,,0,K,1,,,,,,,,,,,,
1903,3,9,Andalgala,1903/03/09,763.6,-0.5,18,0,20,17,90,,0,N,3,,,,,,,,,,,,
1903,3,10,Andalgala,1903/03/10,764.7,1.1,19,1,24,17,72,,0,K,2,,,,,,,,,,,,
1903,3,11,Andalgala,1903/03/11,767.7,3,17,-2,25,16,80,,0,K,1,,,,,,,,,,,,
1903,3,12,Andalgala,1903/03/12,767.6,-0.1,18,1,24,16,71,,0,K,2,,,,,,,,,,,,
1903,3,13,Andalgala,1903/03/13,764.6,-3,18,0,28,17,71,,0,C,2,,,,,,,,,,,,
1903,3,14,Andalgala,1903/03/14,762.7,-1.9,19,1,29,18,46,,0,,0,,,,,,,,,,,,
1903,3,15,Andalgala,1903/03/15,760.2,-2.5,19,0,30,17,54,,0,,0,,,,,,,,,,,,
1903,3,16,Andalgala,1903/03/16,760.8,0.6,21,2,,19,57,,0,,0,,,,,,,,,,,,
1903,3,17,Andalgala,1903/03/17,761.9,1.1,22,1,33,21,50,,0,,0,,,,,,,,,,,,
1903,3,18,Andalgala,1903/03/18,762.7,0.8,20,-2,31,18,72,,0,,0,,,,,,,,,,,,
1903,3,19,Andalgala,1903/03/19,759.2,-3.5,20,0,32,19,64,,0,,0,,,,,,,,,,,,
1903,3,20,Andalgala,1903/03/20,755.9,-3.3,21,1,33,20,52,,0,,0,,,,,,,,,,,,
1903,3,21,Andalgala,1903/03/21,757.9,2,23,2,34,22,66,NE,2,K,2,,,,,,,,,,,,
1903,3,22,Andalgala,1903/03/22,764.8,6.9,21,-2,28,20,73,,0,K,3,,,,,,,,,,,,
1903,3,23,Andalgala,1903/03/23,765.6,0.8,18,-3,26,17,80,,0,K,2,,,,,,,,,,,,
1903,3,24,Andalgala,1903/03/24,761.2,-4.4,19,1,28,18,72,,0,,0,,,,,,,,,,,,
1903,3,25,Andalgala,1903/03/25,759.9,-0.9,22,1,31,21,66,,0,C,1,,,,,,,,,,,,
1903,3,26,Andalgala,1903/03/26,760.8,-0.4,21,2,30,20,73,,0,,0,,,,,,,,,,,,
1903,3,27,Andalgala,1903/03/27,757.5,-2.4,24,2,34,23,60,,0,,0,,,,,,,,,,,,
1903,3,28,Andalgala,1903/03/28,757,-0.5,24,0,34,23,60,,0,S,1,,,,,,,,,,,,
1903,3,29,Andalgala,1903/03/29,761.4,4.4,23,-1,35,22,66,NE,2,K,2,,,,,,,,,,,,
1903,3,30,Andalgala,1903/03/30,761.6,0.2,20,-3,30,19,81,,0,K,3,,,,,,,,,,,,
1903,3,31,Andalgala,1903/03/31,,,21,1,26,20,73,,0,C,1,,,,,,,,,,,,
1903,4,1,Andalgala,1903/04/01,765.2,,20,-1,29,19,72,,0,C,1,,,,,,,,,,,,
1903,4,2,Andalgala,1903/04/02,764.4,-0.8,22,2,29,21,73,,0,N,2,,,,,,,,,,,,
1903,4,3,Andalgala,1903/04/03,763.5,-0.9,18,-4,24,18,90,,0,C,1,,,,,,,,,,,,
1903,4,4,Andalgala,1903/04/04,764.9,1.4,17,-1,27,16,80,,0,,0,,,,,,,,,,,,
1903,4,5,Andalgala,1903/04/05,763.1,-1.8,18,2,27,16,71,,0,,0,,,,,,,,,,,,
1903,4,6,Andalgala,1903/04/06,763.6,0.5,18,0,28,17,80,,0,,0,,,,,,,,,,,,
1903,4,7,Andalgala,1903/04/07,763.6,0,15,-3,26,14,78,,0,C,1,,,,,,,,,,,,
1903,4,8,Andalgala,1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,Andalgala,1903/04/09,768.5,,14,,17,13,89,,0,N,3,,,,,,,,,,,,
1903,4,10,Andalgala,1903/04/10,766.3,-2.2,14,0,17,13,89,,0,K,2,,,,,,,,,,,,
1903,4,11,Andalgala,1903/04/11,762.5,-3.8,14,0,22,13,89,,0,C,1,,,,,,,,,,,,
1903,4,12,Andalgala,1903/04/12,766.1,3.6,15,1,22,14,89,,0,K,1,,,,,,,,,,,,
1903,4,13,Andalgala,1903/04/13,761.6,-4.5,15,0,23,13,68,,0,,0,,,,,,,,,,,,
1903,4,14,Andalgala,1903/04/14,763.2,1.6,17,2,23,16,80,,0,K,3,,,,,,,,,,,,
1903,4,15,Andalgala,1903/04/15,769.9,6.7,12,-5,19,,88,,0,N,3,,,,,,,,,,,,
1903,4,16,Andalgala,1903/04/16,769.3,-0.6,10,-2,15,9,86,,0,C,1,,,,,,,,,,,,
1903,4,17,Andalgala,1903/04/17,763.6,-5.7,13,3,19,10,66,,0,,0,,,,,,,,,,,,
1903,4,18,Andalgala,1903/04/18,763.9,0.3,12,-1,21,10,88,,0,,0,,,,,,,,,,,,
1903,4,19,Andalgala,1903/04/19,766.5,2.6,17,5,22,12,61,,0,C,1,,,,,,,,,,,,
1903,4,20,Andalgala,1903/04/20,769.5,3,13,-4,23,12,88,,0,,1,,,,,,,,,,,,
1903,4,21,Andalgala,1903/04/21,767,-2.5,13,0,22,12,77,,0,,0,,,,,,,,,,,,
1903,4,22,Andalgala,1903/04/22,761.5,-5.5,14,1,23,13,78,,0,C,2,,,,,,,,,,,,
1903,4,23,Andalgala,1903/04/23,766.5,5,13,-1,24,11,77,,0,,0,,,,,,,,,,,,
1903,4,24,Andalgala,1903/04/24,764,-2.5,13,0,24,12,66,,0,,0,,,,,,,,,,,,
1903,4,25,Andalgala,1903/04/25,765.5,1.5,14,1,26,13,57,,0,,0,,,,,,,,,,,,
1903,4,26,Andalgala,1903/04/26,765.5,0,14,0,25,13,78,,0,K,3,,,,,,,,,,,,
1903,4,27,Andalgala,1903/04/27,770.7,5.2,7,-7,16,6,85,,0,N,3,,,,,,,,,,,,
1903,4,28,Andalgala,1903/04/28,773.2,2.5,6,-1,9,5,85,,0,N,3,,,,,,,,,,,,
1903,4,29,Andalgala,1903/04/29,770.2,-3,7,1,8,5,85,,0,N,3,,,,,,,,,,,,
1903,4,30,Andalgala,1903/04/30,771.7,1.5,5,-2,10,3,84,,0,,0,Er,,,,,,,,,,,
1903,5,1,Andalgala,1903/05/01,769.7,-2,7,2,13,6,85,,0,C,1,,,,,,,,,,,,
1903,5,2,Andalgala,1903/05/02,767.3,-2.4,10,3,17,7,62,,0,,0,,,,,,,,,,,,
1903,5,3,Andalgala,1903/05/03,768.3,1,9,-1,18,8,73,,0,,0,,,,,,,,,,,,
1903,5,4,Andalgala,1903/05/04,765.9,-2.4,11,2,20,8,63,,0,S,1,,,,,,,,,,,,
1903,5,5,Andalgala,1903/05/05,767.9,2,11,0,21,9,63,,0,,0,,,,,,,,,,,,
1903,5,6,Andalgala,1903/05/06,765.5,-2.4,13,2,23,11,55,,0,,0,,,,,,,,,,,,
1903,5,7,Andalgala,1903/05/07,765.4,-0.1,12,-1,23,11,76,,0,S,1,,,,,,,,,,,,
1903,5,8,Andalgala,1903/05/08,767,1.6,14,2,22,12,78,,0,,0,,,,,,,,,,,,
1903,5,9,Andalgala,1903/05/09,767,0,13,-1,22,12,66,,0,S,2,,,,,,,,,,,,
1903,5,10,Andalgala,1903/05/10,,,12,-1,23,11,65,,0,C,1,,,,,,,,,,,,
1903,5,11,Andalgala,1903/05/11,769,,14,2,23,15,89,,0,N,3,,,,,,,,,,,,
1903,5,12,Andalgala,1903/05/12,771.3,2.3,11,-3,14,10,87,,0,K,3,,,,,,,,,,,,
1903,5,13,Andalgala,1903/05/13,773.4,2.1,6,-5,17,5,85,,0,,0,,,,,,,,,,,,
1903,5,14,Andalgala,1903/05/14,772.1,-1.3,8,2,20,,86,,0,,0,,,,,,,,,,,,
1903,5,15,Andalgala,1903/05/15,772.6,0.5,8,0,21,6,86,,0,S,1,,,,,,,,,,,,
1903,5,16,Andalgala,1903/05/16,770,-2.6,7,-1,21,6,85,,0,S,1,,,,,,,,,,,,
1903,5,17,Andalgala,1903/05/17,770.2,0.2,10,3,20,3,74,,0,N,3,,,,,,,,,,,,
1903,5,18,Andalgala,1903/05/18,771.3,1.1,9,-4,16,8,86,,0,K,3,,,,,,,,,,,,
1903,5,19,Andalgala,1903/05/19,771.9,0.6,5,-4,17,4,84,,0,S,1,,,,,,,,,,,,
1903,5,20,Andalgala,1903/05/20,768.5,-3.4,6,1,18,5,85,,0,S,2,,,,,,,,,,,,
1903,5,21,Andalgala,1903/05/21,770.6,2.1,7,1,19,5,71,,0,C,2,,,,,,,,,,,,
1903,5,22,Andalgala,1903/05/22,770.5,-0.1,6,-1,20,,70,,0,,0,,,,,,,,,,,,
1903,5,23,Andalgala,1903/05/23,770,-0.5,6,0,22,5,56,,0,,0,,,,,,,,,,,,
1903,5,24,Andalgala,1903/05/24,764.6,-5.4,2,2,23,6,59,,0,C,2,,,,,,,,,,,,
1903,5,25,Andalgala,1903/05/25,764.7,0.1,9,1,24,7,61,,0,S,1,,,,,,,,,,,,
1903,5,26,Andalgala,1903/05/26,764.7,0,9,0,25,7,61,,0,S,2,,,,,,,,,,,,
1903,5,27,Andalgala,1903/05/27,767.9,3.2,12,3,25,10,65,,0,K,2,,,,,,,,,,,,
1903,5,28,Andalgala,1903/05/28,769.2,1.3,8,-4,21,5,59,,0,K,1,,,,,,,,,,,,
1903,5,29,Andalgala,1903/05/29,770.8,1.6,5,-3,18,3,69,,0,K,1,,,,,,,,,,,,
1903,5,30,Andalgala,1903/05/30,766.7,-4.1,6,1,18,3,70,,0,S,1,,,,,,,,,,,,
1903,5,31,Andalgala,1903/05/31,769.5,2.8,6,0,20,5,85,,0,S,2,,,,,,,,,,,,
1903,6,1,Andalgala,1903/06/01,763.6,-5.9,7,1,20,6,71,,0,C,2,,,,,,,,,,,,
1903,6,2,Andalgala,1903/06/02,752.4,-11.2,13,6,17,9,35,,1,K,2,,,,,,,,,,,,
1903,6,3,Andalgala,1903/06/03,766.6,14.2,7,-6,26,6,71,,0,S,1,,,,,,,,,,,,
1903,6,4,Andalgala,1903/06/04,770,3.4,6,-1,16,5,70,,0,K,2,,,,,,,,,,,,
1903,6,5,Andalgala,1903/06/05,,,2,-4,14,,82,,0,,0,,,,,,,,,,,,
1903,6,6,Andalgala,1903/06/06,773,,2,0,15,1,82,,0,,0,,,,,,,,,,,,
1903,6,7,Andalgala,1903/06/07,770.9,-2.1,3,1,16,2,83,,0,,0,,,,,,,,,,,,
1903,6,8,Andalgala,1903/06/08,767.1,-3.8,5,2,18,3,54,,0,C,2,,,,,,,,,,,,
1903,6,9,Andalgala,1903/06/09,768.8,1.7,1,-4,21,1,82,,0,,0,,,,,,,,,,,,
1903,6,10,Andalgala,1903/06/10,762.5,-5.3,4,3,15,2,83,,0,,0,,,,,,,,,,,,
1903,6,11,Andalgala,1903/06/11,768.6,6.1,8,4,25,6,46,,0,,0,,,,,,,,,,,,
1903,6,12,Andalgala,1903/06/12,762.7,-5.9,8,0,18,7,100,,0,K,3,,,,,,,,,,,,
1903,6,13,Andalgala,1903/06/13,,,,,,,,,,,,,,,,,,,,,,,
1903,6,14,Andalgala,1903/06/14,760.5,,5,,19,E,54,,0,S,1,,,,,,,,,,,,
1903,6,15,Andalgala,1903/06/15,767.1,6.6,8,3,28,7,59,,0,S,1,,,,,,,,,,,,
1903,6,16,Andalgala,1903/06/16,762.7,-4.4,8,0,20,6,46,,0,S,1,,,,,,,,,,,,
1903,6,17,Andalgala,1903/06/17,,,7,-1,22,4,85,,0,,0,,,,,,,,,,,,
1903,6,18,Andalgala,1903/06/18,762.7,,10,3,23,8,74,,0,K,2,,,,,,,,,,,,
1903,6,19,Andalgala,1903/06/19,772.7,10,5,-5,12,3,54,,0,K,1,,,,,,,,,,,,
1903,6,20,Andalgala,1903/06/20,767.5,-5.2,4,-1,17,2,67,,0,C,1,,,,,,,,,,,,
1903,6,21,Andalgala,1903/06/21,761.8,-5.7,8,4,20,6,72,,0,,0,,,,,,,,,,,,
1903,6,22,Andalgala,1903/06/22,770.4,8.6,4,-4,25,4,67,,0,K,2,,,,,,,,,,,,
1903,6,23,Andalgala,1903/06/23,763.5,-6.9,1,-3,14,-1,100,,0,S,1,,,,,,,,,,,,
1903,6,24,Andalgala,1903/06/24,767.6,4.1,0,-1,14,*1,81,,0,,0,,,,,,,,,,,,
1903,6,25,Andalgala,1903/06/25,767.5,-0.1,2,2,16,0,82,,0,S,1,,,,,,,,,,,,
1903,6,26,Andalgala,1903/06/26,776.5,9,3,1,17,1,83,,0,K,1,,,,,,,,,,,,
1903,6,27,Andalgala,1903/06/27,772.4,-4.1,2,-1,15,1,82,,0,,0,,,,,,,,,,,,
1903,6,28,Andalgala,1903/06/28,770.7,-1.7,5,3,17,1,39,,0,,0,,,,,,,,,,,,
1903,6,29,Andalgala,1903/06/29,765.2,-5.5,7,2,19,5,56,,0,K,2,,,,,,,,,,,,
1903,6,30,Andalgala,1903/06/30,,,5,-2,19,4,54,,0,,0,,,,,,,,,,,,
1903,7,1,Andalgala,1903/07/01,760.6,,7,2,24,6,44,,0,C,1,,,,,,,,,,,,
1903,7,2,Andalgala,1903/07/02,762.1,1.5,7,0,29,6,71,,0,,0,,,,,,,,,,,,
1903,7,3,Andalgala,1903/07/03,766.7,4.6,10,3,23,9,62,,0,K,3,,,,,,,,,,,,
1903,7,4,Andalgala,1903/07/04,767.6,0.9,7,-3,13,6,85,,0,N,3,,,,,,,,,,,,
1903,7,5,Andalgala,1903/07/05,776.4,8.8,4,-3,12,2,66,,0,,0,,,,,,,,,,,,
1903,7,6,Andalgala,1903/07/06,769.5,-6.9,4,0,18,2,36,,0,,0,,,,,,,,,,,,
1903,7,7,Andalgala,1903/07/07,770.1,0.6,4,0,21,1,36,,0,,0,,,,,,,,,,,,
1903,7,8,Andalgala,1903/07/08,772.4,2.3,,-2,18,0,64,,0,S,2,,,,,,,,,,,,
1903,7,9,Andalgala,1903/07/09,772.4,0,-2,-4,15,-2,79,,0,,0,,,,,,,,,,,,
1903,7,10,Andalgala,1903/07/10,772.9,0.5,1,3,16,0,80,,0,,0,,,,,,,,,,,,
1903,7,11,Andalgala,1903/07/11,766.5,-6.4,3,2,20,2,50,,0,S,1,,,,,,,,,,,,
1903,7,12,Andalgala,1903/07/12,767,0.5,4,1,20,2,52,,0,C,1,,,,,,,,,,,,
1903,7,13,Andalgala,1903/07/13,770.3,3.3,10,6,24,7,39,,0,K,1,,,,,,,,,,,,
1903,7,14,Andalgala,1903/07/14,774.3,4,10,0,21,10,50,,0,K,3,,,,,,,,,,,,
1903,7,15,Andalgala,1903/07/15,776.5,2.2,2,-8,17,-1,51,,0,,0,,,,,,,,,,,,
1903,7,16,Andalgala,1903/07/16,777.3,0.8,1,-1,14,-1,65,,0,,0,,,,,,,,,,,,
1903,7,17,Andalgala,1903/07/17,772.7,-4.6,1,0,17,0,65,,0,,0,,,,,,,,,,,,
1903,7,18,Andalgala,1903/07/18,,,,,,,,,,,,,,,,,,,,,,,
1903,7,19,Andalgala,1903/07/19,768.5,,3,,20,2,66,,0,,0,,,,,,,,,,,,
1903,7,20,Andalgala,1903/07/20,769.7,1.2,7,4,22,3,44,,0,C,1,,,,,,,,,,,,
1903,7,21,Andalgala,1903/07/21,771.5,1.8,6,-1,20,5,56,,0,,0,,,,,,,,,,,,
1903,7,22,Andalgala,1903/07/22,769.1,-2.4,7,1,20,5,57,,0,,0,,,,,,,,,,,,
1903,7,23,Andalgala,1903/07/23,767.2,-1.9,9,2,22,8,61,,0,K,1,,,,,,,,,,,,
1903,7,24,Andalgala,1903/07/24,770.1,2.9,7,-2,25,6,71,,0,K,1,,,,,,,,,,,,
1903,7,25,Andalgala,1903/07/25,765.5,-4.6,6,-1,22,5,70,,0,S,1,,,,,,,,,,,,
1903,7,26,Andalgala,1903/07/26,768.2,2.7,9,3,23,7,61,,0,C,3,,,,,,,,,,,,
1903,7,27,Andalgala,1903/07/27,764.9,-3.3,11,2,22,9,75,,0,K,3,,,,,,,,,,,,
1903,7,28,Andalgala,1903/07/28,764.8,-0.1,9,-2,22,7,73,,0,,0,,,,,,,,,,,,
1903,7,29,Andalgala,1903/07/29,765.7,0.9,7,-2,22,5,57,,0,,0,,,,,,,,,,,,
1903,7,30,Andalgala,1903/07/30,767.4,1.7,4,-3,21,3,67,,0,,0,,,,,,,,,,,,
1903,7,31,Andalgala,1903/07/31,772.8,5.4,8,4,19,6,59,,0,N,3,,,,,,,,,,,,
1903,8,1,Andalgala,1903/08/01,775.3,2.5,1,-7,12,0,65,,0,,0,,,,,,,,,,,,
1903,8,2,Andalgala,1903/08/02,769.9,-5.4,3,2,17,2,83,,0,C,1,,,,,,,,,,,,
1903,8,3,Andalgala,1903/08/03,766.5,-3.4,6,3,20,4,70,,0,C,1,,,,,,,,,,,,
1903,8,4,Andalgala,1903/08/04,766,-0.5,6,0,23,4,56,,0,S,1,,,,,,,,,,,,
1903,8,5,Andalgala,1903/08/05,768,2,6,0,24,5,70,,0,C,2,,,,,,,,,,,,
1903,8,6,Andalgala,1903/08/06,765.5,-2.5,8,2,19,5,86,,0,N,3,,,,,,,,,,,,
1903,8,7,Andalgala,1903/08/07,770.2,4.7,6,-2,8,5,85,,0,K,3,,,,,,,,,,,,
1903,8,8,Andalgala,1903/08/08,766.8,-3.4,6,0,13,5,70,,0,K,2,,,,,,,,,,,,
1903,8,9,Andalgala,1903/08/09,766.4,-0.4,5,-1,18,3,84,,0,S,1,,,,,,,,,,,,
1903,8,10,Andalgala,1903/08/10,771.9,5.5,4,-1,21,2,83,,0,,0,,,,,,,,,,,,
1903,8,11,Andalgala,1903/08/11,765.6,-6.3,5,1,19,4,69,,0,C,1,,,,,,,,,,,,
1903,8,12,Andalgala,1903/08/12,765.1,-0.5,7,2,25,6,44,,0,,0,,,,,,,,,,,,
