,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Arias,1903/01/01,765.6,-1.1,18,2,25,11,53,N,2,,0,,,,,,,,,,,,
1903,1,2,Arias,1903/01/02,763.7,-1.9,16,-2,27,13,89,NE,3,,0,,,,,,,,,,,,
1903,1,3,Arias,1903/01/03,763.2,-0.5,22,6,29,15,58,NE,3,S,1,,,,,,,,,,,,
1903,1,4,Arias,1903/01/04,762.2,-1,22,0,30,15,58,N,2,,0,,,,,,,,,,,,
1903,1,5,Arias,1903/01/05,760.2,-2,19,-3,31,14,72,N,2,C,1,,,,,,,,,,,,
1903,1,6,Arias,1903/01/06,762.1,1.9,20,1,33,16,72,N,2,C,2,,,,,,,,,,,,
1903,1,7,Arias,1903/01/07,760,-2.1,21,1,32,18,82,N,2,N,3,,,,,,,,,,,,
1903,1,8,Arias,1903/01/08,758.8,-1.2,23,2,32,18,74,N,1,C,2,,,,,,,,,,,,
1903,1,9,Arias,1903/01/09,756.8,-2,23,0,33,18,66,N,2,C,2,,,,,,,,,,,,
1903,1,10,Arias,1903/01/10,755.9,-0.9,21,-2,33,18,82,N,1,C,3,,,,,,,,,,,,
1903,1,11,Arias,1903/01/11,757.5,1.6,17,-4,34,15,90,E,2,N,3,,,,,,,,,,,,
1903,1,12,Arias,1903/01/12,760.5,3,19,2,25,12,90,N,2,N,2,,,,,,,,,,,,
1903,1,13,Arias,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Arias,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Arias,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Arias,1903/01/16,,,24,0,,16,,E,2,N,3,,,,,,,,,,,,
1903,1,17,Arias,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Arias,1903/01/18,758.8,,17,0,22,12,90,E,1,,0,,,,,,,,,,,,
1903,1,19,Arias,1903/01/19,754.4,-4.4,20,3,31,16,72,S,2,N,3,,,,,,,,,,,,
1903,1,20,Arias,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Arias,1903/01/21,760.5,1.1,12,0,23,6,65,,,,0,,,,,,,,,,,,
1903,1,22,Arias,1903/01/22,760.3,-0.2,13,1,25,10,77,S,1,N,3,,,,,,,,,,,,
1903,1,23,Arias,1903/01/23,760.2,-0.1,15,-2,22,8,68,,,N,3,,,,,,,,,,,,
1903,1,24,Arias,1903/01/24,758.6,-1.6,18,3,27,13,62,,,,0,,,,,,,,,,,,
1903,1,25,Arias,1903/01/25,763.6,5,18,0,28,11,62,N,2,,0,,,,,,,,,,,,
1903,1,26,Arias,1903/01/26,760.2,-3.4,22,4,31,13,50,N,2,S,1,,,,,,,,,,,,
1903,1,27,Arias,1903/01/27,760.6,0.4,22,0,33,16,74,N,2,N,3,,,,,,,,,,,,
1903,1,28,Arias,1903/01/28,755.5,-5.1,22,0,27,19,91,N,2,N,3,,,,,,,,,,,,
1903,1,29,Arias,1903/01/29,756.4,0.9,27,5,34,20,69,NE,1,C,2,,,,,,,,,,,,
1903,1,30,Arias,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Arias,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Arias,1903/02/01,762,5.5,21,-2,28,20,91,E,2,N,3,,,,,,,,,,,,
1903,2,2,Arias,1903/02/02,,,20,-1,30,17,91,NE,1,N,3,,,,,,,,,,,,
1903,2,3,Arias,1903/02/03,754.4,,27,7,31,18,77,N,1,C,1,,,,,,,,,,,,
1903,2,4,Arias,1903/02/04,755.4,1,27,0,37,20,69,NE,2,C,2,,,,,,,,,,,,
1903,2,5,Arias,1903/02/05,760.1,4.7,20,-7,35,18,91,E,2,N,3,,,,,,,,,,,,
1903,2,6,Arias,1903/02/06,766.3,6.2,20,0,25,12,91,NE,1,,0,,,,,,,,,,,,
1903,2,7,Arias,1903/02/07,767.2,0.9,20,0,32,15,72,N,2,,0,,,,,,,,,,,,
