,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Arocena,1903/01/01,,,19,,30,16,81,E,2,,0,,,,,,,,,,,,
1903,1,2,Arocena,1903/01/02,,,21,2,33,17,73,NE,2,,0,,,,,,,,,,,,
1903,1,3,Arocena,1903/01/03,,,21,0,34,18,73,NE,2,C,1,,,,,,,,,,,,
1903,1,4,Arocena,1903/01/04,,,23,2,32,18,66,NE,2,C,1,,,,,,,,,,,,
1903,1,5,Arocena,1903/01/05,,,23,0,34,19,74,NE,1,C,2,,,,,,,,,,,,
1903,1,6,Arocena,1903/01/06,,,24,1,36,21,75,E,1,K,3,,,,,,,,,,,,
1903,1,7,Arocena,1903/01/07,,,24,0,35,19,83,NE,1,CK,2,,,,,,,,,,,,
1903,1,8,Arocena,1903/01/08,,,24,0,37,23,67,N,1,KS,3,,,,,,,,,,,,
1903,1,9,Arocena,1903/01/09,,,26,2,30,20,76,NE,1,C,1,,,,,,,,,,,,
1903,1,10,Arocena,1903/01/10,,,20,-6,40,18,91,E,1,KS,3,,,,,,,,,,,,
1903,1,11,Arocena,1903/01/11,,,24,4,26,17,91,E,1,KS,3,,,,,,,,,,,,
1903,1,12,Arocena,1903/01/12,,,24,4,26,17,91,E,1,KS,3,,,,,,,,,,,,
1903,1,13,Arocena,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Arocena,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Arocena,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
