,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"B. Parada",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"B. Parada",1903/01/02,762.4,,21,,33,14,49,N,3,CS,2,,,,,,,,,,,,
1903,1,3,"B. Parada",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"B. Parada",1903/01/04,758.3,-3,25,1,37,24,34,NE,3,SK,2,,,,,,,,,,,,
1903,1,5,"B. Parada",1903/01/05,757,-1.3,24,-1,37,23,60,N,3,SK,2,,,,,,,,,,,,
1903,1,6,"B. Parada",1903/01/06,760.5,3.5,24,0,38,21,67,,0,SK,2,,,,,,,,,,,,
1903,1,7,"B. Parada",1903/01/07,759.2,-1.3,28,4,36,21,51,N,3,CS,2,,,,,,,,,,,,
1903,1,8,"B. Parada",1903/01/08,755.7,-3.5,28,0,,21,63,NE,3,CS,2,,,,,,,,,,,,
1903,1,9,"B. Parada",1903/01/09,759.6,3.9,22,-6,39,20,22,SW,2,CS,2,,,,,,,,,,,,
1903,1,10,"B. Parada",1903/01/10,760.4,0.8,16,-6,34,14,69,,0,KN,2,,,,,,,,,,,,
1903,1,11,"B. Parada",1903/01/11,761.1,0.7,15,-1,,14,100,SE,1,K,3,,,,,,,,,,,,
1903,1,12,"B. Parada",1903/01/12,758.8,-2.3,21,6,29,14,73,SW,1,CS,1,,,,,,,,,,,,
1903,1,13,"B. Parada",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"B. Parada",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"B. Parada",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"B. Parada",1903/01/16,758.6,1.8,15,-3,32,14,100,S,1,KN,3,,,,,,,,,,,,
1903,1,17,"B. Parada",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"B. Parada",1903/01/18,756.7,-2.4,17,-1,29,12,61,SW,1,,0,,,,,,,,,,,,
1903,1,19,"B. Parada",1903/01/19,755.8,-0.9,18,1,33,13,53,SW,2,SK,3,,,,,,,,,,,,
1903,1,20,"B. Parada",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"B. Parada",1903/01/21,758.8,0.6,15,-2,28,9,58,SW,2,SK,1,,,,,,,,,,,,
1903,1,22,"B. Parada",1903/01/22,756.6,-2.2,12,-3,26,12,64,SW,3,KN,3,,,,,,,,,,,,
1903,1,23,"B. Parada",1903/01/23,750.8,0.2,16,4,27,10,59,S,2,SK,2,,,,,,,,,,,,
1903,1,24,"B. Parada",1903/01/24,761,4.2,18,2,31,10,53,,,C,1,,,,,,,,,,,,
1903,1,25,"B. Parada",1903/01/25,760.1,-0.9,20,2,31,15,41,N,2,,0,,,,,,,,,,,,
1903,1,26,"B. Parada",1903/01/26,758.5,-1.6,25,5,38,,40,N,1,CS,1,,,,,,,,,,,,
1903,1,27,"B. Parada",1903/01/27,763.2,4.7,20,-5,38,13,55,E,1,C,1,,,,,,,,,,,,
1903,1,28,"B. Parada",1903/01/28,753,-10.2,25,5,,16,47,N,2,S,3,,,,,,,,,,,,
1903,1,29,"B. Parada",1903/01/29,758.2,5.2,21,-4,39,12,65,,0,C,1,,,,,,,,,,,,
1903,1,30,"B. Parada",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"B. Parada",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"B. Parada",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"B. Parada",1903/02/02,760.7,,21,,33,18,65,N,3,CS,1,,,,,,,,,,,,
1903,2,3,"B. Parada",1903/02/03,754,-6.7,24,3,35,18,53,NW,2,SK,2,,,,,,,,,,,,
1903,2,4,"B. Parada",1903/02/04,758.1,4.1,19,-5,36,12,63,S,1,,0,,,,,,,,,,,,
1903,2,5,"B. Parada",1903/02/05,761.1,3,20,1,34,12,81,,0,C,1,,,,,,,,,,,,
1903,2,6,"B. Parada",1903/02/06,766.8,5.7,19,-1,35,10,46,,0,,0,,,,,,,,,,,,
1903,2,7,"B. Parada",1903/02/07,764.1,-2.7,23,4,36,12,52,NE,2,CS,2,,,,,,,,,,,,
1903,2,8,"B. Parada",1903/02/08,764.9,0.8,24,1,38,19,46,NE,1,CS,1,,,,,,,,,,,,
1903,2,9,"B. Parada",1903/02/09,761.5,-3.4,23,-1,38,20,59,NE,3,,0,,,,,,,,,,,,
1903,2,10,"B. Parada",1903/02/10,755,-6.5,25,2,37,20,48,NE,3,SK,2,,,,,,,,,,,,
1903,2,11,"B. Parada",1903/02/11,754,-1,19,-6,22,11,54,W,3,KN,3,,,,,,,,,,,,
1903,2,12,"B. Parada",1903/02/12,759.3,5.3,20,1,34,13,40,NW,1,,0,,,,,,,,,,,,
