,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"BRASIL - Rio de Janeiro",1903/01/01,762.4,,20,,23,20,91,SW,1,M,3,,,,,,,,,,,,
1903,1,2,"BRASIL - Rio de Janeiro",1903/01/02,762,-0.4,20,0,20,18,91,NW,1,N,3,,,,,,,,,,,,
1903,1,3,"BRASIL - Rio de Janeiro",1903/01/03,760.7,-1.3,21,1,23,18,91,W,1,N,3,,,,,,,,,,,,
1903,1,4,"BRASIL - Rio de Janeiro",1903/01/04,759.6,-1.1,21,0,26,19,82,SW,1,N,3,,,,,,,,,,,,
1903,1,5,"BRASIL - Rio de Janeiro",1903/01/05,763.8,4.2,22,1,25,18,74,SW,2,N,3,,,,,,,,,,,,
1903,1,6,"BRASIL - Rio de Janeiro",1903/01/06,765.9,2.1,22,0,26,18,82,N,1,N,3,,,,,,,,,,,,
1903,1,7,"BRASIL - Rio de Janeiro",1903/01/07,766.4,0.5,23,1,26,19,83,N,1,,1,,,,,,,,,,,,
1903,1,8,"BRASIL - Rio de Janeiro",1903/01/08,766.4,0,24,1,25,19,75,NW,1,,1,,,,,,,,,,,,
1903,1,9,"BRASIL - Rio de Janeiro",1903/01/09,766.2,-0.2,26,2,,20,76,N,1,,1,,,,,,,,,,,,
1903,1,10,"BRASIL - Rio de Janeiro",1903/01/10,765.5,-0.7,24,-2,27,21,83,,0,N,3,,,,,,,,,,,,
1903,1,11,"BRASIL - Rio de Janeiro",1903/01/11,763.1,-2.4,27,3,27,22,77,N,1,,1,,,,,,,,,,,,
1903,1,12,"BRASIL - Rio de Janeiro",1903/01/12,759.5,-3.6,26,-1,27,22,84,NW,1,,1,,,,,,,,,,,,
1903,1,13,"BRASIL - Rio de Janeiro",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"BRASIL - Rio de Janeiro",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"BRASIL - Rio de Janeiro",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"BRASIL - Rio de Janeiro",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"BRASIL - Rio de Janeiro",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"BRASIL - Rio de Janeiro",1903/01/18,760.4,0.1,28,-1,31,25,63,NW,1,,0,,,,,,,,,,,,
1903,1,19,"BRASIL - Rio de Janeiro",1903/01/19,758.7,-1.7,28,0,32,24,70,NE,1,N,3,,,,,,,,,,,,
1903,1,20,"BRASIL - Rio de Janeiro",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"BRASIL - Rio de Janeiro",1903/01/21,755.1,,31,,34,27,59,NW,2,,1,,,,,,,,,,,,
1903,1,22,"BRASIL - Rio de Janeiro",1903/01/22,760.9,5.8,22,-9,33,24,91,S,2,N,3,,,,,,,,,,,,
1903,1,23,"BRASIL - Rio de Janeiro",1903/01/23,760.9,0,21,-1,24,21,100,SW,1,N,3,,,,,,,,,,,,
1903,1,24,"BRASIL - Rio de Janeiro",1903/01/24,760.6,-0.3,23,2,23,20,91,SE,2,N,3,,,,,,,,,,,,
1903,1,25,"BRASIL - Rio de Janeiro",1903/01/25,761,0.4,26,3,,22,84,SE,1,N,3,,,,,,,,,,,,
1903,1,26,"BRASIL - Rio de Janeiro",1903/01/26,764.8,3.8,25,-1,27,22,92,SW,2,N,3,,,,,,,,,,,,
1903,1,27,"BRASIL - Rio de Janeiro",1903/01/27,765.4,0.6,26,1,27,23,76,NE,1,,1,,,,,,,,,,,,
1903,1,28,"BRASIL - Rio de Janeiro",1903/01/28,764.9,-0.5,27,1,27,22,77,NE,1,,1,,,,,,,,,,,,
1903,1,29,"BRASIL - Rio de Janeiro",1903/01/29,764.1,-0.8,27,0,28,22,77,NW,1,,1,,,,,,,,,,,,
1903,1,30,"BRASIL - Rio de Janeiro",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"BRASIL - Rio de Janeiro",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"BRASIL - Rio de Janeiro",1903/02/01,765.8,0.7,27,0,30,24,69,N,1,,1,,,,,,,,,,,,
1903,2,2,"BRASIL - Rio de Janeiro",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
