,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Bahia Blanca",1903/01/01,765.4,-1.7,21,3,29,17,49,N,3,C,1,,,,,,,,,,,,
1903,1,2,"Bahia Blanca",1903/01/02,761.2,-4.2,23,2,31,18,52,E,2,K,2,,,,,,,,,,,,
1903,1,3,"Bahia Blanca",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Bahia Blanca",1903/01/04,761.2,,25,,36,22,61,N,3,C,2,,,,,,,,,,,,
1903,1,5,"Bahia Blanca",1903/01/05,757.3,-3.9,25,0,36,23,54,N,3,K,2,,,,,,,,,,,,
1903,1,6,"Bahia Blanca",1903/01/06,762.3,5,22,-3,32,21,82,N,2,K,2,,,,,,,,,,,,
1903,1,7,"Bahia Blanca",1903/01/07,760.2,-2.1,28,6,37,22,57,N,1,C,1,,,,,,,,,,,,
1903,1,8,"Bahia Blanca",1903/01/08,758.2,-2,26,-2,38,22,69,N,1,C,1,,,,,,,,,,,,
1903,1,9,"Bahia Blanca",1903/01/09,758.4,0.2,24,-2,39,20,60,W,2,K,2,,,,,,,,,,,,
1903,1,10,"Bahia Blanca",1903/01/10,761.2,2.8,17,-7,30,15,52,NE,2,K,3,,,,,,,,,,,,
1903,1,11,"Bahia Blanca",1903/01/11,760.8,-0.4,18,1,24,14,71,E,1,K,1,,,,,,,,,,,,
1903,1,12,"Bahia Blanca",1903/01/12,760.1,-0.7,20,2,26,14,72,N,2,K,1,,,,,,,,,,,,
1903,1,13,"Bahia Blanca",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Bahia Blanca",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Bahia Blanca",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Bahia Blanca",1903/01/16,757.2,0.6,19,-3,30,19,90,E,1,K,3,,,,,,,,,,,,
1903,1,17,"Bahia Blanca",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Bahia Blanca",1903/01/18,756.4,-2.9,19,4,28,13,46,N,2,C,1,,,,,,,,,,,,
1903,1,19,"Bahia Blanca",1903/01/19,755.4,-1,19,0,32,11,54,NW,1,K,2,,,,,,,,,,,,
1903,1,20,"Bahia Blanca",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Bahia Blanca",1903/01/21,758.3,0.1,13,-1,24,8,77,W,1,K,2,,,,,,,,,,,,
1903,1,22,"Bahia Blanca",1903/01/22,753.7,-4.6,11,-2,23,11,87,W,2,N,3,,,,,,,,,,,,
1903,1,23,"Bahia Blanca",1903/01/23,757,3.3,13,2,20,9,66,NW,1,K,2,,,,,,,,,,,,
1903,1,24,"Bahia Blanca",1903/01/24,758.8,1.8,17,4,26,12,61,SW,1,K,1,,,,,,,,,,,,
1903,1,25,"Bahia Blanca",1903/01/25,759.6,0.8,20,3,25,15,55,N,1,,0,,,,,,,,,,,,
1903,1,26,"Bahia Blanca",1903/01/26,757.2,-2.4,24,4,36,18,46,,,,0,,,,,,,,,,,,
1903,1,27,"Bahia Blanca",1903/01/27,762.4,5.2,19,-5,29,21,63,E,2,C,1,,,,,,,,,,,,
1903,1,28,"Bahia Blanca",1903/01/28,753,-9.4,23,4,32,17,66,N,3,K,3,,,,,,,,,,,,
1903,1,29,"Bahia Blanca",1903/01/29,756.2,3.2,20,-3,36,16,64,E,2,C,1,,,,,,,,,,,,
1903,1,30,"Bahia Blanca",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Bahia Blanca",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Bahia Blanca",1903/02/01,765,,17,,27,11,70,S,1,,0,,,,,,,,,,,,
1903,2,2,"Bahia Blanca",1903/02/02,761.4,-3.6,17,0,28,11,80,NE,1,C,1,,,,,,,,,,,,
1903,2,3,"Bahia Blanca",1903/02/03,754.5,-6.9,24,7,33,16,75,,0,K,1,,,,,,,,,,,,
1903,2,4,"Bahia Blanca",1903/02/04,757.3,2.8,20,-4,32,16,72,S,1,C,1,,,,,,,,,,,,
1903,2,5,"Bahia Blanca",1903/02/05,760.7,3.4,19,-1,26,18,72,N,1,C,1,,,,,,,,,,,,
1903,2,6,"Bahia Blanca",1903/02/06,765.4,4.7,18,-1,33,13,71,NE,1,,0,,,,,,,,,,,,
1903,2,7,"Bahia Blanca",1903/02/07,764,-1.4,22,4,30,16,58,N,3,C,1,,,,,,,,,,,,
1903,2,8,"Bahia Blanca",1903/02/08,764.5,0.5,21,-1,,16,65,N,3,C,1,,,,,,,,,,,,
1903,2,9,"Bahia Blanca",1903/02/09,763,-1.5,22,1,35,14,74,N,2,,0,,,,,,,,,,,,
1903,2,10,"Bahia Blanca",1903/02/10,758.3,-4.7,25,3,35,24,61,N,3,C,1,,,,,,,,,,,,
1903,2,11,"Bahia Blanca",1903/02/11,751.7,-6.6,25,0,37,24,76,N,3,C,1,,,,,,,,,,,,
1903,2,12,"Bahia Blanca",1903/02/12,758.2,6.5,18,-7,32,16,53,W,1,K,1,,,,,,,,,,,,
1903,2,13,"Bahia Blanca",1903/02/13,762.1,3.9,14,-4,26,13,57,W,1,C,1,,,,,,,,,,,,
1903,2,14,"Bahia Blanca",1903/02/14,758.7,-3.4,20,6,30,15,72,N,3,C,1,,,,,,,,,,,,
1903,2,15,"Bahia Blanca",1903/02/15,754.5,-4.2,22,2,33,20,50,NW,1,K,3,,,,,,,,,,,,
1903,2,16,"Bahia Blanca",1903/02/16,753.7,-0.8,17,-5,32,16,52,NW,3,C,1,,,,,,,,,,,,
1903,2,17,"Bahia Blanca",1903/02/17,760.6,6.9,13,-4,25,13,77,W,2,K,3,,,,,,,,,,,,
1903,2,18,"Bahia Blanca",1903/02/18,761.9,1.3,8,-5,22,6,72,N,1,,0,,,,,,,,,,,,
1903,2,19,"Bahia Blanca",1903/02/19,755.9,-6,17,9,27,9,52,NW,1,C,1,,,,,,,,,,,,
1903,2,20,"Bahia Blanca",1903/02/20,760.8,4.9,14,-3,28,10,57,NE,1,C,1,,,,,,,,,,,,
1903,2,21,"Bahia Blanca",1903/02/21,761.1,0.3,18,4,29,14,62,N,1,C,1,,,,,,,,,,,,
1903,2,22,"Bahia Blanca",1903/02/22,758.9,-2.2,23,5,35,18,52,NW,2,C,1,,,,,,,,,,,,
1903,2,23,"Bahia Blanca",1903/02/23,757,-1.9,23,0,37,22,75,N,3,C,1,,,,,,,,,,,,
1903,2,24,"Bahia Blanca",1903/02/24,754.6,-2.4,21,-2,36,19,49,NW,1,K,1,,,,,,,,,,,,
1903,2,25,"Bahia Blanca",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Bahia Blanca",1903/02/26,759.1,2.3,16,7,25,10,59,N,1,K,3,,,,,,,,,,,,
1903,2,27,"Bahia Blanca",1903/02/27,765.9,6.8,11,-5,26,10,75,W,2,K,1,,,,,,,,,,,,
1903,2,28,"Bahia Blanca",1903/02/28,768.7,2.8,8,-3,21,5,59,N,1,,0,,,,,,,,,,,,
1903,3,1,"Bahia Blanca",1903/03/01,763.3,-5.4,17,7,25,8,48,N,2,C,1,,,,,,,,,,,,
1903,3,2,"Bahia Blanca",1903/03/02,760.1,-3.2,19,4,28,16,,N,2,K,3,,,,,,,,,,,,
1903,3,3,"Bahia Blanca",1903/03/03,758.6,-1.5,17,-2,27,14,80,W,1,,0,,,,,,,,,,,,
1903,3,4,"Bahia Blanca",1903/03/04,764.2,5.6,9,-8,27,6,73,NE,1,,0,,,,,,,,,,,,
1903,3,5,"Bahia Blanca",1903/03/05,,,20,11,28,10,47,N,2,K,1,,,,,,,,,,,,
1903,3,6,"Bahia Blanca",1903/03/06,752,,24,4,36,20,67,N,3,K,1,,,,,,,,,,,,
1903,3,7,"Bahia Blanca",1903/03/07,763.1,11.1,15,-9,29,13,78,SW,1,K,1,,,,,,,,,,,,
1903,3,8,"Bahia Blanca",1903/03/08,763.6,0.5,12,-3,23,9,76,E,1,C,1,,,,,,,,,,,,
1903,3,9,"Bahia Blanca",1903/03/09,759.6,-4,17,5,31,12,90,N,1,K,3,,,,,,,,,,,,
1903,3,10,"Bahia Blanca",1903/03/10,757.9,-1.7,17,0,29,16,100,N,2,K,1,,,,,,,,,,,,
1903,3,11,"Bahia Blanca",1903/03/11,758.6,0.7,18,1,33,14,62,NW,1,C,1,,,,,,,,,,,,
1903,3,12,"Bahia Blanca",1903/03/12,759.8,1.2,20,2,31,17,81,N,1,C,1,,,,,,,,,,,,
1903,3,13,"Bahia Blanca",1903/03/13,756.9,-2.9,16,-4,33,14,69,N,1,C,1,,,,,,,,,,,,
1903,3,14,"Bahia Blanca",1903/03/14,757.1,0.2,19,3,33,16,72,N,1,C,1,,,,,,,,,,,,
1903,3,15,"Bahia Blanca",1903/03/15,757.1,0,15,-4,29,14,58,N,1,K,3,,,,,,,,,,,,
1903,3,16,"Bahia Blanca",1903/03/16,752.5,-4.6,17,2,32,15,70,,,C,1,,,,,,,,,,,,
1903,3,17,"Bahia Blanca",1903/03/17,764.9,12.4,11,-6,32,10,75,SW,2,,0,,,,,,,,,,,,
1903,3,18,"Bahia Blanca",1903/03/18,757.1,-7.8,15,4,23,11,58,N,3,C,1,,,,,,,,,,,,
1903,3,19,"Bahia Blanca",1903/03/19,753.1,-4,22,7,35,15,82,N,1,C,2,,,,,,,,,,,,
1903,3,20,"Bahia Blanca",1903/03/20,753.2,0.1,18,-4,37,17,80,W,1,K,1,,,,,,,,,,,,
1903,3,21,"Bahia Blanca",1903/03/21,759.6,6.4,13,-5,20,12,88,S,1,K,1,,,,,,,,,,,,
1903,3,22,"Bahia Blanca",1903/03/22,763.9,4.3,10,-3,23,9,74,N,1,,0,,,,,,,,,,,,
1903,3,23,"Bahia Blanca",1903/03/23,763.2,-0.7,17,7,24,10,52,N,2,C,1,,,,,,,,,,,,
1903,3,24,"Bahia Blanca",1903/03/24,757.3,-5.9,22,5,29,17,74,N,2,K,1,,,,,,,,,,,,
1903,3,25,"Bahia Blanca",1903/03/25,756.4,-3.4,18,7,29,11,71,W,1,K,3,,,,,,,,,,,,
1903,3,26,"Bahia Blanca",1903/03/26,759.8,2.5,11,-11,29,10,75,,,,0,,,,,,,,,,,,
1903,3,27,"Bahia Blanca",1903/03/27,757.7,1.3,13,-5,29,12,55,N,1,C,1,,,,,,,,,,,,
1903,3,28,"Bahia Blanca",1903/03/28,758,0.9,14,1,29,13,89,E,1,K,1,,,,,,,,,,,,
1903,3,29,"Bahia Blanca",1903/03/29,760.8,2.2,10,-4,20,7,90,N,2,,0,,,,,,,,,,,,
1903,3,30,"Bahia Blanca",1903/03/30,760.2,-0.6,8,-2,24,7,59,N,1,,0,,,,,,,,,,,,
1903,3,31,"Bahia Blanca",1903/03/31,762.2,2,9,1,23,6,48,N,2,C,1,,,,,,,,,,,,
1903,4,1,"Bahia Blanca",1903/04/01,765.4,3.2,11,2,28,9,63,E,1,C,1,,,,,,,,,,,,
1903,4,2,"Bahia Blanca",1903/04/02,762.8,-2.6,21,10,30,12,82,NE,1,K,2,,,,,,,,,,,,
1903,4,3,"Bahia Blanca",1903/04/03,761.3,-1.5,21,0,31,19,82,N,1,K,2,,,,,,,,,,,,
1903,4,4,"Bahia Blanca",1903/04/04,761.1,-0.2,21,0,38,20,82,N,2,K,1,,,,,,,,,,,,
1903,4,5,"Bahia Blanca",1903/04/05,763.9,2.8,7,-4,28,16,90,S,1,K,3,,,,,,,,,,,,
