,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Bolivar,1903/01/01,,,17,3,25,11,90,NE,1,,0,,,,,,,,,,,,
1903,1,2,Bolivar,1903/01/02,765.6,,19,2,27,13,81,N,1,C,1,,,,,,,,,,,,
1903,1,3,Bolivar,1903/01/03,763.3,-2.3,21,2,29,16,82,NE,1,C,1,,,,,,,,,,,,
1903,1,4,Bolivar,1903/01/04,764.2,0.9,21,0,31,16,73,N,1,C,1,,,,,,,,,,,,
1903,1,5,Bolivar,1903/01/05,762.7,-1.5,22,1,32,15,82,N,1,C,1,,,,,,,,,,,,
1903,1,6,Bolivar,1903/01/06,763.1,0.4,23,1,32,16,91,E,1,C,1,,,,,,,,,,,,
1903,1,7,Bolivar,1903/01/07,762,-1.1,22,-1,34,18,91,NE,1,N,1,,,,,,,,,,,,
1903,1,8,Bolivar,1903/01/08,759.1,-2.9,21,-1,33,20,91,NE,1,N,2,,,,,,,,,,,,
1903,1,9,Bolivar,1903/01/09,758,-1.1,24,3,33,19,83,N,1,C,1,,,,,,,,,,,,
1903,1,10,Bolivar,1903/01/10,759.2,1.3,19,-5,35,16,90,E,1,C,2,,,,,,,,,,,,
1903,1,11,Bolivar,1903/01/11,759.1,-0.1,15,-4,22,12,99,S,1,C,2,,,,,,,,,,,,
1903,1,12,Bolivar,1903/01/12,760.4,1.3,17,2,29,11,90,N,1,,0,,,,,,,,,,,,
1903,1,13,Bolivar,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Bolivar,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Bolivar,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Bolivar,1903/01/16,757.5,0.4,17,-4,22,15,90,S,1,N,3,,,,,,,,,,,,
1903,1,17,Bolivar,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Bolivar,1903/01/18,758.4,-1.2,20,2,30,13,81,W,1,,0,,,,,,,,,,,,
1903,1,19,Bolivar,1903/01/19,755.7,-2.7,17,-3,31,16,90,N,1,N,3,,,,,,,,,,,,
1903,1,20,Bolivar,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Bolivar,1903/01/21,757,-0.3,13,-1,23,8,77,S,1,,0,,,,,,,,,,,,
1903,1,22,Bolivar,1903/01/22,754.4,-2.6,14,1,24,11,89,SW,1,C,1,,,,,,,,,,,,
1903,1,23,Bolivar,1903/01/23,757.9,3.5,14,0,20,8,67,W,1,C,2,,,,,,,,,,,,
1903,1,24,Bolivar,1903/01/24,758.7,0.8,17,3,26,10,70,E,1,,0,,,,,,,,,,,,
1903,1,25,Bolivar,1903/01/25,762.2,3.5,17,0,28,9,70,N,1,,0,,,,,,,,,,,,
1903,1,26,Bolivar,1903/01/26,760.3,-1.9,20,3,31,14,91,N,1,C,1,,,,,,,,,,,,
1903,1,27,Bolivar,1903/01/27,761.2,0.9,21,1,32,17,73,E,1,N,2,,,,,,,,,,,,
1903,1,28,Bolivar,1903/01/28,755.7,-5.5,22,1,31,17,74,N,1,K,1,,,,,,,,,,,,
1903,1,29,Bolivar,1903/01/29,754.2,-0.5,22,0,33,15,66,W,1,N,2,,,,,,,,,,,,
1903,1,30,Bolivar,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Bolivar,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Bolivar,1903/02/01,762.4,,17,,27,14,80,E,1,,0,,,,,,,,,,,,
1903,2,2,Bolivar,1903/02/02,761.3,-1.1,17,0,30,12,80,E,1,S,1,,,,,,,,,,,,
1903,2,3,Bolivar,1903/02/03,754,-7.3,24,7,33,16,91,N,1,S,1,,,,,,,,,,,,
1903,2,4,Bolivar,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Bolivar,1903/02/05,762.2,,17,,34,16,80,E,1,N,3,,,,,,,,,,,,
1903,2,6,Bolivar,1903/02/06,765.2,3,22,5,29,17,82,SW,1,,0,,,,,,,,,,,,
1903,2,7,Bolivar,1903/02/07,766.4,1.2,17,-5,32,10,70,N,1,,0,,,,,,,,,,,,
1903,2,8,Bolivar,1903/02/08,765.9,-0.5,19,2,31,12,63,N,1,,0,,,,,,,,,,,,
1903,2,9,Bolivar,1903/02/09,764.3,-1.6,19,0,32,14,81,N,1,,0,,,,,,,,,,,,
1903,2,10,Bolivar,1903/02/10,762.6,-1.7,21,2,32,17,73,N,1,,0,,,,,,,,,,,,
1903,2,11,Bolivar,1903/02/11,754,-8.6,24,3,33,20,75,N,1,K,1,,,,,,,,,,,,
1903,2,12,Bolivar,1903/02/12,756,2,19,-5,37,18,100,N,1,N,3,,,,,,,,,,,,
1903,2,13,Bolivar,1903/02/13,761.5,5.5,16,-3,26,14,89,E,1,N,2,,,,,,,,,,,,
1903,2,14,Bolivar,1903/02/14,760.4,-1.1,17,1,25,12,80,NE,1,S,1,,,,,,,,,,,,
1903,2,15,Bolivar,1903/02/15,754.2,-6.2,20,3,31,16,91,N,1,C,1,,,,,,,,,,,,
1903,2,16,Bolivar,1903/02/16,753.3,-0.9,17,-3,31,15,70,S,1,S,1,PD,,,,,,,,,,,
1903,2,17,Bolivar,1903/02/17,759.6,6.3,16,-1,25,,79,E,1,,0,,,,,,,,,,,,
1903,2,18,Bolivar,1903/02/18,762.7,3.1,15,-1,25,9,68,S,1,C,1,,,,,,,,,,,,
1903,2,19,Bolivar,1903/02/19,756.6,-6.1,17,2,25,12,90,W,1,S,1,,,,,,,,,,,,
1903,2,20,Bolivar,1903/02/20,761.6,5,14,-3,30,10,89,E,1,S,1,,,,,,,,,,,,
1903,2,21,Bolivar,1903/02/21,762,0.4,16,2,30,13,89,N,1,C,1,,,,,,,,,,,,
1903,2,22,Bolivar,1903/02/22,761.8,-0.2,18,2,32,15,90,W,1,C,1,,,,,,,,,,,,
1903,2,23,Bolivar,1903/02/23,759.2,-2.6,17,-1,31,14,90,,,C,1,,,,,,,,,,,,
1903,2,24,Bolivar,1903/02/24,754.6,-4.6,20,3,32,17,72,W,1,C,1,,,,,,,,,,,,
1903,2,25,Bolivar,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Bolivar,1903/02/26,,,13,-3,28,13,88,E,1,N,3,,,,,,,,,,,,
1903,2,27,Bolivar,1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,Bolivar,1903/02/28,768.4,,10,,21,5,74,S,1,,0,,,,,,,,,,,,
1903,3,1,Bolivar,1903/03/01,763.9,-4.5,11,1,22,8,87,E,1,N,2,,,,,,,,,,,,
1903,3,2,Bolivar,1903/03/02,761.3,-2.6,15,4,25,10,,E,1,N,3,,,,,,,,,,,,
1903,3,3,Bolivar,1903/03/03,757.6,-3.7,18,3,21,13,80,N,1,,0,,,,,,,,,,,,
1903,3,4,Bolivar,1903/03/04,763,6.2,12,-6,31,9,76,E,1,S,1,,,,,,,,,,,,
1903,3,5,Bolivar,1903/03/05,760.6,-3.2,15,3,25,12,89,E,1,,0,,,,,,,,,,,,
1903,3,6,Bolivar,1903/03/06,755.7,-4.9,21,6,32,15,73,N,2,C,1,,,,,,,,,,,,
1903,3,7,Bolivar,1903/03/07,759.2,3.5,19,-2,32,17,81,S,1,N,2,,,,,,,,,,,,
1903,3,8,Bolivar,1903/03/08,763.3,4.1,17,-2,26,15,90,E,1,N,3,,,,,,,,,,,,
1903,3,9,Bolivar,1903/03/09,,,17,0,22,16,90,E,1,N,3,,,,,,,,,,,,
