YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Buena Esperanza",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Buena Esperanza",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"Buena Esperanza",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Buena Esperanza",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"Buena Esperanza",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"Buena Esperanza",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"Buena Esperanza",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Buena Esperanza",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Buena Esperanza",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Buena Esperanza",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Buena Esperanza",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Buena Esperanza",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Buena Esperanza",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Buena Esperanza",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Buena Esperanza",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Buena Esperanza",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Buena Esperanza",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Buena Esperanza",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"Buena Esperanza",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Buena Esperanza",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Buena Esperanza",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Buena Esperanza",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"Buena Esperanza",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"Buena Esperanza",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"Buena Esperanza",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"Buena Esperanza",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"Buena Esperanza",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"Buena Esperanza",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"Buena Esperanza",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"Buena Esperanza",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Buena Esperanza",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Buena Esperanza",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Buena Esperanza",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"Buena Esperanza",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"Buena Esperanza",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"Buena Esperanza",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"Buena Esperanza",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"Buena Esperanza",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"Buena Esperanza",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"Buena Esperanza",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"Buena Esperanza",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"Buena Esperanza",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"Buena Esperanza",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"Buena Esperanza",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"Buena Esperanza",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"Buena Esperanza",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"Buena Esperanza",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"Buena Esperanza",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"Buena Esperanza",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"Buena Esperanza",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"Buena Esperanza",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"Buena Esperanza",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"Buena Esperanza",1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,"Buena Esperanza",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"Buena Esperanza",1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,"Buena Esperanza",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Buena Esperanza",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,"Buena Esperanza",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"Buena Esperanza",1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,"Buena Esperanza",1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,"Buena Esperanza",1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,"Buena Esperanza",1903/03/03,,,,,,,,,,,,,,,,,,,,,,,
1903,3,4,"Buena Esperanza",1903/03/04,,,,,,,,,,,,,,,,,,,,,,,
1903,3,5,"Buena Esperanza",1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,"Buena Esperanza",1903/03/06,,,,,,,,,,,,,,,,,,,,,,,
1903,3,7,"Buena Esperanza",1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,"Buena Esperanza",1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,"Buena Esperanza",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"Buena Esperanza",1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,"Buena Esperanza",1903/03/11,,,,,,,,,,,,,,,,,,,,,,,
1903,3,12,"Buena Esperanza",1903/03/12,,,,,,,,,,,,,,,,,,,,,,,
1903,3,13,"Buena Esperanza",1903/03/13,,,,,,,,,,,,,,,,,,,,,,,
1903,3,14,"Buena Esperanza",1903/03/14,,,,,,,,,,,,,,,,,,,,,,,
1903,3,15,"Buena Esperanza",1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,"Buena Esperanza",1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,"Buena Esperanza",1903/03/17,,,,,,,,,,,,,,,,,,,,,,,
1903,3,18,"Buena Esperanza ",1903/03/18,,,,,,,,,,,,,,,,,,,,,,,
1903,3,19,"Buena Esperanza ",1903/03/19,,,,,,,,,,,,,,,,,,,,,,,
1903,3,20,"Buena Esperanza ",1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
1903,3,21,"Buena Esperanza ",1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,"Buena Esperanza ",1903/03/22,,,,,,,,,,,,,,,,,,,,,,,
1903,3,23,"Buena Esperanza ",1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,"Buena Esperanza ",1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,"Buena Esperanza ",1903/03/25,,,,,,,,,,,,,,,,,,,,,,,
1903,3,26,"Buena Esperanza ",1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,"Buena Esperanza",1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,"Buena Esperanza",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"Buena Esperanza",1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,"Buena Esperanza",1903/03/30,,,,,,,,,,,,,,,,,,,,,,,
1903,3,31,"Buena Esperanza",1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,"Buena Esperanza",1903/04/01,,,,,,,,,,,,,,,,,,,,,,,
1903,4,2,"Buena Esperanza",1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,"Buena Esperanza",1903/04/03,,,,,,,,,,,,,,,,,,,,,,,
1903,4,4,"Buena Esperanza",1903/04/04,,,,,,,,,,,,,,,,,,,,,,,
1903,4,5,"Buena Esperanza",1903/04/05,,,,,,,,,,,,,,,,,,,,,,,
1903,4,6,"Buena Esperanza",1903/04/06,,,,,,,,,,,,,,,,,,,,,,,
1903,4,7,"Buena Esperanza",1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,"Buena Esperanza",1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,"Buena Esperanza",1903/04/09,,,,,,,,,,,,,,,,,,,,,,,
1903,4,10,"Buena Esperanza",1903/04/10,,,,,,,,,,,,,,,,,,,,,,,
1903,4,11,"Buena Esperanza",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"Buena Esperanza",1903/04/12,,,,,,,,,,,,,,,,,,,,,,,
1903,4,13,"Buena Esperanza",1903/04/13,,,,,,,,,,,,,,,,,,,,,,,
1903,4,14,"Buena Esperanza",1903/04/14,,,,,,,,,,,,,,,,,,,,,,,
1903,4,15,"Buena Esperanza",1903/04/15,,,,,,,,,,,,,,,,,,,,,,,
1903,4,16,"Buena Esperanza",1903/04/16,,,,,,,,,,,,,,,,,,,,,,,
1903,4,17,"Buena Esperanza",1903/04/17,,,,,,,,,,,,,,,,,,,,,,,
1903,4,18,"Buena Esperanza",1903/04/18,,,,,,,,,,,,,,,,,,,,,,,
1903,4,19,"Buena Esperanza",1903/04/19,,,,,,,,,,,,,,,,,,,,,,,
1903,4,20,"Buena Esperanza",1903/04/20,,,,,,,,,,,,,,,,,,,,,,,
1903,4,21,"Buena Esperanza",1903/04/21,,,,,,,,,,,,,,,,,,,,,,,
1903,4,22,"Buena Esperanza",1903/04/22,,,,,,,,,,,,,,,,,,,,,,,
1903,4,23,"Buena Esperanza",1903/04/23,,,,,,,,,,,,,,,,,,,,,,,
1903,4,24,"Buena Esperanza",1903/04/24,,,,,,,,,,,,,,,,,,,,,,,
1903,4,25,"Buena Esperanza",1903/04/25,,,,,,,,,,,,,,,,,,,,,,,
1903,4,26,"Buena Esperanza",1903/04/26,,,,,,,,,,,,,,,,,,,,,,,
1903,4,27,"Buena Esperanza",1903/04/27,,,,,,,,,,,,,,,,,,,,,,,
1903,4,28,"Buena Esperanza",1903/04/28,,,,,,,,,,,,,,,,,,,,,,,
1903,4,29,"Buena Esperanza",1903/04/29,,,,,,,,,,,,,,,,,,,,,,,
1903,4,30,"Buena Esperanza",1903/04/30,,,,,,,,,,,,,,,,,,,,,,,
1903,5,1,"Buena Esperanza",1903/05/01,,,,,,,,,,,,,,,,,,,,,,,
1903,5,2,"Buena Esperanza",1903/05/02,,,,,,,,,,,,,,,,,,,,,,,
1903,5,3,"Buena Esperanza",1903/05/03,,,,,,,,,,,,,,,,,,,,,,,
1903,5,4,"Buena Esperanza",1903/05/04,,,,,,,,,,,,,,,,,,,,,,,
1903,5,5,"Buena Esperanza",1903/05/05,,,,,,,,,,,,,,,,,,,,,,,
1903,5,6,"Buena Esperanza",1903/05/06,,,,,,,,,,,,,,,,,,,,,,,
1903,5,7,"Buena Esperanza",1903/05/07,,,,,,,,,,,,,,,,,,,,,,,
1903,5,8,"Buena Esperanza",1903/05/08,,,,,,,,,,,,,,,,,,,,,,,
1903,5,9,"Buena Esperanza",1903/05/09,,,,,,,,,,,,,,,,,,,,,,,
1903,5,10,"Buena Esperanza",1903/05/10,,,,,,,,,,,,,,,,,,,,,,,
1903,5,11,"Buena Esperanza",1903/05/11,,,,,,,,,,,,,,,,,,,,,,,
1903,5,12,"Buena Esperanza",1903/05/12,,,,,,,,,,,,,,,,,,,,,,,
1903,5,13,"Buena Esperanza",1903/05/13,,,,,,,,,,,,,,,,,,,,,,,
1903,5,14,"Buena Esperanza",1903/05/14,,,,,,,,,,,,,,,,,,,,,,,
1903,5,15,"Buena Esperanza",1903/05/15,,,,,,,,,,,,,,,,,,,,,,,
1903,5,16,"Buena Esperanza",1903/05/16,,,,,,,,,,,,,,,,,,,,,,,
1903,5,17,"Buena Esperanza",1903/05/17,,,,,,,,,,,,,,,,,,,,,,,
1903,5,18,"Buena Esperanza",1903/05/18,,,,,,,,,,,,,,,,,,,,,,,
1903,5,19,"Buena Esperanza",1903/05/19,,,5,,17,0,100,,0,,0,,,,,,,,,,,,
1903,5,20,"Buena Esperanza",1903/05/20,,,2,-3,17,2,100,,0,,0,,,,,,,,,,,,
1903,5,21,"Buena Esperanza",1903/05/21,,,3,1,20,2,100,,0,,0,,,,,,,,,,,,
1903,5,22,"Buena Esperanza",1903/05/22,766.7,,2,-1,23,0,100,,0,,0,,,,,,,,,,,,
1903,5,23,"Buena Esperanza",1903/05/23,763.6,-3.1,3,1,23,2,83,,0,,0,,,,,,,,,,,,
1903,5,24,"Buena Esperanza",1903/05/24,759.6,-4,1,-2,24,0,81,,0,,0,,,,,,,,,,,,
1903,5,25,"Buena Esperanza",1903/05/25,759.6,0,6,5,23,4,100,W,1,,0,,,,,,,,,,,,
1903,5,26,"Buena Esperanza",1903/05/26,761,1.4,5,-1,23,3,100,,0,C,1,,,,,,,,,,,,
1903,5,27,"Buena Esperanza",1903/05/27,769.9,8.9,8,3,23,7,59,SE,1,K,1,,,,,,,,,,,,
1903,5,28,"Buena Esperanza",1903/05/28,767.7,-2.2,8,0,11,6,100,SE,1,N,3,,,,,,,,,,,,
1903,5,29,"Buena Esperanza",1903/05/29,767.2,-0.5,8,0,9,7,100,SE,1,N,3,,,,,,,,,,,,
1903,5,30,"Buena Esperanza",1903/05/30,761.1,-6.1,14,6,15,14,100,NE,2,KS,3,,,,,,,,,,,,
1903,5,31,"Buena Esperanza",1903/05/31,764,2.9,14,0,20,8,100,NE,1,N,3,,,,,,,,,,,,
1903,6,1,"Buena Esperanza",1903/06/01,,,,,,,,,,,,,,,,,,,,,,,
1903,6,2,"Buena Esperanza",1903/06/02,751.3,,17,,22,16,100,NE,1,KN,1,,,,,,,,,,,,
1903,6,3,"Buena Esperanza",1903/06/03,767.4,16.1,5,-12,22,4,84,W,2,KN,3,,,,,,,,,,,,
1903,6,4,"Buena Esperanza",1903/06/04,769.6,2.2,-3,-8,8,-4,100,,0,,0,,,,,,,,,,,,
1903,6,5,"Buena Esperanza",1903/06/05,767.3,-2.3,8,11,11,3,59,NE,1,KS,1,,,,,,,,,,,,
1903,6,6,"Buena Esperanza",1903/06/06,768.8,1.5,0,-8,15,-2,100,,0,K,1,,,,,,,,,,,,
1903,6,7,"Buena Esperanza",1903/06/07,765.3,-3.5,3,3,19,1,83,,0,KS,2,,,,,,,,,,,,
1903,6,8,"Buena Esperanza",1903/06/08,760,-5.3,-1,-4,20,-2,82,,0,CK,2,,,,,,,,,,,,
1903,6,9,"Buena Esperanza",1903/06/09,763.1,3.1,1,2,19,0,100,,0,,0,,,,,,,,,,,,
1903,6,10,"Buena Esperanza",1903/06/10,759.5,-3.6,8,7,16,8,100,,0,N,3,,,,,,,,,,,,
1903,6,11,"Buena Esperanza",1903/06/11,764.1,4.6,0,-8,17,-1,100,,0,C,1,,,,,,,,,,,,
1903,6,12,"Buena Esperanza",1903/06/12,757.8,-6.3,10,10,18,10,100,NE,1,KS,3,,,,,,,,,,,,
1903,6,13,"Buena Esperanza",1903/06/13,760,2.2,1,-9,19,0,100,,0,C,1,,,,,,,,,,,,
1903,6,14,"Buena Esperanza",1903/06/14,757,-3,8,7,14,7,100,,0,K,1,,,,,,,,,,,,
1903,6,15,"Buena Esperanza",1903/06/15,761,4,-1,-9,20,-1,100,,0,,0,,,,,,,,,,,,
1903,6,16,"Buena Esperanza",1903/06/16,755.2,-5.8,3,4,23,1,83,,0,KN,2,,,,,,,,,,,,
1903,6,17,"Buena Esperanza",1903/06/17,755.2,0,4,1,20,4,100,,0,KN,1,,,,,,,,,,,,
1903,6,18,"Buena Esperanza",1903/06/18,767.7,12.5,7,3,15,7,57,SW,1,KS,3,,,,,,,,,,,,
1903,6,19,"Buena Esperanza",1903/06/19,768.9,1.2,-4,-11,13,-6,100,,0,,0,,,,,,,,,,,,
1903,6,20,"Buena Esperanza",1903/06/20,,,,,,,,,,,,,,,,,,,,,,,
1903,6,21,"Buena Esperanza",1903/06/21,760.8,,5,,17,2,100,,0,KS,3,,,,,,,,,,,,
1903,6,22,"Buena Esperanza",1903/06/22,766.7,5.9,5,0,8,4,100,W,1,KS,3,,,,,,,,,,,,
1903,6,23,"Buena Esperanza",1903/06/23,755.1,-11.6,2,-3,11,-1,100,NW,1,N,2,,,,,,,,,,,,
1903,6,24,"Buena Esperanza",1903/06/24,759.2,4.1,3,1,9,0,83,W,1,N,3,,,,,,,,,,,,
1903,6,25,"Buena Esperanza",1903/06/25,762.9,3.7,5,2,11,-1,100,,0,N,3,,,,,,,,,,,,
1903,6,26,"Buena Esperanza",1903/06/26,772.2,9.3,-5,-10,6,-6,100,,0,,0,,,,,,,,,,,,
1903,6,27,"Buena Esperanza",1903/06/27,767,-5.2,2,7,16,0,82,W,1,,0,,,,,,,,,,,,
