,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Burruyacu,1903/01/01,,,17,-1,23,17,90,,0,C,3,,,,,,,,,,,,
1903,1,2,Burruyacu,1903/01/02,,,17,0,25,14,80,,0,,0,,,,,,,,,,,,
1903,1,3,Burruyacu,1903/01/03,,,20,3,29,16,72,,0,,0,,,,,,,,,,,,
1903,1,4,Burruyacu,1903/01/04,,,21,1,30,17,73,,0,,0,,,,,,,,,,,,
1903,1,5,Burruyacu,1903/01/05,,,22,1,33,19,58,NW,1,,0,,,,,,,,,,,,
1903,1,6,Burruyacu,1903/01/06,,,20,-2,30,18,91,,0,,0,,,,,,,,,,,,
1903,1,7,Burruyacu,1903/01/07,,,20,0,33,18,91,,0,C,3,,,,,,,,,,,,
1903,1,8,Burruyacu,1903/01/08,,,18,-2,34,16,80,,0,C,1,,,,,,,,,,,,
1903,1,9,Burruyacu,1903/01/09,,,21,3,35,19,73,,0,,0,,,,,,,,,,,,
1903,1,10,Burruyacu,1903/01/10,,,20,-1,36,17,81,,0,,0,,,,,,,,,,,,
1903,1,11,Burruyacu,1903/01/11,,,26,6,38,22,48,,0,,0,,,,,,,,,,,,
1903,1,12,Burruyacu,1903/01/12,,,20,-6,33,18,91,S,1,K,3,,,,,,,,,,,,
1903,1,13,Burruyacu,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Burruyacu,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Burruyacu,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Burruyacu,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Burruyacu,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Burruyacu,1903/01/18,,,21,1,28,20,91,,0,K,3,,,,,,,,,,,,
1903,1,19,Burruyacu,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Burruyacu,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Burruyacu,1903/01/21,,,11,-5,20,10,75,,0,,0,,,,,,,,,,,,
1903,1,22,Burruyacu,1903/01/22,,,11,0,28,9,87,,0,,0,,,,,,,,,,,,
1903,1,23,Burruyacu,1903/01/23,,,16,5,27,15,79,,0,K,3,,,,,,,,,,,,
1903,1,24,Burruyacu,1903/01/24,,,16,0,28,13,79,,0,,0,,,,,,,,,,,,
1903,1,25,Burruyacu,1903/01/25,,,20,4,35,19,81,,0,,0,,,,,,,,,,,,
1903,1,26,Burruyacu,1903/01/26,,,20,0,35,19,72,,0,,0,,,,,,,,,,,,
1903,1,27,Burruyacu,1903/01/27,,,23,3,37,22,52,NW,2,K,2,,,,,,,,,,,,
