,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"C. Rivadavia",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"C. Rivadavia",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"C. Rivadavia",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"C. Rivadavia",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"C. Rivadavia",1903/01/05,,,22,,,19,82,SW,1,C,1,,,,,,,,,,,,
1903,1,6,"C. Rivadavia",1903/01/06,,,22,0,,20,50,W,1,C,1,,,,,,,,,,,,
1903,1,7,"C. Rivadavia",1903/01/07,,,25,3,,18,40,W,2,CS,1,,,,,,,,,,,,
1903,1,8,"C. Rivadavia",1903/01/08,,,,,,,,,0,,0,,,,,,,,,,,,
1903,1,9,"C. Rivadavia",1903/01/09,,,15,,,12,89,W,3,S,2,,,,,,,,,,,,
1903,1,10,"C. Rivadavia",1903/01/10,,,14,-1,,13,57,W,2,S,2,,,,,,,,,,,,
1903,1,11,"C. Rivadavia",1903/01/11,,,18,4,,15,53,W,2,C,1,,,,,,,,,,,,
1903,1,12,"C. Rivadavia",1903/01/12,,,18,0,,16,71,SW,1,S,2,,,,,,,,,,,,
1903,1,13,"C. Rivadavia",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"C. Rivadavia",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"C. Rivadavia",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"C. Rivadavia",1903/01/16,,,11,1,,11,87,N,1,C,1,,,,,,,,,,,,
1903,1,17,"C. Rivadavia",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"C. Rivadavia",1903/01/18,,,16,-4,,16,89,W,3,C,2,,,,,,,,,,,,
1903,1,19,"C. Rivadavia",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"C. Rivadavia",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"C. Rivadavia",1903/01/21,,,12,2,,12,88,S,1,C,3,,,,,,,,,,,,
