,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"C. Virgenes",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"C. Virgenes",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"C. Virgenes",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"C. Virgenes",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"C. Virgenes",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"C. Virgenes",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"C. Virgenes",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"C. Virgenes",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"C. Virgenes",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"C. Virgenes",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"C. Virgenes",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"C. Virgenes",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"C. Virgenes",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"C. Virgenes",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"C. Virgenes",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"C. Virgenes",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"C. Virgenes",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"C. Virgenes",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"C. Virgenes",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"C. Virgenes",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"C. Virgenes",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"C. Virgenes",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"C. Virgenes",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"C. Virgenes",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"C. Virgenes",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"C. Virgenes",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"C. Virgenes",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"C. Virgenes",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"C. Virgenes",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"C. Virgenes",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"C. Virgenes",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"C. Virgenes",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"C. Virgenes",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"C. Virgenes",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
