,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"CATAMARCA - Capital",1903/01/01,765,-1.5,21,2,25,19,57,N,2,,0,,,,,,,,,,,,
1903,1,2,"CATAMARCA - Capital",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"CATAMARCA - Capital",1903/01/03,763,,25,,31,23,54,N,2,CS,2,,,,,,,,,,,,
1903,1,4,"CATAMARCA - Capital",1903/01/04,761.1,-1.9,24,-1,32,24,53,N,2,S,1,,,,,,,,,,,,
1903,1,5,"CATAMARCA - Capital",1903/01/05,760.3,-0.8,26,2,33,24,42,N,2,CS,1,,,,,,,,,,,,
1903,1,6,"CATAMARCA - Capital",1903/01/06,764.6,4.3,23,-3,34,23,66,SE,2,SN,3,,,,,,,,,,,,
1903,1,7,"CATAMARCA - Capital",1903/01/07,763,-1.6,24,1,36,20,67,,0,SK,2,,,,,,,,,,,,
1903,1,8,"CATAMARCA - Capital",1903/01/08,,,24,0,36,21,53,SE,3,SK,1,,,,,,,,,,,,
1903,1,9,"CATAMARCA - Capital",1903/01/09,759,,25,1,36,20,68,,0,,0,,,,,,,,,,,,
1903,1,10,"CATAMARCA - Capital",1903/01/10,757.5,-1.5,26,1,41,22,55,E,1,,0,,,,,,,,,,,,
1903,1,11,"CATAMARCA - Capital",1903/01/11,757.4,-0.1,26,0,38,22,69,SE,3,KN,1,,,,,,,,,,,,
1903,1,12,"CATAMARCA - Capital",1903/01/12,763,,24,-2,32,22,67,N,1,SK,1,,,,,,,,,,,,
1903,1,13,"CATAMARCA - Capital",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"CATAMARCA - Capital",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"CATAMARCA - Capital",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"CATAMARCA - Capital",1903/01/16,758.4,4,26,-3,40,24,69,,0,SK,1,,,,,,,,,,,,
1903,1,17,"CATAMARCA - Capital",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"CATAMARCA - Capital",1903/01/18,,,23,-2,33,23,74,S,1,K,3,,,,,,,,,,,,
1903,1,19,"CATAMARCA - Capital",1903/01/19,756.5,,20,-3,30,18,81,,0,SK,1,,,,,,,,,,,,
1903,1,20,"CATAMARCA - Capital",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"CATAMARCA - Capital",1903/01/21,767.3,,14,1,26,8,67,,0,,0,,,,,,,,,,,,
1903,1,22,"CATAMARCA - Capital",1903/01/22,759.7,-7.6,18,4,31,12,62,,0,C,1,,,,,,,,,,,,
1903,1,23,"CATAMARCA - Capital",1903/01/23,760.4,6.7,19,1,,,72,,0,SK,1,,,,,,,,,,,,
1903,1,24,"CATAMARCA - Capital",1903/01/24,763.4,-3,19,0,35,14,63,,0,,0,,,,,,,,,,,,
1903,1,25,"CATAMARCA - Capital",1903/01/25,763.2,-0.2,26,7,39,24,42,N,1,,0,,,,,,,,,,,,
1903,1,26,"CATAMARCA - Capital",1903/01/26,760,-3.2,28,2,35,26,51,N,1,,0,,,,,,,,,,,,
1903,1,27,"CATAMARCA - Capital",1903/01/27,764.5,4.5,27,-1,37,23,49,,0,SK,1,,,,,,,,,,,,
