,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"CHUBUT - Madryn",1903/01/01,759.2,-1.3,22,-1,35,16,29,NW,2,,0,,,,,,,,,,,,
1903,1,2,"CHUBUT - Madryn",1903/01/02,757,-2.2,23,1,29,16,31,N,2,K,2,,,,,,,,,,,,
1903,1,3,"CHUBUT - Madryn",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"CHUBUT - Madryn",1903/01/04,755.1,-5,25,6,28,17,47,N,2,C,2,,,,,,,,,,,,
1903,1,5,"CHUBUT - Madryn",1903/01/05,758.5,3.4,19,-6,29,16,54,SW,2,N,1,,,,,,,,,,,,
1903,1,6,"CHUBUT - Madryn",1903/01/06,761.8,3.3,17,-2,27,17,52,E,2,,0,,,,,,,,,,,,
1903,1,7,"CHUBUT - Madryn",1903/01/07,755.2,-6.6,25,8,27,17,31,W,2,,0,,,,,,,,,,,,
1903,1,8,"CHUBUT - Madryn",1903/01/08,753,-2.2,25,0,31,18,31,NW,2,,0,,,,,,,,,,,,
1903,1,9,"CHUBUT - Madryn",1903/01/09,756.7,3.7,17,-8,36,15,52,W,3,,0,,,,,,,,,,,,
1903,1,10,"CHUBUT - Madryn",1903/01/10,760,3.3,16,-1,31,10,50,S,2,K,1,,,,,,,,,,,,
1903,1,11,"CHUBUT - Madryn",1903/01/11,760,3.3,14,-2,27,9,78,N,1,K,2,,,,,,,,,,,,
1903,1,12,"CHUBUT - Madryn",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"CHUBUT - Madryn",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"CHUBUT - Madryn",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"CHUBUT - Madryn",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"CHUBUT - Madryn",1903/01/16,759,6.5,14,-7,29,9,89,,0,C,3,,,,,,,,,,,,
1903,1,17,"CHUBUT - Madryn",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"CHUBUT - Madryn",1903/01/18,752.7,-4.3,17,1,29,11,52,,0,,0,,,,,,,,,,,,
1903,1,19,"CHUBUT - Madryn",1903/01/19,754.2,1.5,14,-3,25,10,47,S,3,,0,,,,,,,,,,,,
1903,1,20,"CHUBUT - Madryn",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"CHUBUT - Madryn",1903/01/21,756.2,-1.1,13,1,20,8,66,S,2,C,2,,,,,,,,,,,,
1903,1,22,"CHUBUT - Madryn",1903/01/22,755.5,-0.7,10,-3,18,8,86,SW,2,K,1,,,,,,,,,,,,
1903,1,23,"CHUBUT - Madryn",1903/01/23,753.2,-2.3,13,3,21,7,77,,0,C,2,,,,,,,,,,,,
1903,1,24,"CHUBUT - Madryn",1903/01/24,758,4.8,16,3,26,10,50,SW,2,S,1,,,,,,,,,,,,
1903,1,25,"CHUBUT - Madryn",1903/01/25,755.1,-2.9,26,10,28,15,36,NW,2,,0,,,,,,,,,,,,
1903,1,26,"CHUBUT - Madryn",1903/01/26,756.1,1,23,-3,37,20,37,,0,C,1,,,,,,,,,,,,
1903,1,27,"CHUBUT - Madryn",1903/01/27,762.8,6.7,17,-6,35,10,43,SW,1,,0,,,,,,,,,,,,
1903,1,28,"CHUBUT - Madryn",1903/01/28,748,-16.8,25,5,30,19,34,SW,3,S,3,,,,,,,,,,,,
1903,1,29,"CHUBUT - Madryn",1903/01/29,757,11,16,-9,30,9,32,,0,,0,,,,,,,,,,,,
1903,1,30,"CHUBUT - Madryn",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"CHUBUT - Madryn",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"CHUBUT - Madryn",1903/02/01,761.8,,17,,29,12,43,NN,2,K,1,,,,,,,,,,,,
1903,2,2,"CHUBUT - Madryn",1903/02/02,757.2,-4.6,22,5,34,17,43,,0,K,1,,,,,,,,,,,,
1903,2,3,"CHUBUT - Madryn",1903/02/03,751.4,-5.8,20,-2,39,18,32,SW,1,C,2,,,,,,,,,,,,
1903,2,4,"CHUBUT - Madryn",1903/02/04,757.1,5.7,14,-6,27,10,47,W,2,N,2,,,,,,,,,,,,
1903,2,5,"CHUBUT - Madryn",1903/02/05,760,2.9,15,1,28,12,39,,,N,2,,,,,,,,,,,,
1903,2,6,"CHUBUT - Madryn",1903/02/06,764.1,4.1,15,0,30,10,39,,0,,0,,,,,,,,,,,,
1903,2,7,"CHUBUT - Madryn",1903/02/07,760.5,-3.6,22,7,30,14,43,SW,1,S,1,,,,,,,,,,,,
1903,2,8,"CHUBUT - Madryn",1903/02/08,761.3,0.8,25,2,37,16,28,W,1,K,1,,,,,,,,,,,,
1903,2,9,"CHUBUT - Madryn",1903/02/09,755.4,-5.9,22,-3,30,15,58,NE,1,S,1,,,,,,,,,,,,
1903,2,10,"CHUBUT - Madryn",1903/02/10,756.2,0.8,21,-1,35,17,49,SW,1,S,1,,,,,,,,,,,,
1903,2,11,"CHUBUT - Madryn",1903/02/11,750.6,-5.6,15,-5,30,15,89,,,C,3,,,,,,,,,,,,
1903,2,12,"CHUBUT - Madryn",1903/02/12,755.1,4.5,14,-2,29,12,28,W,3,S,1,,,,,,,,,,,,
1903,2,13,"CHUBUT - Madryn",1903/02/13,762.2,7.1,13,5,25,9,45,W,1,,0,,,,,,,,,,,,
1903,2,14,"CHUBUT - Madryn",1903/02/14,755.6,-6.6,18,5,28,9,,,0,S,2,,,,,,,,,,,,
1903,2,15,"CHUBUT - Madryn",1903/02/15,748.5,-7.1,17,-1,32,11,61,N,1,C,3,,,,,,,,,,,,
1903,2,16,"CHUBUT - Madryn",1903/02/16,746.5,-2,11,-6,26,8,63,W,2,K,1,,,,,,,,,,,,
1903,2,17,"CHUBUT - Madryn",1903/02/17,754.6,8.1,10,-1,20,7,50,W,2,,0,,,,,,,,,,,,
1903,2,18,"CHUBUT - Madryn",1903/02/18,758.6,4,12,2,19,7,33,NW,2,S,2,,,,,,,,,,,,
1903,2,19,"CHUBUT - Madryn",1903/02/19,756.8,-1.8,16,4,29,12,32,SW,2,,0,,,,,,,,,,,,
1903,2,20,"CHUBUT - Madryn",1903/02/20,758.2,1.4,14,-2,27,9,47,SW,1,S,1,,,,,,,,,,,,
1903,2,21,"CHUBUT - Madryn",1903/02/21,756.6,-1.6,18,4,29,11,36,,0,,0,,,,,,,,,,,,
1903,2,22,"CHUBUT - Madryn",1903/02/22,755.6,-1,19,1,36,14,30,,0,,0,,,,,,,,,,,,
1903,2,23,"CHUBUT - Madryn",1903/02/23,751.6,-4,21,2,34,14,,W,1,K,1,,,,,,,,,,,,
1903,2,24,"CHUBUT - Madryn",1903/02/24,751.2,-0.4,13,-8,35,11,35,W,3,,0,,,,,,,,,,,,
1903,2,25,"CHUBUT - Madryn",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"CHUBUT - Madryn",1903/02/26,760.1,5.8,11,-1,24,8,75,S,1,C,3,,,,,,,,,,,,
1903,2,27,"CHUBUT - Madryn",1903/02/27,765.7,5.6,9,-2,22,4,48,,0,K,1,,,,,,,,,,,,
1903,2,28,"CHUBUT - Madryn",1903/02/28,764.4,-1.3,11,2,25,7,52,,0,S,1,,,,,,,,,,,,
1903,3,1,"CHUBUT - Madryn",1903/03/01,755.7,-8.7,17,6,28,15,34,,0,K,1,,,,,,,,,,,,
1903,3,2,"CHUBUT - Madryn",1903/03/02,755.7,0,16,-1,28,14,,SW,1,,0,,,,,,,,,,,,
1903,3,3,"CHUBUT - Madryn",1903/03/03,758.8,-3.1,15,-1,28,14,39,SW,3,,0,,,,,,,,,,,,
