,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"CORDOBA - Capital",1903/01/01,766.5,-0.5,17,1,25,12,61,N,1,,0,,,,,,,,,,,,
1903,1,2,"CORDOBA - Capital",1903/01/02,764.5,-2,18,1,26,12,71,NE,1,,0,,,,,,,,,,,,
1903,1,3,"CORDOBA - Capital",1903/01/03,763.5,-1,21,3,29,14,65,N,1,C,1,,,,,,,,,,,,
1903,1,4,"CORDOBA - Capital",1903/01/04,762.5,-1,22,1,31,16,58,N,1,CK,2,,,,,,,,,,,,
1903,1,5,"CORDOBA - Capital",1903/01/05,761,-1.5,22,0,31,16,50,NE,1,C,2,,,,,,,,,,,,
1903,1,6,"CORDOBA - Capital",1903/01/06,763,2,19,-3,33,17,90,NE,1,N,3,,,,,,,,,,,,
1903,1,7,"CORDOBA - Capital",1903/01/07,761,-2,20,1,29,18,91,NW,1,KS,3,,,,,,,,,,,,
1903,1,8,"CORDOBA - Capital",1903/01/08,760.5,-0.5,19,-1,34,17,90,NW,1,N,3,,,,,,,,,,,,
1903,1,9,"CORDOBA - Capital",1903/01/09,757.5,-3,22,3,32,17,82,NE,1,,0,,,,,,,,,,,,
1903,1,10,"CORDOBA - Capital",1903/01/10,758,0.5,20,-2,32,18,91,NW,1,KS,3,Rt,,,,,,,,,,,
1903,1,11,"CORDOBA - Capital",1903/01/11,759,1,19,-1,33,18,90,S,1,N,3,,,,,,,,,,,,
1903,1,12,"CORDOBA - Capital",1903/01/12,762,3,19,0,26,14,90,W,1,C,1,,,,,,,,,,,,
1903,1,13,"CORDOBA - Capital",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"CORDOBA - Capital",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"CORDOBA - Capital",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"CORDOBA - Capital",1903/01/16,757.5,1.5,19,-2,32,17,90,NE,1,KS,3,,,,,,,,,,,,
1903,1,17,"CORDOBA - Capital",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"CORDOBA - Capital",1903/01/18,760,-2,17,-1,26,15,90,SW,1,,3,,,,,,,,,,,,
1903,1,19,"CORDOBA - Capital",1903/01/19,755,-5,20,3,29,18,91,E,1,KS,3,,,,,,,,,,,,
1903,1,20,"CORDOBA - Capital",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"CORDOBA - Capital",1903/01/21,764.5,4.5,13,0,23,6,77,,0,,0,,,,,,,,,,,,
1903,1,22,"CORDOBA - Capital",1903/01/22,752.5,-2,14,1,27,11,67,S,2,KS,3,,,,,,,,,,,,
1903,1,23,"CORDOBA - Capital",1903/01/23,763.5,1,15,1,20,8,78,,0,,0,,,,,,,,,,,,
1903,1,24,"CORDOBA - Capital",1903/01/24,761,-2.5,22,7,30,15,43,S,1,,0,,,,,,,,,,,,
1903,1,25,"CORDOBA - Capital",1903/01/25,764,3,18,-4,30,13,71,S,1,C,1,,,,,,,,,,,,
1903,1,26,"CORDOBA - Capital",1903/01/26,761.5,-2.5,19,1,29,16,72,NW,1,CS,1,,,,,,,,,,,,
1903,1,27,"CORDOBA - Capital",1903/01/27,761.5,0,20,1,34,18,91,SW,1,KS,3,,,,,,,,,,,,
1903,1,28,"CORDOBA - Capital",1903/01/28,756.5,-5,23,3,31,19,66,N,1,,0,,,,,,,,,,,,
1903,1,29,"CORDOBA - Capital",1903/01/29,756,-0.5,25,2,37,20,68,SW,1,,0,,,,,,,,,,,,
1903,1,30,"CORDOBA - Capital",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"CORDOBA - Capital",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"CORDOBA - Capital",1903/02/01,763.5,8.5,20,-5,31,17,91,S,1,CS,2,,,,,,,,,,,,
1903,2,2,"CORDOBA - Capital",1903/02/02,761,-2.5,22,2,31,20,91,,0,C,2,,,,,,,,,,,,
