,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Cabo Alarcon",1903/01/01,759.8,-0.5,22,1,33,15,43,SE,1,S,1,,,,,,,,,,,,
1903,1,2,"Cabo Alarcon",1903/01/02,755.4,-4.4,21,-1,35,15,65,W,2,,0,,,,,,,,,,,,
1903,1,3,"Cabo Alarcon",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Cabo Alarcon",1903/01/04,753.3,-2.5,21,0,39,19,49,W,2,CS,2,,,,,,,,,,,,
1903,1,5,"Cabo Alarcon",1903/01/05,757,3.7,19,-2,36,12,54,W,2,,0,,,,,,,,,,,,
1903,1,6,"Cabo Alarcon",1903/01/06,759.3,2.3,22,3,35,,50,W,1,,0,,,,,,,,,,,,
1903,1,7,"Cabo Alarcon",1903/01/07,757.4,-1.9,21,-1,36,17,57,,0,S,3,,,,,,,,,,,,
1903,1,8,"Cabo Alarcon",1903/01/08,756.1,-1.3,20,-1,37,1,,W,1,S,1,,,,,,,,,,,,
1903,1,9,"Cabo Alarcon",1903/01/09,760.5,4.4,14,-6,36,10,28,SW,3,S,1,,,,,,,,,,,,
1903,1,10,"Cabo Alarcon",1903/01/10,761.3,0.8,16,2,24,12,26,SW,2,CS,1,,,,,,,,,,,,
1903,1,11,"Cabo Alarcon",1903/01/11,761.3,0,15,-1,27,6,39,SW,2,,0,,,,,,,,,,,,
1903,1,12,"Cabo Alarcon",1903/01/12,760.7,-0.6,16,1,27,8,24,,0,,0,,,,,,,,,,,,
1903,1,13,"Cabo Alarcon",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Cabo Alarcon",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Cabo Alarcon",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Cabo Alarcon",1903/01/16,757.8,0.5,15,-2,23,7,21,W,2,S,1,,,,,,,,,,,,
1903,1,17,"Cabo Alarcon",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Cabo Alarcon",1903/01/18,758.3,,15,2,26,13,36,SW,2,CS,1,,,,,,,,,,,,
1903,1,19,"Cabo Alarcon",1903/01/19,759,0.7,13,-2,28,8,43,SW,2,S,1,,,,,,,,,,,,
1903,1,20,"Cabo Alarcon",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Cabo Alarcon",1903/01/21,760.7,-1,12,0,21,1,33,,0,CK,3,,,,,,,,,,,,
1903,1,22,"Cabo Alarcon",1903/01/22,760.6,-0.1,10,-2,23,2,50,W,3,S,1,,,,,,,,,,,,
1903,1,23,"Cabo Alarcon",1903/01/23,756.6,-4,20,10,21,10,25,W,1,S,1,,,,,,,,,,,,
1903,1,24,"Cabo Alarcon",1903/01/24,760.8,4.2,14,-6,29,3,37,,0,,0,,,,,,,,,,,,
1903,1,25,"Cabo Alarcon",1903/01/25,758.6,-2.2,17,3,31,9,26,,0,,0,,,,,,,,,,,,
1903,1,26,"Cabo Alarcon",1903/01/26,759.3,0.7,20,3,37,12,25,SW,2,CS,1,,,,,,,,,,,,
1903,1,27,"Cabo Alarcon",1903/01/27,760.1,0.8,18,-2,28,6,28,,0,S,1,,,,,,,,,,,,
1903,1,28,"Cabo Alarcon",1903/01/28,751.9,-8.2,24,6,33,19,33,W,3,S,1,,,,,,,,,,,,
1903,1,29,"Cabo Alarcon",1903/01/29,758.7,6.8,16,-8,31,10,41,NW,1,S,2,,,,,,,,,,,,
1903,1,30,"Cabo Alarcon",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Cabo Alarcon",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Cabo Alarcon",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Cabo Alarcon",1903/02/02,757.1,,20,,35,12,32,,0,,0,,,,,,,,,,,,
1903,2,3,"Cabo Alarcon",1903/02/03,754.5,-2.6,20,0,35,8,25,,0,S,1,,,,,,,,,,,,
1903,2,4,"Cabo Alarcon",1903/02/04,758.3,3.8,15,-5,28,12,21,,0,CS,2,,,,,,,,,,,,
1903,2,5,"Cabo Alarcon",1903/02/05,763.3,5,16,1,28,8,15,,0,,0,,,,,,,,,,,,
1903,2,6,"Cabo Alarcon",1903/02/06,764.1,0.8,17,1,30,9,18,,0,,0,,,,,,,,,,,,
1903,2,7,"Cabo Alarcon",1903/02/07,761.2,-2.9,,,34,9,,NE,2,,0,,,,,,,,,,,,
1903,2,8,"Cabo Alarcon",1903/02/08,757.7,-3.5,26,,38,14,36,E,1,,0,,,,,,,,,,,,
1903,2,9,"Cabo Alarcon",1903/02/09,754,-3.7,25,-1,38,20,28,,,,0,,,,,,,,,,,,
1903,2,10,"Cabo Alarcon",1903/02/10,756.7,2.7,21,-4,41,11,27,,0,,0,,,,,,,,,,,,
1903,2,11,"Cabo Alarcon",1903/02/11,,,15,-6,37,10,30,W,2,S,1,,,,,,,,,,,,
1903,2,12,"Cabo Alarcon",1903/02/12,758.7,,14,-1,30,10,28,SW,1,,0,,,,,,,,,,,,
1903,2,13,"Cabo Alarcon",1903/02/13,763.8,5.1,12,-2,25,3,65,,0,,0,,,,,,,,,,,,
1903,2,14,"Cabo Alarcon",1903/02/14,759.1,-4.9,11,-1,26,6,30,,0,,0,,,,,,,,,,,,
1903,2,15,"Cabo Alarcon",1903/02/15,752,-7.1,17,6,31,11,18,NW,1,,0,,,,,,,,,,,,
1903,2,16,"Cabo Alarcon",1903/02/16,753.8,1.8,12,-5,26,6,22,W,2,CS,1,,,,,,,,,,,,
1903,2,17,"Cabo Alarcon",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
