,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Cabo Raso",1903/01/01,,,18,0,22,,80,,0,,0,,,,,,,,,,,,
1903,1,2,"Cabo Raso",1903/01/02,,,25,7,,,68,SW,1,,0,,,,,,,,,,,,
1903,1,3,"Cabo Raso",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Cabo Raso",1903/01/04,,,18,1,26,,71,,0,,0,,,,,,,,,,,,
1903,1,5,"Cabo Raso",1903/01/05,,,22,4,26,,66,S,3,,0,,,,,,,,,,,,
1903,1,6,"Cabo Raso",1903/01/06,,,17,-5,19,,80,,0,,0,,,,,,,,,,,,
1903,1,7,"Cabo Raso",1903/01/07,,,25,8,,,54,W,2,C,2,,,,,,,,,,,,
1903,1,8,"Cabo Raso",1903/01/08,,,24,-1,,,42,W,2,,0,,,,,,,,,,,,
1903,1,9,"Cabo Raso",1903/01/09,,,16,-8,27,,59,W,3,,0,,,,,,,,,,,,
1903,1,10,"Cabo Raso",1903/01/10,,,17,1,19,,80,SW,1,C,1,,,,,,,,,,,,
1903,1,11,"Cabo Raso",1903/01/11,,,18,1,,,62,W,2,C,1,,,,,,,,,,,,
1903,1,12,"Cabo Raso",1903/01/12,,,18,0,19,,71,W,3,C,2,,,,,,,,,,,,
1903,1,13,"Cabo Raso",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Cabo Raso",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Cabo Raso",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Cabo Raso",1903/01/16,,,13,-2,21,,77,,0,S,3,,,,,,,,,,,,
1903,1,17,"Cabo Raso",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Cabo Raso",1903/01/18,,,18,3,22,,62,,0,S,3,,,,,,,,,,,,
1903,1,19,"Cabo Raso",1903/01/19,,,13,-5,26,,66,W,2,,0,,,,,,,,,,,,
1903,1,20,"Cabo Raso",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Cabo Raso",1903/01/21,,,14,-1,18,,67,,0,S,3,,,,,,,,,,,,
1903,1,22,"Cabo Raso",1903/01/22,,,13,-1,15,,,W,2,,0,,,,,,,,,,,,
1903,1,23,"Cabo Raso",1903/01/23,,,13,0,18,,66,W,1,S,3,,,,,,,,,,,,
1903,1,24,"Cabo Raso",1903/01/24,,,17,4,23,,61,W,1,,0,,,,,,,,,,,,
1903,1,25,"Cabo Raso",1903/01/25,,,26,9,,,48,W,3,,0,,,,,,,,,,,,
1903,1,26,"Cabo Raso",1903/01/26,,,19,-7,39,,63,SW,1,S,2,,,,,,,,,,,,
1903,1,27,"Cabo Raso",1903/01/27,,,18,-1,25,,53,NW,2,,0,,,,,,,,,,,,
1903,1,28,"Cabo Raso",1903/01/28,,,23,5,,,44,W,3,S,2,,,,,,,,,,,,
1903,1,29,"Cabo Raso",1903/01/29,,,18,-5,28,,53,W,3,,0,,,,,,,,,,,,
1903,1,30,"Cabo Raso",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Cabo Raso",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Cabo Raso",1903/02/01,,,20,,22,,72,,0,,0,,,,,,,,,,,,
1903,2,2,"Cabo Raso",1903/02/02,,,20,0,29,,55,,0,,0,,,,,,,,,,,,
1903,2,3,"Cabo Raso",1903/02/03,,,20,0,29,,55,W,2,,0,,,,,,,,,,,,
1903,2,4,"Cabo Raso",1903/02/04,,,17,-3,25,,43,SW,3,,0,,,,,,,,,,,,
1903,2,5,"Cabo Raso",1903/02/05,,,20,3,25,,57,SW,1,C,1,,,,,,,,,,,,
1903,2,6,"Cabo Raso",1903/02/06,,,21,1,26,,49,W,1,C,1,,,,,,,,,,,,
1903,2,7,"Cabo Raso",1903/02/07,,,26,5,27,,55,W,2,C,1,,,,,,,,,,,,
1903,2,8,"Cabo Raso",1903/02/08,,,24,-2,32,,53,SW,2,C,1,,,,,,,,,,,,
1903,2,9,"Cabo Raso",1903/02/09,,,19,-5,26,,72,,0,S,1,,,,,,,,,,,,
1903,2,10,"Cabo Raso",1903/02/10,,,18,-1,31,,80,SW,1,,0,,,,,,,,,,,,
1903,2,11,"Cabo Raso",1903/02/11,,,16,-2,23,,69,,0,N,2,,,,,,,,,,,,
1903,2,12,"Cabo Raso",1903/02/12,,,13,-3,32,6,45,W,3,,0,,,,,,,,,,,,
1903,2,13,"Cabo Raso",1903/02/13,,,14,1,24,7,47,NW,2,,0,,,,,,,,,,,,
1903,2,14,"Cabo Raso",1903/02/14,,,17,3,28,,43,W,2,K,2,,,,,,,,,,,,
1903,2,15,"Cabo Raso",1903/02/15,,,18,1,33,,53,SW,2,S,3,,,,,,,,,,,,
1903,2,16,"Cabo Raso",1903/02/16,,,11,-7,24,,63,SW,3,C,1,,,,,,,,,,,,
1903,2,17,"Cabo Raso",1903/02/17,,,13,2,16,,45,W,2,C,2,,,,,,,,,,,,
1903,2,18,"Cabo Raso",1903/02/18,,,12,-1,17,,65,SW,1,S,2,,,,,,,,,,,,
1903,2,19,"Cabo Raso",1903/02/19,,,15,3,24,,48,W,1,,0,,,,,,,,,,,,
1903,2,20,"Cabo Raso",1903/02/20,,,13,-2,21,,66,SW,2,S,2,,,,,,,,,,,,
1903,2,21,"Cabo Raso",1903/02/21,,,20,7,22,,55,SW,1,,0,,,,,,,,,,,,
1903,2,22,"Cabo Raso",1903/02/22,,,19,-1,36,,63,SW,1,K,3,,,,,,,,,,,,
1903,2,23,"Cabo Raso",1903/02/23,,,18,-1,29,,62,N,1,S,2,,,,,,,,,,,,
1903,2,24,"Cabo Raso",1903/02/24,,,12,-6,26,,54,SW,2,,0,,,,,,,,,,,,
1903,2,25,"Cabo Raso",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Cabo Raso",1903/02/26,,,9,-3,19,,73,S,2,S,2,,,,,,,,,,,,
1903,2,27,"Cabo Raso",1903/02/27,,,12,3,17,,65,SW,1,S,3,,,,,,,,,,,,
1903,2,28,"Cabo Raso",1903/02/28,,,13,1,20,,66,,0,C,1,,,,,,,,,,,,
1903,3,1,"Cabo Raso",1903/03/01,,,16,0,19,,66,S,1,C,1,,,,,,,,,,,,
1903,3,2,"Cabo Raso",1903/03/02,,,17,4,25,,,,0,,0,,,,,,,,,,,,
1903,3,3,"Cabo Raso",1903/03/03,,,14,-3,27,,57,SW,2,K,1,,,,,,,,,,,,
1903,3,4,"Cabo Raso",1903/03/04,,,11,-3,22,,75,,0,C,1,,,,,,,,,,,,
1903,3,5,"Cabo Raso",1903/03/05,,,18,7,18,,71,,0,C,1,,,,,,,,,,,,
1903,3,6,"Cabo Raso",1903/03/06,,,16,-2,29,,79,SW,3,S,3,,,,,,,,,,,,
1903,3,7,"Cabo Raso",1903/03/07,,,13,-3,22,,55,S,2,,0,,,,,,,,,,,,
1903,3,8,"Cabo Raso",1903/03/08,,,14,1,26,,57,W,1,C,2,,,,,,,,,,,,
1903,3,9,"Cabo Raso",1903/03/09,,,18,4,29,,62,SW,2,C,1,,,,,,,,,,,,
1903,3,10,"Cabo Raso",1903/03/10,,,17,-1,31,,61,W,1,C,2,,,,,,,,,,,,
1903,3,11,"Cabo Raso",1903/03/11,,,15,-2,31,,69,W,1,C,1,,,,,,,,,,,,
1903,3,12,"Cabo Raso",1903/03/12,,,23,8,23,,74,W,3,C,2,,,,,,,,,,,,
1903,3,13,"Cabo Raso",1903/03/13,,,19,-4,30,,72,NW,1,C,2,,,,,,,,,,,,
1903,3,14,"Cabo Raso",1903/03/14,,,14,-5,32,,67,S,1,C,1,,,,,,,,,,,,
1903,3,15,"Cabo Raso",1903/03/15,,,14,0,21,,67,,0,S,3,,,,,,,,,,,,
1903,3,16,"Cabo Raso",1903/03/16,,,16,2,18,,69,W,2,,0,,,,,,,,,,,,
1903,3,17,"Cabo Raso",1903/03/17,,,7,-9,16,,71,,0,C,1,,,,,,,,,,,,
1903,3,18,"Cabo Raso",1903/03/18,,,18,11,24,,71,NW,2,S,3,,,,,,,,,,,,
1903,3,19,"Cabo Raso",1903/03/19,,,14,-4,32,,89,,0,S,3,,,,,,,,,,,,
1903,3,20,"Cabo Raso",1903/03/20,,,12,-2,24,,65,,0,,0,,,,,,,,,,,,
1903,3,21,"Cabo Raso",1903/03/21,,,8,-4,17,,72,S,1,,,,,,,,,,,,,,
1903,3,22,"Cabo Raso",1903/03/22,,,12,4,20,,76,SW,2,,0,,,,,,,,,,,,
1903,3,23,"Cabo Raso",1903/03/23,,,11,-1,22,,75,,0,C,1,,,,,,,,,,,,
1903,3,24,"Cabo Raso",1903/03/24,,,13,2,29,,66,,0,C,2,,,,,,,,,,,,
1903,3,25,"Cabo Raso",1903/03/25,,,15,2,24,,58,W,2,C,2,,,,,,,,,,,,
1903,3,26,"Cabo Raso",1903/03/26,,,13,0,19,,55,SW,1,N,3,,,,,,,,,,,,
1903,3,27,"Cabo Raso",1903/03/27,,,14,-1,26,,57,N,2,,0,,,,,,,,,,,,
1903,3,28,"Cabo Raso",1903/03/28,,,7,-7,19,,71,W,1,C,1,,,,,,,,,,,,
1903,3,29,"Cabo Raso",1903/03/29,,,5,-2,17,,69,W,1,S,3,,,,,,,,,,,,
1903,3,30,"Cabo Raso",1903/03/30,,,12,7,15,,54,W,3,C,2,,,,,,,,,,,,
1903,3,31,"Cabo Raso",1903/03/31,,,7,-5,19,,57,,0,,0,,,,,,,,,,,,
1903,4,1,"Cabo Raso",1903/04/01,,,8,1,20,,72,,0,C,1,,,,,,,,,,,,
1903,4,2,"Cabo Raso",1903/04/02,,,14,6,19,,57,,0,C,1,,,,,,,,,,,,
