,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Caleta Olivia",1903/01/01,,,22,5,31,,58,,0,,0,,,,,,,,,,,,
1903,1,2,"Caleta Olivia",1903/01/02,,,23,1,34,,59,SW,2,,0,,,,,,,,,,,,
1903,1,3,"Caleta Olivia",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Caleta Olivia",1903/01/04,,,21,6,25,,57,NW,2,C,1,,,,,,,,,,,,
1903,1,5,"Caleta Olivia",1903/01/05,,,19,-2,33,,72,SW,1,,0,,,,,,,,,,,,
1903,1,6,"Caleta Olivia",1903/01/06,,,17,-2,33,,61,NW,1,C,1,,,,,,,,,,,,
1903,1,7,"Caleta Olivia",1903/01/07,,,21,4,31,,73,W,2,S,2,,,,,,,,,,,,
1903,1,8,"Caleta Olivia",1903/01/08,,,21,0,39,,73,W,3,S,1,,,,,,,,,,,,
1903,1,9,"Caleta Olivia",1903/01/09,,,13,-8,32,,77,SW,2,N,1,,,,,,,,,,,,
1903,1,10,"Caleta Olivia",1903/01/10,,,13,0,26,,77,W,3,N,1,,,,,,,,,,,,
1903,1,11,"Caleta Olivia",1903/01/11,,,13,0,26,,66,SW,3,S,2,,,,,,,,,,,,
1903,1,12,"Caleta Olivia",1903/01/12,,,,,,,,W,1,N,3,,,,,,,,,,,,
1903,1,13,"Caleta Olivia",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Caleta Olivia",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Caleta Olivia",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Caleta Olivia",1903/01/16,,,12,-10,24,,88,NE,1,K,1,,,,,,,,,,,,
1903,1,17,"Caleta Olivia",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Caleta Olivia",1903/01/18,,,16,0,30,,59,W,3,N,1,,,,,,,,,,,,
1903,1,19,"Caleta Olivia",1903/01/19,,,15,-1,29,,78,W,2,K,3,,,,,,,,,,,,
1903,1,20,"Caleta Olivia",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Caleta Olivia",1903/01/21,,,13,1,24,,88,,0,N,3,,,,,,,,,,,,
1903,1,22,"Caleta Olivia",1903/01/22,,,11,-2,17,,75,SW,2,K,1,,,,,,,,,,,,
