,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Camarones,1903/01/01,757.5,-2.4,28,9,29,18,57,W,1,,0,,,,,,,,,,,,
1903,1,2,Camarones,1903/01/02,755,-2.5,22,-6,29,17,,S,2,C,2,,,,,,,,,,,,
1903,1,3,Camarones,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Camarones,1903/01/04,754.5,-7,21,3,21,14,81,,0,,0,,,,,,,,,,,,
1903,1,5,Camarones,1903/01/05,758.6,4.1,21,0,27,16,65,,0,,0,,,,,,,,,,,,
1903,1,6,Camarones,1903/01/06,760.6,2,17,-4,22,12,90,N,1,,0,,,,,,,,,,,,
1903,1,7,Camarones,1903/01/07,756.5,-4.1,24,7,36,16,53,S,2,C,2,,,,,,,,,,,,
1903,1,8,Camarones,1903/01/08,753.1,-3.4,22,-2,33,13,74,,0,,0,,,,,,,,,,,,
1903,1,9,Camarones,1903/01/09,752.6,-0.5,15,-7,29,12,58,S,3,,0,,,,,,,,,,,,
1903,1,10,Camarones,1903/01/10,759.1,6.5,16,1,24,11,59,SW,3,S,2,,,,,,,,,,,,
1903,1,11,Camarones,1903/01/11,759.9,0.8,16,0,25,9,79,W,2,C,1,,,,,,,,,,,,
1903,1,12,Camarones,1903/01/12,757.1,-2.8,17,1,22,12,70,S,2,S,2,,,,,,,,,,,,
1903,1,13,Camarones,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Camarones,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Camarones,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Camarones,1903/01/16,759.6,4,13,0,17,9,88,S,1,S,3,,,,,,,,,,,,
1903,1,17,Camarones,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Camarones,1903/01/18,753.2,-1.4,18,1,25,8,62,S,2,C,2,,,,,,,,,,,,
1903,1,19,Camarones,1903/01/19,752.4,-0.8,14,-4,21,7,67,N,3,C,2,,,,,,,,,,,,
1903,1,20,Camarones,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Camarones,1903/01/21,755.7,-0.9,13,2,15,6,88,,0,N,3,,,,,,,,,,,,
1903,1,22,Camarones,1903/01/22,755.1,-0.6,13,0,18,,77,SW,3,,0,,,,,,,,,,,,
1903,1,23,Camarones,1903/01/23,751.5,-3.6,16,3,18,5,69,W,3,C,1,,,,,,,,,,,,
1903,1,24,Camarones,1903/01/24,757.2,5.7,17,1,21,11,70,,,,0,,,,,,,,,,,,
1903,1,25,Camarones,1903/01/25,752.4,-4.8,25,8,26,15,76,N,3,C,2,,,,,,,,,,,,
1903,1,26,Camarones,1903/01/26,756.9,4.5,18,-7,24,8,90,S,2,C,2,,,,,,,,,,,,
1903,1,27,Camarones,1903/01/27,760.5,3.6,20,2,24,12,91,,0,,0,,,,,,,,,,,,
1903,1,28,Camarones,1903/01/28,745.3,-15.2,23,3,28,12,66,NW,3,K,2,,,,,,,,,,,,
1903,1,29,Camarones,1903/01/29,754.6,9.3,17,-6,20,7,52,N,3,,0,,,,,,,,,,,,
1903,1,30,Camarones,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Camarones,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Camarones,1903/02/01,761.7,,16,,22,5,59,,0,,0,,,,,,,,,,,,
1903,2,2,Camarones,1903/02/02,754.6,-7.1,19,3,25,8,72,NW,1,C,1,,,,,,,,,,,,
1903,2,3,Camarones,1903/02/03,,,18,-1,23,8,71,,0,,0,,,,,,,,,,,,
1903,2,4,Camarones,1903/02/04,755.1,,16,-2,21,6,59,N,3,C,2,,,,,,,,,,,,
1903,2,5,Camarones,1903/02/05,758.9,3.8,20,4,23,7,40,,,C,1,,,,,,,,,,,,
1903,2,6,Camarones,1903/02/06,763.6,4.7,20,0,24,7,72,,0,C,1,,,,,,,,,,,,
1903,2,7,Camarones,1903/02/07,760.4,-3.2,24,4,28,9,75,N,3,C,1,,,,,,,,,,,,
1903,2,8,Camarones,1903/02/08,763.4,3,23,-1,34,11,66,,,C,0,,,,,,,,,,,,
