,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Canada Verde",1903/01/01,764.6,-1.3,18,3,29,14,62,N,2,,0,,,,,,,,,,,,
1903,1,2,"Canada Verde",1903/01/02,762.4,-2.2,20,2,29,14,55,N,2,,0,,,,,,,,,,,,
1903,1,3,"Canada Verde",1903/01/03,761.6,-0.8,22,2,31,19,58,N,2,,0,,,,,,,,,,,,
1903,1,4,"Canada Verde",1903/01/04,759.7,-1.9,23,1,33,20,52,N,2,C,1,,,,,,,,,,,,
1903,1,5,"Canada Verde",1903/01/05,758.2,-1.5,24,1,33,14,62,N,2,C,1,,,,,,,,,,,,
1903,1,6,"Canada Verde",1903/01/06,760.8,2.6,20,-4,38,20,91,N,1,S,2,,,,,,,,,,,,
1903,1,7,"Canada Verde",1903/01/07,759.4,-1.4,22,2,32,17,82,,0,C,2,,,,,,,,,,,,
1903,1,8,"Canada Verde",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Canada Verde",1903/01/09,756.3,-1,27,5,37,18,,W,1,C,1,,,,,,,,,,,,
1903,1,10,"Canada Verde",1903/01/10,756.3,0,22,-5,35,19,82,N,1,S,2,,,,,,,,,,,,
1903,1,11,"Canada Verde",1903/01/11,760.7,4.4,17,-5,35,16,100,S,1,K,3,,,,,,,,,,,,
1903,1,12,"Canada Verde",1903/01/12,760.2,-0.5,21,4,30,14,100,N,1,C,1,,,,,,,,,,,,
1903,1,13,"Canada Verde",1903/01/13,758.1,-2.1,20,-1,35,17,91,E,1,K,2,,,,,,,,,,,,
