,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Canadon de las Vacas",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Canadon de las Vacas",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"Canadon de las Vacas",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Canadon de las Vacas",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"Canadon de las Vacas",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"Canadon de las Vacas",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"Canadon de las Vacas",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Canadon de las Vacas",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Canadon de las Vacas",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Canadon de las Vacas",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Canadon de las Vacas",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Canadon de las Vacas",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Canadon de las Vacas",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Canadon de las Vacas",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Canadon de las Vacas",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Canadon de las Vacas",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Canadon de las Vacas",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Canadon de las Vacas",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"Canadon de las Vacas",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Canadon de las Vacas",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Canadon de las Vacas",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Canadon de las Vacas",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"Canadon de las Vacas",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"Canadon de las Vacas",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"Canadon de las Vacas",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"Canadon de las Vacas",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"Canadon de las Vacas",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"Canadon de las Vacas",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"Canadon de las Vacas",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"Canadon de las Vacas",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Canadon de las Vacas",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Canadon de las Vacas",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Canadon de las Vacas",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"Canadon de las Vacas",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"Canadon de las Vacas",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"Canadon de las Vacas",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"Canadon de las Vacas",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"Canadon de las Vacas",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
