,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Canadon,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Canadon,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Canadon,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Canadon,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Canadon,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Canadon,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Canadon,1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,Canadon,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Canadon,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Canadon,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Canadon,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Canadon,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Canadon,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Canadon,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Canadon,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Canadon,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Canadon,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Canadon,1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,Canadon,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Canadon,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Canadon,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Canadon,1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,Canadon,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Canadon,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Canadon,1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,Canadon,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,Canadon,1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,Canadon,1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,Canadon,1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,Canadon,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Canadon,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Canadon,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Canadon,1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,Canadon,1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,Canadon,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Canadon,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Canadon,1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,Canadon,1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,Canadon,1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,Canadon,1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,Canadon,1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,Canadon,1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,Canadon,1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,Canadon,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Canadon,1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,Canadon,1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,Canadon,1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,Canadon,1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,Canadon,1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,Canadon,1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,Canadon,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Canadon,1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,Canadon,1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,Canadon,1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,Canadon,1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,Canadon,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Canadon,1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,Canadon,1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,Canadon,1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,Canadon,1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,Canadon,1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,Canadon,1903/03/03,,,,,,,,,,,,,,,,,,,,,,,
1903,3,4,Canadon,1903/03/04,,,,,,,,,,,,,,,,,,,,,,,
1903,3,5,Canadon,1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,Canadon,1903/03/06,,,,,,,,,,,,,,,,,,,,,,,
1903,3,7,Canadon,1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,Canadon,1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,Canadon,1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,Canadon,1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,Canadon,1903/03/11,,,,,,,,,,,,,,,,,,,,,,,
1903,3,12,Canadon,1903/03/12,,,,,,,,,,,,,,,,,,,,,,,
1903,3,13,Canadon,1903/03/13,,,,,,,,,,,,,,,,,,,,,,,
1903,3,14,Canadon,1903/03/14,,,,,,,,,,,,,,,,,,,,,,,
1903,3,15,Canadon,1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,Canadon,1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,Canadon,1903/03/17,,,,,,,,,,,,,,,,,,,,,,,
1903,3,18,Canadon,1903/03/18,,,,,,,,,,,,,,,,,,,,,,,
1903,3,19,Canadon,1903/03/19,,,,,,,,,,,,,,,,,,,,,,,
1903,3,20,Canadon,1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
1903,3,21,Canadon,1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,Canadon,1903/03/22,,,,,,,,,,,,,,,,,,,,,,,
1903,3,23,Canadon,1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,Canadon,1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,Canadon,1903/03/25,,,,,,,,,,,,,,,,,,,,,,,
1903,3,26,Canadon,1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,Canadon,1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,Canadon,1903/03/28,748,9.8,3,-3,13,2,100,SW,1,,0,,,,,,,,,,,,
1903,3,29,Canadon,1903/03/29,751.3,3.3,2,-1,14,,100,W,1,N,2,,,,,,,,,,,,
1903,3,30,Canadon,1903/03/30,744.1,-7.2,7,5,16,0,85,SW,2,CS,1,,,,,,,,,,,,
1903,3,31,Canadon,1903/03/31,755,10.9,0,-7,15,0,100,W,1,,0,,,,,,,,,,,,
1903,4,1,Canadon,1903/04/01,760,5,,,20,0,82,W,1,S,1,,,,,,,,,,,,
1903,4,2,Canadon,1903/04/02,752.5,-7.5,12,,23,8,65,NW,1,N,2,,,,,,,,,,,,
