,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Ceres,1903/01/01,766.3,-1,17,1,31,12,70,E,2,,0,,,,,,,,,,,,
1903,1,2,Ceres,1903/01/02,765.7,-0.6,18,1,32,13,80,E,2,,0,,,,,,,,,,,,
1903,1,3,Ceres,1903/01/03,763.7,-2,22,4,35,19,66,NE,2,C,1,,,,,,,,,,,,
1903,1,4,Ceres,1903/01/04,763.6,-0.1,21,-1,36,18,65,NE,3,S,1,,,,,,,,,,,,
1903,1,5,Ceres,1903/01/05,762.2,-1.4,21,0,36,18,57,N,3,K,2,,,,,,,,,,,,
1903,1,6,Ceres,1903/01/06,762.9,0.7,24,3,38,22,46,NE,2,K,2,,,,,,,,,,,,
1903,1,7,Ceres,1903/01/07,762.5,-0.4,24,0,38,19,60,N,2,K,2,,,,,,,,,,,,
1903,1,8,Ceres,1903/01/08,761.2,-1.3,24,0,38,20,67,,0,K,2,,,,,,,,,,,,
1903,1,9,Ceres,1903/01/09,759.2,-2,25,1,37,21,68,NE,2,K,3,,,,,,,,,,,,
1903,1,10,Ceres,1903/01/10,758.2,-1,25,0,32,21,76,N,1,K,3,,,,,,,,,,,,
1903,1,11,Ceres,1903/01/11,758.3,0.1,24,-1,42,23,75,S,3,N,3,,,,,,,,,,,,
1903,1,12,Ceres,1903/01/12,761.6,3.3,22,-2,38,19,91,,0,K,2,,,,,,,,,,,,
1903,1,13,Ceres,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Ceres,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Ceres,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Ceres,1903/01/16,755.1,-1.2,24,-1,41,19,60,NE,3,N,3,Rt,,,,,,,,,,,
1903,1,17,Ceres,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Ceres,1903/01/18,759.2,,21,,32,19,82,,0,N,3,,,,,,,,,,,,
1903,1,19,Ceres,1903/01/19,756.1,-3.1,22,1,33,20,91,E,1,K,1,,,,,,,,,,,,
1903,1,20,Ceres,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Ceres,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Ceres,1903/01/22,758.4,,17,,31,13,70,NE,1,C,1,,,,,,,,,,,,
1903,1,23,Ceres,1903/01/23,763.3,4.9,19,2,30,11,54,NW,1,S,1,,,,,,,,,,,,
1903,1,24,Ceres,1903/01/24,760.7,-2.6,18,-1,31,12,71,NE,2,,0,,,,,,,,,,,,
1903,1,25,Ceres,1903/01/25,764,3.3,20,2,37,16,64,NE,2,K,1,,,,,,,,,,,,
1903,1,26,Ceres,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,Ceres,1903/01/27,761.4,,20,,,19,72,NE,1,KS,2,,,,,,,,,,,,
1903,1,28,Ceres,1903/01/28,758.6,-2.8,23,3,39,18,66,NE,2,,0,,,,,,,,,,,,
1903,1,29,Ceres,1903/01/29,756.1,-2.5,25,2,40,22,83,NE,1,K,1,,,,,,,,,,,,
1903,1,30,Ceres,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Ceres,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Ceres,1903/02/01,759.5,,23,,35,23,93,SW,1,N,3,Rt,,,,,,,,,,,
1903,2,2,Ceres,1903/02/02,760.6,3.5,23,-2,42,22,91,SW,3,N,3,Rt,,,,,,,,,,,
1903,2,3,Ceres,1903/02/03,761,1.5,25,2,29,23,92,E,1,SK,1,,,,,,,,,,,,
1903,2,4,Ceres,1903/02/04,760.4,-0.2,24,1,29,22,100,,0,C,1,,,,,,,,,,,,
1903,2,5,Ceres,1903/02/05,757,-4,27,2,31,25,84,N,1,KN,1,,,,,,,,,,,,
1903,2,6,Ceres,1903/02/06,756.1,-4.3,26,2,38,24,92,NE,1,KN,1,,,,,,,,,,,,
1903,2,7,Ceres,1903/02/07,757,0,23,-4,34,22,91,NE,3,K,3,Rt,,,,,,,,,,,
1903,2,8,Ceres,1903/02/08,756.2,0.1,25,-1,40,22,76,S,3,KN,2,,,,,,,,,,,,
1903,2,9,Ceres,1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,Ceres,1903/02/10,759.5,3.3,23,-2,31,20,91,SE,1,KN,1,,,,,,,,,,,,
1903,2,11,Ceres,1903/02/11,765,5,21,-3,28,19,91,S,1,C,1,,,,,,,,,,,,
1903,2,12,Ceres,1903/02/12,765.3,5.8,22,-1,37,20,74,S,2,SK,1,,,,,,,,,,,,
1903,2,13,Ceres,1903/02/13,,,22,1,30,20,66,E,3,,0,,,,,,,,,,,,
1903,2,14,Ceres,1903/02/14,765.5,0.2,22,0,38,20,82,S,1,SK,1,,,,,,,,,,,,
1903,2,15,Ceres,1903/02/15,767,,22,0,28,18,66,E,2,,0,,,,,,,,,,,,
1903,2,16,Ceres,1903/02/16,765.8,0.3,18,-4,38,15,90,,,,0,,,,,,,,,,,,
1903,2,17,Ceres,1903/02/17,766,-1,21,-1,28,20,91,NE,1,,0,,,,,,,,,,,,
1903,2,18,Ceres,1903/02/18,764.3,-1.5,20,2,37,17,81,SE,1,,0,,,,,,,,,,,,
1903,2,19,Ceres,1903/02/19,763.5,-2.5,23,2,29,21,83,NE,1,,0,,,,,,,,,,,,
1903,2,20,Ceres,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Ceres,1903/02/21,758.5,-5,25,2,32,23,68,N,1,,0,,,,,,,,,,,,
1903,2,22,Ceres,1903/02/22,758.2,,24,,40,23,67,NE,2,C,1,,,,,,,,,,,,
1903,2,23,Ceres,1903/02/23,758,-0.5,25,0,37,24,61,N,1,CK,1,,,,,,,,,,,,
1903,2,24,Ceres,1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,Ceres,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Ceres,1903/02/26,762,4,19,-6,38,18,90,SE,4,NK,3,Rt,,,,,,,,,,,
1903,2,27,Ceres,1903/02/27,759,,23,,41,22,74,S,1,KS,3,,,,,,,,,,,,
1903,2,28,Ceres,1903/02/28,761.5,-0.5,22,3,26,19,91,SE,1,K,2,,,,,,,,,,,,
1903,3,1,Ceres,1903/03/01,761.7,2.7,20,-3,32,20,100,SE,2,S,1,,,,,,,,,,,,
1903,3,2,Ceres,1903/03/02,757.5,-4,24,2,28,22,83,NE,1,,0,,,,,,,,,,,,
1903,3,3,Ceres,1903/03/03,758.2,-3.5,24,4,38,22,83,,0,,0,,,,,,,,,,,,
1903,3,4,Ceres,1903/03/04,754.5,-3,22,-2,33,20,74,E,1,K,1,,,,,,,,,,,,
1903,3,5,Ceres,1903/03/05,753,-5.2,26,2,39,25,83,N,2,KN,3,,,,,,,,,,,,
1903,3,6,Ceres,1903/03/06,756.3,1.8,19,-3,25,18,100,NE,3,KN,3,Rt,,,,,,,,,,,
1903,3,7,Ceres,1903/03/07,,,21,-5,36,19,91,,,N,3,,,,,,,,,,,,
1903,3,8,Ceres,1903/03/08,762,5.7,20,1,27,20,91,SE,2,K,3,,,,,,,,,,,,
1903,3,9,Ceres,1903/03/09,760.6,,22,1,36,22,100,S,2,N,3,Rt,,,,,,,,,,,
1903,3,10,Ceres,1903/03/10,760,-2,21,1,24,20,91,NE,1,KN,3,,,,,,,,,,,,
1903,3,11,Ceres,1903/03/11,760.8,0.2,20,-2,24,18,91,,,C,1,,,,,,,,,,,,
1903,3,12,Ceres,1903/03/12,761,1,22,1,30,21,91,SW,2,KN,3,,,,,,,,,,,,
1903,3,13,Ceres,1903/03/13,761,0.2,22,2,34,20,91,,0,KN,2,,,,,,,,,,,,
1903,3,14,Ceres,1903/03/14,762,1,20,-2,29,19,72,E,1,C,1,,,,,,,,,,,,
1903,3,15,Ceres,1903/03/15,762.3,1.3,20,-2,31,19,100,E,1,C,1,,,,,,,,,,,,
1903,3,16,Ceres,1903/03/16,763,1,21,1,29,19,65,E,1,,0,,,,,,,,,,,,
1903,3,17,Ceres,1903/03/17,762.8,0.5,20,0,36,18,91,NE,1,,0,,,,,,,,,,,,
1903,3,18,Ceres,1903/03/18,761.5,-1.5,22,1,27,20,82,NE,1,,0,,,,,,,,,,,,
1903,3,19,Ceres,1903/03/19,761.1,-1.7,20,0,37,17,81,NE,2,,0,,,,,,,,,,,,
1903,3,20,Ceres,1903/03/20,756.5,-5,23,1,31,21,74,NE,1,K,1,,,,,,,,,,,,
1903,3,21,Ceres,1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,Ceres,1903/03/22,759,1.5,21,1,26,19,82,NE,1,K,2,,,,,,,,,,,,
1903,3,23,Ceres,1903/03/23,758.7,1.9,19,1,28,18,100,E,1,N,2,Rt,,,,,,,,,,,
1903,3,24,Ceres,1903/03/24,763.5,4.5,20,-1,25,18,81,S,1,SK,1,,,,,,,,,,,,
1903,3,25,Ceres,1903/03/25,762.4,3.7,19,0,28,18,90,SE,2,S,1,Rt,,,,,,,,,,,
1903,3,26,Ceres,1903/03/26,768,4.5,15,-5,23,14,58,SE,2,,0,,,,,,,,,,,,
1903,3,27,Ceres,1903/03/27,766.6,4.2,14,-5,28,12,89,SE,1,C,1,,,,,,,,,,,,
1903,3,28,Ceres,1903/03/28,764.5,-3.5,17,2,26,15,70,E,1,K,1,,,,,,,,,,,,
1903,3,29,Ceres,1903/03/29,764.8,-1.8,17,3,28,16,90,SE,1,S,2,,,,,,,,,,,,
1903,3,30,Ceres,1903/03/30,761.5,-3,20,3,24,18,,E,1,N,2,,,,,,,,,,,,
1903,3,31,Ceres,1903/03/31,761.2,-3.6,24,7,29,18,,,0,K,1,,,,,,,,,,,,
1903,4,1,Ceres,1903/04/01,761,-0.5,22,2,27,20,82,,0,,3,,,,,,,,,,,,
1903,4,2,Ceres,1903/04/02,761.3,0.1,21,-3,35,18,91,E,1,,0,,,,,,,,,,,,
1903,4,3,Ceres,1903/04/03,762.5,1.5,23,1,29,21,83,N,1,,0,,,,,,,,,,,,
1903,4,4,Ceres,1903/04/04,761.5,0.2,22,1,38,20,82,,0,CS,2,,,,,,,,,,,,
1903,4,5,Ceres,1903/04/05,763,0.5,22,-1,30,21,91,E,1,,0,,,,,,,,,,,,
1903,4,6,Ceres,1903/04/06,762.2,0.7,21,-1,38,18,91,E,1,KS,2,,,,,,,,,,,,
1903,4,7,Ceres,1903/04/07,759,-4,23,1,31,22,83,N,1,,0,,,,,,,,,,,,
1903,4,8,Ceres,1903/04/08,759.2,-3,21,0,35,18,82,NE,2,,0,,,,,,,,,,,,
1903,4,9,Ceres,1903/04/09,759.5,0.5,21,-2,30,19,91,E,2,N,3,Rt,,,,,,,,,,,
