,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Chivilcoy,1903/01/01,769.6,-0.3,17,2,24,11,80,N,2,,0,,,,,,,,,,,,
1903,1,2,Chivilcoy,1903/01/02,767,-2.6,18,1,24,14,80,N,1,,0,,,,,,,,,,,,
1903,1,3,Chivilcoy,1903/01/03,766.8,-0.2,20,2,26,14,81,N,2,,0,,,,,,,,,,,,
1903,1,4,Chivilcoy,1903/01/04,764.4,-2.4,19,-1,24,16,72,,,,0,,,,,,,,,,,,
1903,1,5,Chivilcoy,1903/01/05,763.3,-1.1,21,2,26,16,73,N,3,C,1,,,,,,,,,,,,
1903,1,6,Chivilcoy,1903/01/06,763.2,-0.1,23,2,29,18,59,N,2,,0,,,,,,,,,,,,
1903,1,7,Chivilcoy,1903/01/07,763.1,-0.1,22,-1,30,19,74,N,1,N,3,,,,,,,,,,,,
1903,1,8,Chivilcoy,1903/01/08,761.4,-1.7,25,3,29,21,76,NE,1,S,1,,,,,,,,,,,,
1903,1,9,Chivilcoy,1903/01/09,759,-2.4,22,-3,27,22,82,NW,1,N,3,,,,,,,,,,,,
1903,1,10,Chivilcoy,1903/01/10,760.2,1.2,20,-2,28,19,91,SE,1,N,3,,,,,,,,,,,,
1903,1,11,Chivilcoy,1903/01/11,759.6,-0.6,15,-5,27,13,100,S,2,N,3,,,,,,,,,,,,
1903,1,12,Chivilcoy,1903/01/12,762.4,2.8,18,3,23,12,80,N,1,,0,,,,,,,,,,,,
1903,1,13,Chivilcoy,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Chivilcoy,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Chivilcoy,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Chivilcoy,1903/01/16,758.7,0.6,20,-2,21,18,81,S,1,N,2,,,,,,,,,,,,
1903,1,17,Chivilcoy,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Chivilcoy,1903/01/18,,,22,4,28,14,58,,,,0,,,,,,,,,,,,
1903,1,19,Chivilcoy,1903/01/19,756.2,,22,0,27,14,74,SE,1,SK,2,,,,,,,,,,,,
1903,1,20,Chivilcoy,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Chivilcoy,1903/01/21,759,3.3,14,-1,22,8,78,W,1,,0,,,,,,,,,,,,
1903,1,22,Chivilcoy,1903/01/22,757.2,-1.8,11,-3,22,10,100,N,1,N,3,,,,,,,,,,,,
1903,1,23,Chivilcoy,1903/01/23,,,13,2,15,8,77,NW,1,N,1,,,,,,,,,,,,
1903,1,24,Chivilcoy,1903/01/24,757.5,,17,4,23,13,70,W,1,,0,,,,,,,,,,,,
1903,1,25,Chivilcoy,1903/01/25,,,17,0,24,8,80,N,1,,0,,,,,,,,,,,,
1903,1,26,Chivilcoy,1903/01/26,,,20,3,28,14,64,N,1,,0,,,,,,,,,,,,
1903,1,27,Chivilcoy,1903/01/27,,,19,-1,27,16,81,E,1,N,2,,,,,,,,,,,,
1903,1,28,Chivilcoy,1903/01/28,757.7,,23,4,25,19,74,N,1,N,2,,,,,,,,,,,,
1903,1,29,Chivilcoy,1903/01/29,755.3,-2.4,26,3,32,22,76,N,1,K,1,,,,,,,,,,,,
1903,1,30,Chivilcoy,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Chivilcoy,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Chivilcoy,1903/02/01,751.7,4.4,20,-5,23,19,91,S,1,N,2,,,,,,,,,,,,
1903,2,2,Chivilcoy,1903/02/02,762.9,1.2,18,-2,27,15,90,,,N,1,,,,,,,,,,,,
1903,2,3,Chivilcoy,1903/02/03,755.5,-7.4,25,7,29,22,83,N,1,C,1,,,,,,,,,,,,
1903,2,4,Chivilcoy,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Chivilcoy,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Chivilcoy,1903/02/06,765.9,,20,,30,15,91,S,1,C,1,,,,,,,,,,,,
1903,2,7,Chivilcoy,1903/02/07,766.8,0.9,17,-3,27,13,80,S,1,,0,,,,,,,,,,,,
1903,2,8,Chivilcoy,1903/02/08,766,-0.8,17,0,26,,80,N,1,,0,,,,,,,,,,,,
1903,2,9,Chivilcoy,1903/02/09,764.8,-1.2,20,3,30,17,81,NE,1,,0,,,,,,,,,,,,
1903,2,10,Chivilcoy,1903/02/10,,,21,1,,17,82,N,1,,0,,,,,,,,,,,,
1903,2,11,Chivilcoy,1903/02/11,756,,23,2,,20,83,N,2,C,1,,,,,,,,,,,,
1903,2,12,Chivilcoy,1903/02/12,757.3,1.3,22,-1,,20,74,S,1,N,3,,,,,,,,,,,,
1903,2,13,Chivilcoy,1903/02/13,760.7,3.4,16,-6,,11,89,E,2,N,3,,,,,,,,,,,,
1903,2,14,Chivilcoy,1903/02/14,760.8,0.1,18,2,,14,80,E,1,,0,,,,,,,,,,,,
1903,2,15,Chivilcoy,1903/02/15,755.6,-5.2,21,3,,17,73,NE,1,C,1,,,,,,,,,,,,
1903,2,16,Chivilcoy,1903/02/16,753.7,-1.9,17,-4,,16,100,S,1,N,2,PD,,,,,,,,,,,
1903,2,17,Chivilcoy,1903/02/17,758.1,4.4,17,0,27,13,80,,,,0,,,,,,,,,,,,
1903,2,18,Chivilcoy,1903/02/18,762.7,4.6,16,-1,,12,79,E,1,,0,,,,,,,,,,,,
1903,2,19,Chivilcoy,1903/02/19,758.2,-4.5,17,1,,12,80,N,1,,0,,,,,,,,,,,,
1903,2,20,Chivilcoy,1903/02/20,761.8,3.6,16,-1,,12,89,E,1,K,1,,,,,,,,,,,,
1903,2,21,Chivilcoy,1903/02/21,762.9,1.1,19,3,,17,72,N,1,C,1,,,,,,,,,,,,
1903,2,22,Chivilcoy,1903/02/22,763.1,0.2,17,-2,,15,70,,,C,1,,,,,,,,,,,,
1903,2,23,Chivilcoy,1903/02/23,759.9,-3.2,19,2,,15,81,N,1,C,1,,,,,,,,,,,,
1903,2,24,Chivilcoy,1903/02/24,754.7,-5.2,20,1,,19,81,W,1,K,2,,,,,,,,,,,,
1903,2,25,Chivilcoy,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Chivilcoy,1903/02/26,760.3,4.5,15,-2,,15,89,E,1,S,2,,,,,,,,,,,,
1903,2,27,Chivilcoy,1903/02/27,763.1,2.8,16,1,,14,89,S,1,,0,,,,,,,,,,,,
1903,2,28,Chivilcoy,1903/02/28,768.4,5.3,11,-5,,7,75,S,1,,0,,,,,,,,,,,,
1903,3,1,Chivilcoy,1903/03/01,766.3,-2.1,12,1,,8,88,E,1,S,1,,,,,,,,,,,,
1903,3,2,Chivilcoy,1903/03/02,762.2,-4.1,14,3,,14,,E,1,K,2,,,,,,,,,,,,
1903,3,3,Chivilcoy,1903/03/03,759.1,-3.1,18,3,,13,80,NW,1,,0,,,,,,,,,,,,
1903,3,4,Chivilcoy,1903/03/04,763.2,4.1,14,-4,,13,89,E,1,K,2,,,,,,,,,,,,
1903,3,5,Chivilcoy,1903/03/05,762.2,-1,16,2,,14,89,E,1,,0,,,,,,,,,,,,
1903,3,6,Chivilcoy,1903/03/06,757.7,-4.5,22,6,,18,74,N,1,,0,,,,,,,,,,,,
1903,3,7,Chivilcoy,1903/03/07,758.7,1,19,-3,,19,90,S,1,N,2,,,,,,,,,,,,
1903,3,8,Chivilcoy,1903/03/08,762.8,4.1,18,-1,,7,100,S,2,N,1,,,,,,,,,,,,
1903,3,9,Chivilcoy,1903/03/09,757.9,-4.9,19,1,,18,100,SE,1,N,3,,,,,,,,,,,,
1903,3,10,Chivilcoy,1903/03/10,758.1,0.2,19,0,,13,90,S,1,N,3,,,,,,,,,,,,
1903,3,11,Chivilcoy,1903/03/11,758.8,0.7,19,0,,15,81,N,1,,0,,,,,,,,,,,,
1903,3,12,Chivilcoy,1903/03/12,761.1,2.3,17,-2,,15,90,NW,1,,0,,,,,,,,,,,,
1903,3,13,Chivilcoy,1903/03/13,758.9,-2.2,19,2,,17,81,W,1,,0,,,,,,,,,,,,
1903,3,14,Chivilcoy,1903/03/14,756.7,-2.2,20,1,,19,91,W,1,S,2,,,,,,,,,,,,
1903,3,15,Chivilcoy,1903/03/15,,,16,-4,,14,89,,,N,1,,,,,,,,,,,,
1903,3,16,Chivilcoy,1903/03/16,753.6,,22,6,,18,82,N,1,C,1,,,,,,,,,,,,
1903,3,17,Chivilcoy,1903/03/17,763.1,9.5,13,-9,,11,77,S,1,C,1,,,,,,,,,,,,
1903,3,18,Chivilcoy,1903/03/18,762.3,-0.8,13,0,,10,77,N,1,,0,,,,,,,,,,,,
1903,3,19,Chivilcoy,1903/03/19,758.1,-4.2,18,5,,10,71,N,1,,0,,,,,,,,,,,,
1903,3,20,Chivilcoy,1903/03/20,754.7,-3.4,21,3,,17,91,N,1,C,1,,,,,,,,,,,,
1903,3,21,Chivilcoy,1903/03/21,757.9,3.2,17,-4,,17,100,S,1,N,3,,,,,,,,,,,,
1903,3,22,Chivilcoy,1903/03/22,763.8,5.9,12,-5,,11,76,S,1,S,1,,,,,,,,,,,,
1903,3,23,Chivilcoy,1903/03/23,766,2.2,17,5,,15,90,E,1,C,1,,,,,,,,,,,,
1903,3,24,Chivilcoy,1903/03/24,757.7,-8.3,22,5,,20,91,N,2,,2,,,,,,,,,,,,
1903,3,25,Chivilcoy,1903/03/25,757.7,-1,21,0,,18,100,N,1,S,2,,,,,,,,,,,,
1903,3,26,Chivilcoy,1903/03/26,758.7,1,21,-1,,20,100,NW,1,C,1,,,,,,,,,,,,
1903,3,27,Chivilcoy,1903/03/27,756.8,-0.9,20,-1,,18,100,N,1,N,2,,,,,,,,,,,,
1903,3,28,Chivilcoy,1903/03/28,755.7,-1.1,19,-1,,18,90,E,1,N,3,,,,,,,,,,,,
1903,3,29,Chivilcoy,1903/03/29,762.4,6.7,12,-7,,12,88,,,N,1,,,,,,,,,,,,
1903,3,30,Chivilcoy,1903/03/30,761.1,-1.3,19,7,,12,90,N,1,S,2,,,,,,,,,,,,
1903,3,31,Chivilcoy,1903/03/31,763.3,2.2,15,-4,,14,78,E,1,N,2,,,,,,,,,,,,
1903,4,1,Chivilcoy,1903/04/01,764.9,1.6,19,4,,17,90,E,1,N,3,,,,,,,,,,,,
1903,4,2,Chivilcoy,1903/04/02,764.8,-0.1,19,0,,19,100,E,1,S,2,,,,,,,,,,,,
1903,4,3,Chivilcoy,1903/04/03,762.9,-1.9,18,-1,,17,90,E,1,K,1,,,,,,,,,,,,
1903,4,4,Chivilcoy,1903/04/04,763.7,0.8,17,-1,,17,90,N,1,K,2,,,,,,,,,,,,
1903,4,5,Chivilcoy,1903/04/05,764.1,0.4,18,1,,17,90,NE,2,N,1,,,,,,,,,,,,
