,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Choele Choel",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Choele Choel",1903/01/02,759,,23,,36,17,37,NW,2,,0,,,,,,,,,,,,
1903,1,3,"Choele Choel",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Choele Choel",1903/01/04,755.8,,27,,40,24,37,N,3,CS,1,,,,,,,,,,,,
1903,1,5,"Choele Choel",1903/01/05,756.6,0.8,23,-4,40,22,74,,0,KN,3,,,,,,,,,,,,
1903,1,6,"Choele Choel",1903/01/06,760.1,3.5,21,-2,31,17,82,SE,1,CS,1,,,,,,,,,,,,
1903,1,7,"Choele Choel",1903/01/07,758.2,-1.9,29,8,40,22,40,NW,1,CS,1,,,,,,,,,,,,
1903,1,8,"Choele Choel",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Choele Choel",1903/01/09,760.8,,19,,38,16,30,S,3,KS,2,,,,,,,,,,,,
1903,1,10,"Choele Choel",1903/01/10,760.1,-0.7,18,-1,29,14,53,,0,KS,2,,,,,,,,,,,,
1903,1,11,"Choele Choel",1903/01/11,761.1,1,19,1,33,14,63,NE,1,KS,1,,,,,,,,,,,,
1903,1,12,"Choele Choel",1903/01/12,759.6,-1.5,19,0,32,11,54,,0,,0,,,,,,,,,,,,
1903,1,13,"Choele Choel",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Choele Choel",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Choele Choel",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Choele Choel",1903/01/16,760.6,3.6,17,-1,31,14,80,S,1,SC,1,,,,,,,,,,,,
1903,1,17,"Choele Choel",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Choele Choel",1903/01/18,757.7,-1.6,18,2,29,14,44,W,1,,0,,,,,,,,,,,,
1903,1,19,"Choele Choel",1903/01/19,757.4,-0.3,15,-3,32,12,39,S,2,,0,,,,,,,,,,,,
1903,1,20,"Choele Choel",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
