,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Chos - Malal",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Chos - Malal",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"Chos - Malal",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Chos - Malal",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"Chos - Malal",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"Chos - Malal",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"Chos - Malal",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Chos - Malal",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Chos - Malal",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Chos - Malal",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Chos - Malal",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Chos - Malal",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Chos - Malal",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Chos - Malal",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Chos - Malal",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Chos - Malal",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Chos - Malal",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Chos - Malal",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"Chos - Malal",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Chos - Malal",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Chos - Malal",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Chos - Malal",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"Chos - Malal",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"Chos - Malal",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"Chos - Malal",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"Chos - Malal",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"Chos - Malal",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
