,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Colonia Sarmiento",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Colonia Sarmiento",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"Colonia Sarmiento",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Colonia Sarmiento",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"Colonia Sarmiento",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"Colonia Sarmiento",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"Colonia Sarmiento",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Colonia Sarmiento",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Colonia Sarmiento",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Colonia Sarmiento",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Colonia Sarmiento",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Colonia Sarmiento",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Colonia Sarmiento",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Colonia Sarmiento",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Colonia Sarmiento",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Colonia Sarmiento",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Colonia Sarmiento",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Colonia Sarmiento",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"Colonia Sarmiento",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Colonia Sarmiento",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Colonia Sarmiento",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Colonia Sarmiento",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"Colonia Sarmiento",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"Colonia Sarmiento",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"Colonia Sarmiento",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"Colonia Sarmiento",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"Colonia Sarmiento",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"Colonia Sarmiento",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"Colonia Sarmiento",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"Colonia Sarmiento",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Colonia Sarmiento",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Colonia Sarmiento",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Colonia Sarmiento",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"Colonia Sarmiento",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"Colonia Sarmiento",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"Colonia Sarmiento",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"Colonia Sarmiento",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"Colonia Sarmiento",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"Colonia Sarmiento",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"Colonia Sarmiento",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"Colonia Sarmiento",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"Colonia Sarmiento",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"Colonia Sarmiento",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"Colonia Sarmiento",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"Colonia Sarmiento",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"Colonia Sarmiento",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"Colonia Sarmiento",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
