,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Concepcion,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Concepcion,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Concepcion,1903/01/03,,,20,,27,10,91,E,2,N,3,,,,,,,,,,,,
1903,1,4,Concepcion,1903/01/04,764.6,,20,,31,14,81,NE,2,,0,,,,,,,,,,,,
1903,1,5,Concepcion,1903/01/05,,,23,3,28,17,83,E,1,N,3,,,,,,,,,,,,
1903,1,6,Concepcion,1903/01/06,766.2,1.6,18,-2,33,13,80,E,3,,0,,,,,,,,,,,,
1903,1,7,Concepcion,1903/01/07,,,24,1,32,19,91,,0,N,2,,,,,,,,,,,,
1903,1,8,Concepcion,1903/01/08,764.6,-1.6,19,1,33,13,72,E,2,,0,,,,,,,,,,,,
1903,1,9,Concepcion,1903/01/09,,,23,-1,33,18,100,,0,,0,,,,,,,,,,,,
1903,1,10,Concepcion,1903/01/10,764.6,0,20,1,33,14,81,E,3,,0,,,,,,,,,,,,
1903,1,11,Concepcion,1903/01/11,,,,,33,12,79,E,2,,0,,,,,,,,,,,,
1903,1,12,Concepcion,1903/01/12,765.5,0.9,20,0,34,14,72,E,2,,0,,,,,,,,,,,,
1903,1,13,Concepcion,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Concepcion,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Concepcion,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Concepcion,1903/01/16,,,29,5,35,18,71,,0,,0,,,,,,,,,,,,
1903,1,17,Concepcion,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Concepcion,1903/01/18,761.4,-1.8,24,2,38,17,67,NE,2,K,2,Rt,,,,,,,,,,,
1903,1,19,Concepcion,1903/01/19,,,23,-6,37,19,83,,0,,0,,,,,,,,,,,,
1903,1,20,Concepcion,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Concepcion,1903/01/21,761.5,0.1,24,0,37,18,75,E,1,C,2,,,,,,,,,,,,
1903,1,22,Concepcion,1903/01/22,,,29,6,37,21,86,,0,C,1,,,,,,,,,,,,
1903,1,23,Concepcion,1903/01/23,758.5,-3,26,2,36,20,62,E,1,C,2,,,,,,,,,,,,
