,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Conesa,1903/01/01,,,21,1,32,19,49,N,2,,0,,,,,,,,,,,,
1903,1,2,Conesa,1903/01/02,,,21,0,32,20,49,N,3,S,1,,,,,,,,,,,,
1903,1,3,Conesa,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Conesa,1903/01/04,,,26,1,37,22,42,N,2,K,1,,,,,,,,,,,,
1903,1,5,Conesa,1903/01/05,,,23,-3,38,20,83,,0,N,3,,,,,,,,,,,,
1903,1,6,Conesa,1903/01/06,,,20,-3,31,16,72,E,2,K,2,,,,,,,,,,,,
1903,1,7,Conesa,1903/01/07,,,29,9,38,16,46,NE,2,C,1,,,,,,,,,,,,
1903,1,8,Conesa,1903/01/08,,,28,-1,41,21,57,N,2,C,1,,,,,,,,,,,,
1903,1,9,Conesa,1903/01/09,,,19,-9,39,18,23,S,3,C,1,,,,,,,,,,,,
1903,1,10,Conesa,1903/01/10,,,18,-1,29,16,62,N,2,K,3,,,,,,,,,,,,
1903,1,11,Conesa,1903/01/11,,,17,-1,32,13,34,E,2,N,3,,,,,,,,,,,,
1903,1,12,Conesa,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Conesa,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Conesa,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Conesa,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Conesa,1903/01/16,,,17,-2,33,14,98,E,2,KN,1,,,,,,,,,,,,
1903,1,17,Conesa,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Conesa,1903/01/18,,,20,4,29,9,40,,,,,,,,,,,,,,,,
1903,1,19,Conesa,1903/01/19,,,18,-2,31,12,44,S,3,,0,,,,,,,,,,,,
1903,1,20,Conesa,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Conesa,1903/01/21,,,15,-2,21,9,68,S,3,K,1,,,,,,,,,,,,
1903,1,22,Conesa,1903/01/22,,,11,-4,24,10,87,S,2,K,3,,,,,,,,,,,,
1903,1,23,Conesa,1903/01/23,,,15,4,24,11,58,W,2,K,2,,,,,,,,,,,,
1903,1,24,Conesa,1903/01/24,,,18,3,30,11,45,S,3,,0,,,,,,,,,,,,
1903,1,25,Conesa,1903/01/25,,,21,3,31,10,41,NE,1,,0,,,,,,,,,,,,
1903,1,26,Conesa,1903/01/26,,,21,0,39,19,65,,,K,1,,,,,,,,,,,,
1903,1,27,Conesa,1903/01/27,,,19,-2,33,12,63,E,2,,0,,,,,,,,,,,,
1903,1,28,Conesa,1903/01/28,,,24,10,35,23,67,W,3,C,1,,,,,,,,,,,,
1903,1,29,Conesa,1903/01/29,,,21,-3,37,12,34,S,2,,0,,,,,,,,,,,,
