,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Coronel Pringles",1903/01/01,767,-2.6,17,4,24,11,61,N,2,,0,,,,,,,,,,,,
1903,1,2,"Coronel Pringles",1903/01/02,765.7,-1.3,17,0,26,12,80,NE,3,S,1,,,,,,,,,,,,
1903,1,3,"Coronel Pringles",1903/01/03,765.3,-0.4,20,3,28,16,72,NW,3,C,3,,,,,,,,,,,,
1903,1,4,"Coronel Pringles",1903/01/04,763,-2.3,19,-1,29,17,81,N,3,C,3,,,,,,,,,,,,
1903,1,5,"Coronel Pringles",1903/01/05,761.1,-1.9,21,2,30,15,57,N,2,C,1,,,,,,,,,,,,
1903,1,6,"Coronel Pringles",1903/01/06,761.6,0.5,23,2,33,19,59,NW,1,K,3,,,,,,,,,,,,
1903,1,7,"Coronel Pringles",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Coronel Pringles",1903/01/08,759.3,,24,,32,20,60,N,3,C,2,,,,,,,,,,,,
1903,1,9,"Coronel Pringles",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Coronel Pringles",1903/01/10,,,13,,29,11,67,NE,2,N,3,,,,,,,,,,,,
1903,1,11,"Coronel Pringles",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Coronel Pringles",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Coronel Pringles",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Coronel Pringles",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Coronel Pringles",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Coronel Pringles",1903/01/16,756.9,-1.1,18,0,27,18,80,N,2,N,3,,,,,,,,,,,,
1903,1,17,"Coronel Pringles",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Coronel Pringles",1903/01/18,758.4,-1.8,17,0,25,9,61,W,1,,0,,,,,,,,,,,,
1903,1,19,"Coronel Pringles",1903/01/19,756.2,-2.2,16,-1,28,14,89,NW,1,K,3,,,,,,,,,,,,
1903,1,20,"Coronel Pringles",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Coronel Pringles",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Coronel Pringles",1903/01/22,754.3,,11,,19,10,75,SW,3,K,3,,,,,,,,,,,,
1903,1,23,"Coronel Pringles",1903/01/23,757,2.7,11,0,14,8,87,,0,C,2,,,,,,,,,,,,
1903,1,24,"Coronel Pringles",1903/01/24,758.7,1.7,15,5,22,11,69,SW,2,K,1,,,,,,,,,,,,
1903,1,25,"Coronel Pringles",1903/01/25,763.5,4.8,13,-3,23,8,88,NW,2,,0,,,,,,,,,,,,
1903,1,26,"Coronel Pringles",1903/01/26,760.5,-3,19,6,29,15,63,NW,2,,0,,,,,,,,,,,,
1903,1,27,"Coronel Pringles",1903/01/27,764.5,4,17,-2,31,14,80,E,1,,0,,,,,,,,,,,,
1903,1,28,"Coronel Pringles",1903/01/28,755.6,-8.9,20,3,27,18,81,N,2,K,3,,,,,,,,,,,,
1903,1,29,"Coronel Pringles",1903/01/29,756.3,0.7,17,-3,31,13,80,S,2,C,1,,,,,,,,,,,,
1903,1,30,"Coronel Pringles",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Coronel Pringles",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Coronel Pringles",1903/02/01,765.2,,18,,25,17,68,S,2,,0,,,,,,,,,,,,
1903,2,2,"Coronel Pringles",1903/02/02,,,12,-6,25,10,88,N,1,S,1,,,,,,,,,,,,
1903,2,3,"Coronel Pringles",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"Coronel Pringles",1903/02/04,756.9,,18,,29,15,80,SE,1,,0,,,,,,,,,,,,
1903,2,5,"Coronel Pringles",1903/02/05,,,16,-2,27,15,79,,0,K,2,,,,,,,,,,,,
1903,2,6,"Coronel Pringles",1903/02/06,767.1,,18,2,27,14,62,,0,,0,,,,,,,,,,,,
1903,2,7,"Coronel Pringles",1903/02/07,767.3,0.2,16,-2,27,12,79,NW,2,C,2,,,,,,,,,,,,
1903,2,8,"Coronel Pringles",1903/02/08,765.7,-1.6,16,0,29,13,79,NW,2,C,1,,,,,,,,,,,,
1903,2,9,"Coronel Pringles",1903/02/09,764.9,-0.8,19,3,29,14,81,N,2,,0,,,,,,,,,,,,
1903,2,10,"Coronel Pringles",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"Coronel Pringles",1903/02/11,754.7,,21,,31,19,82,NW,1,,0,,,,,,,,,,,,
1903,2,12,"Coronel Pringles",1903/02/12,757.6,2.9,17,-4,32,13,43,SE,2,K,2,,,,,,,,,,,,
1903,2,13,"Coronel Pringles",1903/02/13,,,10,-7,25,6,86,,0,C,2,,,,,,,,,,,,
1903,2,14,"Coronel Pringles",1903/02/14,760.6,,17,7,27,12,80,N,2,K,3,,,,,,,,,,,,
1903,2,15,"Coronel Pringles",1903/02/15,755.4,-5.2,20,3,30,16,55,NW,2,N,3,,,,,,,,,,,,
1903,2,16,"Coronel Pringles",1903/02/16,753.3,-2.1,15,-5,30,14,30,NW,3,S,1,,,,,,,,,,,,
1903,2,17,"Coronel Pringles",1903/02/17,759.5,6.2,13,-2,23,10,66,SW,3,K,3,,,,,,,,,,,,
1903,2,18,"Coronel Pringles",1903/02/18,762.4,2.9,9,-4,21,4,61,,0,,0,,,,,,,,,,,,
1903,2,19,"Coronel Pringles",1903/02/19,756,-6.4,15,6,25,13,78,W,2,C,2,,,,,,,,,,,,
1903,2,20,"Coronel Pringles",1903/02/20,761.2,5.2,11,-4,27,5,87,,0,S,1,,,,,,,,,,,,
1903,2,21,"Coronel Pringles",1903/02/21,763.5,2.3,14,3,26,10,78,,0,C,1,,,,,,,,,,,,
1903,2,22,"Coronel Pringles",1903/02/22,760.4,-3.1,17,3,31,13,70,NW,2,C,2,,,,,,,,,,,,
1903,2,23,"Coronel Pringles",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"Coronel Pringles",1903/02/24,753.2,,18,,32,14,62,SW,3,C,3,,,,,,,,,,,,
1903,2,25,"Coronel Pringles",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Coronel Pringles",1903/02/26,760.6,5.6,12,-3,25,8,76,,0,C,3,,,,,,,,,,,,
1903,2,27,"Coronel Pringles",1903/02/27,764.6,4,10,-2,24,9,86,SW,3,K,2,,,,,,,,,,,,
1903,2,28,"Coronel Pringles",1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,"Coronel Pringles",1903/03/01,765.8,,9,,21,4,86,N,2,K,2,,,,,,,,,,,,
1903,3,2,"Coronel Pringles",1903/03/02,762.4,-3.4,14,5,23,13,,N,2,S,3,,,,,,,,,,,,
