,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Curuzu-Cuatia,1903/01/01,766.9,-1.1,17,-2,22,13,70,E,1,,0,,,,,,,,,,,,
1903,1,2,Curuzu-Cuatia,1903/01/02,764.8,-2.1,18,1,28,14,80,E,3,SK,1,,,,,,,,,,,,
1903,1,3,Curuzu-Cuatia,1903/01/03,766.1,1.3,19,1,27,16,81,E,2,CS,1,,,,,,,,,,,,
1903,1,4,Curuzu-Cuatia,1903/01/04,765.5,-0.6,20,1,28,15,64,E,2,C,1,,,,,,,,,,,,
1903,1,5,Curuzu-Cuatia,1903/01/05,764.5,-1,20,0,33,16,64,E,2,,0,,,,,,,,,,,,
1903,1,6,Curuzu-Cuatia,1903/01/06,764.3,-0.2,21,1,33,16,65,E,2,SK,1,,,,,,,,,,,,
1903,1,7,Curuzu-Cuatia,1903/01/07,764,-0.3,23,2,34,19,66,E,1,CS,1,,,,,,,,,,,,
1903,1,8,Curuzu-Cuatia,1903/01/08,761.7,-2.3,25,2,36,19,61,E,1,C,1,,,,,,,,,,,,
1903,1,9,Curuzu-Cuatia,1903/01/09,760.8,-0.9,25,0,,,54,E,1,C,1,,,,,,,,,,,,
1903,1,10,Curuzu-Cuatia,1903/01/10,758.9,-1.9,27,2,39,23,63,N,2,C,1,,,,,,,,,,,,
1903,1,11,Curuzu-Cuatia,1903/01/11,758.4,-0.5,24,-3,37,23,75,SW,3,KN,3,,,,,,,,,,,,
1903,1,12,Curuzu-Cuatia,1903/01/12,760.3,1.9,21,-3,25,19,91,SE,1,N,3,,,,,,,,,,,,
1903,1,13,Curuzu-Cuatia,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Curuzu-Cuatia,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Curuzu-Cuatia,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Curuzu-Cuatia,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Curuzu-Cuatia,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Curuzu-Cuatia,1903/01/18,,,23,0,30,20,74,E,2,K,1,,,,,,,,,,,,
1903,1,19,Curuzu-Cuatia,1903/01/19,,,22,-1,,,82,E,1,SK,1,,,,,,,,,,,,
1903,1,20,Curuzu-Cuatia,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Curuzu-Cuatia,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Curuzu-Cuatia,1903/01/22,759.3,,18,,26,13,62,W,1,C,1,,,,,,,,,,,,
1903,1,23,Curuzu-Cuatia,1903/01/23,,,19,1,29,14,54,S,1,SK,1,,,,,,,,,,,,
1903,1,24,Curuzu-Cuatia,1903/01/24,760.3,,21,2,28,15,57,,,,0,,,,,,,,,,,,
1903,1,25,Curuzu-Cuatia,1903/01/25,765.4,5.1,17,-4,32,12,70,E,2,,0,,,,,,,,,,,,
1903,1,26,Curuzu-Cuatia,1903/01/26,763.5,-1.9,19,2,31,12,63,E,1,CS,2,,,,,,,,,,,,
1903,1,27,Curuzu-Cuatia,1903/01/27,761.3,-2.2,22,3,33,17,66,E,1,CS,1,,,,,,,,,,,,
1903,1,28,Curuzu-Cuatia,1903/01/28,758.1,-3.2,22,0,,17,66,,0,SK,2,,,,,,,,,,,,
1903,1,29,Curuzu-Cuatia,1903/01/29,758.8,0.7,24,2,,21,83,NW,2,S,1,,,,,,,,,,,,
1903,1,30,Curuzu-Cuatia,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Curuzu-Cuatia,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Curuzu-Cuatia,1903/02/01,759.4,1.9,26,0,38,25,84,N,1,K,3,,,,,,,,,,,,
1903,2,2,Curuzu-Cuatia,1903/02/02,760.4,1,27,1,32,26,84,,0,SK,2,,,,,,,,,,,,
1903,2,3,Curuzu-Cuatia,1903/02/03,757.4,-3,27,0,32,23,77,,0,,0,,,,,,,,,,,,
1903,2,4,Curuzu-Cuatia,1903/02/04,757.8,0.4,25,-2,30,20,68,SE,1,KN,3,,,,,,,,,,,,
1903,2,5,Curuzu-Cuatia,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
