,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Dique San Roque",1903/01/01,,,17,1,21,13,70,,0,,0,,,,,,,,,,,,
1903,1,2,"Dique San Roque",1903/01/02,,,18,1,22,13,71,,0,,0,,,,,,,,,,,,
1903,1,3,"Dique San Roque",1903/01/03,,,19,1,25,16,72,,0,C,1,,,,,,,,,,,,
1903,1,4,"Dique San Roque",1903/01/04,,,21,2,24,20,49,NE,3,K,1,,,,,,,,,,,,
1903,1,5,"Dique San Roque",1903/01/05,,,19,-2,27,17,72,,0,C,1,,,,,,,,,,,,
1903,1,6,"Dique San Roque",1903/01/06,,,19,0,29,18,81,SE,2,N,2,,,,,,,,,,,,
1903,1,7,"Dique San Roque",1903/01/07,,,20,1,27,18,81,,0,C,2,,,,,,,,,,,,
1903,1,8,"Dique San Roque",1903/01/08,,,19,-1,31,17,81,NW,1,N,2,,,,,,,,,,,,
1903,1,9,"Dique San Roque",1903/01/09,,,22,3,30,18,82,,0,,0,,,,,,,,,,,,
1903,1,10,"Dique San Roque",1903/01/10,,,20,-2,30,19,91,,0,N,3,,,,,,,,,,,,
1903,1,11,"Dique San Roque",1903/01/11,,,20,0,30,18,91,,0,N,3,,,,,,,,,,,,
1903,1,12,"Dique San Roque",1903/01/12,,,17,-3,27,16,90,,0,,0,,,,,,,,,,,,
1903,1,13,"Dique San Roque",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Dique San Roque",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Dique San Roque",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Dique San Roque",1903/01/16,,,20,0,30,16,81,,0,KS,2,,,,,,,,,,,,
