,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Dolores,1903/01/01,769.6,,19,2,22,12,63,,,KN,2,,,,,,,,,,,,
1903,1,2,Dolores,1903/01/02,768.3,-1.3,20,1,23,14,72,NE,2,K,1,,,,,,,,,,,,
1903,1,3,Dolores,1903/01/03,768.1,-0.2,21,1,25,17,73,NE,2,K,1,,,,,,,,,,,,
1903,1,4,Dolores,1903/01/04,767.2,-0.9,20,-1,26,17,81,NE,2,K,1,,,,,,,,,,,,
1903,1,5,Dolores,1903/01/05,763.2,-4,22,2,26,18,66,NE,2,S,2,,,,,,,,,,,,
1903,1,6,Dolores,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Dolores,1903/01/07,762.9,,24,,33,19,75,NE,1,C,1,,,,,,,,,,,,
1903,1,8,Dolores,1903/01/08,761.4,-1.5,24,0,33,20,75,N,2,N,2,,,,,,,,,,,,
1903,1,9,Dolores,1903/01/09,759.4,-2,23,-1,31,21,,N,2,N,3,,,,,,,,,,,,
1903,1,10,Dolores,1903/01/10,759.9,0.5,20,-3,30,17,81,E,2,S,2,,,,,,,,,,,,
1903,1,11,Dolores,1903/01/11,758.1,-1.8,16,-4,26,14,100,S,1,N,3,,,,,,,,,,,,
1903,1,12,Dolores,1903/01/12,761.1,3,17,1,26,9,90,SE,1,,0,,,,,,,,,,,,
1903,1,13,Dolores,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Dolores,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Dolores,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Dolores,1903/01/16,755.9,-3.4,20,-3,29,19,81,W,2,N,3,,,,,,,,,,,,
1903,1,17,Dolores,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Dolores,1903/01/18,757.9,-3,21,4,28,15,73,NW,1,,0,,,,,,,,,,,,
1903,1,19,Dolores,1903/01/19,755.6,-2.3,22,1,30,18,82,N,1,S,2,,,,,,,,,,,,
1903,1,20,Dolores,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Dolores,1903/01/21,754.5,1.1,15,-8,24,9,68,W,3,,0,,,,,,,,,,,,
1903,1,22,Dolores,1903/01/22,752.3,-2.2,14,-1,22,12,89,W,2,N,3,,,,,,,,,,,,
1903,1,23,Dolores,1903/01/23,757.8,5.5,13,-1,21,8,88,W,2,K,1,,,,,,,,,,,,
1903,1,24,Dolores,1903/01/24,755.8,-2,16,3,23,12,79,N,1,,0,,,,,,,,,,,,
1903,1,25,Dolores,1903/01/25,762.3,6.5,14,-2,22,7,89,S,1,,0,,,,,,,,,,,,
1903,1,26,Dolores,1903/01/26,761.4,-0.9,20,6,27,13,72,NW,2,,0,,,,,,,,,,,,
1903,1,27,Dolores,1903/01/27,762.4,1,21,1,30,17,65,,,K,1,,,,,,,,,,,,
1903,1,28,Dolores,1903/01/28,757.8,-4.6,22,1,26,16,74,N,2,S,1,,,,,,,,,,,,
1903,1,29,Dolores,1903/01/29,753.6,-4.2,25,6,32,21,76,NW,2,,0,,,,,,,,,,,,
1903,1,30,Dolores,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Dolores,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Dolores,1903/02/01,762,3.7,19,-7,34,18,81,S,2,K,2,,,,,,,,,,,,
1903,2,2,Dolores,1903/02/02,762.8,0.8,18,-1,26,15,90,SE,1,N,2,,,,,,,,,,,,
1903,2,3,Dolores,1903/02/03,756.2,-6.6,23,5,28,18,91,NE,2,N,2,,,,,,,,,,,,
1903,2,4,Dolores,1903/02/04,754.3,-1.9,22,-1,28,18,91,W,2,,0,,,,,,,,,,,,
1903,2,5,Dolores,1903/02/05,,,17,-5,29,15,80,S,2,N,3,,,,,,,,,,,,
1903,2,6,Dolores,1903/02/06,764,,19,2,25,15,90,NW,2,,0,,,,,,,,,,,,
1903,2,7,Dolores,1903/02/07,767.3,3.3,15,-4,28,9,100,,0,,0,,,,,,,,,,,,
1903,2,8,Dolores,1903/02/08,766.5,-0.8,18,3,29,14,71,,0,,0,,,,,,,,,,,,
1903,2,9,Dolores,1903/02/09,765.8,-0.7,21,3,30,15,73,NW,2,,0,,,,,,,,,,,,
1903,2,10,Dolores,1903/02/10,764.1,-1.7,22,1,31,18,82,N,1,,0,,,,,,,,,,,,
1903,2,11,Dolores,1903/02/11,757.2,-6.9,23,1,31,18,74,NE,2,,0,,,,,,,,,,,,
1903,2,12,Dolores,1903/02/12,756.7,-0.5,20,-3,35,19,91,SW,1,N,3,,,,,,,,,,,,
1903,2,13,Dolores,1903/02/13,762.1,5.4,16,-4,24,15,100,SE,2,N,3,,,,,,,,,,,,
1903,2,14,Dolores,1903/02/14,760.6,-1.5,15,-2,20,10,100,SE,1,S,1,,,,,,,,,,,,
1903,2,15,Dolores,1903/02/15,755.9,-4.7,21,7,28,14,82,N,2,,0,,,,,,,,,,,,
1903,2,16,Dolores,1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,Dolores,1903/02/17,757.4,,15,,32,13,89,,,N,3,,,,,,,,,,,,
1903,2,18,Dolores,1903/02/18,761.8,4.4,14,-1,24,10,78,S,1,S,1,,,,,,,,,,,,
1903,2,19,Dolores,1903/02/19,757.2,-4.6,18,4,24,13,80,N,2,,0,,,,,,,,,,,,
1903,2,20,Dolores,1903/02/20,760.1,2.9,14,-4,28,10,78,S,1,S,1,,,,,,,,,,,,
1903,2,21,Dolores,1903/02/21,762.4,2.3,17,3,25,12,76,SW,1,,2,,,,,,,,,,,,
1903,2,22,Dolores,1903/02/22,762.5,0.1,19,2,28,16,72,N,2,C,1,,,,,,,,,,,,
1903,2,23,Dolores,1903/02/23,759.7,-2.8,19,0,30,16,81,N,1,,0,,,,,,,,,,,,
1903,2,24,Dolores,1903/02/24,753.1,-6.6,22,3,30,18,82,N,2,C,1,,,,,,,,,,,,
1903,2,25,Dolores,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Dolores,1903/02/26,760.4,4.6,15,-2,28,13,89,SW,1,N,2,,,,,,,,,,,,
1903,2,27,Dolores,1903/02/27,761.5,1.1,15,0,17,12,89,SE,1,N,2,,,,,,,,,,,,
1903,2,28,Dolores,1903/02/28,767.9,6.4,10,-5,21,7,62,SW,2,,0,,,,,,,,,,,,
1903,3,1,Dolores,1903/03/01,765.7,-2.2,13,3,21,8,77,SE,1,,0,,,,,,,,,,,,
1903,3,2,Dolores,1903/03/02,762.9,-2.8,18,5,22,,,NE,1,N,2,,,,,,,,,,,,
1903,3,3,Dolores,1903/03/03,758.7,-4.2,19,1,26,17,90,NE,2,K,2,,,,,,,,,,,,
1903,3,4,Dolores,1903/03/04,762.9,4.2,12,-7,29,10,88,S,2,,0,,,,,,,,,,,,
1903,3,5,Dolores,1903/03/05,763,0.1,15,3,23,11,78,SE,1,N,2,,,,,,,,,,,,
1903,3,6,Dolores,1903/03/06,757.6,-5.4,20,5,22,14,64,N,2,,0,,,,,,,,,,,,
1903,3,7,Dolores,1903/03/07,759,1.4,20,0,31,18,72,S,1,N,3,,,,,,,,,,,,
1903,3,8,Dolores,1903/03/08,761.5,2.5,19,-1,27,17,90,SE,2,N,3,,,,,,,,,,,,
1903,3,9,Dolores,1903/03/09,758.9,-2.6,19,0,24,18,100,S,1,N,3,,,,,,,,,,,,
1903,3,10,Dolores,1903/03/10,757.2,-1.7,18,-1,20,17,100,S,1,N,3,,,,,,,,,,,,
1903,3,11,Dolores,1903/03/11,758.2,1,18,0,24,13,90,NE,1,,0,,,,,,,,,,,,
1903,3,12,Dolores,1903/03/12,758.9,0.7,17,-1,29,13,52,SW,2,,0,,,,,,,,,,,,
1903,3,13,Dolores,1903/03/13,756.7,-2.2,18,1,29,16,90,S,1,,0,,,,,,,,,,,,
1903,3,14,Dolores,1903/03/14,755.5,-1.2,19,1,32,17,90,E,1,N,3,,,,,,,,,,,,
1903,3,15,Dolores,1903/03/15,758.2,2.7,17,-2,30,14,80,S,1,S,1,,,,,,,,,,,,
1903,3,16,Dolores,1903/03/16,751.2,-7,22,5,29,16,82,NW,2,S,1,,,,,,,,,,,,
1903,3,17,Dolores,1903/03/17,760.6,9.4,12,-10,30,11,65,SW,2,,0,,,,,,,,,,,,
1903,3,18,Dolores,1903/03/18,,,12,0,21,9,76,W,1,,0,,,,,,,,,,,,
1903,3,19,Dolores,1903/03/19,757.8,,17,5,24,11,90,N,2,,0,,,,,,,,,,,,
1903,3,20,Dolores,1903/03/20,755.4,-2.4,21,4,29,17,91,N,1,N,1,,,,,,,,,,,,
1903,3,21,Dolores,1903/03/21,757,1.6,18,-3,30,16,100,SW,2,N,3,,,,,,,,,,,,
1903,3,22,Dolores,1903/03/22,763.4,6.4,10,-8,21,9,100,NW,1,S,2,,,,,,,,,,,,
1903,3,23,Dolores,1903/03/23,765.2,1.8,16,6,25,9,89,E,1,K,2,,,,,,,,,,,,
1903,3,24,Dolores,1903/03/24,760,-5.2,20,4,25,15,81,NE,2,S,1,,,,,,,,,,,,
1903,3,25,Dolores,1903/03/25,758.8,-0.2,20,-1,30,17,91,N,1,N,3,,,,,,,,,,,,
1903,3,26,Dolores,1903/03/26,759,-1,21,1,22,20,100,SW,2,N,3,,,,,,,,,,,,
1903,3,27,Dolores,1903/03/27,756.2,-2.6,17,-3,25,15,52,NE,1,N,3,,,,,,,,,,,,
1903,3,28,Dolores,1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,Dolores,1903/03/29,760.7,,11,,22,10,87,S,1,N,2,,,,,,,,,,,,
1903,3,30,Dolores,1903/03/30,758.9,-1.8,14,3,20,11,89,NE,1,S,1,,,,,,,,,,,,
1903,3,31,Dolores,1903/03/31,762.5,3.6,14,0,25,12,89,S,1,,0,,,,,,,,,,,,
1903,4,1,Dolores,1903/04/01,765.8,3.3,17,3,25,13,90,E,1,N,1,,,,,,,,,,,,
1903,4,2,Dolores,1903/04/02,765.4,-0.4,16,-1,29,13,89,E,1,S,2,,,,,,,,,,,,
1903,4,3,Dolores,1903/04/03,764,-1.4,20,4,25,15,91,NE,1,N,2,,,,,,,,,,,,
1903,4,4,Dolores,1903/04/04,765.4,1.4,19,-1,26,17,81,NE,2,S,1,,,,,,,,,,,,
1903,4,5,Dolores,1903/04/05,765.5,0.1,19,0,24,17,90,NE,2,S,1,,,,,,,,,,,,
1903,4,6,Dolores,1903/04/06,762.5,-3,18,-1,25,17,90,N,1,S,3,,,,,,,,,,,,
1903,4,7,Dolores,1903/04/07,759.6,-2.9,19,1,27,17,90,S,2,N,3,,,,,,,,,,,,
1903,4,8,Dolores,1903/04/08,764,4.4,13,-6,21,13,88,S,2,N,2,,,,,,,,,,,,
1903,4,9,Dolores,1903/04/09,769.3,5.3,7,-6,18,5,85,S,1,,0,,,,,,,,,,,,
1903,4,10,Dolores,1903/04/10,769,-0.3,12,5,20,6,88,E,1,S,1,,,,,,,,,,,,
1903,4,11,Dolores,1903/04/11,764.8,-4.2,18,6,23,13,80,NE,2,N,3,,,,,,,,,,,,
1903,4,12,Dolores,1903/04/12,753.8,-11,17,-1,19,15,90,NW,1,N,3,,,,,,,,,,,,
1903,4,13,Dolores,1903/04/13,756.4,2.6,15,-2,28,14,100,W,1,N,3,,,,,,,,,,,,
1903,4,14,Dolores,1903/04/14,761.7,5.3,12,-3,23,10,88,S,1,N,2,,,,,,,,,,,,
1903,4,15,Dolores,1903/04/15,766.9,5.2,9,-3,17,7,86,S,2,S,1,,,,,,,,,,,,
1903,4,16,Dolores,1903/04/16,766.1,-0.8,9,0,18,7,86,NW,1,,0,,,,,,,,,,,,
1903,4,17,Dolores,1903/04/17,,,10,1,21,8,86,S,1,N,2,,,,,,,,,,,,
1903,4,18,Dolores,1903/04/18,758.8,,9,-1,19,8,100,S,1,N,3,,,,,,,,,,,,
1903,4,19,Dolores,1903/04/19,760.1,1.3,10,1,16,7,86,W,3,,0,,,,,,,,,,,,
1903,4,20,Dolores,1903/04/20,761.1,1,8,-2,18,7,86,SW,2,,0,,,,,,,,,,,,
1903,4,21,Dolores,1903/04/21,762.1,1,8,0,14,4,100,SW,1,N,3,,,,,,,,,,,,
1903,4,22,Dolores,1903/04/22,759.6,-2.5,9,1,16,7,100,NW,1,S,1,,,,,,,,,,,,
1903,4,23,Dolores,1903/04/23,763,3.4,10,1,20,8,100,N,1,,0,,,,,,,,,,,,
1903,4,24,Dolores,1903/04/24,759.8,-3.2,12,2,25,9,88,,,S,1,,,,,,,,,,,,
1903,4,25,Dolores,1903/04/25,759.6,-0.2,13,1,24,12,88,S,2,N,3,,,,,,,,,,,,
1903,4,26,Dolores,1903/04/26,763.4,3.8,10,-3,16,9,86,S,2,N,3,,,,,,,,,,,,
1903,4,27,Dolores,1903/04/27,765,2.1,9,-1,12,8,86,S,3,N,3,,,,,,,,,,,,
1903,4,28,Dolores,1903/04/28,769.8,4.3,5,-4,18,4,84,S,1,S,2,,,,,,,,,,,,
1903,4,29,Dolores,1903/04/29,764.5,-5.3,12,7,13,5,100,,,N,2,,,,,,,,,,,,
1903,4,30,Dolores,1903/04/30,756.8,-7.7,14,2,16,13,100,N,2,N,3,,,,,,,,,,,,
1903,5,1,Dolores,1903/05/01,758.1,1.3,8,-6,16,7,86,NW,2,,0,,,,,,,,,,,,
1903,5,2,Dolores,1903/05/02,761,2.9,7,-1,17,6,100,W,1,S,2,,,,,,,,,,,,
1903,5,3,Dolores,1903/05/03,759,-2,12,5,18,7,88,NW,1,,0,,,,,,,,,,,,
1903,5,4,Dolores,1903/05/04,756.4,-2.6,11,-1,20,9,75,W,1,S,2,,,,,,,,,,,,
1903,5,5,Dolores,1903/05/05,752,-4.4,9,-2,18,,86,NW,2,S,2,,,,,,,,,,,,
1903,5,6,Dolores,1903/05/06,760.9,8.9,5,-4,19,4,100,W,1,S,1,,,,,,,,,,,,
1903,5,7,Dolores,1903/05/07,760.1,-0.8,9,4,20,4,100,NW,1,S,1,,,,,,,,,,,,
1903,5,8,Dolores,1903/05/08,763.5,3.4,11,2,23,9,87,S,1,S,1,,,,,,,,,,,,
1903,5,9,Dolores,1903/05/09,764.3,0.8,6,-5,18,4,85,SE,1,S,2,,,,,,,,,,,,
1903,5,10,Dolores,1903/05/10,754.7,-9.6,15,9,18,5,100,S,2,N,3,,,,,,,,,,,,
1903,5,11,Dolores,1903/05/11,757.6,2.9,5,-10,16,4,84,W,1,,0,,,,,,,,,,,,
1903,5,12,Dolores,1903/05/12,764.6,7,2,-3,12,1,82,W,1,,0,,,,,,,,,,,,
1903,5,13,Dolores,1903/05/13,765.4,0.8,4,2,13,1,100,W,1,,0,,,,,,,,,,,,
1903,5,14,Dolores,1903/05/14,771.5,6.1,3,-1,16,2,100,S,2,,0,,,,,,,,,,,,
1903,5,15,Dolores,1903/05/15,,,3,0,12,2,100,,,K,2,,,,,,,,,,,,
1903,5,16,Dolores,1903/05/16,774.9,,,,14,2,,NE,2,N,2,,,,,,,,,,,,
1903,5,17,Dolores,1903/05/17,773.3,-1.6,9,,14,7,100,N,1,N,3,,,,,,,,,,,,
1903,5,18,Dolores,1903/05/18,770,-3.3,12,3,,8,100,E,1,N,3,,,,,,,,,,,,
1903,5,19,Dolores,1903/05/19,765.9,-4.1,13,1,14,11,100,E,1,N,3,,,,,,,,,,,,
1903,5,20,Dolores,1903/05/20,763.1,-2.8,8,-5,15,8,100,NE,1,,0,,,,,,,,,,,,
1903,5,21,Dolores,1903/05/21,763.4,0.3,8,0,16,7,100,W,1,,0,,,,,,,,,,,,
1903,5,22,Dolores,1903/05/22,,,8,0,16,7,100,W,1,S,1,,,,,,,,,,,,
1903,5,23,Dolores,1903/05/23,762,,6,-2,22,4,100,W,1,,0,,,,,,,,,,,,
1903,5,24,Dolores,1903/05/24,760.5,-1.5,9,3,17,5,86,NE,2,,0,,,,,,,,,,,,
1903,5,25,Dolores,1903/05/25,760.9,0.4,12,3,19,,100,N,1,N,2,,,,,,,,,,,,
1903,5,26,Dolores,1903/05/26,761.4,0.5,13,1,17,11,100,N,1,N,3,,,,,,,,,,,,
1903,5,27,Dolores,1903/05/27,768.9,7.5,12,-1,14,11,88,SE,2,N,3,,,,,,,,,,,,
1903,5,28,Dolores,1903/05/28,769.1,,9,-3,15,7,100,S,1,N,3,,,,,,,,,,,,
1903,5,29,Dolores,1903/05/29,768.8,-0.3,11,2,14,8,63,SE,1,N,1,,,,,,,,,,,,
1903,5,30,Dolores,1903/05/30,766.9,-1.9,13,2,15,8,100,E,1,N,3,,,,,,,,,,,,
1903,5,31,Dolores,1903/05/31,766.2,-0.7,15,2,15,12,100,NE,2,N,3,,,,,,,,,,,,
1903,6,1,Dolores,1903/06/01,763.2,-3,15,0,16,13,100,NE,2,N,2,,,,,,,,,,,,
1903,6,2,Dolores,1903/06/02,759.2,-4,14,-1,,14,100,NE,2,S,2,,,,,,,,,,,,
1903,6,3,Dolores,1903/06/03,,,15,1,19,15,100,,,N,3,,,,,,,,,,,,
1903,6,4,Dolores,1903/06/04,762.5,,5,-10,16,5,84,W,2,K,1,,,,,,,,,,,,
1903,6,5,Dolores,1903/06/05,766,3.5,4,-1,11,3,100,SW,1,S,2,,,,,,,,,,,,
1903,6,6,Dolores,1903/06/06,,,6,-1,11,3,100,S,1,,0,,,,,,,,,,,,
1903,6,7,Dolores,1903/06/07,765,,4,1,11,3,83,SW,1,,0,,,,,,,,,,,,
1903,6,8,Dolores,1903/06/08,762.4,-2.6,6,2,13,5,100,N,1,S,1,,,,,,,,,,,,
1903,6,9,Dolores,1903/06/09,,,6,0,14,5,85,N,1,C,1,,,,,,,,,,,,
1903,6,10,Dolores,1903/06/10,761.2,,11,5,15,5,100,N,1,N,3,,,,,,,,,,,,
1903,6,11,Dolores,1903/06/11,759,-2.2,13,2,14,12,88,S,1,N,3,,,,,,,,,,,,
1903,6,12,Dolores,1903/06/12,758,-1,13,0,16,12,88,,,,3,,,,,,,,,,,,
1903,6,13,Dolores,1903/06/13,760.4,2.4,11,-2,17,10,100,N,1,S,3,,,,,,,,,,,,
1903,6,14,Dolores,1903/06/14,,,15,4,16,12,100,NE,1,N,3,,,,,,,,,,,,
1903,6,15,Dolores,1903/06/15,758,,7,-8,18,6,85,W,1,C,1,,,,,,,,,,,,
1903,6,16,Dolores,1903/06/16,755.6,-2.4,9,2,16,7,86,N,1,C,1,,,,,,,,,,,,
1903,6,17,Dolores,1903/06/17,754.9,-0.7,13,4,16,11,100,,0,S,3,,,,,,,,,,,,
1903,6,18,Dolores,1903/06/18,755.3,0.4,10,-3,16,10,100,SE,1,S,3,,,,,,,,,,,,
1903,6,19,Dolores,1903/06/19,766.9,11.6,1,-9,11,-1,65,SW,1,,0,,,,,,,,,,,,
1903,6,20,Dolores,1903/06/20,763.6,-3.3,2,1,10,1,100,N,2,S,2,,,,,,,,,,,,
1903,6,21,Dolores,1903/06/21,758.4,-5.2,10,8,12,5,74,E,1,S,3,,,,,,,,,,,,
1903,6,22,Dolores,1903/06/22,757.4,-1,8,-2,12,7,100,SW,2,S,3,,,,,,,,,,,,
1903,6,23,Dolores,1903/06/23,753.8,-3.6,3,-5,10,2,83,S,1,C,2,,,,,,,,,,,,
1903,6,24,Dolores,1903/06/24,750.3,-3.5,2,-1,10,1,82,W,2,,0,,,,,,,,,,,,
1903,6,25,Dolores,1903/06/25,760,9.7,3,1,7,2,,NW,1,,0,,,,,,,,,,,,
1903,6,26,Dolores,1903/06/26,767,7,3,0,7,0,83,W,1,,0,,,,,,,,,,,,
1903,6,27,Dolores,1903/06/27,762.9,-4.1,6,3,8,1,85,N,1,C,1,,,,,,,,,,,,
1903,6,28,Dolores,1903/06/28,766.2,3.3,6,0,11,1,85,S,1,C,1,,,,,,,,,,,,
1903,6,29,Dolores,1903/06/29,,,,,,,,,,,,,,,,,,,,,,,
1903,6,30,Dolores,1903/06/30,762.5,,11,,15,4,87,NE,2,KS,3,,,,,,,,,,,,
1903,7,1,Dolores,1903/07/01,760.5,-2,16,5,16,9,89,NE,1,CK,1,,,,,,,,,,,,
1903,7,2,Dolores,1903/07/02,758.8,-1.7,16,0,21,15,89,N,1,KS,3,,,,,,,,,,,,
1903,7,3,Dolores,1903/07/03,,,,,,,,,,,,,,,,,,,,,,,
1903,7,4,Dolores,1903/07/04,761.7,,7,,19,6,85,SW,1,KS,3,,,,,,,,,,,,
1903,7,5,Dolores,1903/07/05,765.2,3.5,1,-6,10,1,,NW,1,,0,,,,,,,,,,,,
1903,7,6,Dolores,1903/07/06,753.6,-11.6,5,4,8,4,84,NW,1,,0,,,,,,,,,,,,
1903,7,7,Dolores,1903/07/07,755.3,1.7,4,-1,12,4,100,W,3,,0,,,,,,,,,,,,
1903,7,8,Dolores,1903/07/08,766.9,11.6,1,-3,8,1,100,W,1,S,2,,,,,,,,,,,,
1903,7,9,Dolores,1903/07/09,770.8,3.9,1,0,9,1,100,,0,S,2,,,,,,,,,,,,
1903,7,10,Dolores,1903/07/10,769.9,-0.9,2,1,10,1,82,N,2,,0,,,,,,,,,,,,
1903,7,11,Dolores,1903/07/11,764.2,-5.7,6,4,12,6,100,NE,1,S,2,,,,,,,,,,,,
1903,7,12,Dolores,1903/07/12,758.4,-5.8,13,7,15,10,100,NE,1,N,3,,,,,,,,,,,,
