,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Dos Pozos",1903/01/01,,,26,1,28,12,42,N,2,,0,,,,,,,,,,,,
1903,1,2,"Dos Pozos",1903/01/02,,,25,-1,29,13,54,W,2,CS,2,,,,,,,,,,,,
1903,1,3,"Dos Pozos",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Dos Pozos",1903/01/04,,,25,6,25,13,54,W,2,CS,2,,,,,,,,,,,,
1903,1,5,"Dos Pozos",1903/01/05,,,22,-3,,10,36,SW,2,C,1,,,,,,,,,,,,
1903,1,6,"Dos Pozos",1903/01/06,,,18,-4,21,8,53,E,2,C,1,,,,,,,,,,,,
1903,1,7,"Dos Pozos",1903/01/07,,,24,6,,10,26,S,2,C,1,,,,,,,,,,,,
1903,1,8,"Dos Pozos",1903/01/08,,,24,0,29,13,26,,,,0,,,,,,,,,,,,
1903,1,9,"Dos Pozos",1903/01/09,,,18,-6,27,8,36,S,3,C,1,,,,,,,,,,,,
1903,1,10,"Dos Pozos",1903/01/10,,,15,-3,22,5,30,SW,3,C,1,,,,,,,,,,,,
1903,1,11,"Dos Pozos",1903/01/11,,,14,-1,20,4,47,,,K,1,,,,,,,,,,,,
1903,1,12,"Dos Pozos",1903/01/12,,,16,2,,7,50,SW,2,K,2,,,,,,,,,,,,
1903,1,13,"Dos Pozos",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Dos Pozos",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Dos Pozos",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Dos Pozos",1903/01/16,,,12,-2,21,5,76,S,2,SK,2,,,,,,,,,,,,
1903,1,17,"Dos Pozos",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Dos Pozos",1903/01/18,,,16,2,21,9,50,W,2,CS,2,,,,,,,,,,,,
1903,1,19,"Dos Pozos",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Dos Pozos",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Dos Pozos",1903/01/21,,,12,1,18,5,65,S,2,N,3,,,,,,,,,,,,
1903,1,22,"Dos Pozos",1903/01/22,,,10,-2,12,2,74,S,2,,0,,,,,,,,,,,,
1903,1,23,"Dos Pozos",1903/01/23,,,13,3,14,10,66,SW,2,K,1,,,,,,,,,,,,
1903,1,24,"Dos Pozos",1903/01/24,,,14,1,19,5,47,SW,2,,0,,,,,,,,,,,,
1903,1,25,"Dos Pozos",1903/01/25,,,24,10,27,10,26,W,2,,0,,,,,,,,,,,,
1903,1,26,"Dos Pozos",1903/01/26,,,21,-3,,12,49,SW,2,C,1,,,,,,,,,,,,
1903,1,27,"Dos Pozos",1903/01/27,,,16,-5,25,5,41,W,2,,0,,,,,,,,,,,,
1903,1,28,"Dos Pozos",1903/01/28,,,20,4,33,12,32,W,2,KS,2,,,,,,,,,,,,
1903,1,29,"Dos Pozos",1903/01/29,,,16,-4,25,7,41,W,2,C,1,,,,,,,,,,,,
1903,1,30,"Dos Pozos",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Dos Pozos",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Dos Pozos",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Dos Pozos",1903/02/02,,,23,,,13,25,W,2,C,2,,,,,,,,,,,,
1903,2,3,"Dos Pozos",1903/02/03,,,20,-3,31,13,55,SW,2,,0,,,,,,,,,,,,
1903,2,4,"Dos Pozos",1903/02/04,,,14,-6,20,7,47,SW,2,S,1,,,,,,,,,,,,
1903,2,5,"Dos Pozos",1903/02/05,,,16,2,20,9,59,SW,2,S,2,,,,,,,,,,,,
1903,2,6,"Dos Pozos",1903/02/06,,,18,2,21,8,53,SW,2,C,1,,,,,,,,,,,,
1903,2,7,"Dos Pozos",1903/02/07,,,23,5,28,14,52,NW,2,C,2,,,,,,,,,,,,
1903,2,8,"Dos Pozos",1903/02/08,,,22,-1,32,13,58,W,2,C,0,,,,,,,,,,,,
1903,2,9,"Dos Pozos",1903/02/09,,,22,0,,12,58,N,2,K,1,,,,,,,,,,,,
1903,2,10,"Dos Pozos",1903/02/10,,,19,-3,35,13,63,SW,2,C,1,,,,,,,,,,,,
1903,2,11,"Dos Pozos",1903/02/11,,,13,-6,22,8,66,W,1,KN,3,,,,,,,,,,,,
1903,2,12,"Dos Pozos",1903/02/12,,,12,-1,25,6,43,SW,2,C,1,,,,,,,,,,,,
1903,2,13,"Dos Pozos",1903/02/13,,,11,-1,23,2,41,SW,2,C,1,,,,,,,,,,,,
1903,2,14,"Dos Pozos",1903/02/14,,,14,3,23,8,57,W,2,S,2,,,,,,,,,,,,
1903,2,15,"Dos Pozos",1903/02/15,,,17,3,28,11,52,W,2,SK,2,,,,,,,,,,,,
1903,2,16,"Dos Pozos",1903/02/16,,,9,-8,,3,48,SW,2,C,1,,,,,,,,,,,,
1903,2,17,"Dos Pozos",1903/02/17,,,9,0,23,1,48,W,2,CK,1,,,,,,,,,,,,
1903,2,18,"Dos Pozos",1903/02/18,,,9,0,14,1,48,W,2,S,2,,,,,,,,,,,,
1903,2,19,"Dos Pozos",1903/02/19,,,12,3,24,5,43,W,2,,0,,,,,,,,,,,,
1903,2,20,"Dos Pozos",1903/02/20,,,12,0,20,4,54,SW,2,KS,2,,,,,,,,,,,,
1903,2,21,"Dos Pozos",1903/02/21,,,18,6,23,8,62,W,2,C,1,,,,,,,,,,,,
1903,2,22,"Dos Pozos",1903/02/22,,,17,-1,31,10,61,SW,2,C,1,,,,,,,,,,,,
1903,2,23,"Dos Pozos",1903/02/23,,,22,5,28,10,50,W,2,C,1,,,,,,,,,,,,
1903,2,24,"Dos Pozos",1903/02/24,,,10,-12,28,5,62,SW,2,,0,,,,,,,,,,,,
1903,2,25,"Dos Pozos",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Dos Pozos",1903/02/26,,,7,-3,16,3,85,SW,2,KN,2,,,,,,,,,,,,
1903,2,27,"Dos Pozos",1903/02/27,,,7,0,15,2,71,W,2,KS,2,,,,,,,,,,,,
1903,2,28,"Dos Pozos",1903/02/28,,,10,3,17,4,86,W,2,C,1,,,,,,,,,,,,
1903,3,1,"Dos Pozos",1903/03/01,,,16,6,22,6,50,W,1,CS,2,,,,,,,,,,,,
1903,3,2,"Dos Pozos",1903/03/02,,,16,0,,10,,SW,2,C,1,,,,,,,,,,,,
1903,3,3,"Dos Pozos",1903/03/03,,,12,-4,30,7,65,S,2,,0,,,,,,,,,,,,
1903,3,4,"Dos Pozos",1903/03/04,,,10,-2,18,5,86,NW,2,CS,2,,,,,,,,,,,,
1903,3,5,"Dos Pozos",1903/03/05,,,18,8,18,7,44,,0,CK,1,,,,,,,,,,,,
1903,3,6,"Dos Pozos",1903/03/06,,,17,-1,28,11,52,W,3,S,2,,,,,,,,,,,,
1903,3,7,"Dos Pozos",1903/03/07,,,9,-8,25,3,73,W,2,,0,,,,,,,,,,,,
1903,3,8,"Dos Pozos",1903/03/08,,,13,4,22,5,55,NW,2,KS,2,,,,,,,,,,,,
1903,3,9,"Dos Pozos",1903/03/09,,,14,1,,9,54,NW,2,C,1,,,,,,,,,,,,
1903,3,10,"Dos Pozos",1903/03/10,,,14,0,27,7,57,,,C,1,,,,,,,,,,,,
1903,3,11,"Dos Pozos",1903/03/11,,,15,1,25,10,68,SW,2,C,1,,,,,,,,,,,,
1903,3,12,"Dos Pozos",1903/03/12,,,20,5,25,11,55,W,2,C,1,,,,,,,,,,,,
1903,3,13,"Dos Pozos",1903/03/13,,,16,-4,27,12,59,SW,2,CS,2,,,,,,,,,,,,
1903,3,14,"Dos Pozos",1903/03/14,,,12,-4,19,7,33,W,1,C,1,,,,,,,,,,,,
1903,3,15,"Dos Pozos",1903/03/15,,,12,0,17,7,43,NW,2,S,3,,,,,,,,,,,,
1903,3,16,"Dos Pozos",1903/03/16,,,15,3,,6,58,W,2,CK,1,,,,,,,,,,,,
1903,3,17,"Dos Pozos",1903/03/17,,,7,-8,15,-4,71,SW,1,,0,,,,,,,,,,,,
1903,3,18,"Dos Pozos",1903/03/18,,,14,7,23,2,57,NW,2,S,3,,,,,,,,,,,,
1903,3,19,"Dos Pozos",1903/03/19,,,14,0,25,7,78,,,S,3,,,,,,,,,,,,
1903,3,20,"Dos Pozos",1903/03/20,,,9,-5,24,4,61,W,2,K,1,,,,,,,,,,,,
1903,3,21,"Dos Pozos",1903/03/21,,,7,-2,19,1,57,W,2,,,,,,,,,,,,,,
1903,3,22,"Dos Pozos",1903/03/22,,,10,3,19,3,62,W,2,,0,,,,,,,,,,,,
1903,3,23,"Dos Pozos",1903/03/23,,,10,0,22,2,50,,0,,0,,,,,,,,,,,,
1903,3,24,"Dos Pozos",1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,"Dos Pozos",1903/03/25,,,,,23,4,,W,2,SC,1,,,,,,,,,,,,
1903,3,26,"Dos Pozos",1903/03/26,,,10,,,2,50,W,2,SK,3,,,,,,,,,,,,
1903,3,27,"Dos Pozos",1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,"Dos Pozos",1903/03/28,,,4,,15,6,100,W,2,CS,1,,,,,,,,,,,,
1903,3,29,"Dos Pozos",1903/03/29,,,4,0,14,-1,67,NW,2,SK,2,,,,,,,,,,,,
1903,3,30,"Dos Pozos",1903/03/30,,,9,5,13,2,73,E,3,CS,2,,,,,,,,,,,,
1903,3,31,"Dos Pozos",1903/03/31,,,5,-4,18,0,69,NW,1,,0,,,,,,,,,,,,
1903,4,1,"Dos Pozos",1903/04/01,,,7,2,19,1,71,SW,2,C,1,,,,,,,,,,,,
1903,4,2,"Dos Pozos",1903/04/02,,,11,4,18,4,63,W,1,C,1,,,,,,,,,,,,
1903,4,3,"Dos Pozos",1903/04/03,,,16,5,26,9,59,NW,2,CS,1,,,,,,,,,,,,
1903,4,4,"Dos Pozos",1903/04/04,,,13,-3,28,10,100,NE,2,SK,2,,,,,,,,,,,,
1903,4,5,"Dos Pozos",1903/04/05,,,2,-11,,-2,82,S,1,,0,,,,,,,,,,,,
1903,4,6,"Dos Pozos",1903/04/06,,,3,1,,0,83,SW,2,,0,,,,,,,,,,,,
1903,4,7,"Dos Pozos",1903/04/07,,,4,1,15,-3,83,SW,2,,0,,,,,,,,,,,,
1903,4,8,"Dos Pozos",1903/04/08,,,5,1,17,0,69,SW,3,,0,,,,,,,,,,,,
1903,4,9,"Dos Pozos",1903/04/09,,,8,3,15,2,86,NW,2,,0,,,,,,,,,,,,
1903,4,10,"Dos Pozos",1903/04/10,,,9,1,,5,86,N,2,,0,,,,,,,,,,,,
1903,4,11,"Dos Pozos",1903/04/11,,,10,1,23,7,100,NE,1,S,3,,,,,,,,,,,,
1903,4,12,"Dos Pozos",1903/04/12,,,13,3,25,6,77,W,1,CS,2,,,,,,,,,,,,
1903,4,13,"Dos Pozos",1903/04/13,,,8,-5,,5,,,0,S,3,,,,,,,,,,,,
1903,4,14,"Dos Pozos",1903/04/14,,,4,-4,15,0,100,,0,,0,,,,,,,,,,,,
1903,4,15,"Dos Pozos",1903/04/15,,,5,1,16,2,84,W,1,,0,,,,,,,,,,,,
