,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"ENTRE RIOS - Delicias",1903/01/01,768.3,-0.2,17,2,25,11,88,NE,1,S,1,,,,,,,,,,,,
1903,1,2,"ENTRE RIOS - Delicias",1903/01/02,765.5,-2.8,19,2,27,14,72,NE,1,K,1,,,,,,,,,,,,
1903,1,3,"ENTRE RIOS - Delicias",1903/01/03,765.9,0.4,20,1,30,15,72,NE,2,K,1,,,,,,,,,,,,
1903,1,4,"ENTRE RIOS - Delicias",1903/01/04,765.4,-0.5,20,0,31,16,64,NE,2,K,1,,,,,,,,,,,,
1903,1,5,"ENTRE RIOS - Delicias",1903/01/05,763.7,-1.7,21,1,30,15,65,N,2,C,1,,,,,,,,,,,,
1903,1,6,"ENTRE RIOS - Delicias",1903/01/06,763.8,0.1,21,0,32,16,57,N,1,KC,1,,,,,,,,,,,,
1903,1,7,"ENTRE RIOS - Delicias",1903/01/07,763.1,-0.7,22,1,34,21,74,,0,K,2,,,,,,,,,,,,
1903,1,8,"ENTRE RIOS - Delicias",1903/01/08,761.6,-1.5,23,1,33,20,74,N,1,K,2,,,,,,,,,,,,
1903,1,9,"ENTRE RIOS - Delicias",1903/01/09,758.4,-3.2,24,1,35,20,67,N,1,CK,2,,,,,,,,,,,,
1903,1,10,"ENTRE RIOS - Delicias",1903/01/10,758.4,0,25,1,31,21,76,NE,1,K,2,,,,,,,,,,,,
1903,1,11,"ENTRE RIOS - Delicias",1903/01/11,758.9,0.5,20,-5,37,20,91,W,1,K,3,Rt,,,,,,,,,,,
1903,1,12,"ENTRE RIOS - Delicias",1903/01/12,761.8,2.9,20,0,26,17,71,S,1,K,1,,,,,,,,,,,,
1903,1,13,"ENTRE RIOS - Delicias",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"ENTRE RIOS - Delicias",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"ENTRE RIOS - Delicias",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"ENTRE RIOS - Delicias",1903/01/16,755.6,-1.9,19,-3,35,19,100,SE,2,K,2,Rt,,,,,,,,,,,
1903,1,17,"ENTRE RIOS - Delicias",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"ENTRE RIOS - Delicias",1903/01/18,,,22,2,29,16,66,SE,1,CS,1,,,,,,,,,,,,
1903,1,19,"ENTRE RIOS - Delicias",1903/01/19,755.6,,21,-1,31,17,73,E,1,K,2,,,,,,,,,,,,
1903,1,20,"ENTRE RIOS - Delicias",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"ENTRE RIOS - Delicias",1903/01/21,761.5,4.2,14,1,21,10,67,SW,1,S,1,,,,,,,,,,,,
1903,1,22,"ENTRE RIOS - Delicias",1903/01/22,760.7,-0.8,16,2,25,14,69,S,2,K,2,,,,,,,,,,,,
1903,1,23,"ENTRE RIOS - Delicias",1903/01/23,763.1,2.4,16,0,20,12,69,W,1,S,1,,,,,,,,,,,,
1903,1,24,"ENTRE RIOS - Delicias",1903/01/24,759.2,-3.9,19,3,27,14,63,NW,3,K,1,,,,,,,,,,,,
1903,1,25,"ENTRE RIOS - Delicias",1903/01/25,764.7,5.5,18,-1,28,13,71,NE,1,C,1,,,,,,,,,,,,
1903,1,26,"ENTRE RIOS - Delicias",1903/01/26,763.3,-1.4,19,1,29,9,63,NE,1,SK,2,,,,,,,,,,,,
1903,1,27,"ENTRE RIOS - Delicias",1903/01/27,761.8,-1.5,21,2,31,17,73,,0,K,1,,,,,,,,,,,,
1903,1,28,"ENTRE RIOS - Delicias",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"ENTRE RIOS - Delicias",1903/01/29,757.7,-0.3,25,3,36,21,83,N,1,S,1,,,,,,,,,,,,
1903,1,30,"ENTRE RIOS - Delicias",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"ENTRE RIOS - Delicias",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"ENTRE RIOS - Delicias",1903/02/01,759.7,2.1,23,-2,36,22,100,S,1,K,3,,,,,,,,,,,,
1903,2,2,"ENTRE RIOS - Delicias",1903/02/02,760.2,0.5,24,1,31,22,91,E,1,K,1,,,,,,,,,,,,
1903,2,3,"ENTRE RIOS - Delicias",1903/02/03,756,-4.2,25,1,33,23,92,NE,1,K,1,,,,,,,,,,,,
1903,2,4,"ENTRE RIOS - Delicias",1903/02/04,756.3,0.3,22,-3,35,21,91,N,1,K,3,Rt,,,,,,,,,,,
1903,2,5,"ENTRE RIOS - Delicias",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"ENTRE RIOS - Delicias",1903/02/06,765.3,5,20,-1,30,17,91,S,1,K,1,,,,,,,,,,,,
1903,2,7,"ENTRE RIOS - Delicias",1903/02/07,766.7,1.4,23,3,33,16,52,NE,1,S,1,,,,,,,,,,,,
1903,2,8,"ENTRE RIOS - Delicias",1903/02/08,766.9,0.2,20,-3,30,14,72,NE,1,S,1,,,,,,,,,,,,
1903,2,9,"ENTRE RIOS - Delicias",1903/02/09,765.7,-1.2,20,0,30,16,81,NE,1,S,1,,,,,,,,,,,,
1903,2,10,"ENTRE RIOS - Delicias",1903/02/10,763.3,-2.4,20,0,31,17,81,NE,2,S,1,,,,,,,,,,,,
1903,2,11,"ENTRE RIOS - Delicias",1903/02/11,757.9,-5.4,24,4,34,20,75,NE,1,N,1,,,,,,,,,,,,
1903,2,12,"ENTRE RIOS - Delicias",1903/02/12,757.2,-0.7,23,-1,37,21,74,N,1,K,2,,,,,,,,,,,,
1903,2,13,"ENTRE RIOS - Delicias",1903/02/13,762.6,5.4,19,-4,37,18,90,S,2,K,3,,,,,,,,,,,,
1903,2,14,"ENTRE RIOS - Delicias",1903/02/14,761.8,-0.8,20,1,28,17,91,,0,K,1,,,,,,,,,,,,
1903,2,15,"ENTRE RIOS - Delicias",1903/02/15,757.3,-4.5,23,3,29,19,83,NE,1,SK,1,,,,,,,,,,,,
1903,2,16,"ENTRE RIOS - Delicias",1903/02/16,754.7,-2.6,20,-3,34,18,81,NE,2,K,1,,,,,,,,,,,,
1903,2,17,"ENTRE RIOS - Delicias",1903/02/17,,,18,-2,24,17,100,NE,2,K,2,Rt,,,,,,,,,,,
1903,2,18,"ENTRE RIOS - Delicias",1903/02/18,761.1,,20,2,28,18,91,SE,2,K,3,,,,,,,,,,,,
1903,2,19,"ENTRE RIOS - Delicias",1903/02/19,760.5,-0.6,21,1,26,16,82,,0,KC,1,,,,,,,,,,,,
1903,2,20,"ENTRE RIOS - Delicias",1903/02/20,760.9,0.4,19,-2,31,19,90,SW,1,K,2,,,,,,,,,,,,
1903,2,21,"ENTRE RIOS - Delicias",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"ENTRE RIOS - Delicias",1903/02/22,763.5,,19,,31,14,81,NE,1,S,1,,,,,,,,,,,,
1903,2,23,"ENTRE RIOS - Delicias",1903/02/23,761.5,-2,18,-1,30,15,90,NE,1,K,1,,,,,,,,,,,,
1903,2,24,"ENTRE RIOS - Delicias",1903/02/24,756.2,-5.3,21,3,32,17,82,NE,1,K,2,,,,,,,,,,,,
1903,2,25,"ENTRE RIOS - Delicias",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"ENTRE RIOS - Delicias",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
