,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Esperanza,1903/01/01,768.2,-0.1,18,1,29,12,71,E,2,,0,,,,,,,,,,,,
1903,1,2,Esperanza,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Esperanza,1903/01/03,766.1,,20,,31,16,81,NE,2,K,1,,,,,,,,,,,,
1903,1,4,Esperanza,1903/01/04,765.3,-0.8,22,2,33,16,58,NE,2,S,2,,,,,,,,,,,,
1903,1,5,Esperanza,1903/01/05,763.4,-1.9,21,-1,34,16,65,NE,2,,0,,,,,,,,,,,,
1903,1,6,Esperanza,1903/01/06,763.2,-0.2,22,-1,36,17,58,NE,2,CS,3,,,,,,,,,,,,
1903,1,7,Esperanza,1903/01/07,761.9,-1.3,25,3,37,19,61,NE,1,CK,3,,,,,,,,,,,,
1903,1,8,Esperanza,1903/01/08,760.9,-1,27,2,36,18,56,NE,2,CS,3,,,,,,,,,,,,
1903,1,9,Esperanza,1903/01/09,758.4,-2.5,26,-1,38,21,55,,,CK,3,,,,,,,,,,,,
1903,1,10,Esperanza,1903/01/10,757.5,-0.9,26,0,31,20,69,NE,2,,0,,,,,,,,,,,,
1903,1,11,Esperanza,1903/01/11,758.3,0.8,20,-6,39,19,91,SE,1,N,3,Rt,,,,,,,,,,,
1903,1,12,Esperanza,1903/01/12,762,3.7,20,0,25,17,91,SE,1,N,3,,,,,,,,,,,,
1903,1,13,Esperanza,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Esperanza,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Esperanza,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Esperanza,1903/01/16,755.3,-1.7,21,-3,36,19,100,E,1,N,3,,,,,,,,,,,,
1903,1,17,Esperanza,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
