,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Esquina,1903/01/01,767.6,-1,18,1,25,13,71,E,2,,0,,,,,,,,,,,,
1903,1,2,Esquina,1903/01/02,765.4,-2.2,20,2,27,15,72,E,2,,0,,,,,,,,,,,,
1903,1,3,Esquina,1903/01/03,766.2,0.8,22,2,30,15,66,E,2,S,1,,,,,,,,,,,,
1903,1,4,Esquina,1903/01/04,765.7,-0.5,21,-1,31,15,65,E,2,C,1,,,,,,,,,,,,
1903,1,5,Esquina,1903/01/05,764.6,-1.1,21,0,32,16,65,E,2,C,1,,,,,,,,,,,,
1903,1,6,Esquina,1903/01/06,764.6,0,23,2,33,17,52,NE,2,C,2,,,,,,,,,,,,
1903,1,7,Esquina,1903/01/07,763.9,-0.7,25,2,34,18,61,N,1,C,2,,,,,,,,,,,,
1903,1,8,Esquina,1903/01/08,761.7,-2.2,26,1,34,19,55,N,1,C,1,,,,,,,,,,,,
1903,1,9,Esquina,1903/01/09,759.7,-2,25,-1,35,18,61,E,1,C,1,,,,,,,,,,,,
1903,1,10,Esquina,1903/01/10,759,-0.7,27,2,37,23,69,N,1,C,1,,,,,,,,,,,,
1903,1,11,Esquina,1903/01/11,758.6,-0.4,20,-7,36,20,100,SW,3,N,3,,,,,,,,,,,,
1903,1,12,Esquina,1903/01/12,761.1,2.5,21,1,24,19,91,E,1,N,3,,,,,,,,,,,,
1903,1,13,Esquina,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Esquina,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Esquina,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
