,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"FORMOSA - Formosa",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"FORMOSA - Formosa",1903/01/02,763.2,,23,,28,14,74,SE,1,,0,,,,,,,,,,,,
1903,1,3,"FORMOSA - Formosa",1903/01/03,764.5,1.3,25,2,32,17,61,E,2,K,1,,,,,,,,,,,,
1903,1,4,"FORMOSA - Formosa",1903/01/04,764.7,0.2,24,-1,33,18,60,NE,1,K,1,,,,,,,,,,,,
1903,1,5,"FORMOSA - Formosa",1903/01/05,763.2,-1.5,25,1,32,19,61,NE,1,C,1,,,,,,,,,,,,
1903,1,6,"FORMOSA - Formosa",1903/01/06,764.2,1,28,3,32,19,63,E,1,,0,,,,,,,,,,,,
1903,1,7,"FORMOSA - Formosa",1903/01/07,763.3,-0.9,27,-1,32,19,63,E,1,S,1,,,,,,,,,,,,
1903,1,8,"FORMOSA - Formosa",1903/01/08,762.1,-1.2,28,1,33,20,57,E,1,SK,2,,,,,,,,,,,,
1903,1,9,"FORMOSA - Formosa",1903/01/09,759.7,-2.4,27,-1,35,22,63,E,1,,0,,,,,,,,,,,,
1903,1,10,"FORMOSA - Formosa",1903/01/10,760.4,0.7,26,-1,33,21,69,N,2,N,3,,,,,,,,,,,,
1903,1,11,"FORMOSA - Formosa",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"FORMOSA - Formosa",1903/01/12,760.7,,23,,33,21,91,E,1,N,3,,,,,,,,,,,,
1903,1,13,"FORMOSA - Formosa",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"FORMOSA - Formosa",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"FORMOSA - Formosa",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"FORMOSA - Formosa",1903/01/16,756.6,-1,28,1,38,23,70,E,2,K,1,,,,,,,,,,,,
1903,1,17,"FORMOSA - Formosa",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"FORMOSA - Formosa",1903/01/18,757.1,-2.1,29,5,32,20,78,SE,2,K,1,,,,,,,,,,,,
1903,1,19,"FORMOSA - Formosa",1903/01/19,755.1,-2,24,-5,31,19,83,SW,1,SK,1,,,,,,,,,,,,
1903,1,20,"FORMOSA - Formosa",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"FORMOSA - Formosa",1903/01/21,764.2,,17,,27,13,70,S,1,,0,,,,,,,,,,,,
1903,1,22,"FORMOSA - Formosa",1903/01/22,760.5,-3.7,21,4,27,13,65,N,1,,0,,,,,,,,,,,,
1903,1,23,"FORMOSA - Formosa",1903/01/23,763.1,2.6,18,-3,25,15,80,S,1,CK,1,,,,,,,,,,,,
1903,1,24,"FORMOSA - Formosa",1903/01/24,762.3,-0.8,23,3,25,15,59,E,1,,0,,,,,,,,,,,,
1903,1,25,"FORMOSA - Formosa",1903/01/25,764.2,1.9,22,-1,28,17,74,SE,2,,0,,,,,,,,,,,,
1903,1,26,"FORMOSA - Formosa",1903/01/26,763,-1.2,20,-2,33,16,72,E,1,,0,,,,,,,,,,,,
1903,1,27,"FORMOSA - Formosa",1903/01/27,762.7,-0.3,23,3,36,18,59,SE,1,,0,,,,,,,,,,,,
1903,1,28,"FORMOSA - Formosa",1903/01/28,760,-2.7,26,3,38,22,69,NE,1,N,3,,,,,,,,,,,,
1903,1,29,"FORMOSA - Formosa",1903/01/29,760.2,0.2,27,1,32,22,84,E,2,CK,2,,,,,,,,,,,,
1903,1,30,"FORMOSA - Formosa",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"FORMOSA - Formosa",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"FORMOSA - Formosa",1903/02/01,760.6,,27,,38,23,84,SE,1,N,3,,,,,,,,,,,,
1903,2,2,"FORMOSA - Formosa",1903/02/02,761.2,0.6,29,2,37,23,71,SW,1,K,1,,,,,,,,,,,,
1903,2,3,"FORMOSA - Formosa",1903/02/03,758.1,-3.1,29,0,37,23,71,N,1,K,1,,,,,,,,,,,,
1903,2,4,"FORMOSA - Formosa",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"FORMOSA - Formosa",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"FORMOSA - Formosa",1903/02/06,761.3,,25,,,23,100,S,1,N,3,,,,,,,,,,,,
1903,2,7,"FORMOSA - Formosa",1903/02/07,763.4,2.1,25,0,32,21,68,S,2,CK,1,,,,,,,,,,,,
1903,2,8,"FORMOSA - Formosa",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"FORMOSA - Formosa",1903/02/09,764.2,,23,,,19,70,SE,1,,0,,,,,,,,,,,,
1903,2,10,"FORMOSA - Formosa",1903/02/10,763.1,-1.1,27,4,,21,69,NE,1,,0,,,,,,,,,,,,
1903,2,11,"FORMOSA - Formosa",1903/02/11,761.1,-2,27,0,,22,69,NE,1,,0,,,,,,,,,,,,
1903,2,12,"FORMOSA - Formosa",1903/02/12,759.1,-2,29,2,,22,64,NE,2,,0,,,,,,,,,,,,
1903,2,13,"FORMOSA - Formosa",1903/02/13,760,0.9,32,3,,26,66,NE,2,K,2,,,,,,,,,,,,
1903,2,14,"FORMOSA - Formosa",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"FORMOSA - Formosa",1903/02/15,758.1,,25,,,15,92,NE,3,N,3,,,,,,,,,,,,
1903,2,16,"FORMOSA - Formosa",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"FORMOSA - Formosa",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"FORMOSA - Formosa",1903/02/18,760.1,,28,,,24,70,N,2,KN,3,,,,,,,,,,,,
1903,2,19,"FORMOSA - Formosa",1903/02/19,760.1,0,23,-5,,22,91,S,1,N,3,,,,,,,,,,,,
1903,2,20,"FORMOSA - Formosa",1903/02/20,758.7,-1.4,29,6,,22,71,N,1,,0,,,,,,,,,,,,
1903,2,21,"FORMOSA - Formosa",1903/02/21,763,4.3,21,-5,,19,91,W,1,N,3,,,,,,,,,,,,
1903,2,22,"FORMOSA - Formosa",1903/02/22,762.2,-0.8,24,3,,20,,SE,1,N,3,,,,,,,,,,,,
1903,2,23,"FORMOSA - Formosa",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"FORMOSA - Formosa",1903/02/24,760,,30,,,19,59,N,1,K,1,,,,,,,,,,,,
1903,2,25,"FORMOSA - Formosa",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"FORMOSA - Formosa",1903/02/26,756.4,,26,,,17,83,N,1,N,3,,,,,,,,,,,,
1903,2,27,"FORMOSA - Formosa",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"FORMOSA - Formosa",1903/02/28,764,,22,,,17,100,W,2,N,3,Rt,,,,,,,,,,,
1903,3,1,"FORMOSA - Formosa",1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,"FORMOSA - Formosa",1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,"FORMOSA - Formosa",1903/03/03,761.2,,24,,,21,83,NE,1,N,1,,,,,,,,,,,,
1903,3,4,"FORMOSA - Formosa",1903/03/04,761.7,0.5,24,0,,23,100,NE,1,N,3,Nl,,,,,,,,,,,
1903,3,5,"FORMOSA - Formosa",1903/03/05,762,0.3,26,2,,21,69,E,1,C,1,,,,,,,,,,,,
1903,3,6,"FORMOSA - Formosa",1903/03/06,758.5,-3.5,27,1,,22,77,NE,1,C,1,,,,,,,,,,,,
1903,3,7,"FORMOSA - Formosa",1903/03/07,759.7,1.2,28,1,,24,77,N,2,K,2,,,,,,,,,,,,
1903,3,8,"FORMOSA - Formosa",1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,"FORMOSA - Formosa",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"FORMOSA - Formosa",1903/03/10,757.3,,27,,,24,84,N,1,N,3,,,,,,,,,,,,
1903,3,11,"FORMOSA - Formosa",1903/03/11,760.2,2.9,23,-4,,21,91,SW,1,N,3,,,,,,,,,,,,
1903,3,12,"FORMOSA - Formosa",1903/03/12,762.7,2.5,24,1,,21,75,S,2,K,2,,,,,,,,,,,,
1903,3,13,"FORMOSA - Formosa",1903/03/13,761.8,-0.9,23,-1,30,22,91,S,1,KN,3,,,,,,,,,,,,
1903,3,14,"FORMOSA - Formosa",1903/03/14,761.7,-0.1,23,0,31,21,91,S,1,N,3,,,,,,,,,,,,
1903,3,15,"FORMOSA - Formosa",1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,"FORMOSA - Formosa",1903/03/16,761,,27,,27,21,77,E,1,C,1,,,,,,,,,,,,
1903,3,17,"FORMOSA - Formosa",1903/03/17,760.4,-0.6,27,0,33,23,84,N,2,CK,1,,,,,,,,,,,,
1903,3,18,"FORMOSA - Formosa",1903/03/18,763,2.6,19,-8,33,17,90,S,2,N,3,,,,,,,,,,,,
1903,3,19,"FORMOSA - Formosa",1903/03/19,760.2,-2.8,24,5,30,19,83,E,1,SK,1,,,,,,,,,,,,
1903,3,20,"FORMOSA - Formosa",1903/03/20,756.8,-3.4,22,-2,28,21,91,E,2,K,1,,,,,,,,,,,,
1903,3,21,"FORMOSA - Formosa",1903/03/21,756.2,-0.6,28,6,31,25,77,NE,2,S,1,,,,,,,,,,,,
1903,3,22,"FORMOSA - Formosa",1903/03/22,759.5,3.3,27,-1,33,25,92,N,1,KN,2,,,,,,,,,,,,
1903,3,23,"FORMOSA - Formosa",1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,"FORMOSA - Formosa",1903/03/24,761,,28,,31,20,77,E,2,,0,,,,,,,,,,,,
1903,3,25,"FORMOSA - Formosa",1903/03/25,761.2,,28,,34,24,77,N,1,CK,1,,,,,,,,,,,,
1903,3,26,"FORMOSA - Formosa",1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,"FORMOSA - Formosa",1903/03/27,760,-1.2,27,-1,34,24,77,N,2,C,1,,,,,,,,,,,,
1903,3,28,"FORMOSA - Formosa",1903/03/28,759.6,-0.4,28,1,35,24,77,E,2,,0,,,,,,,,,,,,
1903,3,29,"FORMOSA - Formosa",1903/03/29,758.1,-1.5,29,1,35,25,77,N,1,CK,1,,,,,,,,,,,,
1903,3,30,"FORMOSA - Formosa",1903/03/30,758.2,-0.1,27,-2,36,24,84,N,2,KN,2,,,,,,,,,,,,
1903,3,31,"FORMOSA - Formosa",1903/03/31,761,2.8,24,-3,36,22,92,SE,2,N,3,,,,,,,,,,,,
1903,4,1,"FORMOSA - Formosa",1903/04/01,762.4,1.4,27,3,27,22,84,SW,1,K,2,,,,,,,,,,,,
1903,4,2,"FORMOSA - Formosa",1903/04/02,763.3,0.9,28,1,32,23,77,SE,1,SK,1,,,,,,,,,,,,
1903,4,3,"FORMOSA - Formosa",1903/04/03,761.5,-1.8,24,-4,31,22,92,E,1,S,1,,,,,,,,,,,,
1903,4,4,"FORMOSA - Formosa",1903/04/04,,,,,,,,,,,,,,,,,,,,,,,
1903,4,5,"FORMOSA - Formosa",1903/04/05,,,,,,,,,,,,,,,,,,,,,,,
1903,4,6,"FORMOSA - Formosa",1903/04/06,,,,,,,,,,,,,,,,,,,,,,,
1903,4,7,"FORMOSA - Formosa",1903/04/07,761.7,,24,,29,21,83,NE,1,,0,,,,,,,,,,,,
1903,4,8,"FORMOSA - Formosa",1903/04/08,762,0.3,25,1,29,21,76,E,1,CK,2,,,,,,,,,,,,
1903,4,9,"FORMOSA - Formosa",1903/04/09,763.4,1.4,25,0,31,21,76,E,1,SK,1,,,,,,,,,,,,
1903,4,10,"FORMOSA - Formosa",1903/04/10,764.5,1.1,24,-1,29,21,91,SE,2,C,1,,,,,,,,,,,,
1903,4,11,"FORMOSA - Formosa",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"FORMOSA - Formosa",1903/04/12,,,26,,29,21,62,N,2,CK,1,,,,,,,,,,,,
1903,4,13,"FORMOSA - Formosa",1903/04/13,759.6,,25,-1,32,21,76,N,2,C,1,,,,,,,,,,,,
1903,4,14,"FORMOSA - Formosa",1903/04/14,,,,,,,,,,,,,,,,,,,,,,,
1903,4,15,"FORMOSA - Formosa",1903/04/15,761.3,,22,,25,19,91,SE,1,N,3,,,,,,,,,,,,
1903,4,16,"FORMOSA - Formosa",1903/04/16,764.8,3.5,17,-5,21,15,90,S,3,N,3,,,,,,,,,,,,
1903,4,17,"FORMOSA - Formosa",1903/04/17,764,-0.8,17,0,20,14,80,S,1,N,3,,,,,,,,,,,,
1903,4,18,"FORMOSA - Formosa",1903/04/18,,,,,,,,,,,,,,,,,,,,,,,
1903,4,19,"FORMOSA - Formosa",1903/04/19,,,,,,,,,,,,,,,,,,,,,,,
1903,4,20,"FORMOSA - Formosa",1903/04/20,767.2,,,,24,11,,S,1,,0,,,,,,,,,,,,
1903,4,21,"FORMOSA - Formosa",1903/04/21,767,-0.2,,,24,11,,SE,1,,0,,,,,,,,,,,,
1903,4,22,"FORMOSA - Formosa",1903/04/22,764.7,-2.3,16,,21,12,89,E,2,C,0,,,,,,,,,,,,
1903,4,23,"FORMOSA - Formosa",1903/04/23,,,,,,,,,,,,,,,,,,,,,,,
1903,4,24,"FORMOSA - Formosa",1903/04/24,,,,,,,,,,,,,,,,,,,,,,,
1903,4,25,"FORMOSA - Formosa",1903/04/25,,,,,,,,,,,,,,,,,,,,,,,
1903,4,26,"FORMOSA - Formosa",1903/04/26,757.9,,22,,22,18,74,NE,1,KN,2,,,,,,,,,,,,
1903,4,27,"FORMOSA - Formosa",1903/04/27,761.2,3.3,17,-5,22,16,100,W,1,N,3,,,,,,,,,,,,
1903,4,28,"FORMOSA - Formosa",1903/04/28,764.5,3.3,16,-1,18,15,100,W,1,N,3,,,,,,,,,,,,
1903,4,29,"FORMOSA - Formosa",1903/04/29,,,,,,,,,,,,,,,,,,,,,,,
1903,4,30,"FORMOSA - Formosa",1903/04/30,,,,,,,,,,,,,,,,,,,,,,,
