,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Florianopolis,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Florianopolis,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Florianopolis,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Florianopolis,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Florianopolis,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Florianopolis,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Florianopolis,1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,Florianopolis,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Florianopolis,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Florianopolis,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Florianopolis,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Florianopolis,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Florianopolis,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Florianopolis,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Florianopolis,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Florianopolis,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Florianopolis,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Florianopolis,1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,Florianopolis,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Florianopolis,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Florianopolis,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Florianopolis,1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,Florianopolis,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Florianopolis,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Florianopolis,1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,Florianopolis,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,Florianopolis,1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,Florianopolis,1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,Florianopolis,1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,Florianopolis,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Florianopolis,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Florianopolis,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Florianopolis,1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,Florianopolis,1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,Florianopolis,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Florianopolis,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Florianopolis,1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,Florianopolis,1903/02/07,763,,26,,26,23,74,SW,1,,1,,,,,,,,,,,,
1903,2,8,Florianopolis,1903/02/08,764.9,1.9,22,0,29,21,74,S,1,,1,,,,,,,,,,,,
1903,2,9,Florianopolis,1903/02/09,766,1.1,22,0,26,20,81,S,1,,3,,,,,,,,,,,,
1903,2,10,Florianopolis,1903/02/10,765.5,-0.5,22,0,28,20,82,SW,1,,2,,,,,,,,,,,,
1903,2,11,Florianopolis,1903/02/11,764.2,-1.3,22,0,28,21,74,NE,1,,3,,,,,,,,,,,,
1903,2,12,Florianopolis,1903/02/12,759.6,-4.6,24,2,28,20,91,NW,1,,1,,,,,,,,,,,,
1903,2,13,Florianopolis,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Florianopolis,1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,Florianopolis,1903/02/15,760.7,,26,,32,24,76,N,1,N,3,,,,,,,,,,,,
1903,2,16,Florianopolis,1903/02/16,761.1,0.4,26,0,30,24,84,N,1,N,3,,,,,,,,,,,,
1903,2,17,Florianopolis,1903/02/17,761.2,0.1,29,3,31,25,71,N,2,,1,,,,,,,,,,,,
1903,2,18,Florianopolis,1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,Florianopolis,1903/02/19,757.8,,25,,29,24,68,,0,N,3,,,,,,,,,,,,
1903,2,20,Florianopolis,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Florianopolis,1903/02/21,761.9,,24,,29,22,91,S,2,N,2,,,,,,,,,,,,
1903,2,22,Florianopolis,1903/02/22,761.9,0,23,-1,28,23,100,S,1,N,3,,,,,,,,,,,,
1903,2,23,Florianopolis,1903/02/23,760.4,-1.5,24,1,26,22,91,NW,1,N,2,,,,,,,,,,,,
1903,2,24,Florianopolis,1903/02/24,758.2,-2.2,24,0,30,22,83,S,1,,0,,,,,,,,,,,,
1903,2,25,Florianopolis,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Florianopolis,1903/02/26,760.2,,27,,32,25,84,N,1,N,3,,,,,,,,,,,,
1903,2,27,Florianopolis,1903/02/27,761.3,1.1,25,-2,32,,92,SE,1,N,3,,,,,,,,,,,,
1903,2,28,Florianopolis,1903/02/28,763.4,1.8,23,-2,27,20,66,SE,2,N,3,,,,,,,,,,,,
1903,3,1,Florianopolis,1903/03/01,763.6,0.5,22,-1,21,21,,,0,N,3,,,,,,,,,,,,
1903,3,2,Florianopolis,1903/03/02,762.3,-1.3,22,0,24,20,91,,0,N,3,,,,,,,,,,,,
1903,3,3,Florianopolis,1903/03/03,760.6,-1.7,23,1,28,20,91,S,1,,0,,,,,,,,,,,,
1903,3,4,Florianopolis,1903/03/04,761.9,,22,-1,30,21,82,,0,,1,,,,,,,,,,,,
1903,3,5,Florianopolis,1903/03/05,762.6,0.7,20,-2,28,20,81,,0,,1,,,,,,,,,,,,
1903,3,6,Florianopolis,1903/03/06,762.8,0.2,23,3,30,20,74,NW,1,,0,,,,,,,,,,,,
1903,3,7,Florianopolis,1903/03/07,762.8,0,23,0,29,20,74,NW,1,,2,,,,,,,,,,,,
1903,3,8,Florianopolis,1903/03/08,762.1,-0.7,24,1,28,21,91,,0,,0,,,,,,,,,,,,
1903,3,9,Florianopolis,1903/03/09,760.3,-0.8,26,2,28,22,84,NE,1,,2,,,,,,,,,,,,
1903,3,10,Florianopolis,1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,Florianopolis,1903/03/11,760.3,,26,,30,24,76,,0,,3,,,,,,,,,,,,
1903,3,12,Florianopolis,1903/03/12,761.3,1,25,-1,27,24,83,NW,1,,3,,,,,,,,,,,,
1903,3,13,Florianopolis,1903/03/13,761.2,-0.1,26,1,29,23,84,NW,1,,2,,,,,,,,,,,,
1903,3,14,Florianopolis,1903/03/14,762.1,0.9,25,-1,31,24,92,N,1,,2,,,,,,,,,,,,
1903,3,15,Florianopolis,1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,Florianopolis,1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,Florianopolis,1903/03/17,764.6,,22,,30,22,66,S,2,,0,,,,,,,,,,,,
1903,3,18,Florianopolis,1903/03/18,764.7,0.1,23,1,30,21,74,,0,,2,,,,,,,,,,,,
1903,3,19,Florianopolis,1903/03/19,762.3,-2.4,24,1,27,21,91,N,1,,2,,,,,,,,,,,,
1903,3,20,Florianopolis,1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
