,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"General Uriburu",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"General Uriburu",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"General Uriburu",1903/01/03,763,,23,,32,18,91,N,3,C,1,,,,,,,,,,,,
1903,1,4,"General Uriburu",1903/01/04,760.8,-2.2,23,0,35,19,100,N,3,N,1,,,,,,,,,,,,
1903,1,5,"General Uriburu",1903/01/05,758.8,-2,22,-1,35,20,100,N,3,N,1,,,,,,,,,,,,
1903,1,6,"General Uriburu",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"General Uriburu",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"General Uriburu",1903/01/08,759,,24,,36,20,91,N,1,,0,,,,,,,,,,,,
1903,1,9,"General Uriburu",1903/01/09,757.8,-1.2,25,1,38,21,92,S,2,C,1,,,,,,,,,,,,
1903,1,10,"General Uriburu",1903/01/10,759.2,1.4,16,-9,38,15,,SE,1,N,3,,,,,,,,,,,,
1903,1,11,"General Uriburu",1903/01/11,761.4,2.2,17,1,19,14,90,S,1,N,3,,,,,,,,,,,,
1903,1,12,"General Uriburu",1903/01/12,760.5,-0.9,18,1,24,14,100,N,1,C,1,,,,,,,,,,,,
1903,1,13,"General Uriburu",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"General Uriburu",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"General Uriburu",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"General Uriburu",1903/01/16,759.4,2.7,17,-2,32,15,90,W,2,N,3,,,,,,,,,,,,
1903,1,17,"General Uriburu",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"General Uriburu",1903/01/18,759.5,-1.3,19,4,30,14,90,S,1,,0,,,,,,,,,,,,
1903,1,19,"General Uriburu",1903/01/19,757,-2.5,17,-2,32,14,90,S,2,N,3,,,,,,,,,,,,
1903,1,20,"General Uriburu",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"General Uriburu",1903/01/21,759.1,-0.6,14,2,24,7,89,S,1,,0,,,,,,,,,,,,
1903,1,22,"General Uriburu",1903/01/22,758.3,-0.8,12,-2,30,10,100,,,N,1,,,,,,,,,,,,
1903,1,23,"General Uriburu",1903/01/23,759.5,1.2,16,4,27,10,89,SW,1,C,1,,,,,,,,,,,,
1903,1,24,"General Uriburu",1903/01/24,760.7,1.2,17,1,31,10,90,S,1,,0,,,,,,,,,,,,
1903,1,25,"General Uriburu",1903/01/25,761.5,0.8,19,2,28,10,46,NW,2,,0,,,,,,,,,,,,
1903,1,26,"General Uriburu",1903/01/26,758.1,-3.4,22,3,33,15,91,N,1,N,3,,,,,,,,,,,,
1903,1,27,"General Uriburu",1903/01/27,760.6,2.5,19,-3,37,,100,E,3,N,2,,,,,,,,,,,,
1903,1,28,"General Uriburu",1903/01/28,755.3,-5.3,23,-4,33,14,91,N,1,,0,,,,,,,,,,,,
1903,1,29,"General Uriburu",1903/01/29,757.8,2.5,20,-3,36,15,91,S,1,N,1,,,,,,,,,,,,
1903,1,30,"General Uriburu",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"General Uriburu",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"General Uriburu",1903/02/01,764.2,5.1,17,-3,31,13,,E,1,,0,,,,,,,,,,,,
1903,2,2,"General Uriburu",1903/02/02,761.7,-2.5,20,3,31,16,91,NE,2,,0,,,,,,,,,,,,
1903,2,3,"General Uriburu",1903/02/03,755.7,-6,22,2,34,19,82,NE,1,N,3,,,,,,,,,,,,
1903,2,4,"General Uriburu",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"General Uriburu",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"General Uriburu",1903/02/06,766,4.5,19,2,35,12,90,E,1,,0,,,,,,,,,,,,
1903,2,7,"General Uriburu",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"General Uriburu",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"General Uriburu",1903/02/09,762.5,,20,,34,16,91,N,3,,0,,,,,,,,,,,,
1903,2,10,"General Uriburu",1903/02/10,758.8,-3.7,23,3,34,19,91,N,3,C,1,,,,,,,,,,,,
1903,2,11,"General Uriburu",1903/02/11,754.6,-4.2,24,1,37,21,91,W,1,,0,,,,,,,,,,,,
1903,2,12,"General Uriburu",1903/02/12,759.2,4.6,19,-5,33,14,100,S,2,C,1,,,,,,,,,,,,
1903,2,13,"General Uriburu",1903/02/13,762.6,3.4,16,-3,30,12,89,E,1,,0,,,,,,,,,,,,
1903,2,14,"General Uriburu",1903/02/14,761.2,-1.4,19,3,31,15,90,NW,1,C,2,,,,,,,,,,,,
1903,2,15,"General Uriburu",1903/02/15,754.4,-6.8,21,2,35,18,91,E,1,N,1,,,,,,,,,,,,
1903,2,16,"General Uriburu",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"General Uriburu",1903/02/17,,,11,,21,7,100,S,1,,0,,,,,,,,,,,,
1903,2,18,"General Uriburu",1903/02/18,764.5,,14,3,22,7,89,S,1,,0,,,,,,,,,,,,
1903,2,19,"General Uriburu",1903/02/19,758.5,-6,19,5,31,13,46,,,,0,,,,,,,,,,,,
1903,2,20,"General Uriburu",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"General Uriburu",1903/02/21,762.6,,16,,32,11,89,S,1,C,1,,,,,,,,,,,,
1903,2,22,"General Uriburu",1903/02/22,760.7,-1.9,19,3,35,15,100,N,1,C,1,,,,,,,,,,,,
1903,2,23,"General Uriburu",1903/02/23,757.7,-3,21,2,38,19,91,NW,1,N,1,,,,,,,,,,,,
1903,2,24,"General Uriburu",1903/02/24,755.1,-2.6,17,-4,36,16,100,,,C,1,,,,,,,,,,,,
1903,2,25,"General Uriburu",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"General Uriburu",1903/02/26,759.7,2.9,16,1,28,12,100,NE,2,C,1,,,,,,,,,,,,
1903,2,27,"General Uriburu",1903/02/27,768.1,8.4,9,-7,28,4,100,S,1,,0,,,,,,,,,,,,
1903,2,28,"General Uriburu",1903/02/28,768,-0.1,11,2,23,4,87,N,1,,0,,,,,,,,,,,,
1903,3,1,"General Uriburu",1903/03/01,763.5,-4.5,14,3,26,10,100,N,3,N,3,,,,,,,,,,,,
1903,3,2,"General Uriburu",1903/03/02,760.7,-2.8,16,2,29,14,,N,1,N,3,,,,,,,,,,,,
1903,3,3,"General Uriburu",1903/03/03,760.3,-0.4,15,-1,,11,100,SW,1,,0,,,,,,,,,,,,
1903,3,4,"General Uriburu",1903/03/04,765.5,5.2,11,-4,,10,100,E,1,C,1,,,,,,,,,,,,
1903,3,5,"General Uriburu",1903/03/05,759.3,-6.2,15,4,,11,100,N,1,N,2,,,,,,,,,,,,
1903,3,6,"General Uriburu",1903/03/06,754.8,-4.5,22,7,,15,100,N,1,C,1,,,,,,,,,,,,
1903,3,7,"General Uriburu",1903/03/07,762,7.2,15,-7,,13,89,S,1,C,1,,,,,,,,,,,,
1903,3,8,"General Uriburu",1903/03/08,763.7,1.7,13,-2,,10,100,E,1,C,1,,,,,,,,,,,,
1903,3,9,"General Uriburu",1903/03/09,760.9,-2.8,17,4,,13,100,N,1,N,3,,,,,,,,,,,,
1903,3,10,"General Uriburu",1903/03/10,759.7,-1.2,15,-2,,11,100,W,1,,0,,,,,,,,,,,,
1903,3,11,"General Uriburu",1903/03/11,761.3,1.6,19,4,,15,100,SW,1,,0,,,,,,,,,,,,
1903,3,12,"General Uriburu",1903/03/12,761.3,0,18,-1,,15,90,W,1,,0,,,,,,,,,,,,
1903,3,13,"General Uriburu",1903/03/13,759.3,-2,19,1,,11,90,W,1,C,1,,,,,,,,,,,,
1903,3,14,"General Uriburu",1903/03/14,758.6,-0.7,19,0,,17,90,S,1,C,1,,,,,,,,,,,,
1903,3,15,"General Uriburu",1903/03/15,757.9,-0.7,16,-3,,13,100,N,1,C,1,,,,,,,,,,,,
1903,3,16,"General Uriburu",1903/03/16,,,19,3,,15,100,SW,1,,0,,,,,,,,,,,,
1903,3,17,"General Uriburu",1903/03/17,765,,11,-8,,8,,S,1,,0,,,,,,,,,,,,
1903,3,18,"General Uriburu",1903/03/18,758.6,-6.4,13,2,,7,100,N,2,,0,,,,,,,,,,,,
1903,3,19,"General Uriburu",1903/03/19,753.1,-5.5,20,7,,13,100,N,2,C,1,,,,,,,,,,,,
1903,3,20,"General Uriburu",1903/03/20,754,0.9,20,0,,17,91,S,1,C,1,,,,,,,,,,,,
1903,3,21,"General Uriburu",1903/03/21,761.5,7.5,12,-8,,9,88,S,1,,0,,,,,,,,,,,,
1903,3,22,"General Uriburu",1903/03/22,764.8,3.3,11,-1,,7,87,S,1,,0,,,,,,,,,,,,
1903,3,23,"General Uriburu",1903/03/23,763.8,-1,15,4,,9,100,N,2,C,1,,,,,,,,,,,,
1903,3,24,"General Uriburu",1903/03/24,757.1,-6.7,20,5,,15,100,NE,1,,1,,,,,,,,,,,,
1903,3,25,"General Uriburu",1903/03/25,756,-4.5,20,5,,11,100,,,N,1,,,,,,,,,,,,
1903,3,26,"General Uriburu",1903/03/26,760.5,3.4,15,-5,,9,100,S,1,C,1,,,,,,,,,,,,
1903,3,27,"General Uriburu",1903/03/27,758.4,2.4,13,-7,,9,88,S,1,N,2,,,,,,,,,,,,
1903,3,28,"General Uriburu",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"General Uriburu",1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,"General Uriburu",1903/03/30,762.6,,11,,,7,87,S,1,,0,,,,,,,,,,,,
1903,3,31,"General Uriburu",1903/03/31,764.6,2,11,0,,5,100,SW,1,C,1,,,,,,,,,,,,
1903,4,1,"General Uriburu",1903/04/01,766,1.4,17,6,,10,90,N,1,C,1,,,,,,,,,,,,
1903,4,2,"General Uriburu",1903/04/02,763.5,-2.5,19,2,,16,100,NE,1,C,1,,,,,,,,,,,,
1903,4,3,"General Uriburu",1903/04/03,761.4,-2.1,19,0,,19,100,NE,1,N,3,,,,,,,,,,,,
1903,4,4,"General Uriburu",1903/04/04,762.7,1.3,18,-1,,17,100,N,1,N,1,,,,,,,,,,,,
1903,4,5,"General Uriburu",1903/04/05,764.5,1.8,,,,13,,S,1,N,3,,,,,,,,,,,,
1903,4,6,"General Uriburu",1903/04/06,765.7,1.2,10,-3,,10,100,S,2,N,3,,,,,,,,,,,,
1903,4,7,"General Uriburu",1903/04/07,762.9,-2.8,12,2,,,100,S,1,N,3,,,,,,,,,,,,
1903,4,8,"General Uriburu",1903/04/08,768.7,5.8,7,-5,,6,85,S,1,C,1,,,,,,,,,,,,
1903,4,9,"General Uriburu",1903/04/09,770.6,1.9,8,1,,6,100,E,1,N,3,,,,,,,,,,,,
1903,4,10,"General Uriburu",1903/04/10,766.8,-3.8,14,6,,7,100,E,1,N,3,,,,,,,,,,,,
1903,4,11,"General Uriburu",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"General Uriburu",1903/04/12,758.2,,11,,,10,87,S,3,,0,,,,,,,,,,,,
1903,4,13,"General Uriburu",1903/04/13,760.6,2.4,12,1,,10,100,W,1,N,3,,,,,,,,,,,,
1903,4,14,"General Uriburu",1903/04/14,766.5,5.9,10,-2,,9,100,S,1,N,3,,,,,,,,,,,,
1903,4,15,"General Uriburu",1903/04/15,771.5,5,5,-5,,3,100,E,1,,0,,,,,,,,,,,,
1903,4,16,"General Uriburu",1903/04/16,766.2,-5.3,5,0,,4,100,N,1,C,1,,,,,,,,,,,,
1903,4,17,"General Uriburu",1903/04/17,761,-5.2,11,6,,4,100,N,1,N,1,,,,,,,,,,,,
1903,4,18,"General Uriburu",1903/04/18,760.6,-0.4,9,-2,,,100,S,1,,0,,,,,,,,,,,,
1903,4,19,"General Uriburu",1903/04/19,765.6,5,7,-2,,4,,S,1,,0,,,,,,,,,,,,
1903,4,20,"General Uriburu",1903/04/20,768.7,,5,-2,,2,84,S,1,,0,,,,,,,,,,,,
1903,4,21,"General Uriburu",1903/04/21,762.9,-5.8,5,0,,3,100,NW,1,,0,,,,,,,,,,,,
1903,4,22,"General Uriburu",1903/04/22,758,-4.9,10,5,,5,100,N,1,,0,,,,,,,,,,,,
1903,4,23,"General Uriburu",1903/04/23,760.9,2.9,10,0,,8,100,N,1,,0,,,,,,,,,,,,
1903,4,24,"General Uriburu",1903/04/24,758.9,-4,13,3,,10,100,N,1,,0,,,,,,,,,,,,
1903,4,25,"General Uriburu",1903/04/25,766.2,9.3,8,-5,,8,100,S,1,N,1,,,,,,,,,,,,
1903,4,26,"General Uriburu",1903/04/26,767.4,1.2,6,-2,,6,100,S,1,N,1,,,,,,,,,,,,
1903,4,27,"General Uriburu",1903/04/27,770.3,2.9,2,-4,,1,100,S,1,C,1,,,,,,,,,,,,
1903,4,28,"General Uriburu",1903/04/28,773.7,3.4,0,-2,,,100,S,1,C,1,,,,,,,,,,,,
1903,4,29,"General Uriburu",1903/04/29,768.4,-5.3,3,3,,0,100,S,1,C,1,,,,,,,,,,,,
1903,4,30,"General Uriburu",1903/04/30,764.1,-4.3,7,4,,3,100,S,1,N,2,,,,,,,,,,,,
1903,5,1,"General Uriburu",1903/05/01,762.8,-1.3,12,5,,3,100,S,1,N,1,,,,,,,,,,,,
1903,5,2,"General Uriburu",1903/05/02,762.5,-0.3,8,-4,,6,100,W,1,C,1,,,,,,,,,,,,
1903,5,3,"General Uriburu",1903/05/03,763.1,0.6,4,-4,,3,100,SW,1,C,1,,,,,,,,,,,,
1903,5,4,"General Uriburu",1903/05/04,760.8,-2.3,8,4,,4,100,W,1,C,1,,,,,,,,,,,,
1903,5,5,"General Uriburu",1903/05/05,759.1,-1.7,10,2,,7,,W,1,N,1,,,,,,,,,,,,
1903,5,6,"General Uriburu",1903/05/06,763.3,4.2,6,-4,,5,,W,1,,0,,,,,,,,,,,,
1903,5,7,"General Uriburu",1903/05/07,760.7,-2.6,6,0,,5,,N,1,C,1,,,,,,,,,,,,
1903,5,8,"General Uriburu",1903/05/08,766.7,6,6,0,,5,85,S,1,C,1,,,,,,,,,,,,
1903,5,9,"General Uriburu",1903/05/09,,,10,4,,5,86,N,1,,0,,,,,,,,,,,,
1903,5,10,"General Uriburu",1903/05/10,760,,9,-1,,8,86,S,1,N,2,,,,,,,,,,,,
1903,5,11,"General Uriburu",1903/05/11,765.4,5.4,1,-8,,,,S,1,,0,,,,,,,,,,,,
1903,5,12,"General Uriburu",1903/05/12,768.6,3.2,2,1,,2,,SW,1,,0,,,,,,,,,,,,
1903,5,13,"General Uriburu",1903/05/13,769.5,0.9,2,0,,1,,SW,1,C,1,,,,,,,,,,,,
1903,5,14,"General Uriburu",1903/05/14,773.1,3.6,6,4,,2,,E,1,C,1,,,,,,,,,,,,
1903,5,15,"General Uriburu",1903/05/15,773.5,0.4,4,-2,,3,,NE,1,C,1,,,,,,,,,,,,
1903,5,16,"General Uriburu",1903/05/16,772.3,-1.2,5,1,,3,100,N,1,N,1,,,,,,,,,,,,
1903,5,17,"General Uriburu",1903/05/17,772.5,0.2,2,-3,,1,82,NE,1,C,1,,,,,,,,,,,,
1903,5,18,"General Uriburu",1903/05/18,771.9,-0.6,8,6,,1,86,SE,1,S,2,,,,,,,,,,,,
1903,5,19,"General Uriburu",1903/05/19,767.1,-4.8,4,-4,,1,83,,,N,1,,,,,,,,,,,,
1903,5,20,"General Uriburu",1903/05/20,765,-2.1,9,5,,4,86,W,1,C,1,,,,,,,,,,,,
1903,5,21,"General Uriburu",1903/05/21,764.4,-0.6,3,-6,,2,83,W,1,,0,,,,,,,,,,,,
1903,5,22,"General Uriburu",1903/05/22,765.3,0.9,4,1,,2,83,SW,1,C,1,,,,,,,,,,,,
1903,5,23,"General Uriburu",1903/05/23,,,,,,,,,,,,,,,,,,,,,,,
1903,5,24,"General Uriburu",1903/05/24,759.2,-3.3,3,-4,,1,83,N,1,C,1,,,,,,,,,,,,
1903,5,25,"General Uriburu",1903/05/25,759.5,0.3,3,0,,1,83,,,C,1,,,,,,,,,,,,
1903,5,26,"General Uriburu",1903/05/26,,,8,5,,2,86,N,1,,0,,,,,,,,,,,,
1903,5,27,"General Uriburu",1903/05/27,770.6,,4,-4,,4,83,S,1,C,1,,,,,,,,,,,,
1903,5,28,"General Uriburu",1903/05/28,770.6,,6,2,,4,85,E,1,N,1,,,,,,,,,,,,
1903,5,29,"General Uriburu",1903/05/29,768.5,-2.1,10,4,,6,86,E,1,N,3,,,,,,,,,,,,
1903,5,30,"General Uriburu",1903/05/30,762.9,-5.6,14,4,,5,89,N,2,N,3,,,,,,,,,,,,
1903,5,31,"General Uriburu",1903/05/31,765.6,2.7,9,-5,,5,86,SE,1,,0,,,,,,,,,,,,
1903,6,1,"General Uriburu",1903/06/01,,,17,8,,8,90,N,3,N,3,,,,,,,,,,,,
