,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"General Villegas",1903/01/01,767.1,-0.3,18,2,20,12,62,N,2,,0,,,,,,,,,,,,
1903,1,2,"General Villegas",1903/01/02,,,19,1,21,12,72,N,3,,0,,,,,,,,,,,,
1903,1,3,"General Villegas",1903/01/03,763.8,,19,0,29,12,72,N,1,C,1,,,,,,,,,,,,
1903,1,4,"General Villegas",1903/01/04,762.6,-1.2,23,4,31,12,59,S,2,,0,,,,,,,,,,,,
1903,1,5,"General Villegas",1903/01/05,760.1,-2.5,22,-1,31,12,74,N,2,C,3,,,,,,,,,,,,
1903,1,6,"General Villegas",1903/01/06,761.5,1.4,22,0,31,17,74,N,1,S,2,,,,,,,,,,,,
1903,1,7,"General Villegas",1903/01/07,761.9,0.4,21,-1,31,13,82,NE,2,N,3,,,,,,,,,,,,
1903,1,8,"General Villegas",1903/01/08,758.9,-3,26,5,32,18,62,N,1,C,1,,,,,,,,,,,,
1903,1,9,"General Villegas",1903/01/09,757.3,-1.6,25,-1,35,17,76,N,1,C,1,,,,,,,,,,,,
1903,1,10,"General Villegas",1903/01/10,756.2,-1.1,24,-1,31,19,91,N,2,K,2,,,,,,,,,,,,
1903,1,11,"General Villegas",1903/01/11,760.7,4.5,17,-7,33,15,90,S,1,,0,,,,,,,,,,,,
1903,1,12,"General Villegas",1903/01/12,761.5,0.8,20,3,31,15,81,N,1,,0,,,,,,,,,,,,
1903,1,13,"General Villegas",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"General Villegas",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"General Villegas",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"General Villegas",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"General Villegas",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"General Villegas",1903/01/18,759.2,-1.5,17,-2,30,12,90,N,1,,0,,,,,,,,,,,,
1903,1,19,"General Villegas",1903/01/19,755.3,-3.9,16,-1,32,12,89,S,1,C,3,,,,,,,,,,,,
1903,1,20,"General Villegas",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
