,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Goya,1903/01/01,766.3,-1,17,0,27,14,80,SE,1,,0,,,,,,,,,,,,
1903,1,2,Goya,1903/01/02,764.6,-1.7,21,4,29,16,73,E,1,,0,,,,,,,,,,,,
1903,1,3,Goya,1903/01/03,764.9,0.3,21,0,32,18,73,,,,0,,,,,,,,,,,,
1903,1,4,Goya,1903/01/04,764.9,0,22,1,34,17,66,NE,2,,0,,,,,,,,,,,,
1903,1,5,Goya,1903/01/05,763.3,-1.6,21,-1,33,18,65,NE,1,,0,,,,,,,,,,,,
1903,1,6,Goya,1903/01/06,763.8,0.5,24,3,34,18,46,NE,1,,0,,,,,,,,,,,,
1903,1,7,Goya,1903/01/07,763.1,-0.7,25,1,35,20,61,N,1,C,1,,,,,,,,,,,,
1903,1,8,Goya,1903/01/08,760.6,-2.5,24,-1,36,21,67,NE,1,,0,,,,,,,,,,,,
1903,1,9,Goya,1903/01/09,759.5,-1.1,25,1,37,20,68,N,1,,0,,,,,,,,,,,,
1903,1,10,Goya,1903/01/10,758.8,-0.7,25,0,39,23,76,NE,1,C,1,,,,,,,,,,,,
1903,1,11,Goya,1903/01/11,755.1,-3.7,27,2,37,26,69,N,2,N,3,,,,,,,,,,,,
1903,1,12,Goya,1903/01/12,761,5.9,21,-6,28,19,91,S,1,C,1,,,,,,,,,,,,
1903,1,13,Goya,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Goya,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Goya,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Goya,1903/01/16,,,20,-3,31,19,81,S,3,N,3,,,,,,,,,,,,
1903,1,17,Goya,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Goya,1903/01/18,758.7,-1,24,2,,21,75,SE,1,,0,,,,,,,,,,,,
1903,1,19,Goya,1903/01/19,755.3,-3.4,24,0,31,21,83,NE,1,,0,,,,,,,,,,,,
1903,1,20,Goya,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Goya,1903/01/21,762.9,6.9,17,-4,23,13,79,SW,1,,0,,,,,,,,,,,,
1903,1,22,Goya,1903/01/22,759.3,-3.6,19,2,28,13,63,N,1,,0,,,,,,,,,,,,
1903,1,23,Goya,1903/01/23,764.3,5,17,-2,32,15,80,S,1,C,1,,,,,,,,,,,,
1903,1,24,Goya,1903/01/24,761.1,-3.2,21,4,29,15,65,N,1,,0,,,,,,,,,,,,
1903,1,25,Goya,1903/01/25,765.1,4,19,-2,34,15,49,NE,1,,0,,,,,,,,,,,,
1903,1,26,Goya,1903/01/26,763.1,-2,19,0,34,16,72,NE,1,,0,,,,,,,,,,,,
1903,1,27,Goya,1903/01/27,761.8,-1.3,21,2,34,18,65,NE,1,C,2,,,,,,,,,,,,
1903,1,28,Goya,1903/01/28,758.7,-3.1,23,2,37,20,74,E,1,C,1,,,,,,,,,,,,
1903,1,29,Goya,1903/01/29,758.5,-0.2,25,2,37,22,83,NE,1,C,1,,,,,,,,,,,,
1903,1,30,Goya,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Goya,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Goya,1903/02/01,760.8,2.4,24,-2,39,23,91,S,1,N,3,,,,,,,,,,,,
1903,2,2,Goya,1903/02/02,760.5,-0.3,24,0,29,23,91,N,1,N,1,,,,,,,,,,,,
1903,2,3,Goya,1903/02/03,756.8,-3.7,26,2,34,24,92,N,1,,0,,,,,,,,,,,,
1903,2,4,Goya,1903/02/04,757.1,0.3,26,0,37,,84,SE,3,N,3,,,,,,,,,,,,
1903,2,5,Goya,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Goya,1903/02/06,763.1,,23,,33,22,91,SE,2,N,3,,,,,,,,,,,,
1903,2,7,Goya,1903/02/07,765.2,2.1,22,-1,32,19,82,SE,1,,0,,,,,,,,,,,,
1903,2,8,Goya,1903/02/08,765.8,0.6,20,-2,33,18,81,SE,1,,0,,,,,,,,,,,,
1903,2,9,Goya,1903/02/09,764.8,-1,20,0,33,18,81,SE,1,,0,,,,,,,,,,,,
1903,2,10,Goya,1903/02/10,763.2,-1.6,22,2,32,20,82,E,1,,0,,,,,,,,,,,,
