,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Gualeguay,1903/01/01,768.7,0,18,2,27,14,62,NE,2,,0,,,,,,,,,,,,
1903,1,2,Gualeguay,1903/01/02,766.1,-2.6,19,1,28,15,72,NE,2,,0,,,,,,,,,,,,
1903,1,3,Gualeguay,1903/01/03,766.4,0.3,21,2,31,16,65,N,2,C,1,,,,,,,,,,,,
1903,1,4,Gualeguay,1903/01/04,765.5,-0.9,20,-1,32,16,72,NE,2,C,1,,,,,,,,,,,,
1903,1,5,Gualeguay,1903/01/05,763.4,-2.1,21,1,31,15,65,N,2,C,1,,,,,,,,,,,,
1903,1,6,Gualeguay,1903/01/06,762.9,-0.5,20,-1,33,16,64,N,1,C,1,,,,,,,,,,,,
1903,1,7,Gualeguay,1903/01/07,762.6,-0.3,23,3,35,21,66,N,1,CK,2,,,,,,,,,,,,
1903,1,8,Gualeguay,1903/01/08,761,-1.6,24,1,35,21,67,N,1,CK,2,,,,,,,,,,,,
1903,1,9,Gualeguay,1903/01/09,759,-2,25,1,37,21,68,N,1,KN,3,,,,,,,,,,,,
1903,1,10,Gualeguay,1903/01/10,758.2,-0.8,25,0,27,21,76,E,2,CK,1,,,,,,,,,,,,
1903,1,11,Gualeguay,1903/01/11,757.3,-0.9,21,-4,34,20,91,N,1,SK,3,Rt,,,,,,,,,,,
1903,1,12,Gualeguay,1903/01/12,761,4.1,20,-1,27,16,81,NE,1,,0,,,,,,,,,,,,
1903,1,13,Gualeguay,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Gualeguay,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Gualeguay,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Gualeguay,1903/01/16,755.3,-6.4,20,-3,37,18,91,SE,2,KN,3,Rt,,,,,,,,,,,
1903,1,17,Gualeguay,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Gualeguay,1903/01/18,759.3,-1,22,1,28,16,74,E,1,,0,,,,,,,,,,,,
1903,1,19,Gualeguay,1903/01/19,754.8,-4.5,22,0,32,17,66,NE,1,C,1,,,,,,,,,,,,
1903,1,20,Gualeguay,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Gualeguay,1903/01/21,759.1,3.8,14,-3,19,8,78,W,2,,0,,,,,,,,,,,,
1903,1,22,Gualeguay,1903/01/22,758,-1.1,16,2,26,14,69,SW,2,KS,2,,,,,,,,,,,,
1903,1,23,Gualeguay,1903/01/23,761.1,3.1,15,-1,17,9,68,N,1,KS,3,,,,,,,,,,,,
1903,1,24,Gualeguay,1903/01/24,756.8,-4.3,20,5,27,16,64,NW,1,,0,,,,,,,,,,,,
