,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Guamini,1903/01/01,766.2,-2.4,19,3,,13,63,NE,2,,0,,,,,,,,,,,,
1903,1,2,Guamini,1903/01/02,765.2,-1,19,0,,14,72,NE,3,CS,1,,,,,,,,,,,,
1903,1,3,Guamini,1903/01/03,765.2,0,21,2,,14,66,NE,3,C,2,,,,,,,,,,,,
1903,1,4,Guamini,1903/01/04,763.1,-2.1,21,0,,18,65,NE,3,CS,2,,,,,,,,,,,,
1903,1,5,Guamini,1903/01/05,760.5,-2.6,24,3,,18,53,N,3,S,3,,,,,,,,,,,,
1903,1,6,Guamini,1903/01/06,762.3,1.8,25,1,,19,54,NE,1,CS,1,,,,,,,,,,,,
1903,1,7,Guamini,1903/01/07,760.4,-1.9,25,0,,22,61,NE,1,CK,2,,,,,,,,,,,,
1903,1,8,Guamini,1903/01/08,759.3,-1.1,24,-1,,21,67,NE,3,C,2,,,,,,,,,,,,
1903,1,9,Guamini,1903/01/09,758.4,-0.9,23,-1,,21,83,SW,1,KN,3,,,,,,,,,,,,
1903,1,10,Guamini,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Guamini,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Guamini,1903/01/12,761.5,,18,,24,14,90,N,2,C,1,,,,,,,,,,,,
1903,1,13,Guamini,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Guamini,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Guamini,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Guamini,1903/01/16,757.5,0.7,18,-4,30,16,80,E,2,N,3,,,,,,,,,,,,
1903,1,17,Guamini,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Guamini,1903/01/18,759.2,-1.1,18,1,28,15,80,W,1,,0,,,,,,,,,,,,
1903,1,19,Guamini,1903/01/19,757.2,-2,16,-2,32,14,89,E,1,N,3,,,,,,,,,,,,
1903,1,20,Guamini,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Guamini,1903/01/21,758.9,1.1,13,-1,22,7,77,W,1,C,1,,,,,,,,,,,,
1903,1,22,Guamini,1903/01/22,755.9,-3,14,1,22,10,57,W,3,C,2,,,,,,,,,,,,
1903,1,23,Guamini,1903/01/23,758.8,2.9,16,2,19,11,50,SW,2,C,2,,,,,,,,,,,,
1903,1,24,Guamini,1903/01/24,760.1,1.3,19,3,25,10,54,S,2,K,1,,,,,,,,,,,,
1903,1,25,Guamini,1903/01/25,763.4,3.3,18,1,27,12,53,N,1,,0,,,,,,,,,,,,
1903,1,26,Guamini,1903/01/26,761,-2.4,22,4,32,16,58,N,2,S,1,,,,,,,,,,,,
1903,1,27,Guamini,1903/01/27,763,2,20,-2,35,16,72,E,2,CS,2,,,,,,,,,,,,
1903,1,28,Guamini,1903/01/28,756.1,-6.9,22,2,30,18,74,N,2,CS,2,,,,,,,,,,,,
1903,1,29,Guamini,1903/01/29,756.8,0.7,21,-1,36,15,41,SW,1,K,2,,,,,,,,,,,,
1903,1,30,Guamini,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Guamini,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Guamini,1903/02/01,760.1,1.9,17,-5,29,12,61,E,1,,0,,,,,,,,,,,,
1903,2,2,Guamini,1903/02/02,,,16,-1,29,12,69,E,1,N,1,,,,,,,,,,,,
1903,2,3,Guamini,1903/02/03,755.1,,20,4,32,19,91,NE,1,N,3,,,,,,,,,,,,
1903,2,4,Guamini,1903/02/04,757.2,2.1,18,-3,30,15,80,SW,1,,0,,,,,,,,,,,,
1903,2,5,Guamini,1903/02/05,762.2,5,18,0,32,16,71,E,2,N,2,,,,,,,,,,,,
1903,2,6,Guamini,1903/02/06,767.5,5.3,18,0,31,14,71,E,1,,0,,,,,,,,,,,,
1903,2,7,Guamini,1903/02/07,,,18,0,31,15,71,N,1,C,1,,,,,,,,,,,,
1903,2,8,Guamini,1903/02/08,767,,18,0,33,15,53,N,2,,0,,,,,,,,,,,,
1903,2,9,Guamini,1903/02/09,765,-2,21,3,31,16,65,N,2,,0,,,,,,,,,,,,
1903,2,10,Guamini,1903/02/10,,,22,1,32,18,66,N,2,C,1,,,,,,,,,,,,
1903,2,11,Guamini,1903/02/11,754.2,,24,2,34,22,67,N,3,CK,2,,,,,,,,,,,,
1903,2,12,Guamini,1903/02/12,758.8,4.6,18,-6,34,15,53,S,1,N,2,,,,,,,,,,,,
1903,2,13,Guamini,1903/02/13,763.7,4.9,12,-6,32,10,76,N,3,CS,2,,,,,,,,,,,,
1903,2,14,Guamini,1903/02/14,,,17,5,30,15,90,N,1,N,3,,,,,,,,,,,,
1903,2,15,Guamini,1903/02/15,757,,19,2,32,,72,E,1,KS,3,,,,,,,,,,,,
1903,2,16,Guamini,1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,Guamini,1903/02/17,760.9,,15,,24,9,58,E,1,CS,1,,,,,,,,,,,,
1903,2,18,Guamini,1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,Guamini,1903/02/19,757.9,,20,,27,14,64,W,1,CS,1,,,,,,,,,,,,
1903,2,20,Guamini,1903/02/20,,,12,-8,30,6,88,E,1,C,1,,,,,,,,,,,,
1903,2,21,Guamini,1903/02/21,762.6,,14,2,28,11,78,E,1,CS,1,,,,,,,,,,,,
1903,2,22,Guamini,1903/02/22,761.7,-0.9,20,6,34,16,55,N,1,S,2,,,,,,,,,,,,
1903,2,23,Guamini,1903/02/23,759.1,-2.6,20,0,34,17,64,N,1,CK,2,,,,,,,,,,,,
1903,2,24,Guamini,1903/02/24,754.9,-4.2,22,2,33,21,36,SW,1,CK,2,,,,,,,,,,,,
1903,2,25,Guamini,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Guamini,1903/02/26,759.8,1.5,14,2,25,10,78,NE,1,S,2,,,,,,,,,,,,
1903,2,27,Guamini,1903/02/27,768,8.2,9,-5,25,5,86,S,2,,0,PD,,,,,,,,,,,
1903,2,28,Guamini,1903/02/28,769.4,1.4,7,-2,22,1,85,E,1,,0,,,,,,,,,,,,
1903,3,1,Guamini,1903/03/01,765.2,-4.2,13,6,24,11,77,E,1,KN,2,,,,,,,,,,,,
1903,3,2,Guamini,1903/03/02,762,-3.2,15,2,25,14,,NE,1,N,3,,,,,,,,,,,,
1903,3,3,Guamini,1903/03/03,760,-2,14,-1,18,10,89,,,,0,,,,,,,,,,,,
1903,3,4,Guamini,1903/03/04,765.5,5.5,9,-5,29,7,100,E,1,S,1,,,,,,,,,,,,
1903,3,5,Guamini,1903/03/05,760.7,-4.8,17,8,24,14,70,,,,0,,,,,,,,,,,,
1903,3,6,Guamini,1903/03/06,756,-4.7,22,5,34,19,66,N,1,S,1,,,,,,,,,,,,
1903,3,7,Guamini,1903/03/07,762.3,6.3,16,-6,33,14,89,SW,1,CS,2,,,,,,,,,,,,
1903,3,8,Guamini,1903/03/08,765.2,2.9,12,-4,28,10,100,SE,1,CS,3,,,,,,,,,,,,
1903,3,9,Guamini,1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,Guamini,1903/03/10,760.6,,17,,20,14,90,W,1,N,3,Nl,,,,,,,,,,,
1903,3,11,Guamini,1903/03/11,760.4,-0.2,16,-1,33,13,69,W,1,C,1,,,,,,,,,,,,
1903,3,12,Guamini,1903/03/12,761.1,0.7,17,1,30,12,70,,0,,0,,,,,,,,,,,,
1903,3,13,Guamini,1903/03/13,759.3,-1.8,17,0,34,11,61,,0,C,2,,,,,,,,,,,,
1903,3,14,Guamini,1903/03/14,758.7,-0.6,19,2,36,14,63,N,1,S,2,,,,,,,,,,,,
1903,3,15,Guamini,1903/03/15,759.7,1,14,-5,33,8,67,SE,1,CK,2,,,,,,,,,,,,
1903,3,16,Guamini,1903/03/16,754.1,-5.6,19,5,35,17,54,W,1,C,1,,,,,,,,,,,,
1903,3,17,Guamini,1903/03/17,765.6,11.5,9,-10,32,5,73,SW,1,,0,,,,,,,,,,,,
1903,3,18,Guamini,1903/03/18,761.7,-3.9,12,3,24,8,65,NE,1,,0,,,,,,,,,,,,
1903,3,19,Guamini,1903/03/19,755.2,-6.5,21,9,31,18,82,N,2,S,1,,,,,,,,,,,,
1903,3,20,Guamini,1903/03/20,753.7,-1.5,21,0,34,18,73,SW,1,SK,2,,,,,,,,,,,,
1903,3,21,Guamini,1903/03/21,760.9,7.2,14,-7,25,11,89,NW,1,N,1,,,,,,,,,,,,
1903,3,22,Guamini,1903/03/22,764.9,4,11,-3,28,6,75,NW,1,,0,,,,,,,,,,,,
1903,3,23,Guamini,1903/03/23,765.3,0.4,13,2,28,9,88,SE,1,CK,2,,,,,,,,,,,,
1903,3,24,Guamini,1903/03/24,758.4,-6.9,19,6,21,16,100,NE,1,N,3,,,,,,,,,,,,
1903,3,25,Guamini,1903/03/25,756.6,-3.9,21,7,29,16,100,N,1,N,3,,,,,,,,,,,,
1903,3,26,Guamini,1903/03/26,760.5,2.1,14,-5,27,10,67,SW,1,,0,,,,,,,,,,,,
1903,3,27,Guamini,1903/03/27,759.2,2.6,12,-9,25,9,88,W,1,N,3,,,,,,,,,,,,
1903,3,28,Guamini,1903/03/28,757.6,-1.6,14,2,26,13,89,S,2,C,1,,,,,,,,,,,,
1903,3,29,Guamini,1903/03/29,763.4,5.8,10,-4,24,6,86,SE,2,,0,,,,,,,,,,,,
1903,3,30,Guamini,1903/03/30,761.9,-1.5,11,1,24,7,63,W,2,,0,,,,,,,,,,,,
1903,3,31,Guamini,1903/03/31,764.7,2.8,9,-2,24,6,73,NE,1,CS,2,,,,,,,,,,,,
1903,4,1,Guamini,1903/04/01,766.6,1.9,14,5,26,11,89,N,1,KN,1,,,,,,,,,,,,
1903,4,2,Guamini,1903/04/02,765.2,-1.4,20,6,27,18,100,NE,1,CS,3,,,,,,,,,,,,
1903,4,3,Guamini,1903/04/03,762.7,-2.5,20,0,28,18,91,NE,1,N,3,,,,,,,,,,,,
1903,4,4,Guamini,1903/04/04,763.2,0.5,18,-2,19,17,90,NE,1,CS,2,,,,,,,,,,,,
1903,4,5,Guamini,1903/04/05,764.9,1.7,16,-2,25,14,100,E,1,N,3,,,,,,,,,,,,
1903,4,6,Guamini,1903/04/06,763.7,-1.2,15,-1,24,13,78,SE,1,N,2,,,,,,,,,,,,
1903,4,7,Guamini,1903/04/07,762.2,-1.5,14,-1,18,13,86,SE,1,N,3,,,,,,,,,,,,
1903,4,8,Guamini,1903/04/08,769.8,7.6,8,-6,17,5,86,S,1,C,2,,,,,,,,,,,,
1903,4,9,Guamini,1903/04/09,770.9,1.1,7,-1,19,5,85,SE,1,N,2,,,,,,,,,,,,
1903,4,10,Guamini,1903/04/10,767.6,-3.3,14,7,,11,100,E,1,N,3,,,,,,,,,,,,
1903,4,11,Guamini,1903/04/11,761.9,-5.7,17,3,,15,90,NE,1,N,3,,,,,,,,,,,,
1903,4,12,Guamini,1903/04/12,755.5,-6.4,15,-2,18,14,100,SW,1,N,3,,,,,,,,,,,,
1903,4,13,Guamini,1903/04/13,760.5,5,15,0,19,13,89,W,1,S,2,,,,,,,,,,,,
1903,4,14,Guamini,1903/04/14,766.2,5.7,11,-4,20,9,84,S,1,N,3,,,,,,,,,,,,
1903,4,15,Guamini,1903/04/15,771.3,5.1,6,-5,16,2,85,SE,1,,0,,,,,,,,,,,,
1903,4,16,Guamini,1903/04/16,767.4,-3.9,6,0,17,3,85,NE,1,C,1,,,,,,,,,,,,
1903,4,17,Guamini,1903/04/17,762.1,-5.3,11,5,18,8,75,NE,1,N,2,,,,,,,,,,,,
1903,4,18,Guamini,1903/04/18,760.6,-1.1,12,1,21,10,88,W,1,N,3,,,,,,,,,,,,
1903,4,19,Guamini,1903/04/19,764.7,3.8,7,-5,19,3,85,W,1,,0,,,,,,,,,,,,
1903,4,20,Guamini,1903/04/20,767.8,3.1,5,-2,17,3,84,SW,1,,0,,,,,,,,,,,,
1903,4,21,Guamini,1903/04/21,763.2,-4.6,7,2,17,3,85,N,1,C,1,,,,,,,,,,,,
1903,4,22,Guamini,1903/04/22,758.6,-4.6,10,3,20,9,100,N,1,CS,2,,,,,,,,,,,,
1903,4,23,Guamini,1903/04/23,762.4,3.8,12,2,24,10,76,N,1,,0,,,,,,,,,,,,
1903,4,24,Guamini,1903/04/24,757.5,-4.9,14,2,25,13,78,N,1,CS,3,,,,,,,,,,,,
1903,4,25,Guamini,1903/04/25,765.7,8.2,9,-5,26,8,61,SW,1,N,1,,,,,,,,,,,,
1903,4,26,Guamini,1903/04/26,767.7,2,7,-2,12,6,71,S,1,CS,3,,,,,,,,,,,,
1903,4,27,Guamini,1903/04/27,771.7,4,5,-2,14,-1,84,S,1,C,1,,,,,,,,,,,,
1903,4,28,Guamini,1903/04/28,773.6,1.9,0,-5,14,-3,82,S,1,,0,Er,,,,,,,,,,,
1903,4,29,Guamini,1903/04/29,767.3,-6.3,5,5,,2,84,S,1,N,3,,,,,,,,,,,,
1903,4,30,Guamini,1903/04/30,763,-4.3,8,3,11,7,100,W,1,N,3,,,,,,,,,,,,
1903,5,1,Guamini,1903/05/01,762.3,-0.7,7,-1,12,4,85,W,1,N,3,,,,,,,,,,,,
1903,5,2,Guamini,1903/05/02,762.9,0.6,6,-1,19,4,100,,0,S,2,,,,,,,,,,,,
1903,5,3,Guamini,1903/05/03,,,,,,,,,,,,,,,,,,,,,,,
1903,5,4,Guamini,1903/05/04,760,,10,,20,9,74,NW,1,C,2,,,,,,,,,,,,
