,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Humahuaca,1903/01/01,,,10,0,22,7,74,S,2,C,1,,,,,,,,,,,,
1903,1,2,Humahuaca,1903/01/02,,,15,5,20,7,39,S,1,N,2,,,,,,,,,,,,
1903,1,3,Humahuaca,1903/01/03,,,9,-6,22,6,73,S,2,N,3,,,,,,,,,,,,
1903,1,4,Humahuaca,1903/01/04,,,9,0,20,5,73,NE,1,,0,,,,,,,,,,,,
1903,1,5,Humahuaca,1903/01/05,,,10,1,22,6,74,S,1,K,1,,,,,,,,,,,,
1903,1,6,Humahuaca,1903/01/06,,,10,0,24,7,74,N,1,N,1,,,,,,,,,,,,
1903,1,7,Humahuaca,1903/01/07,,,9,-1,26,0,86,,0,K,1,,,,,,,,,,,,
1903,1,8,Humahuaca,1903/01/08,,,8,-1,23,5,86,SE,1,K,1,,,,,,,,,,,,
1903,1,9,Humahuaca,1903/01/09,,,9,1,22,6,73,S,1,C,1,,,,,,,,,,,,
1903,1,10,Humahuaca,1903/01/10,,,13,4,26,8,66,,0,S,2,,,,,,,,,,,,
1903,1,11,Humahuaca,1903/01/11,,,12,-1,28,8,65,,0,N,3,,,,,,,,,,,,
1903,1,12,Humahuaca,1903/01/12,,,,,25,6,,S,2,N,3,,,,,,,,,,,,
1903,1,13,Humahuaca,1903/01/13,,,11,,22,6,75,S,1,C,2,,,,,,,,,,,,
1903,1,14,Humahuaca,1903/01/14,,,10,-1,26,9,74,N,1,,0,,,,,,,,,,,,
1903,1,15,Humahuaca,1903/01/15,,,11,1,27,6,63,NE,1,K,1,,,,,,,,,,,,
1903,1,16,Humahuaca,1903/01/16,,,12,1,31,7,65,N,1,,0,,,,,,,,,,,,
1903,1,17,Humahuaca,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Humahuaca,1903/01/18,,,11,-1,31,6,52,N,2,,0,,,,,,,,,,,,
1903,1,19,Humahuaca,1903/01/19,,,13,2,21,7,66,W,1,,0,,,,,,,,,,,,
1903,1,20,Humahuaca,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Humahuaca,1903/01/21,,,6,-4,20,3,70,S,1,CK,1,,,,,,,,,,,,
1903,1,22,Humahuaca,1903/01/22,,,10,4,23,3,39,N,2,C,1,,,,,,,,,,,,
1903,1,23,Humahuaca,1903/01/23,,,8,-2,20,5,72,,0,K,1,,,,,,,,,,,,
1903,1,24,Humahuaca,1903/01/24,,,8,0,22,4,72,N,1,N,1,,,,,,,,,,,,
1903,1,25,Humahuaca,1903/01/25,,,6,-2,18,2,70,SW,1,C,1,,,,,,,,,,,,
1903,1,26,Humahuaca,1903/01/26,,,9,3,22,5,73,S,1,C,2,,,,,,,,,,,,
1903,1,27,Humahuaca,1903/01/27,,,10,1,24,6,74,,0,N,3,,,,,,,,,,,,
1903,1,28,Humahuaca,1903/01/28,,,10,0,20,7,86,N,1,K,2,,,,,,,,,,,,
1903,1,29,Humahuaca,1903/01/29,,,10,0,25,7,74,,0,C,2,,,,,,,,,,,,
1903,1,30,Humahuaca,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Humahuaca,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Humahuaca,1903/02/01,,,12,-1,27,12,88,S,2,N,3,,,,,,,,,,,,
1903,2,2,Humahuaca,1903/02/02,,,11,-1,15,9,87,,0,N,3,,,,,,,,,,,,
1903,2,3,Humahuaca,1903/02/03,,,11,0,22,8,87,NW,1,C,1,,,,,,,,,,,,
1903,2,4,Humahuaca,1903/02/04,,,11,0,24,10,63,SW,1,C,2,,,,,,,,,,,,
1903,2,5,Humahuaca,1903/02/05,,,11,0,23,9,87,S,1,N,3,,,,,,,,,,,,
1903,2,6,Humahuaca,1903/02/06,,,11,0,20,8,87,S,1,N,3,,,,,,,,,,,,
1903,2,7,Humahuaca,1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,Humahuaca,1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,Humahuaca,1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,Humahuaca,1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,Humahuaca,1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,Humahuaca,1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,Humahuaca,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Humahuaca,1903/02/14,,,10,,22,9,86,,0,K,2,,,,,,,,,,,,
1903,2,15,Humahuaca,1903/02/15,,,10,0,24,8,86,SW,1,C,2,,,,,,,,,,,,
1903,2,16,Humahuaca,1903/02/16,,,9,-1,22,6,73,NW,1,N,2,,,,,,,,,,,,
1903,2,17,Humahuaca,1903/02/17,,,9,0,24,3,73,W,1,C,2,,,,,,,,,,,,
1903,2,18,Humahuaca,1903/02/18,,,12,3,,,,,,KN,3,,,,,,,,,,,,
1903,2,19,Humahuaca,1903/02/19,,,11,-1,22,5,87,W,1,N,2,,,,,,,,,,,,
1903,2,20,Humahuaca,1903/02/20,,,7,-4,20,3,71,N,1,C,2,,,,,,,,,,,,
1903,2,21,Humahuaca,1903/02/21,,,8,1,22,2,59,S,1,KN,2,,,,,,,,,,,,
1903,2,22,Humahuaca,1903/02/22,,,9,1,20,3,73,SW,1,C,2,,,,,,,,,,,,
1903,2,23,Humahuaca,1903/02/23,,,10,1,21,4,74,,0,N,2,,,,,,,,,,,,
1903,2,24,Humahuaca,1903/02/24,,,10,0,20,4,62,S,1,C,1,,,,,,,,,,,,
1903,2,25,Humahuaca,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Humahuaca,1903/02/26,,,10,1,21,5,86,W,1,S,2,,,,,,,,,,,,
1903,2,27,Humahuaca,1903/02/27,,,6,-4,16,5,85,S,1,C,1,,,,,,,,,,,,
1903,2,28,Humahuaca,1903/02/28,,,,,24,6,,S,1,S,2,,,,,,,,,,,,
1903,3,1,Humahuaca,1903/03/01,,,8,,21,3,86,S,0,C,2,,,,,,,,,,,,
1903,3,2,Humahuaca,1903/03/02,,,9,1,22,4,,W,1,C,3,,,,,,,,,,,,
1903,3,3,Humahuaca,1903/03/03,,,11,2,21,5,87,S,1,N,2,,,,,,,,,,,,
1903,3,4,Humahuaca,1903/03/04,,,12,1,22,8,88,SW,1,N,3,,,,,,,,,,,,
1903,3,5,Humahuaca,1903/03/05,,,10,-2,21,7,86,S,1,N,3,,,,,,,,,,,,
1903,3,6,Humahuaca,1903/03/06,,,10,0,20,7,86,,0,K,2,,,,,,,,,,,,
1903,3,7,Humahuaca,1903/03/07,,,9,-1,22,7,33,,0,K,2,,,,,,,,,,,,
1903,3,8,Humahuaca,1903/03/08,,,11,2,23,10,75,S,1,N,3,,,,,,,,,,,,
1903,3,9,Humahuaca,1903/03/09,,,9,-2,22,8,86,,0,CK,1,,,,,,,,,,,,
1903,3,10,Humahuaca,1903/03/10,,,8,-1,20,7,86,S,1,C,2,,,,,,,,,,,,
1903,3,11,Humahuaca,1903/03/11,,,8,0,22,7,72,S,2,SK,2,,,,,,,,,,,,
1903,3,12,Humahuaca,1903/03/12,,,6,-2,19,4,85,S,2,SK,3,,,,,,,,,,,,
1903,3,13,Humahuaca,1903/03/13,,,6,0,14,4,85,S,1,N,3,,,,,,,,,,,,
1903,3,14,Humahuaca,1903/03/14,,,5,-1,15,3,84,NW,1,C,1,,,,,,,,,,,,
1903,3,15,Humahuaca,1903/03/15,,,8,3,20,4,73,,0,KN,2,,,,,,,,,,,,
1903,3,16,Humahuaca,1903/03/16,,,8,0,22,5,85,S,1,K,1,,,,,,,,,,,,
1903,3,17,Humahuaca,1903/03/17,,,8,0,21,4,72,SW,1,K,1,,,,,,,,,,,,
1903,3,18,Humahuaca,1903/03/18,,,7,-1,21,5,71,S,1,K,1,,,,,,,,,,,,
1903,3,19,Humahuaca,1903/03/19,,,7,0,24,6,71,S,1,,0,,,,,,,,,,,,
1903,3,20,Humahuaca,1903/03/20,,,10,3,25,6,62,N,1,C,2,,,,,,,,,,,,
1903,3,21,Humahuaca,1903/03/21,,,9,-1,22,7,86,SE,1,C,3,,,,,,,,,,,,
1903,3,22,Humahuaca,1903/03/22,,,11,2,25,10,,S,1,K,2,,,,,,,,,,,,
1903,3,23,Humahuaca,1903/03/23,,,10,-1,23,9,74,,0,KN,1,,,,,,,,,,,,
1903,3,24,Humahuaca,1903/03/24,,,10,0,26,8,86,SW,1,,0,,,,,,,,,,,,
1903,3,25,Humahuaca,1903/03/25,,,11,-1,26,8,87,SW,1,CK,1,,,,,,,,,,,,
1903,3,26,Humahuaca,1903/03/26,,,12,2,29,10,76,S,1,CK,1,,,,,,,,,,,,
1903,3,27,Humahuaca,1903/03/27,,,10,-1,29,8,74,S,1,,0,,,,,,,,,,,,
1903,3,28,Humahuaca,1903/03/28,,,9,-1,25,7,86,W,1,C,1,,,,,,,,,,,,
1903,3,29,Humahuaca,1903/03/29,,,10,1,26,7,74,N,1,C,1,,,,,,,,,,,,
1903,3,30,Humahuaca,1903/03/30,,,11,1,28,8,87,S,1,C,1,,,,,,,,,,,,
1903,3,31,Humahuaca,1903/03/31,,,9,-2,22,8,86,S,2,N,3,,,,,,,,,,,,
1903,4,1,Humahuaca,1903/04/01,,,10,1,25,9,62,E,1,K,1,,,,,,,,,,,,
1903,4,2,Humahuaca,1903/04/02,,,11,1,24,8,75,NE,1,KN,2,,,,,,,,,,,,
1903,4,3,Humahuaca,1903/04/03,,,8,-3,22,7,86,N,1,CK,2,,,,,,,,,,,,
1903,4,4,Humahuaca,1903/04/04,,,10,2,24,11,86,S,2,K,2,,,,,,,,,,,,
1903,4,5,Humahuaca,1903/04/05,,,6,-4,17,4,85,S,1,,0,,,,,,,,,,,,
1903,4,6,Humahuaca,1903/04/06,,,6,0,22,6,85,S,1,K,1,,,,,,,,,,,,
