,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"JUJUY - Capital",1903/01/01,756.7,-3.4,15,5,17,14,79,E,1,S,3,,,,,,,,,,,,
1903,1,2,"JUJUY - Capital",1903/01/02,764.7,-1,16,1,22,15,89,NW,1,S,2,,,,,,,,,,,,
1903,1,3,"JUJUY - Capital",1903/01/03,764.8,0.1,15,-1,21,13,89,NW,1,S,2,,,,,,,,,,,,
1903,1,4,"JUJUY - Capital",1903/01/04,762.5,-2.3,19,4,27,16,72,NW,1,S,1,,,,,,,,,,,,
1903,1,5,"JUJUY - Capital",1903/01/05,761.9,-0.6,18,-1,28,15,80,NW,1,N,2,,,,,,,,,,,,
1903,1,6,"JUJUY - Capital",1903/01/06,761.4,-0.5,18,0,28,17,80,NW,1,,0,,,,,,,,,,,,
1903,1,7,"JUJUY - Capital",1903/01/07,763,1.6,18,0,26,14,71,NW,1,,0,,,,,,,,,,,,
1903,1,8,"JUJUY - Capital",1903/01/08,762.8,-0.2,17,-1,27,14,70,NW,1,,0,,,,,,,,,,,,
1903,1,9,"JUJUY - Capital",1903/01/09,760.4,-2.4,18,1,28,15,80,NW,1,,0,,,,,,,,,,,,
1903,1,10,"JUJUY - Capital",1903/01/10,759.5,-0.9,20,2,30,17,64,N,1,S,2,,,,,,,,,,,,
1903,1,11,"JUJUY - Capital",1903/01/11,756.4,-3.1,19,-1,30,16,81,NW,1,S,2,,,,,,,,,,,,
1903,1,12,"JUJUY - Capital",1903/01/12,763.2,0.8,18,-1,33,17,90,E,1,N,3,,,,,,,,,,,,
1903,1,13,"JUJUY - Capital",1903/01/13,761.5,-1.7,19,1,25,17,81,NE,1,N,3,,,,,,,,,,,,
1903,1,14,"JUJUY - Capital",1903/01/14,759.9,-1.6,18,-1,25,17,90,N,1,S,2,,,,,,,,,,,,
1903,1,15,"JUJUY - Capital",1903/01/15,757,-2.9,21,3,29,18,82,N,1,S,1,,,,,,,,,,,,
1903,1,16,"JUJUY - Capital",1903/01/16,756.5,-0.5,21,0,30,18,82,NW,1,,0,,,,,,,,,,,,
1903,1,17,"JUJUY - Capital",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
