,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Carlota",1903/01/01,,,18,1,27,10,71,NE,3,,0,,,,,,,,,,,,
1903,1,2,"La Carlota",1903/01/02,,,18,0,28,10,80,N,1,,0,,,,,,,,,,,,
1903,1,3,"La Carlota",1903/01/03,,,21,3,30,14,73,N,1,S,1,,,,,,,,,,,,
1903,1,4,"La Carlota",1903/01/04,,,22,1,32,14,58,N,3,S,1,,,,,,,,,,,,
1903,1,5,"La Carlota",1903/01/05,,,20,-2,34,14,72,N,1,S,2,,,,,,,,,,,,
1903,1,6,"La Carlota",1903/01/06,,,24,4,35,18,53,N,1,N,3,,,,,,,,,,,,
1903,1,7,"La Carlota",1903/01/07,,,23,-1,28,18,66,NE,1,N,3,,,,,,,,,,,,
1903,1,8,"La Carlota",1903/01/08,,,24,1,37,19,67,N,2,S,2,,,,,,,,,,,,
1903,1,9,"La Carlota",1903/01/09,,,25,1,35,18,76,,0,K,1,,,,,,,,,,,,
1903,1,10,"La Carlota",1903/01/10,,,22,-3,31,18,91,N,1,N,2,,,,,,,,,,,,
1903,1,11,"La Carlota",1903/01/11,,,17,-5,37,16,100,SW,2,N,3,,,,,,,,,,,,
1903,1,12,"La Carlota",1903/01/12,,,19,2,28,14,100,N,1,K,1,,,,,,,,,,,,
1903,1,13,"La Carlota",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"La Carlota",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"La Carlota",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"La Carlota",1903/01/16,,,19,-3,31,17,,S,2,K,3,,,,,,,,,,,,
1903,1,17,"La Carlota",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"La Carlota",1903/01/18,,,20,3,20,12,72,E,1,K,1,,,,,,,,,,,,
1903,1,19,"La Carlota",1903/01/19,,,18,-2,29,16,100,W,1,N,3,,,,,,,,,,,,
1903,1,20,"La Carlota",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"La Carlota",1903/01/21,,,16,3,23,8,59,W,2,,0,,,,,,,,,,,,
1903,1,22,"La Carlota",1903/01/22,,,14,-2,28,12,78,SW,1,N,3,,,,,,,,,,,,
1903,1,23,"La Carlota",1903/01/23,,,16,2,23,9,69,SW,1,N,3,,,,,,,,,,,,
1903,1,24,"La Carlota",1903/01/24,,,20,4,32,14,47,SW,2,,0,,,,,,,,,,,,
1903,1,25,"La Carlota",1903/01/25,,,18,-2,30,10,71,N,1,,0,,,,,,,,,,,,
1903,1,26,"La Carlota",1903/01/26,,,21,3,31,15,65,N,2,K,2,,,,,,,,,,,,
1903,1,27,"La Carlota",1903/01/27,,,21,0,33,19,91,,0,N,3,,,,,,,,,,,,
1903,1,28,"La Carlota",1903/01/28,,,22,1,32,20,91,N,2,K,2,,,,,,,,,,,,
1903,1,29,"La Carlota",1903/01/29,,,26,4,35,21,76,,0,C,2,,,,,,,,,,,,
1903,1,30,"La Carlota",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"La Carlota",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"La Carlota",1903/02/01,,,21,-6,38,18,100,SE,1,N,3,,,,,,,,,,,,
1903,2,2,"La Carlota",1903/02/02,,,21,0,31,19,100,NE,1,N,3,,,,,,,,,,,,
1903,2,3,"La Carlota",1903/02/03,,,26,5,32,21,92,N,1,C,1,,,,,,,,,,,,
1903,2,4,"La Carlota",1903/02/04,,,23,-3,38,22,100,E,1,K,3,,,,,,,,,,,,
1903,2,5,"La Carlota",1903/02/05,,,21,-2,35,20,100,E,1,N,3,,,,,,,,,,,,
1903,2,6,"La Carlota",1903/02/06,,,21,0,25,15,91,,0,,0,,,,,,,,,,,,
1903,2,7,"La Carlota",1903/02/07,,,20,-1,32,16,91,N,1,,0,,,,,,,,,,,,
1903,2,8,"La Carlota",1903/02/08,,,20,0,31,13,81,N,1,,0,,,,,,,,,,,,
1903,2,9,"La Carlota",1903/02/09,,,20,0,32,14,91,N,1,,0,,,,,,,,,,,,
1903,2,10,"La Carlota",1903/02/10,,,21,1,32,15,91,N,1,,0,,,,,,,,,,,,
1903,2,11,"La Carlota",1903/02/11,,,24,3,35,20,91,N,2,,0,,,,,,,,,,,,
1903,2,12,"La Carlota",1903/02/12,,,19,-5,38,15,72,SE,1,N,3,,,,,,,,,,,,
1903,2,13,"La Carlota",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"La Carlota",1903/02/14,,,18,,26,16,100,,0,N,3,,,,,,,,,,,,
1903,2,15,"La Carlota",1903/02/15,,,22,4,30,18,82,N,2,S,1,,,,,,,,,,,,
1903,2,16,"La Carlota",1903/02/16,,,21,-1,33,18,74,S,3,K,1,,,,,,,,,,,,
1903,2,17,"La Carlota",1903/02/17,,,18,-3,26,15,90,E,1,N,3,,,,,,,,,,,,
1903,2,18,"La Carlota",1903/02/18,,,16,-2,29,14,79,,0,N,3,,,,,,,,,,,,
1903,2,19,"La Carlota",1903/02/19,,,20,4,28,14,81,N,1,S,1,,,,,,,,,,,,
1903,2,20,"La Carlota",1903/02/20,,,20,0,34,15,72,,0,N,2,PD,,,,,,,,,,,
1903,2,21,"La Carlota",1903/02/21,,,20,0,29,14,81,,0,C,1,,,,,,,,,,,,
1903,2,22,"La Carlota",1903/02/22,,,20,0,32,14,72,N,1,S,1,,,,,,,,,,,,
1903,2,23,"La Carlota",1903/02/23,,,20,0,34,14,72,N,1,,0,,,,,,,,,,,,
1903,2,24,"La Carlota",1903/02/24,,,18,-2,36,17,90,NE,1,N,2,,,,,,,,,,,,
1903,2,25,"La Carlota",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"La Carlota",1903/02/26,,,18,0,29,16,80,E,3,N,2,,,,,,,,,,,,
1903,2,27,"La Carlota",1903/02/27,,,15,-3,28,12,78,SW,3,S,1,,,,,,,,,,,,
1903,2,28,"La Carlota",1903/02/28,,,12,-3,24,9,88,NE,1,K,2,,,,,,,,,,,,
1903,3,1,"La Carlota",1903/03/01,,,15,3,25,11,78,N,1,K,1,,,,,,,,,,,,
1903,3,2,"La Carlota",1903/03/02,,,20,5,28,15,,,0,N,3,,,,,,,,,,,,
1903,3,3,"La Carlota",1903/03/03,,,20,0,32,15,81,N,1,,0,,,,,,,,,,,,
1903,3,4,"La Carlota",1903/03/04,,,19,-1,37,16,81,E,2,,0,,,,,,,,,,,,
1903,3,5,"La Carlota",1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,"La Carlota",1903/03/06,,,20,,35,15,81,N,2,,0,,,,,,,,,,,,
1903,3,7,"La Carlota",1903/03/07,,,19,-1,35,17,90,W,2,N,3,,,,,,,,,,,,
1903,3,8,"La Carlota",1903/03/08,,,20,1,27,18,100,SE,1,N,3,,,,,,,,,,,,
1903,3,9,"La Carlota",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"La Carlota",1903/03/10,,,15,-3,22,13,100,,0,K,1,,,,,,,,,,,,
1903,3,11,"La Carlota",1903/03/11,,,19,4,29,13,72,SE,2,S,1,,,,,,,,,,,,
1903,3,12,"La Carlota",1903/03/12,,,19,0,30,14,81,SW,1,,0,,,,,,,,,,,,
1903,3,13,"La Carlota",1903/03/13,,,21,2,34,15,73,W,1,,0,,,,,,,,,,,,
1903,3,14,"La Carlota",1903/03/14,,,20,-1,37,17,81,,0,K,2,,,,,,,,,,,,
1903,3,15,"La Carlota",1903/03/15,,,19,-1,26,13,81,NW,1,,0,,,,,,,,,,,,
1903,3,16,"La Carlota",1903/03/16,,,23,4,35,17,66,SW,1,S,1,,,,,,,,,,,,
1903,3,17,"La Carlota",1903/03/17,,,16,-7,34,15,59,SE,1,K,2,,,,,,,,,,,,
1903,3,18,"La Carlota",1903/03/18,,,15,-1,25,11,78,N,2,,0,,,,,,,,,,,,
1903,3,19,"La Carlota",1903/03/19,,,20,5,31,18,91,N,2,K,1,,,,,,,,,,,,
1903,3,20,"La Carlota",1903/03/20,,,21,1,34,18,82,N,1,S,2,,,,,,,,,,,,
1903,3,21,"La Carlota",1903/03/21,,,16,-5,33,15,100,S,1,N,3,,,,,,,,,,,,
1903,3,22,"La Carlota",1903/03/22,,,17,1,27,12,90,,0,N,2,,,,,,,,,,,,
1903,3,23,"La Carlota",1903/03/23,,,19,2,29,17,81,NE,1,N,3,,,,,,,,,,,,
1903,3,24,"La Carlota",1903/03/24,,,22,3,30,19,100,N,1,N,3,,,,,,,,,,,,
1903,3,25,"La Carlota",1903/03/25,,,24,3,34,22,100,N,1,N,3,,,,,,,,,,,,
1903,3,26,"La Carlota",1903/03/26,,,21,-1,31,14,100,,0,N,3,,,,,,,,,,,,
1903,3,27,"La Carlota",1903/03/27,,,21,-3,36,20,100,E,1,N,3,,,,,,,,,,,,
1903,3,28,"La Carlota",1903/03/28,,,21,0,32,20,100,SE,2,K,1,,,,,,,,,,,,
1903,3,29,"La Carlota",1903/03/29,,,16,-5,27,15,89,,0,N,3,,,,,,,,,,,,
1903,3,30,"La Carlota",1903/03/30,,,19,3,25,16,100,E,1,N,3,,,,,,,,,,,,
1903,3,31,"La Carlota",1903/03/31,,,19,0,,18,100,N,1,N,3,,,,,,,,,,,,
1903,4,1,"La Carlota",1903/04/01,,,18,-1,26,16,100,,0,N,3,,,,,,,,,,,,
1903,4,2,"La Carlota",1903/04/02,,,20,2,29,17,91,N,1,K,1,,,,,,,,,,,,
1903,4,3,"La Carlota",1903/04/03,,,21,1,32,18,91,N,1,N,3,,,,,,,,,,,,
1903,4,4,"La Carlota",1903/04/04,,,19,-2,28,18,100,NE,1,N,3,,,,,,,,,,,,
1903,4,5,"La Carlota",1903/04/05,,,18,-1,28,17,100,NE,1,N,3,,,,,,,,,,,,
1903,4,6,"La Carlota",1903/04/06,,,13,-5,26,12,100,SW,3,N,3,,,,,,,,,,,,
1903,4,7,"La Carlota",1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,"La Carlota",1903/04/08,,,14,,19,13,100,NE,2,N,3,,,,,,,,,,,,
1903,4,9,"La Carlota",1903/04/09,,,13,-1,15,13,88,E,1,N,3,,,,,,,,,,,,
1903,4,10,"La Carlota",1903/04/10,,,18,5,18,16,90,N,1,N,3,,,,,,,,,,,,
1903,4,11,"La Carlota",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"La Carlota",1903/04/12,,,15,,18,12,,W,2,,0,,,,,,,,,,,,
1903,4,13,"La Carlota",1903/04/13,,,14,-1,25,11,89,,0,N,2,,,,,,,,,,,,
1903,4,14,"La Carlota",1903/04/14,,,11,-3,23,10,100,SW,2,K,2,,,,,,,,,,,,
1903,4,15,"La Carlota",1903/04/15,,,11,0,18,10,100,SE,1,N,3,,,,,,,,,,,,
1903,4,16,"La Carlota",1903/04/16,,,11,0,17,10,100,,0,C,1,,,,,,,,,,,,
1903,4,17,"La Carlota",1903/04/17,,,12,1,21,10,88,,0,K,2,,,,,,,,,,,,
1903,4,18,"La Carlota",1903/04/18,,,13,1,21,10,100,S,1,K,1,,,,,,,,,,,,
1903,4,19,"La Carlota",1903/04/19,,,9,-4,22,6,73,SW,2,,0,,,,,,,,,,,,
1903,4,20,"La Carlota",1903/04/20,,,7,-2,23,4,85,SW,1,,0,,,,,,,,,,,,
1903,4,21,"La Carlota",1903/04/21,,,6,-1,22,4,85,N,1,,0,,,,,,,,,,,,
1903,4,22,"La Carlota",1903/04/22,,,10,4,23,9,100,NE,1,N,3,,,,,,,,,,,,
1903,4,23,"La Carlota",1903/04/23,,,13,3,25,11,100,,0,K,2,,,,,,,,,,,,
1903,4,24,"La Carlota",1903/04/24,,,14,1,26,11,100,N,1,S,1,,,,,,,,,,,,
1903,4,25,"La Carlota",1903/04/25,,,13,-1,28,12,66,NW,3,C,2,,,,,,,,,,,,
1903,4,26,"La Carlota",1903/04/26,,,10,-3,19,9,86,S,1,N,3,,,,,,,,,,,,
1903,4,27,"La Carlota",1903/04/27,,,9,-1,11,7,86,S,1,N,3,,,,,,,,,,,,
1903,4,28,"La Carlota",1903/04/28,,,6,-3,15,4,85,,0,K,2,,,,,,,,,,,,
1903,4,29,"La Carlota",1903/04/29,,,7,1,13,6,100,SW,2,N,3,,,,,,,,,,,,
1903,4,30,"La Carlota",1903/04/30,,,6,-1,8,5,,SW,1,N,1,,,,,,,,,,,,
1903,5,1,"La Carlota",1903/05/01,,,7,1,18,4,86,,0,C,2,,,,,,,,,,,,
1903,5,2,"La Carlota",1903/05/02,,,9,2,23,7,86,,0,N,3,,,,,,,,,,,,
1903,5,3,"La Carlota",1903/05/03,,,9,0,20,6,100,SW,1,K,1,,,,,,,,,,,,
1903,5,4,"La Carlota",1903/05/04,,,10,1,23,10,100,,0,C,2,,,,,,,,,,,,
1903,5,5,"La Carlota",1903/05/05,,,11,1,26,9,87,W,1,,0,,,,,,,,,,,,
1903,5,6,"La Carlota",1903/05/06,,,,,,,,,,,0,,,,,,,,,,,,
1903,5,7,"La Carlota",1903/05/07,,,11,,24,10,100,,0,S,2,,,,,,,,,,,,
1903,5,8,"La Carlota",1903/05/08,,,14,3,27,14,,SW,1,C,1,,,,,,,,,,,,
1903,5,9,"La Carlota",1903/05/09,,,17,3,25,15,100,N,1,N,3,,,,,,,,,,,,
1903,5,10,"La Carlota",1903/05/10,,,16,-1,,14,89,,0,N,3,,,,,,,,,,,,
1903,5,11,"La Carlota",1903/05/11,,,4,-12,19,4,100,SW,1,,0,,,,,,,,,,,,
1903,5,12,"La Carlota",1903/05/12,,,2,-2,18,1,100,W,1,,0,,,,,,,,,,,,
1903,5,13,"La Carlota",1903/05/13,,,3,1,22,1,100,W,1,,0,,,,,,,,,,,,
1903,5,14,"La Carlota",1903/05/14,,,5,2,22,4,100,SE,2,S,3,,,,,,,,,,,,
1903,5,15,"La Carlota",1903/05/15,,,6,1,19,5,100,N,1,S,1,,,,,,,,,,,,
1903,5,16,"La Carlota",1903/05/16,,,2,-4,16,2,100,N,1,K,1,,,,,,,,,,,,
1903,5,17,"La Carlota",1903/05/17,,,4,2,16,2,100,,0,S,3,,,,,,,,,,,,
1903,5,18,"La Carlota",1903/05/18,,,9,5,17,8,100,,0,N,2,,,,,,,,,,,,
1903,5,19,"La Carlota",1903/05/19,,,8,-1,18,4,100,,0,N,3,,,,,,,,,,,,
1903,5,20,"La Carlota",1903/05/20,,,3,-2,21,2,100,,0,,0,,,,,,,,,,,,
1903,5,21,"La Carlota",1903/05/21,,,4,1,22,2,100,NW,1,,0,,,,,,,,,,,,
1903,5,22,"La Carlota",1903/05/22,,,5,1,26,5,100,SW,1,K,1,,,,,,,,,,,,
1903,5,23,"La Carlota",1903/05/23,,,3,-2,22,2,100,NE,1,,0,,,,,,,,,,,,
1903,5,24,"La Carlota",1903/05/24,,,7,4,24,5,85,NE,1,,0,,,,,,,,,,,,
1903,5,25,"La Carlota",1903/05/25,,,12,5,22,11,100,N,1,N,1,,,,,,,,,,,,
1903,5,26,"La Carlota",1903/05/26,,,6,-6,25,5,100,,0,C,2,,,,,,,,,,,,
1903,5,27,"La Carlota",1903/05/27,,,10,4,21,9,100,S,2,N,3,,,,,,,,,,,,
1903,5,28,"La Carlota",1903/05/28,,,10,0,13,10,100,SE,1,N,3,,,,,,,,,,,,
1903,5,29,"La Carlota",1903/05/29,,,,,,,,,,,,,,,,,,,,,,,
1903,5,30,"La Carlota",1903/05/30,,,15,,15,13,100,NE,2,N,3,,,,,,,,,,,,
1903,5,31,"La Carlota",1903/05/31,,,16,1,18,13,100,NE,1,N,3,,,,,,,,,,,,
1903,6,1,"La Carlota",1903/06/01,,,19,3,21,16,90,NE,3,N,3,,,,,,,,,,,,
1903,6,2,"La Carlota",1903/06/02,,,18,-1,23,17,90,NE,2,N,1,,,,,,,,,,,,
1903,6,3,"La Carlota",1903/06/03,,,7,-11,22,6,85,SW,3,K,1,,,,,,,,,,,,
1903,6,4,"La Carlota",1903/06/04,,,0,-7,12,0,100,S,1,S,1,,,,,,,,,,,,
1903,6,5,"La Carlota",1903/06/05,,,7,7,12,5,85,,0,N,3,,,,,,,,,,,,
1903,6,6,"La Carlota",1903/06/06,,,3,-4,12,2,100,,0,S,1,,,,,,,,,,,,
1903,6,7,"La Carlota",1903/06/07,,,3,0,17,3,100,N,1,S,1,,,,,,,,,,,,
1903,6,8,"La Carlota",1903/06/08,,,7,4,19,6,100,NE,3,C,2,,,,,,,,,,,,
1903,6,9,"La Carlota",1903/06/09,,,6,-1,17,4,100,,,N,2,,,,,,,,,,,,
1903,6,10,"La Carlota",1903/06/10,,,11,5,15,10,100,,0,,0,,,,,,,,,,,,
1903,6,11,"La Carlota",1903/06/11,,,9,-2,19,6,100,,0,N,3,,,,,,,,,,,,
1903,6,12,"La Carlota",1903/06/12,,,10,1,15,9,100,NE,1,N,3,,,,,,,,,,,,
1903,6,13,"La Carlota",1903/06/13,,,13,3,14,9,100,,0,N,3,,,,,,,,,,,,
1903,6,14,"La Carlota",1903/06/14,,,,,,,,,,,,,,,,,,,,,,,
1903,6,15,"La Carlota",1903/06/15,,,5,,22,4,100,,0,C,1,,,,,,,,,,,,
1903,6,16,"La Carlota",1903/06/16,,,4,-1,19,3,100,,0,N,3,,,,,,,,,,,,
1903,6,17,"La Carlota",1903/06/17,,,13,9,17,12,100,,0,N,3,,,,,,,,,,,,
1903,6,18,"La Carlota",1903/06/18,,,,,,,,,,,,,,,,,,,,,,,
1903,6,19,"La Carlota",1903/06/19,,,,,,,,,,,,,,,,,,,,,,,
1903,6,20,"La Carlota",1903/06/20,,,1,,14,1,100,NE,2,C,1,,,,,,,,,,,,
1903,6,21,"La Carlota",1903/06/21,,,4,3,16,3,100,SW,2,N,3,,,,,,,,,,,,
1903,6,22,"La Carlota",1903/06/22,,,7,3,9,5,85,,,N,3,,,,,,,,,,,,
1903,6,23,"La Carlota",1903/06/23,,,2,-5,11,2,100,,0,C,1,,,,,,,,,,,,
1903,6,24,"La Carlota",1903/06/24,,,1,-1,9,1,100,,0,K,1,,,,,,,,,,,,
1903,6,25,"La Carlota",1903/06/25,,,0,-1,13,-1,100,S,1,N,3,,,,,,,,,,,,
1903,6,26,"La Carlota",1903/06/26,,,1,1,10,1,100,,0,,0,,,,,,,,,,,,
1903,6,27,"La Carlota",1903/06/27,,,1,0,15,1,100,N,1,,0,,,,,,,,,,,,
1903,6,28,"La Carlota",1903/06/28,,,1,0,18,1,100,,0,C,2,,,,,,,,,,,,
1903,6,29,"La Carlota",1903/06/29,,,5,4,18,3,69,N,3,S,2,,,,,,,,,,,,
1903,6,30,"La Carlota",1903/06/30,,,10,5,17,9,100,N,1,K,1,,,,,,,,,,,,
1903,7,1,"La Carlota",1903/07/01,,,18,8,19,17,90,N,3,K,2,,,,,,,,,,,,
1903,7,2,"La Carlota",1903/07/02,,,15,-3,25,14,100,S,1,N,3,,,,,,,,,,,,
1903,7,3,"La Carlota",1903/07/03,,,8,-7,15,7,100,SW,1,N,3,,,,,,,,,,,,
1903,7,4,"La Carlota",1903/07/04,,,6,-2,12,6,100,,0,K,2,,,,,,,,,,,,
1903,7,5,"La Carlota",1903/07/05,,,1,-5,15,1,100,,,,0,,,,,,,,,,,,
1903,7,6,"La Carlota",1903/07/06,,,3,2,16,2,100,NW,1,,0,,,,,,,,,,,,
1903,7,7,"La Carlota",1903/07/07,,,4,1,25,3,83,S,2,,0,,,,,,,,,,,,
1903,7,8,"La Carlota",1903/07/08,,,3,-1,12,4,83,,0,C,2,,,,,,,,,,,,
