,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Cautiva",1903/01/01,765.7,-0.8,19,2,,12,81,NE,3,,0,,,,,,,,,,,,
1903,1,2,"La Cautiva",1903/01/02,764.2,-1.5,20,1,,12,64,NE,3,,0,,,,,,,,,,,,
1903,1,3,"La Cautiva",1903/01/03,762.5,-1.7,24,4,,9,83,NE,3,S,1,,,,,,,,,,,,
1903,1,4,"La Cautiva",1903/01/04,760.5,-2,23,-1,,,59,NE,3,C,1,,,,,,,,,,,,
1903,1,5,"La Cautiva",1903/01/05,759.4,-1.1,24,1,,,91,N,2,C,1,,,,,,,,,,,,
1903,1,6,"La Cautiva",1903/01/06,761.2,1.8,21,-3,,,91,NE,1,N,2,,,,,,,,,,,,
1903,1,7,"La Cautiva",1903/01/07,759.4,-1.8,24,3,,,75,NE,1,C,1,,,,,,,,,,,,
1903,1,8,"La Cautiva",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"La Cautiva",1903/01/09,757.2,-1,26,5,,,69,NE,1,C,1,,,,,,,,,,,,
1903,1,10,"La Cautiva",1903/01/10,757.4,0.2,22,-4,,,82,NE,2,N,2,,,,,,,,,,,,
1903,1,11,"La Cautiva",1903/01/11,760.3,2.9,18,-4,,,90,SE,3,N,2,,,,,,,,,,,,
1903,1,12,"La Cautiva",1903/01/12,761,0.7,31,3,,,82,NE,2,K,1,,,,,,,,,,,,
1903,1,13,"La Cautiva",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"La Cautiva",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"La Cautiva",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"La Cautiva",1903/01/16,759.2,0.6,19,1,,14,90,SE,2,N,3,,,,,,,,,,,,
1903,1,17,"La Cautiva",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"La Cautiva",1903/01/18,759.1,-2.2,16,-3,,,89,N,1,K,1,,,,,,,,,,,,
1903,1,19,"La Cautiva",1903/01/19,756.7,-2.4,18,2,,,90,W,1,N,2,,,,,,,,,,,,
1903,1,20,"La Cautiva",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"La Cautiva",1903/01/21,762.8,2.2,16,3,,4,50,W,1,C,1,,,,,,,,,,,,
1903,1,22,"La Cautiva",1903/01/22,760.8,-2,12,-4,,,88,W,1,N,2,,,,,,,,,,,,
1903,1,23,"La Cautiva",1903/01/23,761.7,0.9,15,3,,8,58,W,2,N,2,,,,,,,,,,,,
1903,1,24,"La Cautiva",1903/01/24,761.6,-0.1,18,3,,,62,SW,3,,0,,,,,,,,,,,,
1903,1,25,"La Cautiva",1903/01/25,762.2,0.6,20,2,,,47,N,1,,0,,,,,,,,,,,,
1903,1,26,"La Cautiva",1903/01/26,760,-2.2,22,2,,,58,NE,2,K,1,,,,,,,,,,,,
1903,1,27,"La Cautiva",1903/01/27,760.6,0.6,22,0,,,74,N,1,N,2,,,,,,,,,,,,
1903,1,28,"La Cautiva",1903/01/28,756.5,-4.1,22,0,,,91,NE,2,C,1,,,,,,,,,,,,
1903,1,29,"La Cautiva",1903/01/29,756.8,0.3,22,0,,,82,SE,2,C,1,,,,,,,,,,,,
1903,1,30,"La Cautiva",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"La Cautiva",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"La Cautiva",1903/02/01,764.9,7.6,19,0,,11,100,SE,1,N,3,,,,,,,,,,,,
1903,2,2,"La Cautiva",1903/02/02,761.5,-3.4,21,2,,,100,E,2,N,3,,,,,,,,,,,,
1903,2,3,"La Cautiva",1903/02/03,754.2,-7.3,25,4,,,83,NE,1,C,1,,,,,,,,,,,,
1903,2,4,"La Cautiva",1903/02/04,756.6,2.4,24,-1,,,91,SW,1,C,1,,,,,,,,,,,,
1903,2,5,"La Cautiva",1903/02/05,761.7,5.1,20,-4,,,100,SW,1,N,3,,,,,,,,,,,,
1903,2,6,"La Cautiva",1903/02/06,766.2,4.5,18,-2,,,90,N,1,,0,,,,,,,,,,,,
1903,2,7,"La Cautiva",1903/02/07,766.8,0.6,20,2,,,81,NE,1,,0,,,,,,,,,,,,
1903,2,8,"La Cautiva",1903/02/08,764.9,-1.9,19,-1,,,81,NE,2,,0,,,,,,,,,,,,
1903,2,9,"La Cautiva",1903/02/09,763.3,-1.6,20,1,,,72,NE,2,,0,,,,,,,,,,,,
1903,2,10,"La Cautiva",1903/02/10,760.5,-2.8,23,3,,,66,N,1,S,1,,,,,,,,,,,,
1903,2,11,"La Cautiva",1903/02/11,755.2,-5.3,25,2,,,68,N,1,,0,,,,,,,,,,,,
1903,2,12,"La Cautiva",1903/02/12,757.2,2,17,-8,,,100,E,1,N,2,,,,,,,,,,,,
1903,2,13,"La Cautiva",1903/02/13,761.2,4,17,0,,,100,SW,1,N,2,,,,,,,,,,,,
1903,2,14,"La Cautiva",1903/02/14,,,17,0,,,100,,0,N,2,,,,,,,,,,,,
1903,2,15,"La Cautiva",1903/02/15,755,,20,3,,,91,NE,1,C,1,,,,,,,,,,,,
1903,2,16,"La Cautiva",1903/02/16,755.8,0.8,19,-1,,,81,SE,2,,0,,,,,,,,,,,,
1903,2,17,"La Cautiva",1903/02/17,758.5,2.7,18,-1,,,90,N,1,S,1,,,,,,,,,,,,
1903,2,18,"La Cautiva",1903/02/18,765.7,7.2,13,-5,,,88,NW,1,C,1,,,,,,,,,,,,
1903,2,19,"La Cautiva",1903/02/19,759.2,-6.5,19,6,,,90,N,1,,0,,,,,,,,,,,,
1903,2,20,"La Cautiva",1903/02/20,761.8,2.6,19,0,,,90,E,1,C,2,,,,,,,,,,,,
1903,2,21,"La Cautiva",1903/02/21,763.4,1.6,16,-3,,,100,NW,1,C,1,,,,,,,,,,,,
1903,2,22,"La Cautiva",1903/02/22,761,-2.4,20,4,,,72,NE,1,,0,,,,,,,,,,,,
1903,2,23,"La Cautiva",1903/02/23,759,-2,19,-1,,,90,NE,1,C,1,,,,,,,,,,,,
1903,2,24,"La Cautiva",1903/02/24,756.1,-2.9,20,1,,,72,NE,2,N,2,,,,,,,,,,,,
1903,2,25,"La Cautiva",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"La Cautiva",1903/02/26,759.4,-0.1,16,-1,,12,89,E,1,N,2,,,,,,,,,,,,
1903,2,27,"La Cautiva",1903/02/27,767.4,8,12,-4,,10,88,SW,1,S,1,,,,,,,,,,,,
1903,2,28,"La Cautiva",1903/02/28,768.6,1.2,12,0,,8,88,NE,1,K,2,,,,,,,,,,,,
1903,3,1,"La Cautiva",1903/03/01,763.6,-5,15,3,,10,68,N,1,S,1,,,,,,,,,,,,
1903,3,2,"La Cautiva",1903/03/02,760.3,-3.3,19,4,,,,N,1,K,1,,,,,,,,,,,,
1903,3,3,"La Cautiva",1903/03/03,760.1,-0.2,19,0,,,90,NW,1,,0,,,,,,,,,,,,
1903,3,4,"La Cautiva",1903/03/04,763.9,3.8,15,-4,,11,89,NE,2,N,3,,,,,,,,,,,,
