,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Cocha",1903/01/01,766.9,-1.3,17,0,,,90,,0,K,3,,,,,,,,,,,,
1903,1,2,"La Cocha",1903/01/02,,,21,4,25,17,82,,0,K,3,,,,,,,,,,,,
1903,1,3,"La Cocha",1903/01/03,763,,20,-1,,,81,,0,S,2,,,,,,,,,,,,
1903,1,4,"La Cocha",1903/01/04,761.5,-1.5,23,3,,,66,,0,,0,,,,,,,,,,,,
1903,1,5,"La Cocha",1903/01/05,759.1,-2.4,24,1,,,60,SE,1,,0,,,,,,,,,,,,
1903,1,6,"La Cocha",1903/01/06,763.4,4.3,22,-2,,,74,,0,K,3,,,,,,,,,,,,
1903,1,7,"La Cocha",1903/01/07,762.6,-0.8,21,-1,,,100,,0,,0,,,,,,,,,,,,
1903,1,8,"La Cocha",1903/01/08,761,-1.6,24,0,,,67,,0,,0,,,,,,,,,,,,
1903,1,9,"La Cocha",1903/01/09,758.6,-2.4,24,0,,,75,,0,,0,,,,,,,,,,,,
1903,1,10,"La Cocha",1903/01/10,758.7,0.1,25,1,,,68,,0,,0,,,,,,,,,,,,
1903,1,11,"La Cocha",1903/01/11,756.7,-2,28,3,,,57,S,3,,0,,,,,,,,,,,,
1903,1,12,"La Cocha",1903/01/12,763.8,7.1,20,-8,,,91,,0,K,3,,,,,,,,,,,,
1903,1,13,"La Cocha",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"La Cocha",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"La Cocha",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"La Cocha",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"La Cocha",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"La Cocha",1903/01/18,759.6,-2,22,1,,,100,,0,N,3,,,,,,,,,,,,
1903,1,19,"La Cocha",1903/01/19,757.4,-2.2,19,-3,,,81,,0,,0,,,,,,,,,,,,
1903,1,20,"La Cocha",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"La Cocha",1903/01/21,757.7,4.5,12,-4,,,88,,0,,0,,,,,,,,,,,,
1903,1,22,"La Cocha",1903/01/22,758.1,-9.6,15,3,,,78,,0,,0,,,,,,,,,,,,
1903,1,23,"La Cocha",1903/01/23,767.1,9,17,2,,,80,,0,S,3,,,,,,,,,,,,
1903,1,24,"La Cocha",1903/01/24,763.3,-3.8,19,2,,,81,,0,,0,,,,,,,,,,,,
1903,1,25,"La Cocha",1903/01/25,764.8,1.5,21,2,,,65,,0,,0,,,,,,,,,,,,
